,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5560270,71701000,92103,Тюменская область,20,9620.02,105427.21,01.08.2019,ИРД,2646.3,,39.83947776140271,995.914665458076
5604049,71644000,5396,Тюменская область,20,7101.59,33810.08,22.10.2018,ИРД,1040.0,"4408,04406",32.50969230769231,376.09169214218224
5580279,71701000,29602,Тюменская область,20,22026.0,66203.0,10.06.2019,ИРД,2199.4,"124,35620",30.100481949622623,200.567511123218
5580273,71701000,29602,Тюменская область,20,30816.0,85881.0,27.12.2018,ИРД,2199.4,"124,35620",39.04746749113394,178.68964174454825
5576647,71701000,96265,Тюменская область,20,40841.58,111215.19,26.05.2016,ИРД,457.0,"40,84000",243.35927789934354,172.30873536234395
5552873,71710000,2079,Тюменская область,20,16912.2,42280.5,02.09.2016,ИРД,3940.79,"12583,81296",10.728940136368596,150.0
5547652,71705000,1880,Тюменская область,20,31038.67,73510.88,17.05.2018,ИРД,423.6,"2091,00798",173.538432483475,136.83643661278015
5555046,71710000,29320,Тюменская область,20,22873.3,53620.88,,ИРД,3402.0,"0,00000",15.761575543797765,134.4256403754596
5572989,71701000,70984,Тюменская область,20,33147.03,75564.83,26.05.2016,ИРД,444.3,"33,15000",170.07614224623003,127.96862946695376
5552314,71710000,1321,Тюменская область,20,23910.89,53180.55,,ИРД,3558.11,"0,00000",14.946291711048843,122.41142006842911
5601085,71632000,60927,Тюменская область,20,6230.08,13631.92,09.11.2018,ИРД,507.4,"12,90052",26.866219944816713,118.8081051928707
5604551,71644000,6569,Тюменская область,20,19016.06,39020.77,22.10.2018,ИРД,1715.0,"70,50850",22.752635568513117,105.19902650706818
5575598,71701000,93748,Тюменская область,20,52402.87,106685.95,,ИРД,1577.9,"32,28306",67.61261803663096,103.58799050510017
5602577,71636000,11306,Тюменская область,20,18729.68,35474.33,13.06.2018,ИРД,351.0,"35,47433",101.06646723646725,89.40168758889635
5601344,71632000,48699,Тюменская область,20,7729.21,14554.51,09.11.2018,ИРД,595.5,"13,77360",24.440822837951302,88.3052731132936
5601336,71632000,48675,Тюменская область,20,8505.36,15005.9,09.11.2018,ИРД,975.5,"14,20078",15.382778062532035,76.42874610833637
5601374,71632000,48824,Тюменская область,20,8472.01,14504.47,09.11.2018,ИРД,652.73,"13,72625",22.221240022674,71.20459017399648
5604550,71644000,6569,Тюменская область,20,19016.06,31487.73,03.09.2018,ИРД,1715.0,"70,50850",18.360192419825072,65.58493189440924
5544136,71615000,4864,Тюменская область,20,21058.51,33726.59,08.02.2019,ИРД,1260.0,"559,30596",26.767134920634916,60.15658277817375
5552895,71710000,2153,Тюменская область,20,28845.45,44768.17,02.09.2016,ИРД,4092.16,"9620,46886",10.939985240068815,55.20010954933967
5589099,71701000,33138,Тюменская область,20,155818.93,236448.0,10.01.2017,ИРД,5466.4,"12409,30495",43.254792916727645,51.74536238953766
5601377,71632000,48900,Тюменская область,20,10418.53,15742.89,09.11.2018,ИРД,802.7,"14,89822",19.61242058054067,51.104714388690134
5600880,71630000,7552,Тюменская область,20,85334.56,123528.48,27.07.2018,ИРД,608.0,"2832,73719",203.17184210526315,44.757856605811284
5600710,71630000,7526,Тюменская область,20,120815.62,174706.08,27.07.2018,ИРД,772.9,"2776,98730",226.03969465648854,44.60554024388568
5576534,71701000,74016,Тюменская область,20,48375.14,69442.07,30.08.2019,ИРД,1252.0,"43,12644",55.46491214057509,43.54908326880296
5575074,71701000,31588,Тюменская область,20,165980.53,236461.0,10.01.2017,ИРД,3507.1,"8999,60553",67.42351230361267,42.46309491842206
5601357,71632000,48772,Тюменская область,20,10335.33,14554.51,09.11.2018,ИРД,796.29,"13,77360",18.2779012671263,40.82288615844873
5600524,71630000,24878,Тюменская область,20,41255.66,58060.86,27.07.2018,ИРД,649.6,"56,70089",89.37940270935961,40.73428954960361
5572418,71701000,31327,Тюменская область,20,184495.37,258957.4,08.06.2017,ИРД,3741.2,"12632,39344",69.21773762429167,40.35983667232408
5600770,71630000,7663,Тюменская область,20,75408.82,104949.72,27.07.2018,ИРД,786.67,"102,49148",133.4100957199334,39.17433000542907
5600630,71630000,9083,Тюменская область,20,52825.93,72189.63,27.07.2018,ИРД,386.6,"184,79664",186.72951370926023,36.65567269710159
5600562,71630000,17968,Тюменская область,20,108068.63,147592.07,27.07.2018,ИРД,358.59,"1515,42324",411.59003318553226,36.572537284871665
5601494,71632000,52079,Тюменская область,20,12332.07,16818.02,09.11.2018,ИРД,950.13,"15,91567",17.70075673855157,36.37629367981208
5600724,71630000,18003,Тюменская область,20,57896.36,78824.3,27.07.2018,ИРД,671.0,"2575,70992",117.47287630402386,36.14724656265091
5600458,71630000,8050,Тюменская область,20,23391.95,30601.32,27.07.2018,ИРД,658.3,"2769,57387",46.4853714112107,30.81987606847654
5596518,71703000,5218,Тюменская область,20,29017.26,37831.16,09.11.2018,ИРД,4230.1,"37,06726",8.943325216897946,30.374680448808753
5595848,71703000,6718,Тюменская область,20,64914.18,82430.86,04.09.2018,ИРД,260.4,"992,68370",316.55476190476196,26.984366127708913
5552856,71710000,2079,Тюменская область,20,157816.58,198108.25,26.12.2017,ИРД,3940.79,"12583,81296",50.271201967118266,25.530695190581376
5600373,71630000,19014,Тюменская область,20,65571.27,80724.54,27.07.2018,ИРД,768.69,"1002,27277",105.01572805682393,23.1096179775075
5600708,71630000,7541,Тюменская область,20,113409.87,138732.11,27.07.2018,ИРД,1180.0,"2997,62286",117.5695847457627,22.328074267257335
5600464,71630000,8058,Тюменская область,20,88576.09,107840.85,27.07.2018,ИРД,732.05,"1146,71782",147.31350317601257,21.749390834479154
5584613,71701000,32745,Тюменская область,20,256501.38,308267.0,21.12.2016,ИРД,5298.7,"16376,45655",58.17785494555268,20.1814196867089
5600571,71630000,47127,Тюменская область,20,22809.93,27336.47,27.07.2018,ИРД,315.83,"1386,56185",86.55438052116646,19.84460276730353
5596571,71703000,4988,Тюменская область,20,27265.98,32282.72,19.12.2018,ИРД,3974.8,"30,83931",8.121847640132836,18.399265311571433
5600960,71630000,55575,Тюменская область,20,59219.79,69303.12,27.07.2018,ИРД,770.0,"1102,10409",90.00405194805194,17.02696007533968
5600383,71630000,45599,Тюменская область,20,67224.51,77791.5,27.07.2018,ИРД,782.43,"839,71801",99.42295157394273,15.718954292117582
5574490,71701000,33578,Тюменская область,20,39802.97,46015.0,09.11.2018,ИРД,6049.6,"39,80297",7.606288019042581,15.60695093858573
5597391,71703000,5435,Тюменская область,20,118858.0,136247.68,27.12.2018,ИРД,3554.6,"255,86974",38.32996117706634,14.630634875229266
5600901,71630000,7543,Тюменская область,20,51775.18,58410.29,27.07.2018,ИРД,578.9,"57,04214",100.89875626187597,12.815233090449896
5581331,71701000,82424,Тюменская область,20,27250.33,30533.58,,ИРД,4053.0,"0,00000",7.533575129533679,12.048477945037739
5541426,71603000,16099,Тюменская область,20,34194.5,37649.94,,ИРД,506.3,"1660,55739",74.36290736717362,10.105250844434055
5566115,71701000,94623,Тюменская область,20,30645.0,33668.0,28.08.2018,ИРД,487.66,"30,64500",69.03990485174096,9.864578234622279
5570327,71701000,95880,Тюменская область,20,28182.88,30963.0,28.08.2018,ИРД,1148.4,"28,18288",26.961859979101355,9.864570263933281
5584457,71701000,32737,Тюменская область,20,249068.0,273587.0,06.02.2017,ИРД,1952.6,"5640,44334",140.11420669876063,9.844299548717617
5583727,71701000,96587,Тюменская область,20,187309.88,205218.64,05.07.2017,ИРД,3507.1,"6106,86808",58.515194890365265,9.561033299471443
