,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3265378,75738000,4797,Челябинская область,21,196.39,4181.0,28.06.2018,ИРД,470.7,"0,00000",8.882515402591885,2028.92713478283
3261602,75738000,20862,Челябинская область,20,4868.34,98337.66,28.06.2018,ИРД,1794.8,"1743,05500",54.79031646980165,1919.9423212018883
3267539,75738000,16677,Челябинская область,20,4204.54,82980.26,28.06.2018,ИРД,1399.0,"486,08900",59.31398141529664,1873.5871224914022
3261413,75738000,18370,Челябинская область,20,2683.41,51678.97,28.06.2018,ИРД,923.9,"226,80100",55.93567485658621,1825.8693229882872
3265376,75738000,4797,Челябинская область,21,102.58,1693.05,28.06.2018,ИРД,470.7,"0,00000",3.596876991714468,1550.4679274712419
3265391,75738000,4798,Челябинская область,21,261.1,4181.0,28.06.2018,ИРД,474.0,"0,00000",8.820675105485233,1501.3021830716198
3265392,75738000,4798,Челябинская область,21,158.09,1693.05,28.06.2018,ИРД,474.0,"0,00000",3.5718354430379744,970.9406034537288
3318834,75752000,24247,Челябинская область,20,6855.04,70853.0,25.05.2017,ИРД,479.3,"0,00000",147.82599624452325,933.5898842311643
3251221,75738000,19525,Челябинская область,21,449.32,4181.0,08.02.2018,ИРД,447.5,"0,00000",9.343016759776535,830.517226030446
3318836,75752000,24247,Челябинская область,21,1902.7,15732.82,,ИРД,479.3,"0,00000",32.824577508867094,726.8681347558733
3281803,75742000,9252,Челябинская область,20,12980.0,102774.3,28.06.2018,ИРД,1802.5,"0,00000",57.017642163661584,691.7896764252697
3251124,75738000,16347,Челябинская область,21,735.57,5814.27,01.02.2018,ИРД,456.5,"0,00000",12.736626506024097,690.4441453566621
3251218,75738000,19525,Челябинская область,21,229.38,1693.05,28.06.2018,ИРД,447.5,"0,00000",3.7833519553072623,638.0983520795187
3277185,75742000,2272,Челябинская область,20,18899.0,128981.98,28.06.2018,ИРД,2031.3,"0,00000",63.49725791365135,582.4804487009894
3247425,75738000,19077,Челябинская область,21,2465.79,14496.73,28.06.2018,ИРД,2714.52,"3708,22700",5.340439562058854,487.91421816131947
3336795,75701000,14343,Челябинская область,20,360.0,2030.74,28.06.2018,ИРД,4212.9,"6110,32400",0.4820290061477842,464.09444444444443
3390436,75701000,18867,Челябинская область,20,360.0,2030.74,28.06.2018,ИРД,2875.31,"3349,15200",0.7062681936904195,464.09444444444443
3390507,75701000,16046,Челябинская область,20,360.0,2030.74,28.06.2018,ИРД,2885.5,"2425,88100",0.7037740426269278,464.09444444444443
3336840,75701000,16379,Челябинская область,20,360.0,2030.74,28.06.2018,ИРД,3605.5,"4556,22600",0.5632339481347941,464.09444444444443
3390543,75701000,11008,Челябинская область,20,360.0,2030.74,28.06.2018,ИРД,4548.23,"3660,09100",0.446490173100305,464.09444444444443
3247420,75738000,19077,Челябинская область,21,2564.2,13709.6,12.04.2018,ИРД,2714.52,"3708,22700",5.050469327910644,434.6540831448405
3327271,75755000,19813,Челябинская область,21,1732.37,8188.47,19.03.2018,ИРД,1562.9,"2119,51600",5.2392795444366245,372.6744286728586
3286467,75742000,10392,Челябинская область,20,27251.0,128467.88,28.06.2018,ИРД,977.1,"0,00000",131.47874321973185,371.42446148765185
3267656,75738000,5504,Челябинская область,20,6476.4,30028.0,24.05.2017,ИРД,473.2,"0,00000",63.45731191885038,363.652646532024
3260334,75738000,17911,Челябинская область,21,547.67,2496.84,28.06.2018,ИРД,433.7,"0,00000",5.757067097071709,355.9022769185824
