,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6180827,77603000,253,Чукотский автономный округ,20,49950.0,49970.0,09.07.2017,ИРД,2152.5,"2189,08000",23.214866434378628,0.0400400400400347
6182659,77609000,758,Чукотский автономный округ,20,4335.0,4335.05,20.08.2017,ИРД,115.2,"52,02000",37.630642361111114,0.0011534025374793089
6182660,77609000,758,Чукотский автономный округ,20,17340.0,17340.17,20.08.2017,ИРД,115.2,"52,02000",150.52230902777777,0.0009803921568574125
6182656,77609000,758,Чукотский автономный округ,20,4335.0,4335.04,20.08.2017,ИРД,115.2,"52,02000",37.63055555555555,0.0009227220299834471
6182657,77609000,758,Чукотский автономный округ,20,4335.0,4335.04,20.08.2017,ИРД,115.2,"52,02000",37.63055555555555,0.0009227220299834471
6182658,77609000,758,Чукотский автономный округ,20,4335.0,4335.04,20.08.2017,ИРД,115.2,"52,02000",37.63055555555555,0.0009227220299834471
6182661,77609000,758,Чукотский автономный округ,20,17340.0,17340.16,20.08.2017,ИРД,115.2,"52,02000",150.5222222222222,0.0009227220299834471
6180502,77603000,177,Чукотский автономный округ,20,223410.0,223410.0,16.07.2017,ИРД,1708.7,"8080,60000",130.74852226839118,0.0
6185275,77615000,437,Чукотский автономный округ,20,115298.2,115298.2,15.05.2019,ИРД,943.4,"92,24000",122.21560313758745,0.0
6185301,77615000,444,Чукотский автономный округ,20,56409.7,56409.7,15.05.2019,ИРД,844.0,"90,26000",66.83613744075829,0.0
6185281,77615000,437,Чукотский автономный округ,20,57649.11,57649.11,15.05.2019,ИРД,943.4,"92,24000",61.10781216875133,0.0
6185279,77615000,437,Чукотский автономный округ,20,57649.1,57649.1,15.05.2019,ИРД,943.4,"92,24000",61.107801568793725,0.0
6185277,77615000,437,Чукотский автономный округ,20,115298.2,115298.2,15.05.2019,ИРД,943.4,"92,24000",122.21560313758745,0.0
6185274,77615000,437,Чукотский автономный округ,20,115298.2,115298.2,15.05.2019,ИРД,943.4,"92,24000",122.21560313758745,0.0
6185306,77615000,444,Чукотский автономный округ,20,112819.4,112819.4,15.05.2019,ИРД,844.0,"90,26000",133.67227488151659,0.0
6184846,77615000,456,Чукотский автономный округ,20,107764.66,107764.66,17.07.2016,ИРД,822.4,"3793,07000",131.03679474708173,0.0
6184843,77615000,456,Чукотский автономный округ,20,107764.67,107764.67,17.07.2016,ИРД,822.4,"3793,07000",131.0368069066148,0.0
6184839,77615000,456,Чукотский автономный округ,20,107764.67,107764.67,17.07.2016,ИРД,822.4,"3793,07000",131.0368069066148,0.0
6184729,77630000,879,Чукотский автономный округ,20,27003.08,27003.08,,ИРД,112.0,"0,00000",241.0989285714286,0.0
6184728,77630000,879,Чукотский автономный округ,20,27003.08,27003.08,,ИРД,112.0,"0,00000",241.0989285714286,0.0
