,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5173285,32716000,3271600590,Кемеровская область,3,267461.0,391952.57,31.12.2016,Инженерные системы,709.2,,552.6685984207558,46.54569077360813
5176554,32719000,32719000650,Кемеровская область,5,262774.12,327187.38,21.10.2016,Инженерные системы,6440.5,,50.80154956913283,24.512786875663405
5202866,32643000,32643000064,Кемеровская область,5,123748.04,148026.42,16.10.2015,Инженерные системы,779.7,,189.85048095421317,19.619203665771213
5202278,32749000,3274900034,Кемеровская область,3,1019786.38,1154465.98,31.08.2016,Инженерные системы,5207.4,,221.69719629757654,13.206648239408736
5202380,32749000,3274900237,Кемеровская область,3,428663.4,434304.9,04.08.2016,Инженерные системы,2499.4,,173.763663279187,1.31606757189906
5170070,32701000,32701002409,Кемеровская область,3,503375.81,503512.57,10.11.2015,Инженерные системы,595.7,,845.2452073191203,0.02716856815190294
5202274,32749000,9000000084,Кемеровская область,4,1075697.4,1075697.44,29.07.2016,Инженерные системы,8840.5,,121.67834850969967,3.718517871398319e-06
5202297,32749000,3274900091,Кемеровская область,4,1075697.4,1075697.44,25.08.2016,Инженерные системы,8725.6,,123.28062712019802,3.718517871398319e-06
5198318,32622000,32622000001,Кемеровская область,4,10516.92,10516.92,20.09.2016,Инженерные системы,765.3,,13.742218737749903,0.0
5181946,32731000,32731000304,Кемеровская область,4,1313101.4,1313101.4,,Инженерные системы,2658.1,,494.0,0.0
5201956,32631000,3263100230,Кемеровская область,3,2466125.49,2466125.49,31.12.2016,Инженерные системы,3493.46,,705.9263566779068,0.0
5200999,32628000,32628000001,Кемеровская область,4,450000.0,450000.0,15.11.2018,Инженерные системы,923.0,,487.5406283856988,0.0
5200942,32628000,3262800037,Кемеровская область,4,131970.47,131970.47,30.08.2016,Инженерные системы,767.0,,172.06058670143415,0.0
5185561,32731000,32731001325,Кемеровская область,3,594975.87,594975.87,23.09.2015,Инженерные системы,1563.7,,380.49233868389075,0.0
5185562,32731000,32731001325,Кемеровская область,4,264386.98,264386.98,23.09.2015,Инженерные системы,1563.7,,169.0778154377438,0.0
5185607,32731000,32731001335,Кемеровская область,4,822559.4,822559.4,28.11.2015,Инженерные системы,1511.0,,544.3808074123098,0.0
5202056,32634000,3263400028,Кемеровская область,4,242267.46,242267.46,31.12.2016,Инженерные системы,318.85,,759.816402697193,0.0
5185611,32731000,3273101289,Кемеровская область,5,85054.84,85054.84,24.10.2016,Инженерные системы,1844.1,,46.1226831516729,0.0
5185630,32731000,3273101264,Кемеровская область,4,249181.85,249181.85,24.10.2016,Инженерные системы,4487.0,,55.53417650991754,0.0
5185631,32731000,3273101264,Кемеровская область,3,1193425.47,1193425.47,24.10.2016,Инженерные системы,4487.0,,265.97402941831956,0.0
5185646,32731000,3273101291,Кемеровская область,3,488621.15,488621.15,24.10.2016,Инженерные системы,2217.4,,220.35769369531883,0.0
5185657,32731000,32731000014,Кемеровская область,4,145500.0,145500.0,29.12.2018,Инженерные системы,1577.8,,92.21701102801369,0.0
5185674,32731000,32731001347,Кемеровская область,4,276628.07,276628.07,23.09.2015,Инженерные системы,1905.0,,145.21158530183726,0.0
5185681,32731000,32731001347,Кемеровская область,3,674340.12,674340.12,23.09.2015,Инженерные системы,1905.0,,353.98431496062994,0.0
5185715,32731000,32731001354,Кемеровская область,4,495123.88,495123.88,23.09.2015,Инженерные системы,3599.0,,137.57262572936926,0.0
5185762,32731000,32731001364,Кемеровская область,3,956560.8,956560.8,31.10.2015,Инженерные системы,1510.2,,633.4000794596742,0.0
5202054,32634000,3263400028,Кемеровская область,5,58204.22,58204.22,31.12.2016,Инженерные системы,318.85,,182.54420573937588,0.0
5202129,32634000,9000000087,Кемеровская область,3,1280000.0,1280000.0,29.09.2016,Инженерные системы,1170.0,,1094.017094017094,0.0
5202057,32634000,3263400028,Кемеровская область,3,68873.14,68873.14,31.12.2016,Инженерные системы,318.85,,216.00482985729965,0.0
5176324,32719000,32719000584,Кемеровская область,4,833190.98,833190.98,,Инженерные системы,3634.5,,229.24500756637775,0.0
5175206,32719000,3271900069,Кемеровская область,3,550737.56,550737.56,31.12.2016,Инженерные системы,2452.3,,224.58001060229174,0.0
5175425,32719000,3271900301,Кемеровская область,4,588977.79,588977.79,31.10.2016,Инженерные системы,3549.4,,165.93728235758158,0.0
5175428,32719000,3271900301,Кемеровская область,3,785813.71,785813.71,31.10.2016,Инженерные системы,3549.4,,221.3933932495633,0.0
5175433,32719000,3271900301,Кемеровская область,5,325208.5,325208.5,31.10.2016,Инженерные системы,3549.4,,91.62351383332394,0.0
5175547,32719000,3271900332,Кемеровская область,3,756779.38,756779.38,31.10.2016,Инженерные системы,4415.0,,171.41095809739525,0.0
5175551,32719000,3271900332,Кемеровская область,5,182255.9,182255.9,31.10.2016,Инженерные системы,4415.0,,41.28106455266138,0.0
5175552,32719000,3271900332,Кемеровская область,4,458386.41,458386.41,31.10.2016,Инженерные системы,4415.0,,103.82478142695356,0.0
5176323,32719000,32719000584,Кемеровская область,3,1433301.58,1433301.58,,Инженерные системы,3634.5,,394.36004402256157,0.0
5176325,32719000,32719000584,Кемеровская область,5,414807.56,414807.56,,Инженерные системы,3634.5,,114.13057091759526,0.0
5200941,32628000,3262800037,Кемеровская область,5,84528.89,84528.89,30.08.2016,Инженерные системы,767.0,,110.20715775749674,0.0
5198321,32622000,32622000002,Кемеровская область,4,10516.92,10516.92,20.09.2016,Инженерные системы,685.7,,15.337494531136064,0.0
5198319,32622000,32622000001,Кемеровская область,5,10516.92,10516.92,20.09.2016,Инженерные системы,765.3,,13.742218737749903,0.0
5176561,32719000,32719000650,Кемеровская область,3,1934332.88,1934332.88,21.10.2016,Инженерные системы,6440.5,,300.33893020728203,0.0
5177121,32616000,3261600129,Кемеровская область,4,399044.98,399044.98,30.10.2016,Инженерные системы,2834.0,,140.8062738179252,0.0
5177122,32616000,3261600129,Кемеровская область,3,1331895.13,1331895.13,30.10.2016,Инженерные системы,2834.0,,469.9700529287226,0.0
5177124,32616000,3261600129,Кемеровская область,5,159059.89,159059.89,30.10.2016,Инженерные системы,2834.0,,56.125578687367685,0.0
5202271,32749000,9000000084,Кемеровская область,3,2831366.34,2831366.34,29.07.2016,Инженерные системы,8840.5,,320.27219501159436,0.0
5156306,32704000,9000000003,Кемеровская область,3,960097.56,960097.56,29.12.2018,Инженерные системы,2007.3,,478.3029741443731,0.0
5185763,32731000,32731001364,Кемеровская область,4,319994.4,319994.4,31.10.2015,Инженерные системы,1510.2,,211.88875645609855,0.0
5186466,32731000,32731000018,Кемеровская область,4,250000.0,250000.0,29.12.2018,Инженерные системы,2503.4,,99.86418470879603,0.0
5199740,32627000,32627000003,Кемеровская область,4,439545.0,439545.0,08.05.2018,Инженерные системы,4815.6,,91.27523050087215,0.0
5193151,32732000,32732000078,Кемеровская область,4,485134.11,485134.11,24.12.2018,Инженерные системы,4039.0,,120.11243129487497,0.0
5191282,32731000,32731002772,Кемеровская область,3,622088.0,622088.0,14.11.2015,Инженерные системы,1881.8,,330.581358273993,0.0
5191283,32731000,32731002772,Кемеровская область,4,384995.5,384995.5,14.11.2015,Инженерные системы,1881.8,,204.58895738123073,0.0
5192897,32732000,32732000012,Кемеровская область,4,739869.44,739869.44,29.12.2018,Инженерные системы,4384.9,,168.731200255422,0.0
5192898,32732000,32732000012,Кемеровская область,3,1735325.53,1735325.53,29.12.2018,Инженерные системы,4384.9,,395.7503090150289,0.0
5192899,32732000,32732000012,Кемеровская область,5,259273.8,259273.8,29.12.2018,Инженерные системы,4384.9,,59.12878286848047,0.0
5193014,32732000,3273200037,Кемеровская область,3,395222.0,395222.0,05.10.2016,Инженерные системы,381.0,,1037.3280839895012,0.0
5193143,32732000,32732000078,Кемеровская область,5,158477.1,158477.1,24.12.2018,Инженерные системы,4039.0,,39.236717009160685,0.0
5193150,32732000,32732000078,Кемеровская область,3,972686.58,972686.58,24.12.2018,Инженерные системы,4039.0,,240.82361475612774,0.0
5193403,32732000,3273200142,Кемеровская область,3,647185.6,647185.6,05.10.2016,Инженерные системы,3232.8,,200.19351645632267,0.0
5191242,32731000,32731002764,Кемеровская область,3,652125.0,652125.0,31.10.2015,Инженерные системы,2478.7,,263.09153992011943,0.0
5193404,32732000,3273200142,Кемеровская область,4,242504.4,242504.4,05.10.2016,Инженерные системы,3232.8,,75.01373422420193,0.0
5193405,32732000,3273200142,Кемеровская область,5,161499.0,161499.0,05.10.2016,Инженерные системы,3232.8,,49.95638455827765,0.0
5193979,32737000,3273700201,Кемеровская область,5,142238.0,142238.0,30.12.2016,Инженерные системы,3845.0,,36.99297789336801,0.0
5193980,32737000,3273700201,Кемеровская область,3,1927897.0,1927897.0,30.12.2016,Инженерные системы,3845.0,,501.4036410923277,0.0
5195689,32737000,3273700612,Кемеровская область,3,424446.49,424446.49,11.11.2016,Инженерные системы,1271.0,,333.94688434303697,0.0
5195693,32737000,3273700612,Кемеровская область,5,74662.88,74662.88,11.11.2016,Инженерные системы,1271.0,,58.74341463414635,0.0
5199943,32627000,3262700090,Кемеровская область,3,933652.47,933652.47,17.08.2016,Инженерные системы,9210.1,,101.37267456379409,0.0
5199913,32627000,32627000091,Кемеровская область,3,1100450.0,1100450.0,30.08.2019,Инженерные системы,3057.4,,359.93000588735526,0.0
5191253,32731000,3273102744,Кемеровская область,3,556015.49,556015.49,,Инженерные системы,1863.8,,298.32358085631506,0.0
