,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5935748,87608000,8760800001524,Республика Коми,3,1723494.0,1723494.0,,Инженерные системы,3517.2,,490.0187649266462,0.0
5936506,87608000,8760800001390,Республика Коми,4,532211.16,532211.16,,Инженерные системы,1303.8,,408.20000000000005,0.0
5936507,87608000,8760800001390,Республика Коми,3,532211.16,532211.16,,Инженерные системы,1303.8,,408.20000000000005,0.0
5936869,87608000,8760800001407,Республика Коми,3,501804.0,501804.0,,Инженерные системы,403.7,,1243.0121377260343,0.0
5949434,87636000,8763600005165,Республика Коми,2,108103.0,108103.0,,Инженерные системы,453.2,"111698,00000",238.53265666372462,0.0
5949435,87636000,8763600005165,Республика Коми,4,342447.0,342447.0,,Инженерные системы,453.2,"111698,00000",755.6200353045014,0.0
5950105,87636000,8763600005161,Республика Коми,2,241113.37,241113.37,,Инженерные системы,719.6,"4473782,52000",335.06582823790995,0.0
5899374,87715000,8771500001025,Республика Коми,3,,,,Инженерные системы,,,,
5899377,87715000,8771500001025,Республика Коми,5,,,,Инженерные системы,,,,
5899378,87715000,8771500001025,Республика Коми,54,,,,Инженерные системы,,,,
5899382,87715000,8771500001025,Республика Коми,53,,,,Инженерные системы,,,,
5899383,87715000,8771500001026,Республика Коми,53,,,,Инженерные системы,,,,
5899384,87715000,8771500001026,Республика Коми,54,,,,Инженерные системы,,,,
5899389,87715000,8771500001026,Республика Коми,5,,,,Инженерные системы,,,,
5899391,87715000,8771500001026,Республика Коми,3,,,,Инженерные системы,,,,
5899394,87715000,8771500001024,Республика Коми,53,,,,Инженерные системы,,,,
5899395,87715000,8771500001024,Республика Коми,5,,,,Инженерные системы,,,,
5899396,87715000,8771500001024,Республика Коми,54,,,,Инженерные системы,,,,
5899401,87715000,8771500001027,Республика Коми,5,,,,Инженерные системы,,,,
5899402,87715000,8771500001027,Республика Коми,54,,,,Инженерные системы,,,,
5899403,87715000,8771500001027,Республика Коми,53,,,,Инженерные системы,,,,
5899405,87715000,8771500001027,Республика Коми,3,,,,Инженерные системы,,,,
5899407,87715000,8771500001028,Республика Коми,3,,,,Инженерные системы,,,,
5899408,87715000,8771500001028,Республика Коми,53,,,,Инженерные системы,,,,
5899409,87715000,8771500001028,Республика Коми,5,,,,Инженерные системы,,,,
5899410,87715000,8771500001028,Республика Коми,54,,,,Инженерные системы,,,,
5899415,87715000,8771500001029,Республика Коми,5,,,,Инженерные системы,,,,
5899416,87715000,8771500001029,Республика Коми,53,,,,Инженерные системы,,,,
5899421,87715000,8771500001029,Республика Коми,54,,,,Инженерные системы,,,,
5899422,87715000,8771500001029,Республика Коми,3,,,,Инженерные системы,,,,
5899424,87715000,8771500001030,Республика Коми,3,,,,Инженерные системы,,,,
5899425,87715000,8771500001030,Республика Коми,53,,,,Инженерные системы,,,,
5899426,87715000,8771500001030,Республика Коми,54,,,,Инженерные системы,,,,
5899427,87715000,8771500001030,Республика Коми,5,,,,Инженерные системы,,,,
5899434,87715000,8771500001031,Республика Коми,3,,,,Инженерные системы,,,,
5899435,87715000,8771500001031,Республика Коми,53,,,,Инженерные системы,,,,
5899436,87715000,8771500001031,Республика Коми,54,,,,Инженерные системы,,,,
5899437,87715000,8771500001031,Республика Коми,5,,,,Инженерные системы,,,,
5899439,87715000,8771500001032,Республика Коми,3,,,,Инженерные системы,,,,
5899443,87715000,8771500001032,Республика Коми,5,,,,Инженерные системы,,,,
5899444,87715000,8771500001032,Республика Коми,54,,,,Инженерные системы,,,,
5899446,87715000,8771500001032,Республика Коми,53,,,,Инженерные системы,,,,
5899448,87715000,8771500001033,Республика Коми,53,,,,Инженерные системы,,,,
5899449,87715000,8771500001033,Республика Коми,54,,,,Инженерные системы,,,,
5899450,87715000,8771500001033,Республика Коми,5,,,,Инженерные системы,,,,
5899454,87715000,8771500001033,Республика Коми,3,,,,Инженерные системы,,,,
5899459,87715000,8771500001035,Республика Коми,5,,,,Инженерные системы,1184.9,,,
5899460,87715000,8771500001035,Республика Коми,54,,,,Инженерные системы,1184.9,,,
5899461,87715000,8771500001035,Республика Коми,53,,,,Инженерные системы,1184.9,,,
5899462,87715000,8771500001035,Республика Коми,3,,,,Инженерные системы,1184.9,,,
5899465,87715000,8771500001036,Республика Коми,54,,,,Инженерные системы,636.6,,,
5899466,87715000,8771500001036,Республика Коми,53,,,,Инженерные системы,636.6,,,
5899467,87715000,8771500001036,Республика Коми,3,,,,Инженерные системы,636.6,,,
5899470,87715000,8771500001036,Республика Коми,5,,,,Инженерные системы,636.6,,,
5899473,87715000,8771500001037,Республика Коми,3,,,,Инженерные системы,848.8,,,
5899474,87715000,8771500001037,Республика Коми,53,,,,Инженерные системы,848.8,,,
5899475,87715000,8771500001037,Республика Коми,54,,,,Инженерные системы,848.8,,,
5899476,87715000,8771500001037,Республика Коми,5,,,,Инженерные системы,848.8,,,
5899479,87715000,8771500001034,Республика Коми,3,,,,Инженерные системы,570.3,"0,00000",,
5899482,87715000,8771500001034,Республика Коми,5,,,,Инженерные системы,570.3,"0,00000",,
5899484,87715000,8771500001034,Республика Коми,54,,,,Инженерные системы,570.3,"0,00000",,
5899485,87715000,8771500001034,Республика Коми,53,,,,Инженерные системы,570.3,"0,00000",,
5899487,87715000,8771500001038,Республика Коми,53,,,,Инженерные системы,,,,
5899492,87715000,8771500001038,Республика Коми,5,,,,Инженерные системы,,,,
5899493,87715000,8771500001038,Республика Коми,54,,,,Инженерные системы,,,,
5899494,87715000,8771500001038,Республика Коми,3,,,,Инженерные системы,,,,
5899496,87715000,8771500001048,Республика Коми,3,,,,Инженерные системы,,,,
5899499,87715000,8771500001048,Республика Коми,5,,,,Инженерные системы,,,,
5899501,87715000,8771500001048,Республика Коми,54,,,,Инженерные системы,,,,
5899502,87715000,8771500001048,Республика Коми,53,,,,Инженерные системы,,,,
5899505,87715000,8771500001039,Республика Коми,5,,,,Инженерные системы,,,,
5899506,87715000,8771500001039,Республика Коми,54,,,,Инженерные системы,,,,
5899507,87715000,8771500001039,Республика Коми,53,,,,Инженерные системы,,,,
5899508,87715000,8771500001039,Республика Коми,3,,,,Инженерные системы,,,,
5899515,87715000,8771500001040,Республика Коми,5,,,,Инженерные системы,,,,
5899520,87715000,8771500001040,Республика Коми,3,,,,Инженерные системы,,,,
5899521,87715000,8771500001040,Республика Коми,53,,,,Инженерные системы,,,,
5899522,87715000,8771500001040,Республика Коми,54,,,,Инженерные системы,,,,
5899524,87715000,8771500001041,Республика Коми,3,,,,Инженерные системы,,,,
5899526,87715000,8771500001041,Республика Коми,54,,,,Инженерные системы,,,,
5899527,87715000,8771500001041,Республика Коми,53,,,,Инженерные системы,,,,
5899528,87715000,8771500001041,Республика Коми,5,,,,Инженерные системы,,,,
5899532,87715000,8771500001042,Республика Коми,53,,,,Инженерные системы,,,,
5899533,87715000,8771500001042,Республика Коми,3,,,,Инженерные системы,,,,
5899539,87715000,8771500001042,Республика Коми,5,,,,Инженерные системы,,,,
5899540,87715000,8771500001042,Республика Коми,54,,,,Инженерные системы,,,,
5899541,87715000,8771500001043,Республика Коми,3,,,,Инженерные системы,,,,
5899542,87715000,8771500001043,Республика Коми,54,,,,Инженерные системы,,,,
5899544,87715000,8771500001043,Республика Коми,5,,,,Инженерные системы,,,,
