,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3054251,88620000,1205000039,Республика Марий Эл,12,79679.0,664557.3,13.07.2018,Инженерные системы,517.0,,1285.4106382978725,734.0432234340291
3051245,88701000,1215001142,Республика Марий Эл,12,680000.0,4253046.0,08.06.2016,Инженерные системы,4597.3,,925.1182215648315,525.4479411764705
3048867,88701000,1215000283,Республика Марий Эл,12,1135500.0,4415314.0,04.06.2016,Инженерные системы,2556.7,,1726.9581882895923,288.843152796125
3056000,88632000,1208000042,Республика Марий Эл,12,165528.0,620538.94,28.05.2018,Инженерные системы,738.2,,840.6108642644268,274.88457541926437
3056028,88632000,1208000052,Республика Марий Эл,12,135720.0,465213.87,29.05.2018,Инженерные системы,381.7,,1218.7945244956773,242.77473474801062
3055972,88632000,1208000031,Республика Марий Эл,12,580088.0,1953324.0,08.11.2018,Инженерные системы,1392.6,,1402.6454114605774,236.72891009639918
3052795,88701000,1215001714,Республика Марий Эл,12,1386960.0,4182492.0,20.09.2016,Инженерные системы,5904.8,,708.3206882536241,201.55822806713965
3051279,88701000,1215001154,Республика Марий Эл,12,581200.0,1741767.0,26.09.2016,Инженерные системы,2356.2,,739.2271454036161,199.68461803165863
3056925,88648000,1212000042,Республика Марий Эл,12,130000.0,350895.82,02.09.2016,Инженерные системы,218.0,,1609.6138532110092,169.91986153846153
3054279,88620000,1205000050,Республика Марий Эл,12,316400.0,849640.0,10.06.2016,Инженерные системы,730.7,,1162.7754208293416,168.53350189633375
3050507,88701000,1215000878,Республика Марий Эл,12,1500000.0,3738804.42,01.08.2017,Инженерные системы,4199.1,,890.3823247838822,149.253628
3050217,88701000,1215000780,Республика Марий Эл,12,1500000.0,3667986.53,26.10.2016,Инженерные системы,4107.1,,893.0843003579166,144.5324353333333
3056185,88636000,1209000031,Республика Марий Эл,12,509119.0,1048790.0,21.05.2016,Инженерные системы,715.2,,1466.4289709172258,106.00095459018424
3048298,88701000,1215000101,Республика Марий Эл,12,3000000.0,6157176.78,16.01.2017,Инженерные системы,18404.5,,334.5473541796843,105.239226
3049816,88701000,1215000636,Республика Марий Эл,12,3126200.0,6107486.43,19.07.2016,Инженерные системы,4321.6,,1413.246582284339,95.36454577442261
3052247,88701000,1215001501,Республика Марий Эл,12,3080000.0,5905146.92,16.08.2017,Инженерные системы,5889.6,,1002.639724259712,91.72554935064935
3048813,88701000,1215000267,Республика Марий Эл,12,2618100.0,4975220.0,06.10.2016,Инженерные системы,5366.1,,927.157525949945,90.03170237958824
3056744,88644000,1211000045,Республика Марий Эл,12,1080000.0,1990896.85,14.06.2018,Инженерные системы,1372.2,,1450.8795000728758,84.34230092592594
3056167,88636000,1209000026,Республика Марий Эл,12,552143.0,921513.0,21.05.2016,Инженерные системы,713.4,,1291.7199327165686,66.8975247354399
3054627,88624000,1206000105,Республика Марий Эл,12,200000.0,329878.0,21.05.2018,Инженерные системы,645.6,,510.9634448574969,64.939
3046896,88604000,1201000048,Республика Марий Эл,12,900000.0,1436050.16,26.06.2017,Инженерные системы,944.9,,1519.7906233463857,59.561128888888874
3048787,88701000,1215000255,Республика Марий Эл,30,293409.55,462873.0,10.10.2018,Инженерные системы,6206.1,,74.58355488954416,57.75662380450808
3052054,88701000,1215001431,Республика Марий Эл,30,160000.0,249585.0,19.09.2016,Инженерные системы,2844.2,,87.75226777301175,55.99062500000001
3049229,88701000,1215000415,Республика Марий Эл,12,370000.0,572848.0,08.08.2016,Инженерные системы,289.0,,1982.1730103806228,54.82378378378379
3050700,88701000,1215000953,Республика Марий Эл,12,2290000.0,3502811.0,22.09.2016,Инженерные системы,4380.8,,799.582496347699,52.96117903930131
3049241,88701000,1215000419,Республика Марий Эл,12,1812100.0,2701442.0,08.06.2016,Инженерные системы,2573.5,,1049.7151738877017,49.0779758291485
