,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1517563,89651000,8965100035087,Республика Мордовия,5,154800.0,339047.0,,Инженерные системы,962.4,"0,00000",352.29322527015796,119.02260981912143
1511156,89701000,89701000148068,Республика Мордовия,3,2001570.0,3736556.73,28.06.2017,Инженерные системы,6410.4,"0,00000",582.8897931486335,86.68129168602647
1498487,89643000,89643000202651,Республика Мордовия,5,411797.0,601717.0,30.05.2019,Инженерные системы,3294.3,"0,00000",182.6539780833561,46.11981146050117
1498485,89643000,89643000204647,Республика Мордовия,3,1120797.0,1334086.0,20.08.2019,Инженерные системы,1762.36,"0,00000",756.9883565219366,19.03011874585674
1498484,89643000,89643000204647,Республика Мордовия,5,369609.0,404458.0,29.04.2019,Инженерные системы,1762.36,"0,00000",229.49794593613112,9.428612398507607
1495223,89637000,89637000185954,Республика Мордовия,4,343673.0,358572.0,29.04.2019,Инженерные системы,2703.0,"0,00000",132.65704772475027,4.33522563599702
1499813,89643000,89643000186209,Республика Мордовия,5,267760.0,276905.0,29.04.2019,Инженерные системы,879.0,"0,00000",315.02275312855517,3.415371974902892
1508989,89701000,89701000205110,Республика Мордовия,3,808547.52,808547.52,01.11.2017,Инженерные системы,,"0,00000",,0.0
1508823,89701000,8970100022648,Республика Мордовия,31,812901.0,812901.0,21.12.2017,Инженерные системы,7271.3,"0,00000",111.79582743113336,0.0
1508828,89701000,8970100074799,Республика Мордовия,31,826901.0,826901.0,21.12.2017,Инженерные системы,7035.6,"0,00000",117.53098527488771,0.0
1508865,89701000,89701000153850,Республика Мордовия,31,428403.0,428403.0,21.12.2017,Инженерные системы,4825.96,"0,00000",88.77052441379539,0.0
1508893,89701000,8970100087920,Республика Мордовия,4,310636.0,310636.0,31.07.2018,Инженерные системы,112.9,"0,00000",2751.426040744021,0.0
1508895,89701000,8970100087920,Республика Мордовия,31,226012.0,226012.0,31.07.2018,Инженерные системы,112.9,"0,00000",2001.8777679362267,0.0
1509227,89701000,8970100034721,Республика Мордовия,31,175284.0,175284.0,10.12.2018,Инженерные системы,3562.4,"0,00000",49.20390747810465,0.0
1509128,89701000,89701000203970,Республика Мордовия,4,389366.0,389366.0,30.10.2018,Инженерные системы,6554.4,"0,00000",59.40528499938973,0.0
1509135,89701000,89701000203970,Республика Мордовия,31,160742.0,160742.0,10.12.2018,Инженерные системы,6554.4,"0,00000",24.52428902721836,0.0
1508791,89701000,8970100069131,Республика Мордовия,4,2071316.0,2071316.0,11.08.2016,Инженерные системы,11979.5,"0,00000",172.90504612045578,0.0
1509437,89701000,89701000204778,Республика Мордовия,3,198951.0,198951.0,28.02.2018,Инженерные системы,12455.0,"0,00000",15.973584905660378,0.0
1509582,89701000,89701000192249,Республика Мордовия,31,392381.0,392381.0,21.12.2017,Инженерные системы,4588.31,"0,00000",85.51754349640717,0.0
1509586,89701000,89701000164393,Республика Мордовия,3,407461.92,407461.92,01.10.2016,Инженерные системы,4552.16,"0,00000",89.50957787072511,0.0
1487805,89603000,89603000184735,Республика Мордовия,4,157696.01,157696.01,05.12.2014,Инженерные системы,799.0,"0,00000",197.36672090112643,0.0
1508787,89701000,89701000106648,Республика Мордовия,3,1711207.0,1711207.0,29.09.2017,Инженерные системы,7089.36,"0,00000",241.37679564869043,0.0
1508790,89701000,8970100069131,Республика Мордовия,4,1485151.0,1485151.0,11.08.2016,Инженерные системы,11979.5,"0,00000",123.97437288701532,0.0
1508788,89701000,8970100069131,Республика Мордовия,31,1012182.0,1012182.0,21.12.2017,Инженерные системы,11979.5,"0,00000",84.49284193831129,0.0
1509591,89701000,89701000164393,Республика Мордовия,4,178906.0,178906.0,01.11.2017,Инженерные системы,4552.16,"0,00000",39.301342659308986,0.0
