,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1543318,98701000,2193,Республика Саха (Якутия),2,26000.72,342176.68,29.12.2018,Инженерные системы,3182.6,"9385,40000",107.5148243574436,1216.0277100018768
1556510,98631000,4439,Республика Саха (Якутия),5,105979.46,273654.97,26.11.2016,Инженерные системы,524.8,"2649,59000",521.4462080792683,158.21510130359218
1544454,98701000,1388,Республика Саха (Якутия),3,478661.4,1137032.67,,Инженерные системы,672.9,"0,00000",1689.7498439589835,137.54425779893674
1576729,98644000,6975,Республика Саха (Якутия),5,380371.22,878444.78,28.11.2018,Инженерные системы,2576.4,"2880,54000",340.9582285359416,130.94407090000132
1576678,98644000,6969,Республика Саха (Якутия),5,571819.66,1320478.01,,Инженерные системы,3194.1,"1320,48000",413.41160577314423,130.92560511123384
1576740,98644000,6976,Республика Саха (Якутия),5,504128.37,1116182.69,28.11.2018,Инженерные системы,2944.2,"3948,09000",379.11238706609606,121.40842619113062
1546379,98701000,1785,Республика Саха (Якутия),5,618628.9,1349849.1,20.09.2018,Инженерные системы,3493.2,"8025,00000",386.4219340432841,118.20013581648064
1555620,98618000,1200,Республика Саха (Якутия),3,695095.62,1370334.35,25.09.2018,Инженерные системы,898.8,"2202,29000",1524.626557632399,97.14328655962473
1549079,98701000,2271,Республика Саха (Якутия),4,714179.32,1385664.69,01.10.2018,Инженерные системы,3935.6,"5525,62000",352.08473676186605,94.02195655847329
1549042,98701000,2261,Республика Саха (Якутия),5,526511.28,1007361.02,28.12.2018,Инженерные системы,2989.2,"4061,69000",337.00020741335476,91.32752863338465
1547977,98701000,2079,Республика Саха (Якутия),5,374173.16,698432.89,20.11.2018,Инженерные системы,2192.6,"7078,77000",318.54095138192105,86.66033929317646
1568026,98603000,589,Республика Саха (Якутия),3,414409.82,741890.21,03.10.2018,Инженерные системы,815.23,"1281,43000",910.0379156802375,79.0233180285158
1545718,98701000,1686,Республика Саха (Якутия),5,410385.3,725105.36,10.12.2018,Инженерные системы,2354.6,"6212,14000",307.9526713666865,76.68892136243673
1546346,98701000,1782,Республика Саха (Якутия),5,332516.39,565319.14,22.06.2018,Инженерные системы,1699.7,"7575,32000",332.59936459375183,70.01241352343564
1544110,98701000,3093,Республика Саха (Якутия),3,466516.26,777808.99,,Инженерные системы,679.4,"0,00000",1144.846909037386,66.72709114147489
1546394,98701000,1788,Республика Саха (Якутия),4,700159.75,1120329.08,,Инженерные системы,1774.6,"1461,00000",631.3135805251889,60.01049474780578
1568021,98603000,589,Республика Саха (Якутия),5,130115.86,207366.13,18.10.2018,Инженерные системы,815.23,"1281,43000",254.36518528513426,59.370371913154955
1568084,98603000,594,Республика Саха (Якутия),5,138978.65,194384.25,06.10.2018,Инженерные системы,643.32,"1205,93000",302.15794627867933,39.86626722881537
1544453,98701000,1388,Республика Саха (Якутия),4,334459.98,463994.11,,Инженерные системы,672.9,"0,00000",689.5439292614059,38.72933616751397
1546595,98701000,1822,Республика Саха (Якутия),4,2601279.12,3561859.31,30.09.2018,Инженерные системы,6647.0,"10049,62000",535.8596825635625,36.927224864665796
1568152,98603000,601,Республика Саха (Якутия),5,151446.25,207366.13,21.10.2018,Инженерные системы,818.79,"1269,31000",253.2592361899877,36.92391194895879
1568086,98603000,594,Республика Саха (Якутия),4,309297.08,408927.93,06.10.2018,Инженерные системы,643.32,"1205,93000",635.65244357396,32.21202411610222
1545776,98701000,1702,Республика Саха (Якутия),5,483978.64,627998.78,,Инженерные системы,3331.95,"563,86000",188.47785230870812,29.75754053939239
1568119,98603000,597,Республика Саха (Якутия),3,456917.96,589323.96,03.10.2018,Инженерные системы,848.81,"1079,38000",694.2943179274514,28.978068623084962
