,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1860663,70724000,217204,Тульская область,4,1416.76,66030.9,29.12.2017,Инженерные системы,1298.3,,50.85950858815374,4560.6976481549445
1861225,70724000,214007,Тульская область,4,2438.19,69827.17,29.12.2017,Инженерные системы,757.8,,92.14458960147796,2763.8937080375194
1860920,70724000,215756,Тульская область,4,3707.77,69827.17,08.11.2017,Инженерные системы,794.7,,87.86607524852145,1783.2659523109576
1860739,70724000,215120,Тульская область,4,12011.24,144554.22,29.12.2017,Инженерные системы,1931.0,,74.85977213878819,1103.4912298813445
1860634,70724000,215752,Тульская область,5,18291.57,129407.53,29.12.2017,Инженерные системы,753.3,,171.7875082968273,607.4708731945918
1838771,70604000,107223,Тульская область,3,385131.6,2341638.82,01.10.2017,Инженерные системы,629.3,"7,77000",3721.0214841887814,508.0100464360753
1860672,70724000,217607,Тульская область,4,9451.28,51813.38,29.12.2018,Инженерные системы,757.5,,68.40050165016501,448.2154798080259
1861176,70724000,215072,Тульская область,5,63782.93,333152.08,29.12.2017,Инженерные системы,623.2,"2518,77000",534.5829268292683,422.3216932806316
1891926,70638000,15681,Тульская область,4,21608.5,80263.97,29.12.2017,Инженерные системы,409.1,"1491,44000",196.19645563431922,271.44628271282136
1840623,70608000,21377,Тульская область,3,159670.8,587143.66,25.10.2016,Инженерные системы,260.9,"803,43000",2250.454810272135,267.72137422747306
1886475,70628000,96061,Тульская область,3,392282.77,1357406.86,01.10.2015,Инженерные системы,1264.6,"1486,12000",1073.3883125098846,246.02765245080738
1861305,70724000,215954,Тульская область,4,44615.68,136193.91,15.11.2017,Инженерные системы,974.6,,139.74339216088651,205.2601910359766
1846512,70706000,3934,Тульская область,5,86697.11,235888.18,31.07.2017,Инженерные системы,381.3,,618.6419617099397,172.08309481134953
1904014,70648000,55152,Тульская область,3,230479.2,613938.33,15.06.2016,Инженерные системы,376.6,"1481,74000",1630.213303239511,166.37472275155415
1882583,70622000,94642,Тульская область,5,45914.28,115583.82,01.10.2016,Инженерные системы,316.8,"1152,96000",364.84791666666666,151.73828273034013
1888458,70628000,97912,Тульская область,3,259243.2,630880.51,14.07.2016,Инженерные системы,423.2,"1880,68000",1490.7384451795842,143.3546993710925
1860718,70724000,214261,Тульская область,4,28699.48,69827.17,29.12.2017,Инженерные системы,766.2,,91.13439049856433,143.30465220972647
1882837,70622000,28011,Тульская область,5,58660.2,132153.3,01.10.2016,Инженерные системы,405.2,"1429,44000",326.143385982231,125.28613949492157
1842778,70612000,38441,Тульская область,3,263054.76,580000.0,14.06.2018,Инженерные системы,3677.2,,157.72870662460568,120.48641127041381
1881921,70618000,110928,Тульская область,3,148602.17,322651.27,06.10.2016,Инженерные системы,224.2,"1474,22000",1439.1225245316682,117.12419811904495
1891326,70730000,14922,Тульская область,4,409829.47,885308.31,10.12.2016,Инженерные системы,681.8,"1978,89000",1298.4868143150486,116.01870407220841
1841071,70608000,23992,Тульская область,3,325979.99,683559.25,01.11.2017,Инженерные системы,818.5,,835.1365302382407,109.6936226054857
1904033,70648000,55155,Тульская область,3,243086.4,500534.27,01.08.2016,Инженерные системы,397.2,"1725,27000",1260.156772406848,105.90796934752417
1904662,70648000,55846,Тульская область,3,295290.0,601794.06,15.06.2016,Инженерные системы,482.5,"1766,65000",1247.2415751295339,103.79764299502186
1861889,70724000,215064,Тульская область,4,72103.76,144554.22,29.12.2017,Инженерные системы,1408.7,,102.61533328600838,100.48083484134534
1893850,70640000,106839,Тульская область,3,349476.08,690755.12,04.07.2016,Инженерные системы,396.3,"2173,25000",1743.010648498612,97.65447752532876
1893625,70640000,105460,Тульская область,4,38220.62,75466.9,27.07.2016,Инженерные системы,240.2,"1201,89000",314.1835970024979,97.45074779006721
1888460,70628000,97912,Тульская область,5,61354.22,121000.75,15.07.2016,Инженерные системы,423.2,"1880,68000",285.91859640831757,97.2166706707379
1860141,70724000,216298,Тульская область,5,62179.81,121527.8,11.01.2016,Инженерные системы,386.5,"1290,24000",314.4315653298836,95.44575642801097
1840681,70608000,22252,Тульская область,3,271911.6,519071.43,20.07.2016,Инженерные системы,444.3,"287,85000",1168.2904118838621,90.89712612481411
1891039,70636000,60153,Тульская область,4,29325.82,55582.39,24.07.2017,Инженерные системы,184.3,"806,64000",301.5864894194248,89.53396699563729
1892040,70638000,14425,Тульская область,5,158311.14,299551.96,20.11.2017,Инженерные системы,5171.2,,57.92697246287129,89.21723385985345
