,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3959766,17701000,17701000214827,Владимирская область,6,2138596.0,2460458.0,25.12.2015,Лифтовое оборудование,4398.9,"5281,23342",559.3348337084271,15.050154400363613
3959765,17701000,17701000214827,Владимирская область,6,2138596.0,2460458.0,25.12.2015,Лифтовое оборудование,4398.9,"5281,23342",559.3348337084271,15.050154400363613
3970397,17701000,17701000171362,Владимирская область,6,1598550.53,1659364.49,31.08.2016,Лифтовое оборудование,6820.9,"2953,86557",243.27647231303789,3.804318903825954
3970398,17701000,17701000171362,Владимирская область,6,1598550.53,1659364.49,31.08.2016,Лифтовое оборудование,6820.9,"2953,86557",243.27647231303789,3.804318903825954
4017993,17735000,17735000252477,Владимирская область,6,1753362.13,1798193.85,28.06.2016,Лифтовое оборудование,15923.3,"9546,14387",112.9284664610979,2.5569002109108174
4017998,17735000,17735000252477,Владимирская область,6,1753362.13,1798193.85,28.06.2016,Лифтовое оборудование,15923.3,"9546,14387",112.9284664610979,2.5569002109108174
4017994,17735000,17735000252477,Владимирская область,6,1753362.13,1798193.85,28.06.2016,Лифтовое оборудование,15923.3,"9546,14387",112.9284664610979,2.5569002109108174
4017995,17735000,17735000252477,Владимирская область,6,1753362.13,1798193.85,28.06.2016,Лифтовое оборудование,15923.3,"9546,14387",112.9284664610979,2.5569002109108174
4017996,17735000,17735000252477,Владимирская область,6,1753362.13,1798193.85,28.06.2016,Лифтовое оборудование,15923.3,"9546,14387",112.9284664610979,2.5569002109108174
4017997,17735000,17735000252477,Владимирская область,6,1753362.13,1798193.85,28.06.2016,Лифтовое оборудование,15923.3,"9546,14387",112.9284664610979,2.5569002109108174
3962608,17701000,17701000190433,Владимирская область,6,809980.55,825010.47,06.03.2018,Лифтовое оборудование,11700.7,"0,00000",70.50949686770876,1.855590236086524
3962613,17701000,17701000190433,Владимирская область,6,809980.55,825010.47,06.03.2018,Лифтовое оборудование,11700.7,"0,00000",70.50949686770876,1.855590236086524
3962612,17701000,17701000190433,Владимирская область,6,809980.55,825010.47,06.03.2018,Лифтовое оборудование,11700.7,"0,00000",70.50949686770876,1.855590236086524
3962611,17701000,17701000190433,Владимирская область,6,809980.55,825010.47,06.03.2018,Лифтовое оборудование,11700.7,"0,00000",70.50949686770876,1.855590236086524
