,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2196529,20727000,5410,Воронежская область,6,1953637.16,1992133.64,26.09.2017,Лифтовое оборудование,8430.1,,236.31198206426967,1.9705030590224881
2198541,20727000,5557,Воронежская область,6,5770843.82,5853911.76,20.09.2017,Лифтовое оборудование,17398.0,,336.4703851017358,1.4394418319225943
2198431,20727000,5548,Воронежская область,6,5759877.19,5832063.82,30.09.2017,Лифтовое оборудование,18204.5,,320.36385618940375,1.2532668252949408
2197724,20727000,5495,Воронежская область,6,7976759.63,8073271.03,20.09.2017,Лифтовое оборудование,8659.1,,932.3452818422238,1.2099073367715318
2198220,20727000,5533,Воронежская область,6,11554686.24,11692184.58,20.09.2017,Лифтовое оборудование,12652.8,,924.0788268209409,1.189979001974173
2198300,20727000,5538,Воронежская область,6,9704765.8,9816014.34,30.09.2017,Лифтовое оборудование,9571.8,,1025.5139409515452,1.1463289510809105
2197915,20727000,5509,Воронежская область,6,5665497.19,5711860.98,03.07.2017,Лифтовое оборудование,8568.6,,666.6037602408795,0.8183534197463871
2197990,20727000,5515,Воронежская область,6,1902081.63,1917044.33,20.09.2017,Лифтовое оборудование,2620.3,,731.6125367324352,0.7866486781642479
2198050,20727000,5518,Воронежская область,6,1917120.07,1932082.77,26.09.2017,Лифтовое оборудование,2169.1,,890.7301507537688,0.780477980182015
2196121,20727000,5527,Воронежская область,6,4848026.38,4880405.72,30.09.2017,Лифтовое оборудование,4979.4,,980.1192352492268,0.667887042314308
2198388,20727000,5546,Воронежская область,6,4885406.57,4917785.91,30.09.2017,Лифтовое оборудование,4577.1,,1074.4326997443795,0.6627767727425793
2157798,20701000,1873,Воронежская область,6,7073916.04,7093170.44,20.09.2017,Лифтовое оборудование,8952.9,,792.2762948318423,0.2721886984680788
2173070,20701000,3265,Воронежская область,6,10603721.82,10624553.82,20.09.2017,Лифтовое оборудование,14451.3,,735.1970978389488,0.19645932205338834
2195755,20701000,5346,Воронежская область,6,10631440.92,10634440.92,20.09.2017,Лифтовое оборудование,13952.7,,762.1779956567545,0.02821818813247834
2180841,20701000,3996,Воронежская область,6,14187734.34,14189602.0,20.09.2017,Лифтовое оборудование,17819.3,,796.3052420689927,0.013163905915081209
2161518,20701000,2243,Воронежская область,6,7074685.47,7074685.48,20.09.2017,Лифтовое оборудование,10389.4,,680.9522667334014,1.4134904358087397e-07
2221705,20647000,7983,Воронежская область,6,8042456.65,8042456.66,18.01.2018,Лифтовое оборудование,10946.8,,734.6856305038916,1.2434011598116967e-07
2195249,20701000,5305,Воронежская область,6,5165661.72,5165661.72,26.12.2018,Лифтовое оборудование,4575.5,,1128.9830007649437,0.0
2195423,20701000,5319,Воронежская область,6,3918122.85,3918122.85,29.11.2018,Лифтовое оборудование,6800.4,,576.1606449620612,0.0
2195319,20701000,5310,Воронежская область,6,3916926.78,3916926.78,07.12.2018,Лифтовое оборудование,7569.3,,517.4754310173992,0.0
2195143,20701000,5297,Воронежская область,6,17992214.56,17992214.56,07.12.2018,Лифтовое оборудование,20420.1,,881.1031562039364,0.0
2194685,20701000,5255,Воронежская область,6,8824794.21,8824794.21,11.10.2018,Лифтовое оборудование,9247.9,,954.2484466743803,0.0
2195821,20701000,5351,Воронежская область,6,11266960.29,11266960.29,29.11.2018,Лифтовое оборудование,12589.2,,894.970315031932,0.0
2195742,20701000,5345,Воронежская область,6,12851984.16,12851984.16,28.01.2019,Лифтовое оборудование,12562.8,,1023.0190849173752,0.0
2195099,20701000,5294,Воронежская область,6,18012964.39,18012964.39,23.11.2018,Лифтовое оборудование,20151.9,,893.8593576784323,0.0
2195476,20701000,5323,Воронежская область,6,13240227.06,13240227.06,07.12.2018,Лифтовое оборудование,13118.1,,1009.3098131589178,0.0
2150523,20701000,1240,Воронежская область,6,8860152.23,8860152.23,04.03.2019,Лифтовое оборудование,9112.3,,972.3288555030016,0.0
2193743,20701000,5170,Воронежская область,6,13145175.89,13145175.89,07.12.2018,Лифтовое оборудование,14681.8,,895.3381663011348,0.0
2193211,20701000,5118,Воронежская область,6,11014351.44,11014351.44,07.12.2018,Лифтовое оборудование,11150.37,,987.8014308045382,0.0
2196043,20701000,5371,Воронежская область,6,11273854.24,11273854.24,29.11.2018,Лифтовое оборудование,12302.6,,916.3798091460342,0.0
2193027,20701000,5099,Воронежская область,6,8973185.88,8973185.88,04.06.2018,Лифтовое оборудование,9986.7,,898.5136111027667,0.0
2193011,20701000,5098,Воронежская область,6,2182145.53,2182145.53,12.12.2018,Лифтовое оборудование,3549.7,,614.7408316195734,0.0
2192974,20701000,5095,Воронежская область,6,8979023.11,8979023.11,25.06.2018,Лифтовое оборудование,9087.8,,988.0304485133915,0.0
2192875,20701000,5087,Воронежская область,6,20108611.34,20108611.34,16.07.2018,Лифтовое оборудование,22553.6,,891.5920890678207,0.0
2192859,20701000,5086,Воронежская область,6,8979023.11,8979023.11,04.06.2018,Лифтовое оборудование,9023.6,,995.0599660889222,0.0
2192686,20701000,5075,Воронежская область,6,13138531.74,13138531.74,01.10.2018,Лифтовое оборудование,14754.2,,890.494350083366,0.0
2192530,20701000,5062,Воронежская область,6,8765646.83,8765646.83,01.10.2018,Лифтовое оборудование,9173.7,,955.5192376031481,0.0
2191256,20701000,4956,Воронежская область,6,2181353.6,2181353.6,26.12.2018,Лифтовое оборудование,3214.4,,678.6192135390742,0.0
2190733,20701000,4903,Воронежская область,6,2190794.42,2190794.42,12.12.2018,Лифтовое оборудование,6655.6,,329.1655778592463,0.0
2189596,20701000,4797,Воронежская область,6,4464702.45,4464702.45,18.12.2018,Лифтовое оборудование,5640.0,,791.6139095744682,0.0
2186248,20701000,4464,Воронежская область,6,9845768.8,9845768.8,24.06.2019,Лифтовое оборудование,8246.7,,1193.9040828452594,0.0
2195876,20701000,5357,Воронежская область,6,4471189.05,4471189.05,29.11.2018,Лифтовое оборудование,4490.9,,995.6109131799863,0.0
2196761,20727000,5427,Воронежская область,6,4366839.34,4366839.34,20.09.2018,Лифтовое оборудование,3998.7,,1092.0647560457148,0.0
2196068,20701000,5373,Воронежская область,6,6706945.25,6706945.25,18.12.2018,Лифтовое оборудование,7319.1,,916.3620185541938,0.0
2198248,20727000,5535,Воронежская область,6,10990388.3,10990388.3,24.09.2018,Лифтовое оборудование,10546.8,,1042.0590416050368,0.0
2221673,20647000,7980,Воронежская область,6,8041141.57,8041141.57,18.01.2018,Лифтовое оборудование,8177.0,,983.3852965635319,0.0
