,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6327792,25738000,8320,Иркутская область,6,4700000.0,6835650.0,,Лифтовое оборудование,10094.97,"126,21670",677.1342559710431,45.439361702127655
6323731,25726000,6797,Иркутская область,6,34350000.0,35585137.57,06.03.2019,Лифтовое оборудование,32200.9,"36100,38757",1105.0976081413874,3.595742561863169
6323769,25726000,6818,Иркутская область,6,4580000.0,4626022.86,08.02.2019,Лифтовое оборудование,9090.6,"4694,72286",508.8798165137615,1.0048659388646408
6323902,25726000,6844,Иркутская область,6,4580000.0,4623228.52,08.02.2019,Лифтовое оборудование,3879.4,"4691,92852",1191.7380316543795,0.9438541484716012
6323734,25726000,6805,Иркутская область,6,11450000.0,11556587.69,06.03.2019,Лифтовое оборудование,8691.5,"11728,33769",1329.6424886383247,0.9308968558952024
6323788,25726000,6820,Иркутская область,6,6870000.0,6879248.78,08.02.2019,Лифтовое оборудование,7503.0,"6981,99878",916.8664240970279,0.13462561863173406
6303723,25603000,16771,Иркутская область,6,18320000.0,18332292.84,08.04.2019,Лифтовое оборудование,21309.7,"17954,00545",860.2792549871655,0.06710065502182339
6323363,25714000,1268,Иркутская область,6,8852530.25,8852530.25,04.06.2016,Лифтовое оборудование,9462.6,"20132,62809",935.5283167416989,0.0
6322164,25714000,1163,Иркутская область,6,1770506.05,1770506.05,24.07.2016,Лифтовое оборудование,3201.6,"1673,11679",553.0066373063469,0.0
6322412,25714000,1314,Иркутская область,6,7113304.82,7113304.82,24.07.2016,Лифтовое оборудование,9379.5,"6542,63021",758.388487659257,0.0
6322373,25714000,120,Иркутская область,6,1770506.05,1770506.05,24.07.2016,Лифтовое оборудование,2712.13,"5324,73226",652.8101713413442,0.0
6322354,25714000,118,Иркутская область,6,1770506.05,1770506.05,24.07.2016,Лифтовое оборудование,2741.8,"5144,69742",645.7458786198847,0.0
6322166,25714000,1164,Иркутская область,6,1770506.05,1770506.05,07.01.2016,Лифтовое оборудование,3213.5,"1738,95013",550.9587832581298,0.0
6321926,25714000,948,Иркутская область,6,1770506.05,1770506.05,24.07.2016,Лифтовое оборудование,2718.13,"1673,11679",651.3691582080327,0.0
6330664,25626000,11913,Иркутская область,6,3562381.21,3562381.21,24.04.2016,Лифтовое оборудование,8570.0,"3657,17405",415.6804212368728,0.0
6322423,25714000,1319,Иркутская область,6,10623036.3,10623036.3,24.07.2016,Лифтовое оборудование,13151.5,"9856,04664",807.7433220545186,0.0
6319586,25714000,562,Иркутская область,6,7082024.2,7082024.2,07.01.2016,Лифтовое оборудование,11745.4,"24421,20798",602.9615168491495,0.0
6321568,25714000,777,Иркутская область,6,7082024.2,7082024.2,24.07.2016,Лифтовое оборудование,10882.5,"6692,46720",650.7718079485412,0.0
6321494,25714000,753,Иркутская область,6,10623036.3,10623036.3,24.07.2016,Лифтовое оборудование,12811.7,"10038,60520",829.1668006587729,0.0
6322422,25714000,1318,Иркутская область,6,5311518.15,5311518.15,24.07.2016,Лифтовое оборудование,8138.6,"4920,32879",652.63290369351,0.0
6326909,25738000,7916,Иркутская область,6,7174124.6,7174124.6,24.05.2016,Лифтовое оборудование,11012.14,"23404,91911",651.4741548872427,0.0
6322428,25714000,1320,Иркутская область,6,7082024.2,7082024.2,24.07.2016,Лифтовое оборудование,10656.8,"6570,76033",664.5544816455222,0.0
6322859,25714000,442,Иркутская область,6,12393542.35,12393542.35,24.04.2016,Лифтовое оборудование,17426.14,"35759,79056",711.2041077369975,0.0
6323507,25714000,1525,Иркутская область,6,5311518.15,5311518.15,24.04.2016,Лифтовое оборудование,6410.8,"5395,44009",828.526572346665,0.0
6323194,25714000,1143,Иркутская область,6,3541012.1,3541012.1,24.04.2016,Лифтовое оборудование,6420.9,"3596,96006",551.4822065442539,0.0
6323093,25714000,1022,Иркутская область,6,3541012.1,3541012.1,24.04.2016,Лифтовое оборудование,5342.6,"3596,96006",662.7881742971587,0.0
