,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5967448,34701000,5797,Костромская область,6,1648841.04,1648841.04,15.10.2018,Лифтовое оборудование,1946.8,"0,00000",846.9493733305939,0.0
5967947,34701000,3473,Костромская область,6,1652375.34,1652375.34,15.10.2018,Лифтовое оборудование,3399.9,"0,00000",486.00704138357014,0.0
5956307,34706000,3995,Костромская область,6,3262438.08,3262438.08,15.10.2018,Лифтовое оборудование,8121.6,"0,00000",401.69893617021273,0.0
5956302,34706000,1844,Костромская область,6,4824822.42,4824822.42,15.10.2018,Лифтовое оборудование,7403.5,"0,00000",651.6947957047342,0.0
5956292,34706000,789,Костромская область,6,4864293.72,4864293.72,15.10.2018,Лифтовое оборудование,6917.6,"0,00000",703.1764947380593,0.0
5956285,34706000,4991,Костромская область,6,4865184.72,4865184.72,15.10.2018,Лифтовое оборудование,7326.2,"0,00000",664.0802489694521,0.0
5956343,34706000,2832,Костромская область,6,8070480.0,8070480.0,15.10.2018,Лифтовое оборудование,11854.3,"0,00000",680.8061209856339,0.0
5954353,34604000,2581,Костромская область,6,1657553.04,1657553.04,15.10.2018,Лифтовое оборудование,6911.2,"0,00000",239.83577960412086,0.0
5954174,34604000,1912,Костромская область,6,1648652.94,1648652.94,15.10.2018,Лифтовое оборудование,2511.07,"0,00000",656.5539550868752,0.0
5956639,34706000,5272,Костромская область,6,1608755.95,1598172.84,15.10.2018,Лифтовое оборудование,3355.3,"0,00000",476.3129496617292,-0.6578443423938762
5964258,34701000,3277,Костромская область,6,4914218.0,4787599.53,,Лифтовое оборудование,4911.2,"0,00000",974.8329389965793,-2.576574136515708
5968315,34701000,1241,Костромская область,6,1997974.0,1941527.82,,Лифтовое оборудование,4870.9,"0,00000",398.59734751278,-2.8251708981197887
5956627,34706000,5270,Костромская область,6,1996121.0,1939697.02,13.11.2018,Лифтовое оборудование,3855.0,"0,00000",503.16394811932554,-2.8266813484753683
5959191,34701000,2203,Костромская область,6,1995691.0,1939269.17,,Лифтовое оборудование,3569.9,"0,00000",543.2278691279868,-2.827182665051853
5965373,34701000,2008,Костромская область,6,1995041.0,1938622.42,,Лифтовое оборудование,4007.0,"0,00000",483.80893935612676,-2.8279408794105065
5968323,34701000,2987,Костромская область,6,1997974.0,1941468.12,,Лифтовое оборудование,4881.9,"0,00000",397.686990720826,-2.828158924991009
5971553,34701000,2573,Костромская область,6,1992411.0,1936005.57,,Лифтовое оборудование,2215.4,"0,00000",873.8853344768439,-2.831013781795022
5971560,34701000,322,Костромская область,6,1991991.0,1935587.67,,Лифтовое оборудование,2403.2,"0,00000",805.4209678761652,-2.831505262824985
5967545,34701000,446,Костромская область,6,3930392.0,3817853.3,,Лифтовое оборудование,7095.1,"0,00000",538.0971797437668,-2.863294551790263
5969128,34701000,3138,Костромская область,6,1994671.0,1937358.27,,Лифтовое оборудование,3381.1,"0,00000",572.9964419863359,-2.8732923875666727
5968955,34701000,2668,Костромская область,6,5859353.0,5688038.11,,Лифтовое оборудование,6508.1,"0,00000",873.9936555984082,-2.9237851005051163
5968618,34701000,662,Костромская область,6,5859293.0,5687978.41,,Лифтовое оборудование,5613.0,"0,00000",1013.3579921610548,-2.9238099204119017
5956318,34706000,89,Костромская область,6,5848303.0,5677043.36,,Лифтовое оборудование,7981.8,"0,00000",711.2485103610715,-2.9283646897228066
5956631,34706000,5271,Костромская область,6,1651078.44,1598172.84,15.10.2018,Лифтовое оборудование,3322.1,"0,00000",481.07306823996873,-3.204305665816809
5956262,34706000,406,Костромская область,6,7794594.0,150000.0,,Лифтовое оборудование,9943.3,"0,00000",15.085534983355627,-98.07558931228489
5965362,34701000,1515,Костромская область,6,1994941.0,37500.0,,Лифтовое оборудование,3667.6,"0,00000",10.224670083978625,-98.12024516013255
5954166,34604000,2309,Костромская область,6,1707731.0,0.0,,Лифтовое оборудование,2502.97,"0,00000",0.0,-100.0
5956311,34706000,4883,Костромская область,6,5993922.0,0.0,,Лифтовое оборудование,7301.8,"0,00000",0.0,-100.0
5956194,34706000,715,Костромская область,6,1707731.0,0.0,,Лифтовое оборудование,3761.8,"0,00000",0.0,-100.0
5956150,34706000,3510,Костромская область,6,1707731.0,0.0,,Лифтовое оборудование,3308.4,"0,00000",0.0,-100.0
5955684,34705000,1945,Костромская область,6,3415462.0,0.0,,Лифтовое оборудование,6530.3,"0,00000",0.0,-100.0
5954366,34604000,3060,Костромская область,6,1707731.0,0.0,,Лифтовое оборудование,5038.8,"319,24000",0.0,-100.0
5954318,34604000,7235,Костромская область,6,1707731.0,0.0,,Лифтовое оборудование,2532.2,"0,00000",0.0,-100.0
5954140,34604000,4939,Костромская область,6,1707731.0,0.0,,Лифтовое оборудование,2602.9,"197,36000",0.0,-100.0
5954165,34604000,2309,Костромская область,6,0.0,0.0,,Лифтовое оборудование,2502.97,"0,00000",0.0,
5954173,34604000,1912,Костромская область,6,0.0,0.0,,Лифтовое оборудование,2511.07,"0,00000",0.0,
5954195,34604000,1914,Костромская область,6,0.0,0.0,,Лифтовое оборудование,2489.27,"0,00000",0.0,
5954197,34604000,1914,Костромская область,6,0.0,0.0,,Лифтовое оборудование,2489.27,"0,00000",0.0,
5954215,34604000,5003,Костромская область,6,0.0,0.0,,Лифтовое оборудование,4592.5,"0,00000",0.0,
5954216,34604000,5003,Костромская область,6,0.0,0.0,,Лифтовое оборудование,4592.5,"0,00000",0.0,
5954227,34604000,56,Костромская область,6,0.0,0.0,,Лифтовое оборудование,4574.5,"0,00000",0.0,
5954229,34604000,56,Костромская область,6,0.0,0.0,,Лифтовое оборудование,4574.5,"0,00000",0.0,
5954259,34604000,3659,Костромская область,6,0.0,0.0,,Лифтовое оборудование,2292.06,"0,00000",0.0,
5954260,34604000,3659,Костромская область,6,0.0,0.0,,Лифтовое оборудование,2292.06,"0,00000",0.0,
