,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6174043,44701000,39231,Магаданская область,6,3465758.88,3448430.09,,Лифтовое оборудование,2751.7,"1034,52900",1253.1998728059018,-0.4999998730436772
6174839,44701000,37327,Магаданская область,6,3375096.12,3358220.64,,Лифтовое оборудование,2460.7,"1007,46620",1364.7420002438332,-0.4999999822227319
6173547,44701000,37114,Магаданская область,6,3009016.08,2993971.0,,Лифтовое оборудование,2814.9,"898,19130",1063.6154037443603,-0.49999998670662293
6169363,44701000,37377,Магаданская область,6,2745806.04,2732077.01,,Лифтовое оборудование,2001.9,"819,62310",1364.742000099905,-0.49999999271617135
6177057,44604000,39033,Магаданская область,6,4321225.8,4299619.67,,Лифтовое оборудование,3317.7,"0,00000",1295.963972028815,-0.500000023141578
6172060,44701000,37625,Магаданская область,6,3439801.44,3422602.43,,Лифтовое оборудование,2992.1,"0,00000",1143.8796931920726,-0.5000000814000427
6172359,44701000,38939,Магаданская область,6,2638576.8,1989561.11,23.11.2016,Лифтовое оборудование,2531.5,"1989,56000",785.921828955165,-24.59718777183214
6172419,44701000,36856,Магаданская область,6,2643595.2,1989561.11,23.11.2016,Лифтовое оборудование,2807.3,"1989,56000",708.7098315107042,-24.740326733835804
6172464,44701000,36883,Магаданская область,6,2649103.2,1989561.11,23.11.2016,Лифтовое оборудование,2780.9,"1989,56000",715.4378474594556,-24.896806209739207
6172241,44701000,38989,Магаданская область,6,2652897.6,1989561.11,18.11.2016,Лифтовое оборудование,2885.2,"1973,75000",689.5747643144324,-25.004225191353036
6172310,44701000,36863,Магаданская область,6,2682640.8,1989561.11,23.11.2016,Лифтовое оборудование,3612.3,"1989,56000",550.7740525427013,-25.835724633726574
6172268,44701000,38944,Магаданская область,6,2685088.8,1989561.11,23.11.2016,Лифтовое оборудование,2795.5,"1989,56000",711.7013450187802,-25.90334032900512
6174829,44701000,37326,Магаданская область,6,2694391.2,1940718.86,25.11.2016,Лифтовое оборудование,2891.0,"1940,72000",671.2967346938776,-27.97189732508034
6173110,44701000,37226,Магаданская область,6,3287664.0,1989560.24,25.11.2016,Лифтовое оборудование,3280.7,"1989,56000",606.4438199164813,-39.48407623163438
6179974,44622000,38723,Магаданская область,6,3607740.0,1989556.7,29.11.2016,Лифтовое оборудование,3977.5,"1989,56000",500.2028158390949,-44.85310194193595
6174304,44701000,37411,Магаданская область,6,3932173.44,1970260.16,23.11.2016,Лифтовое оборудование,4536.83,"3940,52000",434.2812404255835,-49.89386429506018
6174307,44701000,37411,Магаданская область,6,3932173.44,1970260.16,23.11.2016,Лифтовое оборудование,4536.83,"3940,52000",434.2812404255835,-49.89386429506018
6179999,44622000,38726,Магаданская область,6,4012394.4,1989555.52,29.11.2016,Лифтовое оборудование,3821.7,"1989,56000",520.5943742313631,-50.4147568344727
6170644,44701000,37262,Магаданская область,6,4190486.4,1989560.24,21.12.2016,Лифтовое оборудование,6229.1,"1989,56000",319.39770432325696,-52.521973582828
6174318,44701000,37412,Магаданская область,6,4770491.04,1970040.68,23.11.2016,Лифтовое оборудование,4536.83,"3940,08000",434.2328630343213,-58.703608004261135
6174317,44701000,37412,Магаданская область,6,4770491.04,1970040.68,23.11.2016,Лифтовое оборудование,4536.83,"3940,08000",434.2328630343213,-58.703608004261135
6172963,44701000,38967,Магаданская область,6,10389732.84,3378696.63,,Лифтовое оборудование,7574.9,"4054,43600",446.0384467121678,-67.48042820704522
6172968,44701000,38967,Магаданская область,6,10389732.84,3378696.63,,Лифтовое оборудование,7574.9,"4054,43600",446.0384467121678,-67.48042820704522
6172962,44701000,38967,Магаданская область,6,10389732.84,3378696.62,,Лифтовое оборудование,7574.9,"4054,43600",446.0384453920184,-67.48042830329408
6172958,44701000,38967,Магаданская область,6,10389732.84,3378696.62,,Лифтовое оборудование,7574.9,"4054,43600",446.0384453920184,-67.48042830329408
6168854,44701000,37438,Магаданская область,6,7361870.4,1969073.08,18.11.2016,Лифтовое оборудование,8281.4,"3941,15000",237.770555703142,-73.25308687857368
6168853,44701000,37438,Магаданская область,6,7361870.4,1969073.08,18.11.2016,Лифтовое оборудование,8281.4,"3941,15000",237.770555703142,-73.25308687857368
6170625,44701000,37263,Магаданская область,6,9176695.2,1989560.24,25.11.2016,Лифтовое оборудование,7497.3,"1989,56000",265.3702319501687,-78.31942549426726
6169138,44701000,37351,Магаданская область,6,,,,Лифтовое оборудование,3624.9,"0,00000",,
6169139,44701000,37351,Магаданская область,6,,,,Лифтовое оборудование,3624.9,"0,00000",,
6169249,44701000,37363,Магаданская область,6,,,,Лифтовое оборудование,1441.2,"0,00000",,
6169620,44701000,37306,Магаданская область,6,,,,Лифтовое оборудование,1178.5,"0,00000",,
6169758,44701000,37301,Магаданская область,6,3870950.4,,,Лифтовое оборудование,2932.8,"0,00000",,
6169858,44701000,39228,Магаданская область,6,,,,Лифтовое оборудование,1563.3,"0,00000",,
6170216,44701000,39227,Магаданская область,6,,,,Лифтовое оборудование,8942.3,"0,00000",,
6170634,44701000,37654,Магаданская область,6,,,,Лифтовое оборудование,4518.6,"0,00000",,
6170738,44701000,37257,Магаданская область,6,,,,Лифтовое оборудование,3946.3,"0,00000",,
6170928,44701000,37328,Магаданская область,6,,,,Лифтовое оборудование,3480.1,"0,00000",,
6170929,44701000,37328,Магаданская область,6,,,,Лифтовое оборудование,3480.1,"0,00000",,
6171024,44701000,36802,Магаданская область,6,,,,Лифтовое оборудование,2385.0,"0,00000",,
6171525,44701000,37470,Магаданская область,6,,,,Лифтовое оборудование,2233.4,"0,00000",,
6172066,44701000,37626,Магаданская область,6,,,,Лифтовое оборудование,2378.4,"0,00000",,
6172096,44701000,39229,Магаданская область,6,,,,Лифтовое оборудование,4701.0,"0,00000",,
6172287,44701000,37289,Магаданская область,6,,,,Лифтовое оборудование,4521.8,"0,00000",,
6172613,44701000,36843,Магаданская область,6,3697246.08,,,Лифтовое оборудование,3093.7,"0,00000",,
6172617,44701000,36844,Магаданская область,6,,,,Лифтовое оборудование,2577.2,"0,00000",,
6172658,44701000,36845,Магаданская область,6,,,,Лифтовое оборудование,2353.3,"0,00000",,
6172675,44701000,36846,Магаданская область,6,,,,Лифтовое оборудование,2364.1,"0,00000",,
6172776,44701000,37491,Магаданская область,6,,,,Лифтовое оборудование,3473.3,"0,00000",,
6172780,44701000,37491,Магаданская область,6,,,,Лифтовое оборудование,3473.3,"0,00000",,
6173013,44701000,37624,Магаданская область,6,,,,Лифтовое оборудование,2364.4,"0,00000",,
6173026,44701000,37537,Магаданская область,6,,,,Лифтовое оборудование,3123.2,"0,00000",,
6173431,44701000,37106,Магаданская область,6,,,,Лифтовое оборудование,4423.7,"503,03000",,
6173432,44701000,37106,Магаданская область,6,,,,Лифтовое оборудование,4423.7,"503,03000",,
6173953,44701000,36828,Магаданская область,6,,,,Лифтовое оборудование,2369.7,"0,00000",,
6174034,44701000,37400,Магаданская область,6,,,,Лифтовое оборудование,2666.8,"0,00000",,
6175385,44701000,37663,Магаданская область,6,,,,Лифтовое оборудование,2340.4,"0,00000",,
6175398,44701000,39266,Магаданская область,6,,,,Лифтовое оборудование,2540.6,"0,00000",,
