,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1580612,50708000,100222,Новосибирская область,6,4685385.04,4685385.04,20.10.2016,Лифтовое оборудование,6674.6,"4685,38504",701.9724088334881,0.0
1620855,50701000,105540,Новосибирская область,6,4609976.0,4609976.0,14.10.2016,Лифтовое оборудование,6850.6,"4609,97600",672.9302542842962,0.0
1623223,50701000,105758,Новосибирская область,6,3123590.03,3123590.03,21.10.2016,Лифтовое оборудование,7558.7,"3123,59003",413.2443449270377,0.0
1623243,50701000,107941,Новосибирская область,6,3974865.17,3974865.17,20.11.2017,Лифтовое оборудование,7730.3,"3974,86517",514.1928734977944,0.0
1623710,50701000,105812,Новосибирская область,6,9818480.53,9818480.53,29.11.2017,Лифтовое оборудование,21791.56,"9818,48053",450.56345346547005,0.0
1624131,50701000,105724,Новосибирская область,6,3530298.3,3530298.3,26.12.2018,Лифтовое оборудование,22776.09,"3530,29830",155.00019098976162,0.0
1624257,50701000,105856,Новосибирская область,6,1853130.46,1853130.46,27.11.2017,Лифтовое оборудование,6391.3,"3084,50270",289.94577941889753,0.0
1624333,50701000,105866,Новосибирская область,6,3073317.33,3073317.33,20.10.2016,Лифтовое оборудование,10043.0,"3073,31733",306.0158647814398,0.0
1624414,50701000,105868,Новосибирская область,6,3073317.33,3073317.33,20.10.2016,Лифтовое оборудование,9299.9,"3073,31733",330.46778244927367,0.0
1624836,50701000,105914,Новосибирская область,6,1978270.16,1978270.16,09.11.2017,Лифтовое оборудование,6482.6,"1978,27016",305.1661617252337,0.0
1624870,50701000,105916,Новосибирская область,6,3264024.0,3264024.0,29.12.2017,Лифтовое оборудование,3545.0,"0,00000",920.740197461213,0.0
1625751,50701000,106101,Новосибирская область,6,4439347.39,4439347.39,22.12.2017,Лифтовое оборудование,5246.8,"4439,34739",846.1057006175191,0.0
1627299,50701000,106228,Новосибирская область,6,8681884.99,8681884.99,19.12.2016,Лифтовое оборудование,17976.11,"8681,88499",482.967949684331,0.0
1627469,50701000,106257,Новосибирская область,6,7650971.46,7650971.46,09.11.2017,Лифтовое оборудование,10955.5,"7650,97146",698.3680763087034,0.0
1628587,50701000,106466,Новосибирская область,6,6770877.28,6770877.28,11.10.2018,Лифтовое оборудование,6854.31,"6770,87728",987.8276996517519,0.0
1629380,50701000,106529,Новосибирская область,6,6039035.99,6039035.99,19.12.2017,Лифтовое оборудование,8983.3,"6230,14407",672.2513987064888,0.0
1629402,50701000,106536,Новосибирская область,6,12049325.31,12049325.31,20.12.2017,Лифтовое оборудование,18172.7,"12049,32531",663.0454093227754,0.0
1629714,50701000,106577,Новосибирская область,6,6247180.05,6247180.05,20.10.2016,Лифтовое оборудование,13852.8,"6247,18005",450.9687608281358,0.0
1630071,50701000,108512,Новосибирская область,6,3830734.15,3830734.15,20.11.2017,Лифтовое оборудование,4430.7,"3830,73415",864.5889250005642,0.0
1623004,50701000,108495,Новосибирская область,6,6076873.02,6076873.02,05.12.2017,Лифтовое оборудование,8460.18,"6076,87302",718.2912207541683,0.0
1616605,50701000,105090,Новосибирская область,6,3603300.58,3603300.58,21.10.2016,Лифтовое оборудование,4215.4,"3603,30058",854.7944631588937,0.0
1630944,50701000,106685,Новосибирская область,6,14194245.31,14194245.31,12.11.2018,Лифтовое оборудование,18623.0,"0,00000",762.188976534393,0.0
1616514,50701000,105069,Новосибирская область,6,4340942.5,4340942.5,19.12.2016,Лифтовое оборудование,9186.1,"4340,94250",472.55554587909995,0.0
1608787,50701000,104265,Новосибирская область,6,1446980.83,1446980.83,19.12.2016,Лифтовое оборудование,3274.7,"1446,98083",441.8666839710508,0.0
1609309,50701000,104353,Новосибирская область,6,7808975.07,7808975.07,20.10.2016,Лифтовое оборудование,12491.7,"7735,55000",625.133093974399,0.0
1610505,50701000,104465,Новосибирская область,6,4609976.0,4609976.0,20.10.2016,Лифтовое оборудование,8267.8,"4609,97600",557.581944410847,0.0
1610846,50701000,104531,Новосибирская область,6,5972838.72,5972838.72,10.10.2018,Лифтовое оборудование,6246.3,"5972,83872",956.2202776043417,0.0
1580863,50708000,100255,Новосибирская область,6,3692337.76,3692337.76,20.10.2016,Лифтовое оборудование,6394.8,"3692,33776",577.3969099893663,0.0
1611239,50701000,104590,Новосибирская область,6,14194245.31,14194245.31,30.11.2018,Лифтовое оборудование,17813.5,"0,00000",796.8251780952648,0.0
1611858,50701000,104652,Новосибирская область,6,7664990.66,7664990.66,28.11.2017,Лифтовое оборудование,11012.5,"7664,99066",696.0263936435869,0.0
1611887,50701000,104650,Новосибирская область,6,3983606.74,3983606.74,02.10.2018,Лифтовое оборудование,5528.1,"3983,60674",720.6104701434489,0.0
1611892,50701000,104651,Новосибирская область,6,7666591.39,7666591.39,20.11.2017,Лифтовое оборудование,10925.0,"7666,59139",701.7474956521739,0.0
1611904,50701000,104653,Новосибирская область,6,4000402.59,4000402.59,17.11.2017,Лифтовое оборудование,5409.8,"3962,79753",739.4732873673703,0.0
1612720,50701000,104731,Новосибирская область,6,1511522.32,1511522.32,21.10.2016,Лифтовое оборудование,8376.07,"2392,91088",180.4572215848244,0.0
1612964,50701000,104770,Новосибирская область,6,9522559.14,9522559.14,29.12.2017,Лифтовое оборудование,13586.8,"9522,55914",700.8684267082757,0.0
1614416,50701000,104916,Новосибирская область,6,1586931.36,1586931.36,21.10.2016,Лифтовое оборудование,7632.6,"1586,93136",207.91491234965804,0.0
1615830,50701000,105023,Новосибирская область,6,11479943.35,11479943.35,07.12.2017,Лифтовое оборудование,14853.7,"11479,94335",772.8675919131259,0.0
1616476,50701000,105065,Новосибирская область,6,15617950.13,15617950.13,17.10.2016,Лифтовое оборудование,31337.9,"15617,95013",498.3725817620198,0.0
1616487,50701000,105066,Новосибирская область,6,15944453.97,15944453.97,20.11.2017,Лифтовое оборудование,24448.98,"15944,45397",652.1521130942887,0.0
1616502,50701000,105068,Новосибирская область,6,22103868.18,22103868.18,22.11.2017,Лифтовое оборудование,33518.9,"22103,86818",659.4449155551047,0.0
1630799,50701000,106669,Новосибирская область,6,7060571.86,7060571.86,26.12.2018,Лифтовое оборудование,8336.73,"7060,57186",846.9234172151432,0.0
1631141,50701000,106717,Новосибирская область,6,1586931.36,1586931.36,19.10.2016,Лифтовое оборудование,3477.5,"1586,93136",456.34259094176855,0.0
1607432,50701000,104155,Новосибирская область,6,4480131.52,4480131.52,20.11.2017,Лифтовое оборудование,5646.0,"6882,29967",793.5054055968827,0.0
1640530,50701000,108844,Новосибирская область,6,2027749.33,2027749.33,05.10.2018,Лифтовое оборудование,3688.7,"0,00000",549.7192317076477,0.0
1641612,50701000,108968,Новосибирская область,6,17918379.28,17918379.28,10.10.2018,Лифтовое оборудование,28801.9,"17918,37928",622.1249042597884,0.0
1642398,50701000,109061,Новосибирская область,6,3123590.03,3123590.03,19.10.2016,Лифтовое оборудование,7547.9,"3123,59003",413.83564037679355,0.0
1643024,50717000,109133,Новосибирская область,6,1561795.01,1561795.01,20.10.2016,Лифтовое оборудование,5024.9,"1561,79501",310.8111624111923,0.0
1643037,50717000,109134,Новосибирская область,6,3123590.03,3123590.03,24.11.2016,Лифтовое оборудование,4448.5,"3123,59003",702.1670293357311,0.0
1643525,50717000,109191,Новосибирская область,6,15927389.05,15927389.05,03.10.2018,Лифтовое оборудование,19709.1,"15927,38905",808.1236104134639,0.0
1645609,50615000,110544,Новосибирская область,6,3073317.33,3073317.33,17.10.2016,Лифтовое оборудование,4440.5,"3073,31733",692.1106474496115,0.0
1645631,50615000,110647,Новосибирская область,6,3123590.03,3123590.03,20.10.2016,Лифтовое оборудование,4678.5,"3123,59003",667.6477567596452,0.0
1645747,50615000,110556,Новосибирская область,6,3073317.33,3073317.33,20.10.2016,Лифтовое оборудование,4385.7,"3073,31733",700.7586770640947,0.0
1646141,50615000,110653,Новосибирская область,6,3073317.33,3073317.33,20.10.2016,Лифтовое оборудование,4386.0,"3073,31733",700.7107455540356,0.0
1646238,50615000,110627,Новосибирская область,6,1536658.67,1536658.67,20.10.2016,Лифтовое оборудование,16914.3,"1536,65867",90.8496757181793,0.0
1646358,50615000,110621,Новосибирская область,6,3950448.51,3950448.51,22.10.2018,Лифтовое оборудование,3984.0,"3950,44851",991.5784412650602,0.0
1646485,50615000,110645,Новосибирская область,6,1536658.67,1536658.67,20.10.2016,Лифтовое оборудование,8729.5,"1536,65867",176.03054814135976,0.0
1653049,50630000,101687,Новосибирская область,6,6427737.77,6427737.77,20.10.2016,Лифтовое оборудование,7825.0,"6427,73777",821.436136741214,0.0
1653071,50630000,101688,Новосибирская область,6,1400000.0,1400000.0,29.12.2017,Лифтовое оборудование,2771.5,"0,00000",505.14162006133864,0.0
1657156,50640000,113360,Новосибирская область,6,6236251.0,6236251.0,29.12.2017,Лифтовое оборудование,24875.0,"0,00000",250.70355778894472,0.0
1657189,50640000,110507,Новосибирская область,6,12645178.2,12645178.2,20.10.2016,Лифтовое оборудование,21367.7,"12645,17820",591.7893924006795,0.0
1657266,50640000,110509,Новосибирская область,6,15927474.9,15927474.9,10.10.2018,Лифтовое оборудование,23493.4,"15927,47490",677.9552938272025,0.0
1641514,50701000,108953,Новосибирская область,6,21616959.36,21616959.36,03.11.2017,Лифтовое оборудование,26158.02,"21616,95936",826.3989155142476,0.0
1638965,50701000,108090,Новосибирская область,6,10592655.3,10592655.3,26.12.2018,Лифтовое оборудование,11735.01,"10592,65530",902.6541349346954,0.0
1631747,50701000,106768,Новосибирская область,6,6247180.05,6247180.05,20.10.2016,Лифтовое оборудование,10854.7,"6247,18005",575.5276562226501,0.0
1638897,50701000,108088,Новосибирская область,6,9822718.16,9822718.16,17.11.2017,Лифтовое оборудование,13562.7,"9822,71816",724.2450367552183,0.0
1631956,50701000,106796,Новосибирская область,6,3983607.95,3983607.95,10.10.2018,Лифтовое оборудование,5163.6,"3983,60795",771.4788035479123,0.0
1631980,50701000,106798,Новосибирская область,6,7619710.72,7619710.72,20.11.2017,Лифтовое оборудование,9237.6,"7619,71072",824.8582662163332,0.0
1631988,50701000,106799,Новосибирская область,6,7858716.22,7858716.22,02.11.2017,Лифтовое оборудование,10083.24,"7858,71622",779.3840293397757,0.0
1633108,50701000,106941,Новосибирская область,6,3528497.05,3528497.05,26.12.2018,Лифтовое оборудование,16869.2,"22427,45454",209.16801330234983,0.0
1633157,50701000,106945,Новосибирская область,6,2972771.94,2972771.94,25.12.2016,Лифтовое оборудование,17379.77,"22863,91572",171.04782974688388,0.0
1633287,50701000,106956,Новосибирская область,6,9057023.0,9057023.0,29.12.2017,Лифтовое оборудование,28127.0,"0,00000",322.0045863405269,0.0
1633360,50701000,106962,Новосибирская область,6,3901214.36,3901214.36,15.12.2017,Лифтовое оборудование,10656.0,"7024,80439",366.1049512012012,0.0
1633361,50701000,106962,Новосибирская область,6,3123590.03,3123590.03,21.10.2016,Лифтовое оборудование,10656.0,"7024,80439",293.1296950075075,0.0
1634654,50701000,107157,Новосибирская область,6,2281207.26,2281207.26,22.12.2017,Лифтовое оборудование,8380.9,"2281,20726",272.19120380866013,0.0
1635929,50701000,107289,Новосибирская область,6,12166495.98,12166495.98,07.12.2018,Лифтовое оборудование,16960.5,"0,00000",717.343001680375,0.0
1636234,50701000,107380,Новосибирская область,6,6247180.05,6247180.05,20.10.2016,Лифтовое оборудование,13271.6,"6188,44000",470.71792775550796,0.0
1636239,50701000,107381,Новосибирская область,6,7986589.33,7986589.33,30.11.2017,Лифтовое оборудование,32874.8,"7986,58933",242.93955643836614,0.0
1636951,50701000,107426,Новосибирская область,6,19656641.66,19656641.66,19.12.2017,Лифтовое оборудование,28127.29,"19657,64166",698.8459129905511,0.0
1637355,50701000,107446,Новосибирская область,6,7683293.33,7683293.33,20.10.2016,Лифтовое оборудование,15637.0,"7683,29333",491.3534136982797,0.0
1637759,50701000,107506,Новосибирская область,6,14121143.45,14121143.45,26.12.2018,Лифтовое оборудование,22683.2,"14121,14345",622.5375365909571,0.0
1638071,50701000,107558,Новосибирская область,6,4685385.04,4685385.04,20.10.2016,Лифтовое оборудование,8068.4,"4685,38504",580.7080759506222,0.0
1638799,50701000,108632,Новосибирская область,6,22305242.63,22305242.63,04.09.2018,Лифтовое оборудование,33312.8,"0,00000",669.5697338560552,0.0
1608448,50701000,104221,Новосибирская область,6,1561795.01,1561795.01,19.10.2016,Лифтовое оборудование,3583.6,"1561,79501",435.81733731443245,0.0
1611021,50701000,104549,Новосибирская область,6,8110997.32,8110997.32,04.12.2018,Лифтовое оборудование,11376.3,"0,00000",712.9732267960585,0.0
1593341,50701000,108221,Новосибирская область,6,5972836.17,5972836.17,03.10.2018,Лифтовое оборудование,7950.9,"5972,83617",751.2151039504962,0.0
1596883,50701000,102999,Новосибирская область,6,6246997.06,6246997.06,10.10.2018,Лифтовое оборудование,5283.3,"6246,99706",1182.4043798383584,0.0
1588341,50701000,101969,Новосибирская область,6,7967040.21,7967040.21,18.10.2018,Лифтовое оборудование,7984.39,"8001,61503",997.8270362544915,0.0
1588753,50701000,102147,Новосибирская область,6,4055498.66,4055498.66,05.12.2018,Лифтовое оборудование,29681.8,"0,00000",136.63250409341754,0.0
1588754,50701000,102147,Новосибирская область,6,3327624.0,3327624.0,08.12.2017,Лифтовое оборудование,29681.8,"0,00000",112.1099124716156,0.0
1588939,50701000,102172,Новосибирская область,6,3983609.51,3983609.51,03.10.2018,Лифтовое оборудование,4167.8,"3983,60951",955.8063030855607,0.0
1590279,50701000,102321,Новосибирская область,6,1765148.65,1765148.65,26.12.2018,Лифтовое оборудование,2855.99,"1765,14865",618.0514112444372,0.0
1590289,50701000,102322,Новосибирская область,6,1991932.11,1991932.11,10.10.2018,Лифтовое оборудование,2577.0,"1991,93211",772.965506402794,0.0
1590321,50701000,102317,Новосибирская область,6,9807150.24,9807150.24,17.11.2017,Лифтовое оборудование,12116.2,"9807,15024",809.4245918687377,0.0
1590896,50701000,102454,Новосибирская область,6,15800000.0,15800000.0,29.12.2017,Лифтовое оборудование,23514.0,"0,00000",671.9401207791103,0.0
1590908,50701000,102455,Новосибирская область,6,1500000.0,1500000.0,29.12.2017,Лифтовое оборудование,2351.4,"0,00000",637.9178361826996,0.0
1590920,50701000,102458,Новосибирская область,6,9810747.96,9810747.96,19.12.2017,Лифтовое оборудование,8752.7,"9810,74796",1120.8824659819256,0.0
1593362,50701000,108223,Новосибирская область,6,3981974.41,3981974.41,03.10.2018,Лифтовое оборудование,5492.72,"3981,97441",724.954923972094,0.0
1595172,50701000,102862,Новосибирская область,6,9521588.17,9521588.17,20.10.2016,Лифтовое оборудование,18120.0,"9521,58817",525.4739608167771,0.0
1595233,50701000,103048,Новосибирская область,6,9370770.08,9370770.08,19.10.2016,Лифтовое оборудование,12910.0,"9370,77008",725.8536080557707,0.0
1595341,50701000,103053,Новосибирская область,6,9300000.0,9300000.0,29.12.2017,Лифтовое оборудование,12597.0,"0,00000",738.2710169087878,0.0
1595351,50701000,103062,Новосибирская область,6,3100000.0,3100000.0,29.12.2017,Лифтовое оборудование,3964.3,"0,00000",781.9791640390484,0.0
1587768,50701000,107570,Новосибирская область,6,3983606.26,3983606.26,03.10.2018,Лифтовое оборудование,5544.5,"3983,60626",718.4788998106231,0.0
1587745,50701000,107565,Новосибирская область,6,13748150.63,13748150.63,28.11.2017,Лифтовое оборудование,18403.8,"13748,15063",747.0278219715494,0.0
1586415,50712000,101250,Новосибирская область,6,4609976.0,4609976.0,21.10.2016,Лифтовое оборудование,8734.2,"4609,97600",527.8074694877607,0.0
1583620,50708000,100593,Новосибирская область,6,5911545.85,5911545.85,29.12.2017,Лифтовое оборудование,7226.9,"5911,54585",817.9919259986993,0.0
1581250,50708000,100325,Новосибирская область,6,1561795.01,1561795.01,20.10.2016,Лифтовое оборудование,6508.89,"1561,79501",239.94798037760663,0.0
1581578,50708000,100364,Новосибирская область,6,2027413.86,2027413.86,30.11.2017,Лифтовое оборудование,4198.8,"2027,41386",482.85554444126893,0.0
1581624,50708000,100354,Новосибирская область,6,1561795.01,1561795.01,20.10.2016,Лифтовое оборудование,5877.4,"1561,79501",265.72889542995205,0.0
1582223,50708000,100465,Новосибирская область,6,5975344.46,5975344.46,10.10.2018,Лифтовое оборудование,8547.4,"5975,34446",699.0832838056017,0.0
1582826,50708000,100507,Новосибирская область,6,5825653.55,5825653.55,17.11.2017,Лифтовое оборудование,21368.3,"13508,94688",272.6306514790601,0.0
1582827,50708000,100507,Новосибирская область,6,7683293.33,7683293.33,20.10.2016,Лифтовое оборудование,21368.3,"13508,94688",359.5650252944783,0.0
1583631,50708000,100594,Новосибирская область,6,3970591.38,3970591.38,17.11.2017,Лифтовое оборудование,4857.6,"3970,59138",817.3977643280632,0.0
1586403,50712000,101249,Новосибирская область,6,3073317.33,3073317.33,21.10.2016,Лифтовое оборудование,4330.6,"3073,31733",709.6747171292661,0.0
1583650,50708000,100596,Новосибирская область,6,3981963.81,3981963.81,12.10.2018,Лифтовое оборудование,4877.1,"3981,96381",816.4613827889524,0.0
1583947,50708000,100661,Новосибирская область,6,3123590.03,3123590.03,20.10.2016,Лифтовое оборудование,4893.5,"3123,59003",638.3140962501277,0.0
1584896,50712000,100952,Новосибирская область,6,1969826.08,1969826.08,02.11.2017,Лифтовое оборудование,6552.9,"5043,14341",300.6037143859971,0.0
1584897,50712000,100952,Новосибирская область,6,3073317.33,3073317.33,20.10.2016,Лифтовое оборудование,6552.9,"5043,14341",469.00110332829746,0.0
1584948,50712000,100956,Новосибирская область,6,5972830.95,5972830.95,19.10.2018,Лифтовое оборудование,7823.0,"5972,83095",763.4962226767225,0.0
1585063,50712000,101062,Новосибирская область,6,6146634.66,6146634.66,20.10.2016,Лифтовое оборудование,9444.6,"6146,63466",650.809421256591,0.0
1596780,50701000,108229,Новосибирская область,6,5972896.64,5972896.64,10.10.2018,Лифтовое оборудование,16824.3,"5972,89664",355.0160565372705,0.0
1661533,50740000,110261,Новосибирская область,6,6247180.05,6247180.05,21.10.2016,Лифтовое оборудование,8622.0,"6247,18005",724.5627522616562,0.0
1600432,50701000,103366,Новосибирская область,6,17648525.92,17648525.92,02.11.2017,Лифтовое оборудование,23634.3,"17648,52592",746.7335998950679,0.0
1598724,50701000,103200,Новосибирская область,6,1975850.4,1975850.4,22.11.2017,Лифтовое оборудование,3284.81,"1975,85040",601.5113202894536,0.0
1600973,50701000,109019,Новосибирская область,6,2037268.41,2037268.41,19.12.2017,Лифтовое оборудование,5238.1,"2027,54763",388.9327065157213,0.0
1600615,50701000,103388,Новосибирская область,6,3073317.33,3073317.33,19.10.2016,Лифтовое оборудование,9241.23,"3073,31733",332.5658305225603,0.0
1602213,50701000,106351,Новосибирская область,6,12494360.11,12494360.11,14.10.2016,Лифтовое оборудование,20124.25,"12494,36011",620.8609071145509,0.0
1599873,50701000,103294,Новосибирская область,6,9619512.01,9619512.01,06.12.2017,Лифтовое оборудование,10964.2,"9619,51201",877.3564883894857,0.0
1599853,50701000,103292,Новосибирская область,6,7963746.57,7963746.57,03.10.2018,Лифтовое оборудование,8837.59,"7963,74657",901.1219766927409,0.0
1602233,50701000,106383,Новосибирская область,6,4685385.04,4685385.04,21.10.2016,Лифтовое оборудование,7028.5,"4685,38504",666.6265974247706,0.0
1599403,50701000,107696,Новосибирская область,6,9958862.43,9958862.43,03.10.2018,Лифтовое оборудование,12549.4,"9958,86243",793.5727947152852,0.0
1599216,50701000,107683,Новосибирская область,6,6347725.45,6347725.45,19.10.2016,Лифтовое оборудование,11618.0,"6347,72545",546.3698958512653,0.0
1601569,50701000,103522,Новосибирская область,6,5055552.35,5055552.35,28.12.2016,Лифтовое оборудование,10364.4,"5055,55235",487.7805131025433,0.0
1598834,50701000,103203,Новосибирская область,6,10932565.09,10932565.09,14.11.2016,Лифтовое оборудование,14296.8,"10932,56509",764.6861598399643,0.0
1598755,50701000,103196,Новосибирская область,6,1561795.01,1561795.01,19.10.2016,Лифтовое оборудование,3294.69,"1561,79501",474.03397891759164,0.0
1598739,50701000,103194,Новосибирская область,6,1561795.01,1561795.01,19.10.2016,Лифтовое оборудование,3296.96,"1739,29188",473.7076003348539,0.0
1599190,50701000,107699,Новосибирская область,6,6199939.01,6199939.01,10.10.2018,Лифтовое оборудование,5543.0,"6199,93901",1118.5168699260328,0.0
1606878,50701000,104028,Новосибирская область,6,12062003.63,12062003.63,12.12.2017,Лифтовое оборудование,18222.4,"12062,00363",661.9327657169198,0.0
