,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
56835,56705000,5437,Пензенская область,6,1830000.0,2001070.0,,Лифтовое оборудование,6607.5,"600,32100",302.84827847143396,9.348087431693997
66698,56701000,984,Пензенская область,6,1517488.34,1517488.34,28.12.2018,Лифтовое оборудование,11547.8,"7587,44169",131.40930220474897,0.0
66692,56701000,984,Пензенская область,6,1517488.34,1517488.34,28.12.2018,Лифтовое оборудование,11547.8,"7587,44169",131.40930220474897,0.0
66617,56701000,948,Пензенская область,6,1514692.36,1514692.36,05.03.2019,Лифтовое оборудование,3666.3,"1514,69236",413.13923028666505,0.0
66614,56701000,949,Пензенская область,6,1273931.32,1273931.32,22.06.2017,Лифтовое оборудование,3603.4,"1273,93132",353.53591607925847,0.0
66606,56701000,950,Пензенская область,6,1160246.47,1160246.47,25.08.2017,Лифтовое оборудование,4318.3,"1160,24647",268.68130282750155,0.0
66604,56701000,946,Пензенская область,6,1282763.66,1282763.66,22.06.2017,Лифтовое оборудование,3754.9,"1282,76366",341.6239207435617,0.0
66570,56701000,933,Пензенская область,6,3400472.77,3400472.77,09.08.2016,Лифтовое оборудование,5428.6,"3400,47277",626.399581844306,0.0
66567,56701000,934,Пензенская область,6,3448767.95,3448767.95,27.12.2017,Лифтовое оборудование,5561.8,"3448,76795",620.0812596641375,0.0
66502,56701000,937,Пензенская область,6,21776840.61,21776840.61,04.12.2016,Лифтовое оборудование,37954.46,"21776,84061",573.7623617883115,0.0
66243,56701000,884,Пензенская область,6,9023856.78,9023856.78,21.11.2017,Лифтовое оборудование,17705.84,"9023,85678",509.6542598374321,0.0
66016,56701000,831,Пензенская область,6,1570000.87,1570000.87,12.10.2018,Лифтовое оборудование,6408.4,"4710,00260",244.99108513825607,0.0
66014,56701000,831,Пензенская область,6,1570000.87,1570000.87,12.10.2018,Лифтовое оборудование,6408.4,"4710,00260",244.99108513825607,0.0
66012,56701000,831,Пензенская область,6,1570000.87,1570000.87,12.10.2018,Лифтовое оборудование,6408.4,"4710,00260",244.99108513825607,0.0
65709,56701000,746,Пензенская область,6,1607012.17,1607012.17,02.11.2018,Лифтовое оборудование,9067.4,"6428,04866",177.22965458676137,0.0
65708,56701000,746,Пензенская область,6,1607012.17,1607012.17,02.11.2018,Лифтовое оборудование,9067.4,"6428,04866",177.22965458676137,0.0
65707,56701000,746,Пензенская область,6,1607012.17,1607012.17,02.11.2018,Лифтовое оборудование,9067.4,"6428,04866",177.22965458676137,0.0
65703,56701000,746,Пензенская область,6,1607012.17,1607012.17,02.11.2018,Лифтовое оборудование,9067.4,"6428,04866",177.22965458676137,0.0
65701,56701000,747,Пензенская область,6,1340583.05,1340583.05,,Лифтовое оборудование,9520.7,"4480,01658",140.8071937987753,0.0
65700,56701000,747,Пензенская область,6,1340583.05,1340583.05,,Лифтовое оборудование,9520.7,"4480,01658",140.8071937987753,0.0
65699,56701000,747,Пензенская область,6,1340583.05,1340583.05,,Лифтовое оборудование,9520.7,"4480,01658",140.8071937987753,0.0
65698,56701000,747,Пензенская область,6,1340583.05,1340583.05,,Лифтовое оборудование,9520.7,"4480,01658",140.8071937987753,0.0
65639,56701000,752,Пензенская область,6,6693433.01,6693433.01,01.12.2017,Лифтовое оборудование,13987.7,"6693,43301",478.52277429455876,0.0
65531,56701000,753,Пензенская область,6,1697603.75,1697603.75,29.10.2018,Лифтовое оборудование,14555.4,"10185,62250",116.63051170012504,0.0
65530,56701000,753,Пензенская область,6,1697603.75,1697603.75,29.10.2018,Лифтовое оборудование,14555.4,"10185,62250",116.63051170012504,0.0
65529,56701000,753,Пензенская область,6,1697603.75,1697603.75,29.10.2018,Лифтовое оборудование,14555.4,"10185,62250",116.63051170012504,0.0
65524,56701000,753,Пензенская область,6,1697603.75,1697603.75,29.10.2018,Лифтовое оборудование,14555.4,"10185,62250",116.63051170012504,0.0
66697,56701000,984,Пензенская область,6,1517488.34,1517488.34,28.12.2018,Лифтовое оборудование,11547.8,"7587,44169",131.40930220474897,0.0
55253,56734000,5061,Пензенская область,6,1602927.24,1602927.24,,Лифтовое оборудование,2935.1,"519,51686",546.1235528602092,0.0
65523,56701000,753,Пензенская область,6,1697603.75,1697603.75,29.10.2018,Лифтовое оборудование,14555.4,"10185,62250",116.63051170012504,0.0
66700,56701000,984,Пензенская область,6,1517488.34,1517488.34,28.12.2018,Лифтовое оборудование,11547.8,"7587,44169",131.40930220474897,0.0
67224,56701000,970,Пензенская область,6,1548364.69,1548364.69,28.09.2018,Лифтовое оборудование,4283.3,"3096,72938",361.4887329862489,0.0
67220,56701000,979,Пензенская область,6,4585107.43,4585107.43,10.12.2017,Лифтовое оборудование,9281.3,"5265,28028",494.0156475924709,0.0
67214,56701000,981,Пензенская область,6,6464520.09,6464520.09,07.04.2016,Лифтовое оборудование,9382.48,"6464,52009",688.999080200544,0.0
67165,56701000,978,Пензенская область,6,5912318.6,5912318.6,22.04.2016,Лифтовое оборудование,9478.8,"5912,31860",623.7412541671941,0.0
66917,56701000,966,Пензенская область,6,2382325.46,2382325.46,27.05.2016,Лифтовое оборудование,3913.4,"2382,32546",608.7610415495477,0.0
66849,56701000,1023,Пензенская область,6,1753200.43,1753200.43,30.08.2019,Лифтовое оборудование,15200.0,"3772,42852",115.34213355263158,0.0
66848,56701000,1023,Пензенская область,6,1753200.43,1753200.43,30.08.2019,Лифтовое оборудование,15200.0,"3772,42852",115.34213355263158,0.0
66847,56701000,1023,Пензенская область,6,1753200.43,1753200.43,30.08.2019,Лифтовое оборудование,15200.0,"3772,42852",115.34213355263158,0.0
66846,56701000,1023,Пензенская область,6,1753200.43,1753200.43,30.08.2019,Лифтовое оборудование,15200.0,"3772,42852",115.34213355263158,0.0
66845,56701000,1023,Пензенская область,6,1753200.43,1753200.43,30.08.2019,Лифтовое оборудование,15200.0,"3772,42852",115.34213355263158,0.0
66844,56701000,1023,Пензенская область,6,1753200.43,1753200.43,30.08.2019,Лифтовое оборудование,15200.0,"3772,42852",115.34213355263158,0.0
66843,56701000,1023,Пензенская область,6,1753200.43,1753200.43,30.08.2019,Лифтовое оборудование,15200.0,"3772,42852",115.34213355263158,0.0
66824,56701000,1001,Пензенская область,6,1675470.54,1675470.54,06.12.2018,Лифтовое оборудование,18764.8,"13403,76433",89.2879508441337,0.0
66823,56701000,1001,Пензенская область,6,1675470.54,1675470.54,06.12.2018,Лифтовое оборудование,18764.8,"13403,76433",89.2879508441337,0.0
66822,56701000,1001,Пензенская область,6,1675470.54,1675470.54,06.12.2018,Лифтовое оборудование,18764.8,"13403,76433",89.2879508441337,0.0
66821,56701000,1001,Пензенская область,6,1675470.54,1675470.54,06.12.2018,Лифтовое оборудование,18764.8,"13403,76433",89.2879508441337,0.0
66820,56701000,1001,Пензенская область,6,1675470.54,1675470.54,06.12.2018,Лифтовое оборудование,18764.8,"13403,76433",89.2879508441337,0.0
66819,56701000,1001,Пензенская область,6,1675470.54,1675470.54,06.12.2018,Лифтовое оборудование,18764.8,"13403,76433",89.2879508441337,0.0
66817,56701000,1001,Пензенская область,6,1675470.54,1675470.54,06.12.2018,Лифтовое оборудование,18764.8,"13403,76433",89.2879508441337,0.0
66815,56701000,1001,Пензенская область,6,1675470.54,1675470.54,06.12.2018,Лифтовое оборудование,18764.8,"13403,76433",89.2879508441337,0.0
66810,56701000,986,Пензенская область,6,1799509.55,1799509.55,04.12.2018,Лифтовое оборудование,12176.1,"8997,54775",147.79030641995385,0.0
66809,56701000,986,Пензенская область,6,1799509.55,1799509.55,04.12.2018,Лифтовое оборудование,12176.1,"8997,54775",147.79030641995385,0.0
66807,56701000,986,Пензенская область,6,1799509.55,1799509.55,04.12.2018,Лифтовое оборудование,12176.1,"8997,54775",147.79030641995385,0.0
66806,56701000,986,Пензенская область,6,1799509.55,1799509.55,04.12.2018,Лифтовое оборудование,12176.1,"8997,54775",147.79030641995385,0.0
66805,56701000,986,Пензенская область,6,1799509.55,1799509.55,04.12.2018,Лифтовое оборудование,12176.1,"8997,54775",147.79030641995385,0.0
66699,56701000,984,Пензенская область,6,1517488.34,1517488.34,28.12.2018,Лифтовое оборудование,11547.8,"7587,44169",131.40930220474897,0.0
65522,56701000,753,Пензенская область,6,1697603.75,1697603.75,29.10.2018,Лифтовое оборудование,14555.4,"10185,62250",116.63051170012504,0.0
67287,56701000,975,Пензенская область,6,4526884.19,4526884.19,09.04.2016,Лифтовое оборудование,7000.7,"4526,88419",646.6330781207595,0.0
65296,56701000,684,Пензенская область,6,3792285.45,3792285.45,22.06.2017,Лифтовое оборудование,7143.6,"3792,28545",530.8647530656812,0.0
65281,56701000,679,Пензенская область,6,1707495.36,1707495.36,23.10.2018,Лифтовое оборудование,6460.8,"5122,48608",264.28543833580983,0.0
65280,56701000,679,Пензенская область,6,1707495.36,1707495.36,23.10.2018,Лифтовое оборудование,6460.8,"5122,48608",264.28543833580983,0.0
65259,56701000,680,Пензенская область,6,3376892.56,3376892.56,07.12.2017,Лифтовое оборудование,6510.8,"3376,89256",518.6601585058671,0.0
65243,56701000,681,Пензенская область,6,3730212.84,3730212.84,22.06.2017,Лифтовое оборудование,6804.91,"3730,21284",548.1649044586923,0.0
65234,56701000,708,Пензенская область,6,4593341.19,4593341.19,19.12.2017,Лифтовое оборудование,7965.2,"4593,34119",576.6761901772712,0.0
65209,56701000,687,Пензенская область,6,4516144.16,4516144.16,11.12.2017,Лифтовое оборудование,9092.7,"4516,14416",496.67801203162975,0.0
65174,56701000,695,Пензенская область,6,12415923.39,12415923.39,15.07.2015,Лифтовое оборудование,18821.6,"12415,92339",659.6635456071748,0.0
65162,56701000,688,Пензенская область,6,1713006.65,1713006.65,22.08.2019,Лифтовое оборудование,9154.1,"3603,51540",187.12999093302452,0.0
65161,56701000,688,Пензенская область,6,1713006.65,1713006.65,22.08.2019,Лифтовое оборудование,9154.1,"3603,51540",187.12999093302452,0.0
65160,56701000,688,Пензенская область,6,1713006.65,1713006.65,22.08.2019,Лифтовое оборудование,9154.1,"3603,51540",187.12999093302452,0.0
65159,56701000,688,Пензенская область,6,1713006.65,1713006.65,22.08.2019,Лифтовое оборудование,9154.1,"3603,51540",187.12999093302452,0.0
65153,56701000,696,Пензенская область,6,12415628.5,12415628.5,15.07.2015,Лифтовое оборудование,18789.06,"32124,85595",660.7902949908084,0.0
65143,56701000,689,Пензенская область,6,5643536.89,5643536.89,27.11.2017,Лифтовое оборудование,11663.1,"5643,53689",483.87966235391957,0.0
65132,56701000,686,Пензенская область,6,5537228.23,5537228.23,30.05.2016,Лифтовое оборудование,9029.6,"5537,22823",613.2307333658191,0.0
65119,56701000,683,Пензенская область,6,3492572.77,3492572.77,16.06.2017,Лифтовое оборудование,7304.43,"3378,57277",478.1444643866804,0.0
65070,56701000,669,Пензенская область,6,13912681.05,13912681.05,27.10.2015,Лифтовое оборудование,20589.5,"13912,68105",675.7172855096045,0.0
65045,56701000,663,Пензенская область,6,6140745.27,6140745.27,27.10.2015,Лифтовое оборудование,8875.6,"6140,74527",691.86818581279,0.0
65024,56701000,664,Пензенская область,6,4661597.85,4661597.85,01.06.2016,Лифтовое оборудование,10936.6,"4661,59785",426.2383053234094,0.0
65011,56701000,667,Пензенская область,6,10241863.22,10241863.22,25.11.2016,Лифтовое оборудование,14651.7,"10241,86322",699.0221762662353,0.0
64977,56701000,662,Пензенская область,6,1057785.55,1057785.55,09.01.2018,Лифтовое оборудование,8675.5,"4386,18109",121.9279061725549,0.0
64972,56701000,662,Пензенская область,6,1057785.55,1057785.55,09.01.2018,Лифтовое оборудование,8675.5,"4386,18109",121.9279061725549,0.0
64971,56701000,662,Пензенская область,6,1057785.55,1057785.55,09.01.2018,Лифтовое оборудование,8675.5,"4386,18109",121.9279061725549,0.0
64970,56701000,662,Пензенская область,6,1057785.55,1057785.55,09.01.2018,Лифтовое оборудование,8675.5,"4386,18109",121.9279061725549,0.0
64962,56701000,665,Пензенская область,6,1450399.28,1450399.28,28.03.2019,Лифтовое оборудование,11284.4,"7423,31352",128.53136010775938,0.0
64961,56701000,665,Пензенская область,6,1450399.28,1450399.28,28.03.2019,Лифтовое оборудование,11284.4,"7423,31352",128.53136010775938,0.0
65285,56701000,679,Пензенская область,6,1707495.36,1707495.36,23.10.2018,Лифтовое оборудование,6460.8,"5122,48608",264.28543833580983,0.0
65310,56701000,682,Пензенская область,6,1516812.33,1516812.33,20.12.2018,Лифтовое оборудование,6565.5,"4550,43699",231.02769476810602,0.0
65488,56701000,750,Пензенская область,6,7725938.23,7725938.23,15.12.2016,Лифтовое оборудование,10853.7,"7725,93823",711.8252973640325,0.0
65311,56701000,682,Пензенская область,6,1516812.33,1516812.33,20.12.2018,Лифтовое оборудование,6565.5,"4550,43699",231.02769476810602,0.0
65481,56701000,732,Пензенская область,6,2466169.32,2466169.32,08.06.2017,Лифтовое оборудование,4736.52,"2466,16932",520.6711509715993,0.0
65473,56701000,745,Пензенская область,6,4393568.43,4393568.43,25.08.2017,Лифтовое оборудование,9311.1,"4393,56843",471.86352095885553,0.0
65390,56701000,694,Пензенская область,6,13540424.03,13540424.03,28.11.2016,Лифтовое оборудование,18674.0,"13540,42403",725.0949999999999,0.0
65381,56701000,690,Пензенская область,6,1543139.11,1543139.11,24.09.2018,Лифтовое оборудование,13415.62,"9258,83468",115.0255530493559,0.0
