,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5328706,58701000,600101178,Псковская область,6,339432.0,3721752.48,27.09.2016,Лифтовое оборудование,3801.6,"3721,75000",978.9963383838384,996.4648235876405
5328650,58701000,600101179,Псковская область,6,1353964.0,9287687.42,21.12.2016,Лифтовое оборудование,11576.3,"9773,48000",802.3018943876714,585.9626563187795
5325715,58701000,600101018,Псковская область,6,1570726.0,5548768.62,27.09.2016,Лифтовое оборудование,13429.6,"9105,99000",413.17452641925297,253.26139759576148
5316104,58710000,600200106,Псковская область,6,1530089.0,1530089.86,21.12.2016,Лифтовое оборудование,2622.1,"1842,06000",583.5360436291522,5.6205880838433586e-05
5315849,58710000,600200094,Псковская область,6,4786940.0,4786940.66,21.12.2016,Лифтовое оборудование,8058.1,"5191,95000",594.053270622107,1.378751353087182e-05
5328688,58701000,600101177,Псковская область,6,6754674.58,5655000.0,10.07.2018,Лифтовое оборудование,7397.6,"6028,48000",764.4371147399156,-16.280200725820904
5316005,58710000,600200101,Псковская область,6,6152583.04,5094605.63,20.12.2018,Лифтовое оборудование,6738.2,"5704,68000",756.0781262058116,-17.195662425386793
5332187,58701000,600100209,Псковская область,6,11475715.12,9309962.49,30.08.2018,Лифтовое оборудование,12568.0,"9669,64000",740.7672254933163,-18.872485133632345
5319436,58710000,600200063,Псковская область,6,2096545.95,1659262.5,,Лифтовое оборудование,2296.1,"332,65000",722.6438308436044,-20.857327262490955
5319922,58710000,600200172,Псковская область,6,7225463.79,5499772.73,,Лифтовое оборудование,7913.2,"462,50000",695.0124766213416,-23.883464233650244
5336390,58701000,600100439,Псковская область,6,12834292.6,9373752.72,13.05.2019,Лифтовое оборудование,14055.89,"10172,77000",666.8914398163333,-26.96323036923748
5319117,58710000,600200049,Псковская область,6,4886492.44,3319337.34,,Лифтовое оборудование,5351.6,"404,56000",620.2513902384333,-32.07116595886927
5320366,58710000,600200196,Псковская область,6,2478948.04,1647919.24,,Лифтовое оборудование,2714.9,"342,51000",606.9907694574385,-33.523445695134455
5347925,58701000,600101207,Псковская область,6,19204200.19,12208627.96,16.07.2019,Лифтовое оборудование,21032.1,"12933,72000",580.4759372578108,-36.42730319819687
5334597,58701000,600100340,Псковская область,6,4110639.87,2600000.0,10.07.2018,Лифтовое оборудование,4501.9,"2869,24000",577.5339301183946,-36.74950659202359
5320095,58710000,600200180,Псковская область,6,2965351.08,1825521.26,,Лифтовое оборудование,3247.6,"355,04000",562.1139487621629,-38.43827557848564
5316145,58710000,600200108,Псковская область,6,2753821.0,1530147.06,21.12.2016,Лифтовое оборудование,2712.3,"1843,28000",564.1511116026988,-44.43549308397314
5317520,58710000,600200467,Псковская область,6,5334828.76,2876857.81,,Лифтовое оборудование,5842.61,"100,00000",492.39257968613344,-46.07403649822117
5319319,58710000,600200056,Псковская область,6,5374630.36,1659769.65,,Лифтовое оборудование,5886.2,"417,14000",281.9764279161428,-69.11844091916305
5319465,58710000,600200064,Псковская область,6,5451512.54,1660363.24,,Лифтовое оборудование,5970.4,"419,13000",278.09916253517355,-69.54307216910483
5319335,58710000,600200057,Псковская область,6,5535151.58,1660455.85,,Лифтовое оборудование,6062.0,"421,28000",273.91221544044873,-70.00161917878319
5319508,58710000,600200066,Псковская область,6,5581262.63,1654326.24,,Лифтовое оборудование,6112.5,"422,47000",270.64641963190184,-70.35928337957463
5347021,58701000,602600055,Псковская область,6,7456840.79,0.0,,Лифтовое оборудование,8166.6,"0,00000",0.0,-100.0
5346743,58701000,600101150,Псковская область,6,2956220.18,0.0,,Лифтовое оборудование,3237.6,"0,00000",0.0,-100.0
5344305,58701000,600100997,Псковская область,6,9564252.51,0.0,,Лифтовое оборудование,10474.6,"0,00000",0.0,-100.0
5345165,58701000,600101059,Псковская область,6,5129100.46,0.0,,Лифтовое оборудование,5617.3,"0,00000",0.0,-100.0
5345387,58701000,600101072,Псковская область,6,3494030.19,0.0,,Лифтовое оборудование,3826.6,"1439,31000",0.0,-100.0
5345639,58701000,600101086,Псковская область,6,7330469.14,0.0,,Лифтовое оборудование,8028.2,"0,00000",0.0,-100.0
5347211,58701000,602600063,Псковская область,6,4940364.75,0.0,,Лифтовое оборудование,5410.6,"0,00000",0.0,-100.0
5346268,58701000,600101125,Псковская область,6,25546614.64,0.0,,Лифтовое оборудование,27978.2,"0,00000",0.0,-100.0
5346292,58701000,600101126,Псковская область,6,8914132.43,0.0,,Лифтовое оборудование,9762.6,"0,00000",0.0,-100.0
5346339,58701000,602600070,Псковская область,6,17832739.01,0.0,,Лифтовое оборудование,19530.1,"0,00000",0.0,-100.0
5346434,58701000,602600069,Псковская область,6,15249059.55,0.0,,Лифтовое оборудование,16700.5,"0,00000",0.0,-100.0
5346438,58701000,600101132,Псковская область,6,5104994.88,0.0,,Лифтовое оборудование,5590.9,"0,00000",0.0,-100.0
5347174,58701000,602600062,Псковская область,6,4909958.86,0.0,,Лифтовое оборудование,5377.3,"0,00000",0.0,-100.0
5347148,58701000,602600060,Псковская область,6,7419495.41,0.0,,Лифтовое оборудование,8125.7,"0,00000",0.0,-100.0
5347159,58701000,602600061,Псковская область,6,6292468.43,0.0,,Лифтовое оборудование,6891.4,"0,00000",0.0,-100.0
5346997,58701000,602600054,Псковская область,6,10516879.31,0.0,,Лифтовое оборудование,11517.9,"0,00000",0.0,-100.0
5346904,58701000,602600050,Псковская область,6,7156068.95,0.0,,Лифтовое оборудование,7837.2,"0,00000",0.0,-100.0
5347104,58701000,602600059,Псковская область,6,7285545.11,0.0,,Лифтовое оборудование,7979.0,"0,00000",0.0,-100.0
5346920,58701000,602600051,Псковская область,6,8589437.63,0.0,,Лифтовое оборудование,9407.0,"0,00000",0.0,-100.0
5347082,58701000,602600058,Псковская область,6,4965383.42,0.0,,Лифтовое оборудование,5438.0,"0,00000",0.0,-100.0
