,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6055879,81701000,2324,Республика Бурятия,6,3242254.83,3276348.17,27.01.2016,Лифтовое оборудование,5452.1,"3243,46327",600.9332495735588,1.0515317822812786
6055874,81701000,2323,Республика Бурятия,6,3199437.87,3229884.68,27.01.2016,Лифтовое оборудование,5380.1,"3204,19053",600.3391535473319,0.951629981175417
6057820,81701000,2660,Республика Бурятия,6,3198724.25,3199318.49,10.12.2015,Лифтовое оборудование,5378.9,"3199,31849",594.7904757478295,0.018577406289410625
6057823,81701000,2661,Республика Бурятия,6,3268557.52,3269154.9,10.12.2015,Лифтовое оборудование,5496.33,"3163,54333",594.7886862688375,0.018276563785235567
6057830,81701000,2662,Республика Бурятия,6,3264139.05,3264703.57,18.12.2015,Лифтовое оборудование,5488.9,"3264,70357",594.7828472007142,0.017294606367945775
6054306,81701000,2098,Республика Бурятия,6,6923694.19,6590118.43,11.02.2016,Лифтовое оборудование,11828.5,"6540,07715",557.1389804286257,-4.817886966784135
6054327,81701000,2101,Республика Бурятия,6,6934640.05,6576542.32,27.01.2016,Лифтовое оборудование,11847.2,"6407,83450",555.1136403538388,-5.163897872392087
6062541,81701000,3279,Республика Бурятия,6,5603951.85,5307004.83,31.05.2017,Лифтовое оборудование,7737.7,"5422,53166",685.8633482817892,-5.298885999529057
6062741,81701000,3317,Республика Бурятия,6,6415462.77,5526918.26,31.05.2017,Лифтовое оборудование,12127.7,"5659,17458",455.72682866495705,-13.850045458217197
6057675,81701000,2637,Республика Бурятия,6,4339092.17,3499501.2,29.05.2019,Лифтовое оборудование,5760.8,"3652,06530",607.4679211220664,-19.349461525727396
6063258,81701000,3380,Республика Бурятия,6,6265834.78,5007629.04,31.05.2017,Лифтовое оборудование,8651.6,"5136,73298",578.8095889777613,-20.080416802819055
6055951,81701000,2339,Республика Бурятия,6,4083816.64,3217769.67,31.05.2017,Лифтовое оборудование,5288.0,"3303,06722",608.5040979576399,-21.206803496446902
6059083,81701000,2821,Республика Бурятия,6,8291429.76,6529539.29,31.05.2017,Лифтовое оборудование,10736.3,"6702,72009",608.1740720732469,-21.24953742597947
