,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2954739,90701000,1000000389,Республика Северная Осетия-Алания,6,1800000.0,1941131.0,26.12.2016,Лифтовое оборудование,2653.29,"0,00000",731.593983318823,7.840611111111118
2952205,90701000,1000000102,Республика Северная Осетия-Алания,6,4800000.0,5106918.0,26.12.2016,Лифтовое оборудование,5949.0,"0,00000",858.4498234997478,6.394125000000006
2954906,90701000,1000000399,Республика Северная Осетия-Алания,6,8652000.0,8808740.0,,Лифтовое оборудование,8044.5,"0,00000",1095.0015538566722,1.8116042533518284
2954616,90701000,1000000376,Республика Северная Осетия-Алания,6,10815000.0,11010925.0,,Лифтовое оборудование,10144.6,"0,00000",1085.397649981271,1.8116042533518284
2957188,90701000,1000000696,Республика Северная Осетия-Алания,6,4800000.0,4776000.0,30.05.2019,Лифтовое оборудование,2929.3,"0,00000",1630.4236507015328,-0.5000000000000004
2952672,90701000,1000000090,Республика Северная Осетия-Алания,6,6600000.0,6567000.0,11.06.2019,Лифтовое оборудование,4558.4,"0,00000",1440.6370656370657,-0.5000000000000004
2952678,90701000,1000000091,Республика Северная Осетия-Алания,6,6600000.0,6567000.0,11.06.2019,Лифтовое оборудование,5122.8,"0,00000",1281.9161396111501,-0.5000000000000004
2952701,90701000,1000000092,Республика Северная Осетия-Алания,6,6600000.0,6567000.0,11.06.2019,Лифтовое оборудование,4558.4,"0,00000",1440.6370656370657,-0.5000000000000004
2952752,90701000,1000001084,Республика Северная Осетия-Алания,6,13200000.0,13134000.0,,Лифтовое оборудование,9577.2,"0,00000",1371.382032326776,-0.5000000000000004
2965591,90701000,1000001780,Республика Северная Осетия-Алания,6,2300000.0,2288500.0,16.04.2019,Лифтовое оборудование,2423.2,"0,00000",944.4123473093431,-0.5000000000000004
2952782,90701000,1000000096,Республика Северная Осетия-Алания,6,13200000.0,13134000.0,11.06.2019,Лифтовое оборудование,11427.4,"0,00000",1149.342807637783,-0.5000000000000004
2957219,90701000,1000000698,Республика Северная Осетия-Алания,6,4800000.0,4776000.0,18.04.2019,Лифтовое оборудование,2563.4,"0,00000",1863.150503237887,-0.5000000000000004
2957154,90701000,1000000688,Республика Северная Осетия-Алания,6,15141000.0,15065295.0,15.04.2019,Лифтовое оборудование,14500.0,"0,00000",1038.9858620689656,-0.5000000000000004
2965682,90701000,1000001794,Республика Северная Осетия-Алания,6,2200000.0,2189000.0,,Лифтовое оборудование,1978.6,"0,00000",1106.3378146163955,-0.5000000000000004
2955083,90701000,1000000411,Республика Северная Осетия-Алания,6,2300000.0,2288500.0,19.04.2019,Лифтовое оборудование,2132.2,"0,00000",1073.3045680517776,-0.5000000000000004
2952936,90701000,1000000180,Республика Северная Осетия-Алания,6,2530000.0,2517350.0,19.04.2019,Лифтовое оборудование,4928.4,"0,00000",510.7844330817304,-0.5000000000000004
2964922,90701000,1000001709,Республика Северная Осетия-Алания,6,4800000.0,4776000.0,18.04.2019,Лифтовое оборудование,2702.3,"0,00000",1767.3833401176773,-0.5000000000000004
2964933,90701000,1000001699,Республика Северная Осетия-Алания,6,8652000.0,8608740.0,15.04.2019,Лифтовое оборудование,8389.2,"0,00000",1026.169360606494,-0.5000000000000004
2964952,90701000,1000001700,Республика Северная Осетия-Алания,6,4800000.0,4776000.0,18.04.2019,Лифтовое оборудование,2784.0,"0,00000",1715.5172413793102,-0.5000000000000004
2965128,90701000,1000001738,Республика Северная Осетия-Алания,6,4800000.0,4776000.0,23.04.2019,Лифтовое оборудование,3896.0,"0,00000",1225.8726899383983,-0.5000000000000004
2965229,90701000,1000001748,Республика Северная Осетия-Алания,6,4800000.0,4776000.0,16.04.2019,Лифтовое оборудование,2726.5,"0,00000",1751.6963139556208,-0.5000000000000004
2965442,90701000,1000001767,Республика Северная Осетия-Алания,6,4326000.0,4304370.0,15.04.2019,Лифтовое оборудование,4077.3,"0,00000",1055.6912662791553,-0.5000000000000004
2965269,90701000,1000001752,Республика Северная Осетия-Алания,6,6489000.0,6456555.0,04.06.2019,Лифтовое оборудование,8201.3,"0,00000",787.2599465938328,-0.5000000000000004
2956707,90701000,1000000677,Республика Северная Осетия-Алания,6,8652000.0,8608740.0,,Лифтовое оборудование,8132.13,"0,00000",1058.608261304234,-0.5000000000000004
