,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6220470,40304000,13345,Санкт-Петербург,6,2065794.34,3152081.8,02.10.2014,Лифтовое оборудование,3540.0,"6048,16879",890.4185875706214,52.58449202644246
6205936,40302000,160940,Санкт-Петербург,6,3784185.0,5598403.44,,Лифтовое оборудование,10957.55,"26032,15388",510.9174441366912,47.94211805183943
6205935,40302000,160940,Санкт-Петербург,6,3784185.0,5598403.43,,Лифтовое оборудование,10957.55,"26032,15388",510.9174432240784,47.94211778758173
6212390,40303000,3447,Санкт-Петербург,6,2067598.79,2608788.22,,Лифтовое оборудование,8283.4,"2322,99742",314.9417171692784,26.17477977920466
6236463,40306000,64508,Санкт-Петербург,6,3173730.0,3741211.9,,Лифтовое оборудование,2878.8,"7685,24404",1299.5733986383214,17.88059790845471
6236461,40306000,64508,Санкт-Петербург,6,3173730.0,3741211.9,,Лифтовое оборудование,2878.8,"7685,24404",1299.5733986383214,17.88059790845471
6212613,40303000,9920,Санкт-Петербург,6,3437874.86,3550066.65,02.10.2014,Лифтовое оборудование,12237.77,"22787,59499",290.09097654229487,3.263405288696286
6195126,40301000,5261,Санкт-Петербург,6,2253597.62,2323995.66,11.12.2015,Лифтовое оборудование,12642.0,"14314,44177",183.8313289036545,3.123806990885969
6212610,40303000,9920,Санкт-Петербург,6,3437874.85,3536761.67,02.10.2014,Лифтовое оборудование,12237.77,"22787,59499",289.0037702947514,2.8763938280068624
6236183,40306000,13915,Санкт-Петербург,6,2408076.78,2436272.85,,Лифтовое оборудование,7705.2,"9150,40395",316.18554352904533,1.1708958050747897
6212710,40303000,3468,Санкт-Петербург,6,1936113.67,1958562.12,,Лифтовое оборудование,7071.3,"19897,60893",276.97341648636035,1.15945929972181
6193943,40301000,5227,Санкт-Петербург,6,3755914.93,3796380.11,30.12.2015,Лифтовое оборудование,3491.6,"0,00000",1087.2895262916713,1.077372111833208
6229144,40305000,178988,Санкт-Петербург,6,2017464.31,2036956.27,,Лифтовое оборудование,2748.7,"4212,08982",741.0616909811912,0.9661613295156579
6236325,40306000,187463,Санкт-Петербург,6,2593650.0,2612154.6,12.08.2014,Лифтовое оборудование,10003.6,"10236,02102",261.12145627574074,0.7134578682551629
6194799,40301000,5384,Санкт-Петербург,6,3106487.29,3110221.72,,Лифтовое оборудование,3296.3,"6470,62440",943.549349270394,0.12021391531269465
6212477,40303000,8072,Санкт-Петербург,6,4077735.0,4077735.0,,Лифтовое оборудование,1602.2,"2597,25178",2545.084883285482,0.0
6229332,40305000,12663,Санкт-Петербург,6,4151480.0,4151480.0,,Лифтовое оборудование,14653.2,"4276,07805",283.3155897687877,0.0
6205941,40302000,160940,Санкт-Петербург,6,4017990.0,4017990.0,,Лифтовое оборудование,10957.55,"26032,15388",366.68689624961786,0.0
6212475,40303000,8072,Санкт-Петербург,6,4077735.0,4077735.0,,Лифтовое оборудование,1602.2,"2597,25178",2545.084883285482,0.0
6212826,40303000,5674,Санкт-Петербург,6,4287165.13,4265305.0,,Лифтовое оборудование,5922.6,"2817,00072",720.1744166413399,-0.509897084370059
6212833,40303000,5674,Санкт-Петербург,6,4287165.13,4265305.0,,Лифтовое оборудование,5922.6,"2817,00072",720.1744166413399,-0.509897084370059
6228901,40305000,16056,Санкт-Петербург,6,3892913.84,3872570.0,,Лифтовое оборудование,10540.5,"3984,85596",367.3990797400503,-0.5225864438859418
6194948,40301000,2621,Санкт-Петербург,6,4173134.06,4151100.0,,Лифтовое оборудование,4147.7,"4275,84154",1000.8197314174121,-0.5279978951838404
6228713,40305000,14730,Санкт-Петербург,6,3852543.83,3832200.0,,Лифтовое оборудование,2953.4,"4307,42676",1297.5553599241553,-0.5280622595797979
6205693,40302000,4986,Санкт-Петербург,6,4065223.0,4043390.0,,Лифтовое оборудование,5382.73,"5051,59838",751.1783054323736,-0.537067708216743
6206211,40302000,179175,Санкт-Петербург,6,4279544.29,4255820.0,,Лифтовое оборудование,11930.4,"15630,64024",356.7206464158788,-0.5543648667321044
6195407,40301000,165679,Санкт-Петербург,6,3940734.07,3918700.0,,Лифтовое оборудование,8602.9,"4145,43717",455.5091887619291,-0.5591361814475282
6220832,40304000,13298,Санкт-Петербург,6,2546944.5,2532482.42,,Лифтовое оборудование,2971.1,"6109,14760",852.3719901719902,-0.5678207750502651
6229149,40305000,163823,Санкт-Петербург,6,3679978.96,3658790.0,,Лифтовое оборудование,5592.4,"17551,21018",654.2432587082469,-0.575790248539898
6229148,40305000,163823,Санкт-Петербург,6,3679978.96,3658790.0,,Лифтовое оборудование,5592.4,"17551,21018",654.2432587082469,-0.575790248539898
6236416,40306000,171462,Санкт-Петербург,6,3230150.11,3211323.7,,Лифтовое оборудование,5928.0,"6769,61387",541.7212719298246,-0.58283390427325
6236686,40306000,179882,Санкт-Петербург,6,2233577.82,2215655.93,,Лифтовое оборудование,6919.6,"4704,85559",320.20000144517024,-0.8023848481804707
6236773,40306000,13952,Санкт-Петербург,6,2965334.65,2940960.0,,Лифтовое оборудование,777.1,"1986,47437",3784.5322352335606,-0.8219864830433243
6236777,40306000,13952,Санкт-Петербург,6,2965334.65,2940960.0,,Лифтовое оборудование,777.1,"1986,47437",3784.5322352335606,-0.8219864830433243
6236439,40306000,64518,Санкт-Петербург,6,2594119.08,2571323.79,,Лифтовое оборудование,2770.8,"10006,88585",928.0077197921178,-0.8787295146065577
6220077,40304000,179424,Санкт-Петербург,6,4393741.76,4353830.0,,Лифтовое оборудование,18895.6,"4544,15678",230.41501725269376,-0.9083774645872622
6236770,40306000,13949,Санкт-Петербург,6,4668525.0,4626057.0,,Лифтовое оборудование,9905.1,"4781,45273",467.03788957203864,-0.9096663293010065
6221151,40304000,14861,Санкт-Петербург,6,4445663.19,4405190.0,,Лифтовое оборудование,2266.0,"133,26188",1944.037952338923,-0.9103971279479817
6236391,40306000,64479,Санкт-Петербург,6,3232144.79,3202247.43,,Лифтовое оборудование,1735.6,"6189,99570",1845.0376987785205,-0.9250006402095612
6205716,40302000,9749,Санкт-Петербург,6,4331631.67,4291306.67,,Лифтовое оборудование,16129.1,"41300,72052",266.0598960884364,-0.9309424963180213
