,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
482139,64701000,3043,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,4939.8,"0,00000",0.0,
482147,64701000,4536,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,5220.7,"0,00000",0.0,
482278,64701000,3062,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,9391.0,"0,00000",0.0,
485513,64701000,3645,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,4501.3,"0,00000",0.0,
485899,64701000,4551,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,7148.6,"0,00000",0.0,
487384,64701000,4556,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,8127.02,"0,00000",0.0,
488024,64701000,4557,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,1600.0,"0,00000",0.0,
488029,64701000,4558,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,1600.0,"0,00000",0.0,
488036,64701000,4559,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,1600.0,"0,00000",0.0,
488042,64701000,4560,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,1600.0,"0,00000",0.0,
488158,64701000,4561,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2232.8,"0,00000",0.0,
488374,64701000,3928,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,11912.0,"0,00000",0.0,
489379,64701000,4050,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2359.2,"279,48000",0.0,
489387,64701000,4577,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2800.0,"0,00000",0.0,
489434,64701000,4056,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,3781.82,"1337,38000",0.0,
491664,64701000,4334,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,7889.3,"0,00000",0.0,
491796,64701000,4350,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2494.2,"0,00000",0.0,
491946,64712000,333,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,3162.8,"0,00000",0.0,
492447,64712000,413,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2639.8,"0,00000",0.0,
507727,64754000,2422,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,3359.3,"0,00000",0.0,
507813,64754000,5938,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,6334.5,"0,00000",0.0,
507857,64754000,5940,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,3644.6,"0,00000",0.0,
508319,64754000,2495,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2732.0,"0,00000",0.0,
508327,64754000,2496,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2729.6,"0,00000",0.0,
508356,64754000,2499,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,3767.4,"0,00000",0.0,
508361,64754000,2500,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,3653.9,"0,00000",0.0,
508574,64754000,2529,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2900.5,"421,85000",0.0,
509033,64754000,2587,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,5334.0,"0,00000",0.0,
509098,64754000,2595,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2328.9,"0,00000",0.0,
509236,64754000,2616,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,4672.7,"0,00000",0.0,
509249,64754000,2617,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,2338.3,"0,00000",0.0,
509369,64754000,4532,Сахалинская область,7,0.0,0.0,,Лифтовое оборудование,4580.0,"0,00000",0.0,
