,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3473936,73701000,220,Ульяновская область,6,9703300.0,7449887.5,30.08.2019,Лифтовое оборудование,12987.0,"3159,60000",573.6419111419111,0.23223156039697834
3473956,73701000,221,Ульяновская область,6,10225800.0,7979002.43,29.03.2019,Лифтовое оборудование,13810.8,"7450,00000",577.7364403220668,0.21971851297697984
3454553,73705000,5137,Ульяновская область,6,4000000.0,3314880.0,14.03.2016,Лифтовое оборудование,6297.12,"3314,90000",526.4120740910131,0.17128
3456270,73705000,5300,Ульяновская область,6,2000000.0,1657440.0,29.03.2016,Лифтовое оборудование,6050.02,"1657,40000",273.9561191533251,0.17128
3461689,73701000,3841,Ульяновская область,6,8000000.0,7321756.0,16.03.2016,Лифтовое оборудование,9963.45,"7321,80000",734.8615188514018,0.0847805
3457712,73705000,373,Ульяновская область,6,4000000.0,3660880.0,15.03.2016,Лифтовое оборудование,4712.52,"3660,90000",776.84126539516,0.08478
3461677,73701000,3840,Ульяновская область,6,12000000.0,10982640.0,16.03.2016,Лифтовое оборудование,15052.98,"10982,60000",729.5990561337356,0.08478
3464438,73701000,87,Ульяновская область,6,12000000.0,10982640.0,22.03.2016,Лифтовое оборудование,20910.0,"10982,60000",525.2338593974175,0.08478
3466196,73701000,106,Ульяновская область,6,12000000.0,10982640.0,22.03.2016,Лифтовое оборудование,17455.4,"10982,60000",629.1829462515897,0.08478
3457768,73705000,377,Ульяновская область,6,4000000.0,3660880.0,15.03.2016,Лифтовое оборудование,5194.23,"3660,90000",704.7974386963997,0.08478
3464096,73701000,1432,Ульяновская область,6,4000000.0,3660880.0,10.03.2016,Лифтовое оборудование,7748.51,"3660,90000",472.46244761896156,0.08478
3454635,73705000,93077,Ульяновская область,6,4000000.0,3660880.0,14.03.2016,Лифтовое оборудование,4565.04,"3660,90000",801.9382086465836,0.08478
3457004,73705000,96587,Ульяновская область,6,6000000.0,5491320.0,14.09.2016,Лифтовое оборудование,7446.72,"5491,30000",737.4145932705943,0.08478
3476339,73701000,265,Ульяновская область,6,12000000.0,10982640.0,10.03.2016,Лифтовое оборудование,15244.97,"10982,60000",720.4107321956029,0.08478
3479447,73701000,306,Ульяновская область,6,12000000.0,10982640.0,28.03.2016,Лифтовое оборудование,20203.3,"10982,60000",543.6062425445348,0.08478
3461694,73701000,28,Ульяновская область,6,12000000.0,11018640.0,16.03.2016,Лифтовое оборудование,14742.11,"11018,60000",747.4262503807121,0.08178
3464043,73701000,715,Ульяновская область,6,2000000.0,1882439.99,30.12.2015,Лифтовое оборудование,2235.0,"1882,40000",842.2550290827741,0.058780005
3476191,73701000,848,Ульяновская область,6,2000000.0,1882440.0,24.03.2016,Лифтовое оборудование,5580.94,"1882,40000",337.29801789662673,0.05878
3476303,73701000,850,Ульяновская область,6,4000000.0,3764880.0,24.03.2016,Лифтовое оборудование,12652.1,"3764,90000",297.5695734304977,0.05878
3476313,73701000,262,Ульяновская область,6,8000000.0,7529760.0,30.03.2016,Лифтовое оборудование,9679.78,"7529,80000",777.8854478097642,0.05878
3472316,73701000,203,Ульяновская область,6,8000000.0,7529760.0,18.03.2016,Лифтовое оборудование,14432.63,"7529,80000",521.7178019529358,0.05878
3478098,73701000,1511,Ульяновская область,6,2000000.0,1882440.0,10.03.2016,Лифтовое оборудование,2181.24,"1882,40000",863.0136986301371,0.05878
3478119,73701000,1512,Ульяновская область,6,2000000.0,1882440.0,10.03.2016,Лифтовое оборудование,2393.18,"1882,40000",786.5852129802189,0.05878
3476176,73701000,255,Ульяновская область,6,12000000.0,11294640.0,24.03.2016,Лифтовое оборудование,14302.47,"11294,60000",789.6985625559781,0.05878
3464367,73701000,718,Ульяновская область,6,12000000.0,11294640.0,22.03.2016,Лифтовое оборудование,15196.0,"11294,60000",743.2640168465385,0.05878
3456509,73705000,5103,Ульяновская область,6,8000000.0,7529760.0,14.03.2016,Лифтовое оборудование,7791.97,"7529,80000",966.3486897408486,0.05878
3464049,73701000,74,Ульяновская область,6,2000000.0,1882440.0,30.12.2015,Лифтовое оборудование,2249.89,"2537,70000",836.6809043997707,0.05878
