,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3420855,75764000,8536,Челябинская область,6,1076696.11,1167748.92,28.06.2018,Лифтовое оборудование,3616.7,"0,00000",322.87690989023145,8.456686074587916
3269142,75738000,23983,Челябинская область,6,1478935.06,1544442.12,22.01.2018,Лифтовое оборудование,4914.7,"0,00000",314.2495208252793,4.429339852150105
3273643,75738000,17304,Челябинская область,6,1479138.02,1544442.12,16.03.2018,Лифтовое оборудование,5171.1,"0,00000",298.6680048732378,4.415010574875233
3269132,75738000,5243,Челябинская область,6,1480370.44,1544442.12,06.02.2018,Лифтовое оборудование,4826.6,"0,00000",319.9855218994737,4.328084259774889
3247045,75738000,5278,Челябинская область,6,1480840.69,1544442.12,14.03.2018,Лифтовое оборудование,18777.9,"3243,32800",82.24786158196603,4.294954239810922
3247044,75738000,5278,Челябинская область,6,1481623.39,1544442.12,14.03.2018,Лифтовое оборудование,18777.9,"3243,32800",82.24786158196603,4.239858146407927
3273626,75738000,16418,Челябинская область,6,1482226.58,1544442.12,16.03.2018,Лифтовое оборудование,7488.6,"0,00000",206.23909943113534,4.197437884294319
3247043,75738000,5278,Челябинская область,6,1482552.94,1544442.12,14.03.2018,Лифтовое оборудование,18777.9,"3243,32800",82.24786158196603,4.17450050721293
3247040,75738000,5278,Челябинская область,6,1482703.56,1544442.12,14.03.2018,Лифтовое оборудование,18777.9,"3243,32800",82.24786158196603,4.163917971573494
3247042,75738000,5278,Челябинская область,6,1482703.56,1544442.12,14.03.2018,Лифтовое оборудование,18777.9,"3243,32800",82.24786158196603,4.163917971573494
3247041,75738000,5278,Челябинская область,6,1482703.56,1544442.12,14.03.2018,Лифтовое оборудование,18777.9,"3243,32800",82.24786158196603,4.163917971573494
3269185,75738000,23985,Челябинская область,6,1483738.91,1544442.12,06.02.2018,Лифтовое оборудование,8675.0,"0,00000",178.03367377521616,4.091232601024131
3269184,75738000,23985,Челябинская область,6,1483738.91,1544442.12,06.02.2018,Лифтовое оборудование,8675.0,"0,00000",178.03367377521616,4.091232601024131
3269183,75738000,23985,Челябинская область,6,1483738.91,1544442.12,06.02.2018,Лифтовое оборудование,8675.0,"0,00000",178.03367377521616,4.091232601024131
3247106,75738000,19529,Челябинская область,6,1486600.89,1544442.12,06.03.2018,Лифтовое оборудование,7990.0,"1389,99800",193.29688610763455,3.8908378428321955
3247107,75738000,19529,Челябинская область,6,1486752.68,1544442.12,06.03.2018,Лифтовое оборудование,7990.0,"1389,99800",193.29688610763455,3.880231108781329
3274147,75738000,5382,Челябинская область,6,1488031.33,1544442.12,05.02.2018,Лифтовое оборудование,20614.6,"0,00000",74.91981993344524,3.790967895817099
3274148,75738000,5382,Челябинская область,6,1488150.62,1544442.12,05.02.2018,Лифтовое оборудование,20614.6,"0,00000",74.91981993344524,3.7826480225503056
3274149,75738000,5382,Челябинская область,6,1488261.02,1544442.12,05.02.2018,Лифтовое оборудование,20614.6,"0,00000",74.91981993344524,3.7749493701044523
3274150,75738000,5382,Челябинская область,6,1488886.36,1544442.12,05.02.2018,Лифтовое оборудование,20614.6,"0,00000",74.91981993344524,3.7313633526738776
