,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3447419,97701000,2069,Чувашская Республика,6,3600000.0,2268118.35,,Лифтовое оборудование,5772.39,,392.9253480793917,0.36996712499999995
3448061,97701000,1705,Чувашская Республика,6,1800000.0,1298341.1,,Лифтовое оборудование,4281.73,,303.22815777734706,0.27869938888888884
3443081,97701000,822,Чувашская Республика,6,3600000.0,2600009.51,,Лифтовое оборудование,9436.22,,275.5350670077637,0.27777513611111115
3443102,97701000,824,Чувашская Республика,6,3600000.0,2601108.01,,Лифтовое оборудование,10867.23,,239.35335959577554,0.27746999722222226
3448839,97701000,388,Чувашская Республика,6,1800000.0,1701299.12,,Лифтовое оборудование,4222.5,,402.9127578448786,0.05483382222222216
3438876,97701000,13,Чувашская Республика,6,12598758.92,12598758.92,31.12.2015,Лифтовое оборудование,19863.4,"12598,76000",634.2700101694574,0.0
3448238,97701000,1612,Чувашская Республика,6,6821983.8,6821983.8,31.12.2015,Лифтовое оборудование,11155.3,"6821,98000",611.5464218801825,0.0
3444838,97701000,100,Чувашская Республика,6,8353349.7,8353349.7,29.05.2015,Лифтовое оборудование,11321.6,"8353,35000",737.8241326314302,0.0
3440807,97701000,506,Чувашская Республика,6,2331753.1,2331753.1,05.06.2015,Лифтовое оборудование,6494.81,"2331,75000",359.01790814511895,0.0
3440700,97701000,68,Чувашская Республика,6,5377567.68,5377567.68,26.12.2016,Лифтовое оборудование,7501.21,"5377,57000",716.8933652037471,0.0
3439835,97701000,4,Чувашская Республика,6,4142447.2,4142447.2,05.06.2015,Лифтовое оборудование,10372.12,"4142,45000",399.38288411626553,0.0
3429340,97710000,1348,Чувашская Республика,6,1792530.59,1792530.59,15.12.2017,Лифтовое оборудование,2401.4,"1792,53000",746.4523153160657,0.0
3428111,97710000,6092,Чувашская Республика,6,3585061.32,3585061.32,30.12.2016,Лифтовое оборудование,5878.3,"3585,06000",609.8806321555551,0.0
3438333,97701000,1599,Чувашская Республика,6,2389216.5,2389216.5,29.05.2015,Лифтовое оборудование,6827.26,"7846,81000",349.9524699513421,0.0
3438209,97701000,2358,Чувашская Республика,6,5377567.68,5377567.68,27.12.2016,Лифтовое оборудование,6515.4,"5377,57000",825.3626300764342,0.0
3438168,97701000,1596,Чувашская Республика,6,6999310.51,6999310.51,31.12.2015,Лифтовое оборудование,11036.8,"6999,31000",634.1793373079154,0.0
3437984,97701000,5217,Чувашская Республика,6,3720873.68,3720873.68,30.03.2017,Лифтовое оборудование,7249.5,"3720,87000",513.2593530588317,0.0
3437977,97701000,909,Чувашская Республика,6,4334932.5,4334932.5,05.06.2015,Лифтовое оборудование,8210.55,"4334,93000",527.9710250835815,0.0
3436639,97701000,817,Чувашская Республика,6,5457587.04,5457587.04,31.12.2015,Лифтовое оборудование,12704.1,,429.59257562519184,0.0
3435745,97701000,1624,Чувашская Республика,6,2389216.5,2389216.5,29.05.2015,Лифтовое оборудование,6152.81,"2389,22000",388.3130634620604,0.0
3435663,97701000,1619,Чувашская Республика,6,2389216.5,2389216.5,29.05.2015,Лифтовое оборудование,6304.62,"2389,22000",378.96280822634833,0.0
3431289,97710000,6677,Чувашская Республика,6,1350399.27,1350399.27,30.09.2016,Лифтовое оборудование,2932.3,"1799,27000",460.52561811547247,0.0
3429924,97710000,6609,Чувашская Республика,6,1350399.27,1350399.27,22.08.2016,Лифтовое оборудование,2372.7,,569.1403337969402,0.0
3438999,97701000,1551,Чувашская Республика,6,5987202.4,5987202.4,05.06.2015,Лифтовое оборудование,10993.3,"5987,20000",544.6228521008251,0.0
3444116,97701000,735,Чувашская Республика,6,1400000.0,9308639.11,,Лифтовое оборудование,10964.4,,848.9875515304075,-5.649027935714285
3447355,97701000,2076,Чувашская Республика,6,900000.0,7818782.0,,Лифтовое оборудование,7151.2,,1093.352444345005,-7.687535555555556
3421897,97704000,5078,Чувашская Республика,6,,,,Лифтовое оборудование,4366.95,,,
3421904,97704000,5079,Чувашская Республика,6,,,,Лифтовое оборудование,4441.97,,,
3421921,97704000,5345,Чувашская Республика,6,,,,Лифтовое оборудование,551.1,,,
3424139,97707000,3635,Чувашская Республика,6,,,,Лифтовое оборудование,3054.48,,,
3424632,97707000,4303,Чувашская Республика,6,,,,Лифтовое оборудование,4323.27,,,
3424698,97707000,4304,Чувашская Республика,6,,,,Лифтовое оборудование,2207.57,,,
3428002,97710000,1341,Чувашская Республика,6,,,,Лифтовое оборудование,10820.9,,,
3428006,97710000,5988,Чувашская Республика,6,,,,Лифтовое оборудование,7486.1,,,
3428094,97710000,6098,Чувашская Республика,6,,,,Лифтовое оборудование,4369.7,,,
3428255,97710000,252014,Чувашская Республика,6,,,,Лифтовое оборудование,9390.3,,,
3428265,97710000,252015,Чувашская Республика,6,,,,Лифтовое оборудование,7864.2,,,
3428272,97710000,252057,Чувашская Республика,6,,,,Лифтовое оборудование,16126.2,,,
3428357,97710000,6181,Чувашская Республика,6,,,,Лифтовое оборудование,6486.35,,,
3428362,97710000,1493,Чувашская Республика,6,,,,Лифтовое оборудование,7094.6,"3605,14000",,
3428377,97710000,1487,Чувашская Республика,6,,,,Лифтовое оборудование,4311.2,,,
3428379,97710000,5918,Чувашская Республика,6,,,,Лифтовое оборудование,5332.8,,,
3428391,97710000,5919,Чувашская Республика,6,,,,Лифтовое оборудование,5298.0,,,
3428439,97710000,1354,Чувашская Республика,6,,,,Лифтовое оборудование,7501.8,,,
3428495,97710000,197192,Чувашская Республика,6,,,,Лифтовое оборудование,13689.3,,,
3428527,97710000,1469,Чувашская Республика,6,,,,Лифтовое оборудование,8067.5,,,
3428531,97710000,1458,Чувашская Республика,6,,,,Лифтовое оборудование,8030.7,,,
3428555,97710000,1307,Чувашская Республика,6,1500000.0,,,Лифтовое оборудование,1918.5,,,
3428564,97710000,1465,Чувашская Республика,6,,,,Лифтовое оборудование,7464.3,,,
3428588,97710000,1462,Чувашская Республика,6,,,,Лифтовое оборудование,14236.5,,,
3428598,97710000,1513,Чувашская Республика,6,,,,Лифтовое оборудование,9808.8,,,
3428624,97710000,1514,Чувашская Республика,6,,,,Лифтовое оборудование,10471.65,,,
3428628,97710000,1308,Чувашская Республика,6,,,,Лифтовое оборудование,13186.9,,,
3428645,97710000,1515,Чувашская Республика,6,,,,Лифтовое оборудование,10004.3,,,
