,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4213863,18602000,100001,Волгоградская область,8,955497.29,0.0,,Ремонт кровли ,240.6,"0,00000",0.0,1.0
4301340,18715000,3500324,Волгоградская область,8,1999470.96,0.0,,Ремонт кровли ,2720.0,"0,00000",0.0,1.0
4301131,18715000,3500304,Волгоградская область,8,1471954.35,0.0,,Ремонт кровли ,1778.0,"0,00000",0.0,1.0
4301149,18715000,3500305,Волгоградская область,8,1670867.1,0.0,,Ремонт кровли ,781.5,"0,00000",0.0,1.0
4301163,18715000,3500306,Волгоградская область,8,1471954.35,0.0,,Ремонт кровли ,1788.2,"0,00000",0.0,1.0
4301164,18715000,3500307,Волгоградская область,8,1697388.8,0.0,,Ремонт кровли ,1036.1,"0,00000",0.0,1.0
4301184,18715000,3500308,Волгоградская область,8,1498476.05,0.0,,Ремонт кровли ,1797.2,"0,00000",0.0,1.0
4301192,18715000,3500309,Волгоградская область,8,2445300.74,0.0,,Ремонт кровли ,3163.7,"0,00000",0.0,1.0
4301198,18715000,3500310,Волгоградская область,8,1485215.2,0.0,,Ремонт кровли ,1788.0,"0,00000",0.0,1.0
4301218,18715000,3500311,Волгоградская область,8,981302.9,0.0,,Ремонт кровли ,2365.6,"0,00000",0.0,1.0
4301231,18715000,3500312,Волгоградская область,8,1299563.3,0.0,,Ремонт кровли ,1288.4,"0,00000",0.0,1.0
4301238,18715000,3500289,Волгоградская область,8,968042.05,0.0,,Ремонт кровли ,373.9,"0,00000",0.0,1.0
4301245,18715000,3500290,Волгоградская область,8,1485215.2,0.0,,Ремонт кровли ,708.1,"0,00000",0.0,1.0
4301256,18715000,3500291,Волгоградская область,8,968042.05,0.0,,Ремонт кровли ,376.0,"0,00000",0.0,1.0
4301271,18715000,3500292,Волгоградская область,8,1485215.2,0.0,,Ремонт кровли ,631.6,"0,00000",0.0,1.0
4301276,18715000,3500293,Волгоградская область,8,981302.9,0.0,,Ремонт кровли ,398.2,"0,00000",0.0,1.0
4301287,18715000,3500294,Волгоградская область,8,1485215.2,0.0,,Ремонт кровли ,640.7,"0,00000",0.0,1.0
4301301,18715000,3500319,Волгоградская область,8,1824692.96,0.0,,Ремонт кровли ,2733.0,"0,00000",0.0,1.0
4301316,18715000,3500321,Волгоградская область,8,1808514.72,0.0,,Ремонт кровли ,2700.0,"0,00000",0.0,1.0
4301124,18715000,3500288,Волгоградская область,8,981302.9,0.0,,Ремонт кровли ,423.6,"0,00000",0.0,1.0
4301118,18715000,3500303,Волгоградская область,8,2418779.04,0.0,,Ремонт кровли ,3383.57,"0,00000",0.0,1.0
4301100,18715000,3500302,Волгоградская область,8,1509615.16,0.0,,Ремонт кровли ,1806.7,"0,00000",0.0,1.0
4300989,18715000,3500278,Волгоградская область,8,4081689.63,0.0,,Ремонт кровли ,5358.2,"0,00000",0.0,1.0
4300887,18715000,3500279,Волгоградская область,8,2242409.74,0.0,,Ремонт кровли ,4446.6,"0,00000",0.0,1.0
4300903,18715000,3500280,Волгоградская область,8,2095214.3,0.0,,Ремонт кровли ,2717.5,"0,00000",0.0,1.0
4300925,18715000,3500281,Волгоградская область,8,2242409.74,0.0,,Ремонт кровли ,2436.7,"0,00000",0.0,1.0
4300939,18715000,3500282,Волгоградская область,8,3320516.84,0.0,,Ремонт кровли ,4325.1,"0,00000",0.0,1.0
4300944,18715000,3500283,Волгоградская область,8,2242409.74,0.0,,Ремонт кровли ,4481.1,"0,00000",0.0,1.0
4300955,18715000,3500284,Волгоградская область,8,2071344.77,0.0,,Ремонт кровли ,2698.0,"0,00000",0.0,1.0
4300968,18715000,3500285,Волгоградская область,8,2036866.56,0.0,,Ремонт кровли ,2906.9,"0,00000",0.0,1.0
4300999,18715000,3500286,Волгоградская область,8,3129560.6,0.0,,Ремонт кровли ,7675.0,"0,00000",0.0,1.0
4301096,18715000,3500301,Волгоградская область,8,1782258.24,0.0,,Ремонт кровли ,731.8,"0,00000",0.0,1.0
4301019,18715000,3500287,Волгоградская область,8,2142953.36,0.0,,Ремонт кровли ,6139.7,"106,13000",0.0,1.0
4301023,18715000,3500295,Волгоградская область,8,1458693.5,0.0,,Ремонт кровли ,381.5,"0,00000",0.0,1.0
4301035,18715000,3500296,Волгоградская область,8,1670867.1,0.0,,Ремонт кровли ,715.9,"0,00000",0.0,1.0
4301048,18715000,3500297,Волгоградская область,8,1564780.3,0.0,,Ремонт кровли ,927.8,"0,00000",0.0,1.0
4301058,18715000,3500298,Волгоградская область,8,1485215.2,0.0,,Ремонт кровли ,624.6,"0,00000",0.0,1.0
4301065,18715000,3500299,Волгоградская область,8,1723910.5,0.0,,Ремонт кровли ,724.0,"0,00000",0.0,1.0
4301085,18715000,3500300,Волгоградская область,8,1509084.73,0.0,,Ремонт кровли ,1786.5,"0,00000",0.0,1.0
4301321,18715000,3500323,Волгоградская область,8,1989392.72,0.0,,Ремонт кровли ,2714.5,"0,00000",0.0,1.0
4301344,18715000,3500325,Волгоградская область,8,3421299.3,0.0,,Ремонт кровли ,4439.1,"0,00000",0.0,1.0
4300862,18715000,3500260,Волгоградская область,8,1017107.2,0.0,,Ремонт кровли ,380.6,"0,00000",0.0,1.0
4301356,18715000,3500326,Волгоградская область,8,3081821.54,0.0,,Ремонт кровли ,4483.8,"0,00000",0.0,1.0
4301599,18715000,3500356,Волгоградская область,8,4525132.45,0.0,,Ремонт кровли ,5938.7,"0,00000",0.0,1.0
4301602,18715000,3500357,Волгоградская область,8,1741680.04,0.0,,Ремонт кровли ,4389.0,"0,00000",0.0,1.0
4301617,18715000,3500334,Волгоградская область,22,1148504.0,0.0,,Ремонт кровли ,180.3,"0,00000",0.0,1.0
4301619,18715000,3500334,Волгоградская область,8,763825.0,0.0,,Ремонт кровли ,180.3,"0,00000",0.0,1.0
4301640,18715000,3500894,Волгоградская область,8,1068824.51,0.0,,Ремонт кровли ,562.0,"0,00000",0.0,1.0
4301645,18715000,3500360,Волгоградская область,8,1991779.67,0.0,,Ремонт кровли ,2707.7,"0,00000",0.0,1.0
4301661,18715000,3500361,Волгоградская область,8,2586396.18,0.0,,Ремонт кровли ,4033.2,"0,00000",0.0,1.0
4301672,18715000,3500365,Волгоградская область,8,1591302.0,0.0,,Ремонт кровли ,865.7,"0,00000",0.0,1.0
4301677,18715000,3500368,Волгоградская область,8,2209798.0,0.0,,Ремонт кровли ,342.7,"44,21000",0.0,1.0
4301690,18715000,3500366,Волгоградская область,8,2360431.3,0.0,,Ремонт кровли ,2026.6,"0,00000",0.0,1.0
4301704,18715000,3500367,Волгоградская область,8,2169475.06,0.0,,Ремонт кровли ,1513.0,"0,00000",0.0,1.0
4301727,18715000,3500383,Волгоградская область,8,2028910.05,0.0,,Ремонт кровли ,2709.5,"0,00000",0.0,1.0
4301734,18715000,3500384,Волгоградская область,8,2036866.56,0.0,,Ремонт кровли ,2705.8,"0,00000",0.0,1.0
