,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6302258,25603000,10158,Иркутская область,8,4646195.72,0.0,,Ремонт кровли ,4977.8,"0,00000",0.0,1.0
6332952,25634000,12494,Иркутская область,8,1653343.2,0.0,,Ремонт кровли ,1024.4,"1988,79066",0.0,1.0
6304646,25701000,3018,Иркутская область,8,2984332.18,0.0,,Ремонт кровли ,3966.6,"0,00000",0.0,1.0
6329032,25608000,10929,Иркутская область,8,1007238.56,0.0,,Ремонт кровли ,586.0,"0,00000",0.0,1.0
6331620,25628000,12304,Иркутская область,8,2224670.26,0.0,,Ремонт кровли ,1715.83,"0,00000",0.0,1.0
6319020,25602000,10703,Иркутская область,8,1221579.17,0.0,,Ремонт кровли ,337.02,"0,00000",0.0,1.0
6302831,25603000,10323,Иркутская область,8,2366658.74,0.0,,Ремонт кровли ,5425.59,"7484,44598",0.0,1.0
6323977,25746000,6871,Иркутская область,8,2336162.4,0.0,,Ремонт кровли ,4324.82,"0,00000",0.0,1.0
6324225,25746000,6877,Иркутская область,8,2162204.2,0.0,,Ремонт кровли ,7470.89,"0,00000",0.0,1.0
6325503,25736000,7625,Иркутская область,8,10430016.56,0.0,,Ремонт кровли ,8283.05,"0,00000",0.0,1.0
6325442,25736000,7607,Иркутская область,8,6396547.12,0.0,,Ремонт кровли ,4063.89,"0,00000",0.0,1.0
6325242,25736000,7241,Иркутская область,8,1243987.26,0.0,,Ремонт кровли ,3435.15,"0,00000",0.0,1.0
6332981,25634000,12501,Иркутская область,8,1856690.4,0.0,,Ремонт кровли ,1232.9,"2210,30572",0.0,1.0
6332733,25634000,12564,Иркутская область,8,1845352.8,0.0,,Ремонт кровли ,1704.6,"1977,20587",0.0,1.0
6334174,25638000,13394,Иркутская область,8,4186840.0,0.0,,Ремонт кровли ,3887.63,"0,00000",0.0,1.0
6326570,25738000,7953,Иркутская область,8,4284244.13,0.0,,Ремонт кровли ,5864.74,"0,00000",0.0,1.0
6332739,25634000,12566,Иркутская область,8,1850440.8,0.0,,Ремонт кровли ,1658.3,"0,00000",0.0,1.0
