,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6165118,91603000,200140683,Карачаево-Черкесская Республика,8,2115321.0,0.0,,Ремонт кровли ,730.1,"0,00000",0.0,1.0
6167144,91701000,3600100229,Карачаево-Черкесская Республика,8,3562833.6,0.0,,Ремонт кровли ,2147.2,"0,00000",0.0,1.0
6167053,91701000,3600220221,Карачаево-Черкесская Республика,8,2134490.4,0.0,,Ремонт кровли ,435.0,"0,00000",0.0,1.0
6167054,91701000,3600220222,Карачаево-Черкесская Республика,8,4334067.6,0.0,,Ремонт кровли ,455.5,"0,00000",0.0,1.0
6167055,91701000,3600220223,Карачаево-Черкесская Республика,8,4656826.8,0.0,,Ремонт кровли ,418.1,"0,00000",0.0,1.0
6167063,91701000,3600220187,Карачаево-Черкесская Республика,8,15361822.2,0.0,,Ремонт кровли ,10685.85,"0,00000",0.0,1.0
6167065,91701000,3600220188,Карачаево-Черкесская Республика,8,2878084.8,0.0,,Ремонт кровли ,4474.2,"0,00000",0.0,1.0
6167066,91701000,3600220189,Карачаево-Черкесская Республика,8,4496784.6,0.0,,Ремонт кровли ,2828.0,"0,00000",0.0,1.0
6167071,91701000,3600220191,Карачаево-Черкесская Республика,8,2993547.0,0.0,,Ремонт кровли ,1828.3,"0,00000",0.0,1.0
6167072,91701000,3600220192,Карачаево-Черкесская Республика,8,7545165.0,0.0,,Ремонт кровли ,4439.2,"0,00000",0.0,1.0
6167073,91701000,3600220193,Карачаево-Черкесская Республика,8,4106263.8,0.0,,Ремонт кровли ,2322.4,"0,00000",0.0,1.0
6167076,91701000,3600220195,Карачаево-Черкесская Республика,8,6518041.8,0.0,,Ремонт кровли ,3428.7,"0,00000",0.0,1.0
6167080,91701000,3600220197,Карачаево-Черкесская Республика,8,4453096.2,0.0,,Ремонт кровли ,2769.8,"0,00000",0.0,1.0
6167082,91701000,3600220177,Карачаево-Черкесская Республика,8,4038056.4,0.0,,Ремонт кровли ,5855.9,"0,00000",0.0,1.0
6167084,91701000,3600220198,Карачаево-Черкесская Республика,8,4951054.8,0.0,,Ремонт кровли ,3175.6,"0,00000",0.0,1.0
6167085,91701000,3600220199,Карачаево-Черкесская Республика,8,6589236.06,0.0,,Ремонт кровли ,5362.9,"0,00000",0.0,1.0
6167089,91701000,3600220200,Карачаево-Черкесская Республика,8,1786900.14,0.0,,Ремонт кровли ,2653.0,"0,00000",0.0,1.0
6167092,91701000,3600220202,Карачаево-Черкесская Республика,8,3073166.88,0.0,,Ремонт кровли ,2645.9,"0,00000",0.0,1.0
6167102,91701000,3600220206,Карачаево-Черкесская Республика,8,1857425.7,0.0,,Ремонт кровли ,3204.4,"0,00000",0.0,1.0
6167108,91701000,3600220209,Карачаево-Черкесская Республика,8,9012560.28,0.0,,Ремонт кровли ,10826.3,"0,00000",0.0,1.0
6167116,91701000,3600220212,Карачаево-Черкесская Республика,8,1793498.01,0.0,,Ремонт кровли ,4411.9,"0,00000",0.0,1.0
6167124,91701000,3600220179,Карачаево-Черкесская Республика,8,4656826.8,0.0,,Ремонт кровли ,3161.7,"0,00000",0.0,1.0
6167129,91701000,3601080224,Карачаево-Черкесская Республика,8,6011691.0,0.0,,Ремонт кровли ,6059.6,"0,00000",0.0,1.0
6167131,91701000,3601080225,Карачаево-Черкесская Республика,8,6687000.0,0.0,,Ремонт кровли ,7245.8,"0,00000",0.0,1.0
6167139,91701000,3601000005,Карачаево-Черкесская Республика,8,2122251.9,0.0,,Ремонт кровли ,1629.1,"0,00000",0.0,1.0
6167038,91701000,3600920641,Карачаево-Черкесская Республика,8,1971791.56,0.0,,Ремонт кровли ,5388.8,"0,00000",0.0,1.0
6167031,91701000,3600220219,Карачаево-Черкесская Республика,8,1807451.52,0.0,,Ремонт кровли ,3858.8,"0,00000",0.0,1.0
6167028,91701000,3600220217,Карачаево-Черкесская Республика,8,2723392.2,0.0,,Ремонт кровли ,1539.9,"0,00000",0.0,1.0
6166954,91701000,3600280148,Карачаево-Черкесская Республика,8,1825839.17,0.0,,Ремонт кровли ,2558.25,"0,00000",0.0,1.0
6166928,91640000,3500021114,Карачаево-Черкесская Республика,8,2100074.64,0.0,,Ремонт кровли ,1140.3,"0,00000",0.0,1.0
6166934,91640000,3500021115,Карачаево-Черкесская Республика,8,1060558.2,0.0,,Ремонт кровли ,390.0,"0,00000",0.0,1.0
6166936,91640000,3500021116,Карачаево-Черкесская Республика,8,2982847.8,0.0,,Ремонт кровли ,1823.9,"0,00000",0.0,1.0
6166939,91701000,3602320135,Карачаево-Черкесская Республика,8,2526348.6,0.0,,Ремонт кровли ,627.4,"0,00000",0.0,1.0
6166941,91701000,3600280136,Карачаево-Черкесская Республика,8,2311027.2,0.0,,Ремонт кровли ,1402.2,"0,00000",0.0,1.0
6166943,91701000,3600280142,Карачаево-Черкесская Республика,8,5723180.4,0.0,,Ремонт кровли ,3361.9,"0,00000",0.0,1.0
6166945,91701000,3600280143,Карачаево-Черкесская Республика,8,3099246.18,0.0,,Ремонт кровли ,2710.3,"0,00000",0.0,1.0
6166948,91701000,3600280144,Карачаево-Черкесская Республика,8,4016524.26,0.0,,Ремонт кровли ,4214.6,"0,00000",0.0,1.0
6166951,91701000,3600280146,Карачаево-Черкесская Республика,8,2657859.6,0.0,,Ремонт кровли ,1584.0,"0,00000",0.0,1.0
6166952,91701000,3600280147,Карачаево-Черкесская Республика,8,4502580.0,0.0,,Ремонт кровли ,2796.2,"0,00000",0.0,1.0
6166958,91701000,3600280150,Карачаево-Черкесская Республика,8,2245940.4,0.0,,Ремонт кровли ,1409.2,"0,00000",0.0,1.0
6167026,91701000,3600220216,Карачаево-Черкесская Республика,8,4168542.06,0.0,,Ремонт кровли ,1737.7,"0,00000",0.0,1.0
6166959,91701000,3600280137,Карачаево-Черкесская Республика,8,4445963.4,0.0,,Ремонт кровли ,2814.5,"0,00000",0.0,1.0
6166962,91701000,3600280138,Карачаево-Черкесская Республика,8,4778084.4,0.0,,Ремонт кровли ,3010.2,"0,00000",0.0,1.0
