,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5202021,32631000,32631000267,Кемеровская область,8,527889.86,1390971.99,,Ремонт кровли ,668.75,,2079.9581158878505,163.4966297704601
5190854,32731000,32731002666,Кемеровская область,8,2113570.0,4719330.18,,Ремонт кровли ,4085.5,,1155.1413976257495,123.28714828465581
5181350,32731000,32731000154,Кемеровская область,8,2009940.0,4374836.63,,Ремонт кровли ,2547.6,,1717.2384322499609,117.66006099684567
5157552,32707000,32707000415,Кемеровская область,8,1408000.0,2823275.73,,Ремонт кровли ,2014.0,,1401.8250893743793,100.5167421875
5190844,32731000,32731002663,Кемеровская область,8,1865340.0,3437179.69,,Ремонт кровли ,3068.0,,1120.3323631029987,84.26558643464462
5190856,32731000,32731002667,Кемеровская область,8,2884770.0,4846445.58,,Ремонт кровли ,3807.9,,1272.734467816907,68.00110858058008
5177300,32616000,32616000175,Кемеровская область,8,680000.0,1136460.0,26.11.2018,Ремонт кровли ,,,,67.12647058823529
5201985,32631000,32631000250,Кемеровская область,8,1371681.34,2270476.0,,Ремонт кровли ,1808.6,,1255.3776401636626,65.52503367874056
5201881,32631000,32631000217,Кемеровская область,8,420512.0,689208.0,,Ремонт кровли ,403.45,,1708.2860329656712,63.897344189939886
5160856,32602000,32602000155,Кемеровская область,8,896948.0,1461218.6,,Ремонт кровли ,627.34,,2329.229126151688,62.91006836516721
5160860,32602000,32602000156,Кемеровская область,8,896948.0,1419042.79,,Ремонт кровли ,636.02,,2231.1291940505016,58.20792175243159
5190793,32731000,32731002650,Кемеровская область,8,1950413.0,2995028.23,,Ремонт кровли ,3147.8,,951.4671294237245,53.55866834357646
5201687,32631000,32631000170,Кемеровская область,8,590943.8,881474.77,,Ремонт кровли ,231.1,,3814.256901774124,49.16389172709823
5184189,32731000,32731000908,Кемеровская область,8,1197770.0,1743520.49,,Ремонт кровли ,1803.0,,967.0108097615085,45.56388037770189
5160951,32602000,32602000177,Кемеровская область,8,1211246.4,1670340.0,,Ремонт кровли ,778.3,,2146.139020943081,37.90257704790703
5160639,32602000,32602000100,Кемеровская область,8,1055808.0,1452746.72,,Ремонт кровли ,514.59,,2823.1149458792434,37.59572952658059
5182212,32731000,32731000634,Кемеровская область,8,2501580.0,3315013.0,,Ремонт кровли ,3196.9,,1036.946104038287,32.51676940173811
5170598,32701000,32701002554,Кемеровская область,8,1315860.0,1725341.94,23.08.2019,Ремонт кровли ,2713.1,,635.9300947255906,31.118959463772743
5202552,32640000,32640000033,Кемеровская область,8,1163459.79,1503569.57,,Ремонт кровли ,913.9,,1645.2232957654012,29.23262006330274
5190053,32731000,32731002477,Кемеровская область,8,1463352.0,1794349.37,,Ремонт кровли ,2669.4,,672.192016932644,22.619121715076073
5184841,32731000,32731001087,Кемеровская область,8,1813448.0,2121240.96,,Ремонт кровли ,1478.5,,1434.7250321271558,16.9728031903865
5188317,32731000,32731002015,Кемеровская область,8,2169000.0,2497888.14,,Ремонт кровли ,2428.8,,1028.4453804347827,15.163123098201936
5203173,32646000,9000000094,Кемеровская область,8,3237051.07,3655008.0,21.10.2016,Ремонт кровли ,1600.7,,2283.3810208033983,12.911656966845442
5193061,32732000,32732000055,Кемеровская область,8,3081705.0,3471151.9,,Ремонт кровли ,3273.0,,1060.5413687748244,12.637384175318523
5203159,32646000,9000000093,Кемеровская область,8,3237050.54,3632221.6,21.10.2016,Ремонт кровли ,1933.4,,1878.670528602462,12.20775070135296
