,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1935189,3612000,99986684,Краснодарский край,8,119192.0,1213170.0,,Ремонт кровли ,1388.8,"0,00000",873.5383064516129,917.8283777434726
2033839,3645000,737696805,Краснодарский край,8,640386.0,1295000.0,30.12.2016,Ремонт кровли ,644.8,"0,00000",2008.374689826303,102.22178498593037
2010732,3620000,99991950,Краснодарский край,8,536640.0,865117.0,,Ремонт кровли ,1113.7,"0,00000",776.7953667953668,61.209935897435905
2009588,3620000,99992964,Краснодарский край,8,437808.0,690277.28,,Ремонт кровли ,647.6,"0,00000",1065.900679431748,57.666666666666664
2010792,3620000,99991962,Краснодарский край,8,501096.0,790061.36,,Ремонт кровли ,484.9,"0,00000",1629.3284388533718,57.666666666666664
2010783,3620000,99991965,Краснодарский край,8,501096.0,790061.36,,Ремонт кровли ,511.3,"0,00000",1545.2011734793662,57.666666666666664
2010149,3620000,99994570,Краснодарский край,8,677604.0,1068355.64,,Ремонт кровли ,647.6,"0,00000",1649.7153180975909,57.66666666666664
2010193,3620000,99994587,Краснодарский край,8,1164000.0,1626142.4,,Ремонт кровли ,1100.5,"0,00000",1477.639618355293,39.70295532646047
2007980,3618000,99987595,Краснодарский край,8,858000.0,1116373.55,20.04.2018,Ремонт кровли ,797.7,"0,00000",1399.4904726087502,30.11346736596736
2048281,3655000,736523391,Краснодарский край,8,556850.0,700733.72,04.05.2018,Ремонт кровли ,1176.17,"0,00000",595.7758827380395,25.838865044446436
2007109,3618000,99987499,Краснодарский край,8,1075200.0,1348835.14,,Ремонт кровли ,1297.4,"0,00000",1039.644781871435,25.449696800595234
1929879,3601000,99993965,Краснодарский край,8,912000.0,1118276.28,07.08.2018,Ремонт кровли ,1600.0,"0,00000",698.922675,22.618013157894733
2014625,3623000,99994240,Краснодарский край,8,694108.0,844810.0,25.12.2017,Ремонт кровли ,605.0,"0,00000",1396.3801652892562,21.711606839281504
2029271,3641000,99991994,Краснодарский край,8,504000.0,604661.5,,Ремонт кровли ,731.9,"0,00000",826.1531630004099,19.972519841269843
2041706,3653000,99992571,Краснодарский край,8,720000.0,841967.01,19.03.2019,Ремонт кровли ,1592.7,"0,00000",528.6413072141646,16.93986249999999
2045420,3655000,719424873,Краснодарский край,8,602000.0,698720.84,04.05.2018,Ремонт кровли ,2789.7,"0,00000",250.4645087285371,16.06658471760798
