,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
632172,45397000,104062,Москва,8,976222.9,976222.9,28.08.2018,Ремонт кровли ,3457.0,"11232,18738",282.3901938096616,0.0
973240,45313000,105112,Москва,8,934270.59,934270.59,,Ремонт кровли ,2620.0,"682,89577",356.5918282442748,0.0
973534,45313000,101936,Москва,8,2213341.3,2213341.3,,Ремонт кровли ,7168.0,"15688,11636",308.78087332589286,0.0
973490,45313000,102079,Москва,8,4438234.64,4438234.64,25.07.2018,Ремонт кровли ,13361.0,"55619,32939",332.17832796946334,0.0
973448,45313000,97169,Москва,8,848746.86,848746.86,25.09.2017,Ремонт кровли ,3628.0,"17635,69740",233.94345644983463,0.0
973392,45313000,104341,Москва,8,994267.55,994267.55,23.01.2018,Ремонт кровли ,5335.0,"30928,72939",186.3669259606373,0.0
973373,45313000,99510,Москва,8,1768764.71,1768764.71,,Ремонт кровли ,3234.0,"10534,87616",546.927863327149,0.0
973255,45313000,95228,Москва,8,2413657.59,2413657.59,29.11.2017,Ремонт кровли ,4283.0,"12443,70760",563.543681998599,0.0
973108,45313000,95256,Москва,8,482520.73,482520.73,22.08.2016,Ремонт кровли ,3996.0,"13182,97803",120.75093343343343,0.0
986656,45345000,94183,Москва,8,4099793.6,4099793.6,14.09.2017,Ремонт кровли ,8031.0,"18346,61899",510.4960278919188,0.0
973090,45313000,97603,Москва,8,557716.92,557716.92,22.08.2016,Ремонт кровли ,2696.0,"11815,66249",206.868293768546,0.0
973060,45313000,104414,Москва,8,5732483.73,5732483.73,02.07.2018,Ремонт кровли ,12851.0,"37900,46790",446.0729694187223,0.0
972935,45313000,101847,Москва,8,755541.46,755541.46,,Ремонт кровли ,2596.0,"0,00000",291.04062403698,0.0
972923,45313000,103319,Москва,8,943341.18,943341.18,,Ремонт кровли ,2618.0,"4458,08994",360.3289457601222,0.0
