,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2784374,22646000,5232000109,Нижегородская область,8,20000.0,1519609.87,23.08.2019,Ремонт кровли ,314.87,"1429,02356",4826.150061930321,7498.049350000001
2784370,22646000,5232000108,Нижегородская область,8,20000.0,1423294.08,23.08.2019,Ремонт кровли ,312.69,"1406,26631",4551.7735776647805,7016.4704
2791629,22652000,5238000030,Нижегородская область,8,703000.0,4637573.03,,Ремонт кровли ,921.6,"1823,08470",5032.088791232639,559.6832190611665
2769816,22639000,5226000051,Нижегородская область,8,700000.0,4028638.44,,Ремонт кровли ,321.77,"402,86384",12520.242533486653,475.51977714285715
2745896,22758000,5252000390,Нижегородская область,8,688108.0,3526586.37,16.05.2019,Ремонт кровли ,953.93,"3953,75109",3696.9026762970034,412.50477686642216
2631669,22721000,5247001357,Нижегородская область,8,941198.0,4651263.6,,Ремонт кровли ,2816.25,"4522,39390",1651.5805059920106,394.18545300776236
2647429,22727000,5225000037,Нижегородская область,8,1421543.0,6697196.15,,Ремонт кровли ,3569.58,"723,72024",1876.1860358921779,371.1216016680466
2628413,22721000,5247000519,Нижегородская область,8,876341.0,3893054.82,22.03.2019,Ремонт кровли ,4041.27,"14433,05766",963.3246034043754,344.23972175214897
2635180,22721000,5247001462,Нижегородская область,8,653475.0,2881135.2,21.02.2019,Ремонт кровли ,3521.0,"11085,52889",818.2718545867651,340.8944795133708
2628215,22721000,5247000500,Нижегородская область,8,876341.0,3831405.72,21.02.2019,Ремонт кровли ,4071.38,"14758,49268",941.0582456071406,337.2048917031156
2637036,22721000,5247001163,Нижегородская область,8,2012029.0,8720473.61,,Ремонт кровли ,15308.4,"6227,04183",569.6528448433539,333.4168945875034
2636352,22721000,5247001518,Нижегородская область,8,1372352.0,5855064.0,,Ремонт кровли ,6131.68,"5165,75429",954.8874044307596,326.6444760527911
2635223,22721000,5247001465,Нижегородская область,8,882576.0,3687741.9,04.02.2019,Ремонт кровли ,4061.41,"13164,02497",907.9954744780754,317.8384524392234
2628148,22721000,5247000494,Нижегородская область,8,876341.0,3660258.52,04.02.2019,Ремонт кровли ,4773.0,"14309,62096",766.8674879530694,317.67514243884517
2601729,22622000,5215000064,Нижегородская область,8,801059.0,3317596.8,,Ремонт кровли ,1463.72,"1619,24928",2266.5515262481895,314.15136712776456
2746038,22758000,5252000404,Нижегородская область,8,684678.0,2819005.23,07.08.2019,Ремонт кровли ,947.14,"2954,46761",2976.3342589268746,311.7271520335106
2745878,22758000,5252000389,Нижегородская область,8,687102.0,2638708.49,31.05.2019,Ремонт кровли ,969.45,"3093,77362",2721.8613543761926,284.0344650430358
