,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
74972,56629000,3265,Пензенская область,8,1270000.0,93458.84,16.11.2016,Ремонт кровли ,,"140,70000",,0.9264103622047244
62362,56701000,104,Пензенская область,8,3626848.0,1140001.0,30.10.2018,Ремонт кровли ,3905.28,"1140,00100",291.9127437725336,0.6856772051103327
78357,56651000,4113,Пензенская область,8,901728.0,686794.27,,Ремонт кровли ,292.4,"533,22048",2348.817612859097,0.2383576089463785
73062,56701000,2325,Пензенская область,8,15166.34,15166.34,30.06.2017,Ремонт кровли ,,"15,16634",,0.0
73070,56701000,2324,Пензенская область,8,14493.06,14493.06,30.06.2017,Ремонт кровли ,,"14,49306",,0.0
73071,56701000,2321,Пензенская область,8,15646.53,15646.53,11.07.2017,Ремонт кровли ,,"15,64653",,0.0
73077,56701000,2323,Пензенская область,8,15518.2,15518.2,02.08.2017,Ремонт кровли ,,"15,51820",,0.0
73082,56701000,2330,Пензенская область,8,12861.9,12861.9,30.06.2017,Ремонт кровли ,,"12,86190",,0.0
73084,56701000,2326,Пензенская область,8,17247.39,17247.39,03.11.2017,Ремонт кровли ,,"34,49478",,0.0
73092,56701000,2329,Пензенская область,8,13769.46,13769.46,30.06.2017,Ремонт кровли ,,"13,76946",,0.0
53308,56603000,2504,Пензенская область,8,996103.45,996103.45,26.09.2018,Ремонт кровли ,711.8,"996,10345",1399.414793481315,0.0
73166,56701000,2345,Пензенская область,8,310800.0,310800.0,15.12.2017,Ремонт кровли ,3640.04,"310,80000",85.38367710244943,0.0
73180,56701000,2344,Пензенская область,8,2376104.17,2376104.17,,Ремонт кровли ,648.6,"788,54907",3663.4353530681465,0.0
73187,56701000,2343,Пензенская область,8,2391680.25,2391680.25,,Ремонт кровли ,633.1,"806,09085",3777.729031748539,0.0
73209,56701000,2352,Пензенская область,8,3028426.65,3028426.65,,Ремонт кровли ,1383.7,"899,62757",2188.6439618414397,0.0
73224,56701000,2357,Пензенская область,8,3847569.34,3847569.34,,Ремонт кровли ,1625.9,"87,73100",2366.4243434405557,0.0
73245,56701000,2366,Пензенская область,8,566731.0,566731.0,01.10.2014,Ремонт кровли ,2980.0,"566,73100",190.17818791946308,0.0
73284,56701000,2348,Пензенская область,8,2500855.2,2500855.2,,Ремонт кровли ,1140.81,"858,72456",2192.175033528809,0.0
73299,56701000,2353,Пензенская область,8,2953196.57,2953196.57,,Ремонт кровли ,1621.8,"1863,25412",1820.9375816993463,0.0
73098,56701000,2331,Пензенская область,8,17403.8,17403.8,26.06.2017,Ремонт кровли ,,"17,40380",,0.0
73054,56701000,2328,Пензенская область,8,1984475.89,1984475.89,24.06.2019,Ремонт кровли ,743.09,"1984,47589",2670.57273008653,0.0
73325,56701000,2370,Пензенская область,8,7178722.09,7178722.09,,Ремонт кровли ,2294.89,"2282,23974",3128.133413801969,0.0
72645,56701000,2218,Пензенская область,8,15300.5,15300.5,17.07.2017,Ремонт кровли ,,"15,30050",,0.0
72527,56701000,2198,Пензенская область,8,1852267.14,1852267.14,,Ремонт кровли ,546.1,"625,50877",3391.809448818897,0.0
