,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1713349,26710000,100503,Республика Ингушетия,8,1062864.0,0.0,,Ремонт кровли ,1597.2,"0,00000",0.0,1.0
1714503,26715000,312304,Республика Ингушетия,8,2274397.2,0.0,,Ремонт кровли ,4318.0,"0,00000",0.0,1.0
1714622,26715000,312805,Республика Ингушетия,8,1116300.0,0.0,,Ремонт кровли ,2017.28,"0,00000",0.0,1.0
1714617,26715000,312804,Республика Ингушетия,8,2160132.0,0.0,,Ремонт кровли ,3603.2,"0,00000",0.0,1.0
1714606,26715000,312804,Республика Ингушетия,8,2160132.0,0.0,,Ремонт кровли ,3603.2,"0,00000",0.0,1.0
1714605,26715000,312803,Республика Ингушетия,8,1852179.6,0.0,,Ремонт кровли ,2754.56,"0,00000",0.0,1.0
1714596,26715000,312802,Республика Ингушетия,8,2905454.4,0.0,,Ремонт кровли ,5785.6,"0,00000",0.0,1.0
1714584,26715000,312801,Республика Ингушетия,8,1136796.0,0.0,,Ремонт кровли ,2006.6,"0,00000",0.0,1.0
1714578,26715000,614600,Республика Ингушетия,8,7926989.04,0.0,,Ремонт кровли ,10829.22,"0,00000",0.0,1.0
1714574,26715000,312809,Республика Ингушетия,8,3244004.4,0.0,,Ремонт кровли ,4692.65,"0,00000",0.0,1.0
1714562,26715000,312808,Республика Ингушетия,8,2952302.4,0.0,,Ремонт кровли ,4315.5,"0,00000",0.0,1.0
1714552,26715000,312807,Республика Ингушетия,8,2738046.0,0.0,,Ремонт кровли ,5651.1,"0,00000",0.0,1.0
1714548,26715000,312806,Республика Ингушетия,8,2667993.6,0.0,,Ремонт кровли ,4445.0,"0,00000",0.0,1.0
1714537,26715000,312602,Республика Ингушетия,8,1931894.4,0.0,,Ремонт кровли ,3906.0,"3,00000",0.0,1.0
1714535,26715000,312602,Республика Ингушетия,8,1931894.4,0.0,,Ремонт кровли ,3906.0,"3,00000",0.0,1.0
1714531,26715000,312601,Республика Ингушетия,8,1855620.0,0.0,,Ремонт кровли ,4032.0,"0,00000",0.0,1.0
1714522,26715000,614599,Республика Ингушетия,8,5449505.76,0.0,,Ремонт кровли ,7444.68,"0,00000",0.0,1.0
1714629,26715000,614601,Республика Ингушетия,8,1765584.0,0.0,,Ремонт кровли ,2412.0,"0,00000",0.0,1.0
1714633,26715000,614602,Республика Ингушетия,8,2961306.0,0.0,,Ремонт кровли ,4045.5,"0,00000",0.0,1.0
1714636,26715000,614603,Республика Ингушетия,8,2961306.0,0.0,,Ремонт кровли ,4045.5,"0,00000",0.0,1.0
1714683,26715000,614613,Республика Ингушетия,8,2218618.8,0.0,,Ремонт кровли ,3030.9,"0,00000",0.0,1.0
1714714,26715000,614609,Республика Ингушетия,8,2611483.2,0.0,,Ремонт кровли ,3567.6,"0,00000",0.0,1.0
1714706,26715000,614608,Республика Ингушетия,8,2961306.0,0.0,,Ремонт кровли ,4045.5,"0,00000",0.0,1.0
1714703,26715000,614607,Республика Ингушетия,8,2218618.8,0.0,,Ремонт кровли ,3030.9,"0,00000",0.0,1.0
1714698,26715000,614616,Республика Ингушетия,8,2961306.0,0.0,,Ремонт кровли ,4045.5,"0,00000",0.0,1.0
1714692,26715000,614615,Республика Ингушетия,8,2218618.8,0.0,,Ремонт кровли ,3030.9,"0,00000",0.0,1.0
1714689,26715000,614614,Республика Ингушетия,8,2729042.4,0.0,,Ремонт кровли ,3728.2,"0,00000",0.0,1.0
1714679,26715000,614612,Республика Ингушетия,8,2729042.4,0.0,,Ремонт кровли ,3728.2,"0,00000",0.0,1.0
1714645,26715000,614604,Республика Ингушетия,8,2729042.4,0.0,,Ремонт кровли ,3728.2,"0,00000",0.0,1.0
1714672,26715000,614582,Республика Ингушетия,8,2218618.8,0.0,,Ремонт кровли ,3030.9,"0,00000",0.0,1.0
1714666,26715000,614581,Республика Ингушетия,8,2961452.4,0.0,,Ремонт кровли ,4045.7,"0,00000",0.0,1.0
1714664,26715000,614580,Республика Ингушетия,8,2961306.0,0.0,,Ремонт кровли ,4045.5,"0,00000",0.0,1.0
1714660,26715000,614579,Республика Ингушетия,8,2961306.0,0.0,,Ремонт кровли ,4045.5,"0,00000",0.0,1.0
1714654,26715000,614606,Республика Ингушетия,8,2611483.2,0.0,,Ремонт кровли ,3567.6,"0,00000",0.0,1.0
1714646,26715000,614605,Республика Ингушетия,8,2961306.0,0.0,,Ремонт кровли ,4045.5,"0,00000",0.0,1.0
1714514,26715000,312305,Республика Ингушетия,8,3426052.8,0.0,,Ремонт кровли ,6195.2,"0,00000",0.0,1.0
1714497,26715000,312303,Республика Ингушетия,8,1144921.2,0.0,,Ремонт кровли ,2011.68,"0,00000",0.0,1.0
1713354,26710000,100504,Республика Ингушетия,8,1138992.0,0.0,,Ремонт кровли ,1711.6,"0,00000",0.0,1.0
1714493,26715000,312302,Республика Ингушетия,8,1127792.4,0.0,,Ремонт кровли ,2000.88,"0,00000",0.0,1.0
1714368,26715000,614593,Республика Ингушетия,8,2729042.4,0.0,,Ремонт кровли ,3728.2,"0,00000",0.0,1.0
1714363,26715000,614592,Республика Ингушетия,8,3039776.4,0.0,,Ремонт кровли ,4152.7,"0,00000",0.0,1.0
1714360,26715000,614591,Республика Ингушетия,8,2729042.4,0.0,,Ремонт кровли ,3728.2,"0,00000",0.0,1.0
1714351,26715000,614584,Республика Ингушетия,8,2218618.8,0.0,,Ремонт кровли ,3030.9,"0,00000",0.0,1.0
1714348,26715000,303801,Республика Ингушетия,8,4486428.0,0.0,,Ремонт кровли ,8742.4,"0,00000",0.0,1.0
1714335,26715000,301506,Республика Ингушетия,8,852780.0,0.0,,Ремонт кровли ,1165.0,"73,00000",0.0,1.0
1714334,26715000,301506,Республика Ингушетия,8,852780.0,0.0,,Ремонт кровли ,1165.0,"73,00000",0.0,1.0
1714324,26715000,301505,Республика Ингушетия,8,1311000.0,0.0,,Ремонт кровли ,1242.27,"3,00000",0.0,1.0
1714323,26715000,301505,Республика Ингушетия,8,909341.64,0.0,,Ремонт кровли ,1242.27,"3,00000",0.0,1.0
1714317,26715000,301504,Республика Ингушетия,8,2835987.6,0.0,,Ремонт кровли ,5587.2,"0,00000",0.0,1.0
1714307,26715000,301503,Республика Ингушетия,8,1175167.44,0.0,,Ремонт кровли ,2038.89,"0,00000",0.0,1.0
1714301,26715000,614583,Республика Ингушетия,8,1220976.0,0.0,,Ремонт кровли ,1668.0,"0,00000",0.0,1.0
1714295,26715000,301502,Республика Ингушетия,8,1392264.0,0.0,,Ремонт кровли ,2415.54,"0,00000",0.0,1.0
1714281,26715000,301501,Республика Ингушетия,8,1143237.6,0.0,,Ремонт кровли ,2001.52,"0,00000",0.0,1.0
1714276,26715000,300904,Республика Ингушетия,8,1459200.0,0.0,,Ремонт кровли ,811.44,"0,00000",0.0,1.0
1714372,26715000,614594,Республика Ингушетия,8,2961306.0,0.0,,Ремонт кровли ,4045.5,"0,00000",0.0,1.0
1714379,26715000,614595,Республика Ингушетия,8,2729042.4,0.0,,Ремонт кровли ,3728.2,"0,00000",0.0,1.0
