,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5936491,87608000,8760800001388,Республика Коми,8,2893523.0,2893523.0,,Ремонт кровли ,1289.9,,2243.214977905264,0.0
5936531,87608000,8760800001394,Республика Коми,8,2764117.27,2764117.27,,Ремонт кровли ,867.4,,3186.6696679732536,0.0
5936693,87608000,8760800001356,Республика Коми,8,1646207.16,1646207.16,,Ремонт кровли ,563.5,,2921.3969121561668,0.0
5936697,87608000,8760800001357,Республика Коми,8,1614618.0,1614618.0,,Ремонт кровли ,560.9,,2878.6200748796577,0.0
5936699,87608000,8760800001357,Республика Коми,8,1614618.0,1614618.0,,Ремонт кровли ,560.9,,2878.6200748796577,0.0
5947088,87628000,8762800003169,Республика Коми,8,1029000.0,1029000.0,06.03.2017,Ремонт кровли ,1507.1,"1029,00000",682.7682303762193,0.0
5947388,87628000,8762800003175,Республика Коми,8,2226363.0,2226363.0,08.02.2017,Ремонт кровли ,2414.7,"2226,36300",922.0039756491491,0.0
5950109,87636000,8763600005161,Республика Коми,8,1744999.0,1744999.0,,Ремонт кровли ,719.6,"4473782,52000",2424.9569205113953,0.0
5950237,87636000,8763600005163,Республика Коми,8,797331.0,797331.0,,Ремонт кровли ,215.0,"797331,00000",3708.5162790697673,0.0
5950412,87640000,8764000005495,Республика Коми,8,1819156.3,1819156.3,,Ремонт кровли ,515.1,,3531.656571539507,0.0
5950413,87640000,8764000005497,Республика Коми,8,2175767.78,2175767.78,,Ремонт кровли ,808.3,,2691.782481751825,0.0
5950415,87640000,8764000005464,Республика Коми,8,974870.0,974870.0,,Ремонт кровли ,359.7,,2710.230747845427,0.0
5950420,87640000,8764000005463,Республика Коми,8,984201.0,984201.0,,Ремонт кровли ,372.6,,2641.441223832528,0.0
5952136,87644000,8764400005725,Республика Коми,8,683335.0,683335.0,31.07.2015,Ремонт кровли ,323.6,,2111.6656365883805,0.0
5953297,87616000,8761600001734,Республика Коми,8,1877988.87,1877988.87,07.12.2017,Ремонт кровли ,828.4,,2267.0073273780786,0.0
5953311,87616000,8761600001752,Республика Коми,8,2892966.0,2892966.0,21.09.2017,Ремонт кровли ,1840.7,,1571.6662139403488,0.0
5899379,87715000,8771500001025,Республика Коми,8,,,,Ремонт кровли ,,,,
5899388,87715000,8771500001026,Республика Коми,8,,,,Ремонт кровли ,,,,
5899393,87715000,8771500001024,Республика Коми,8,,,,Ремонт кровли ,,,,
5899406,87715000,8771500001027,Республика Коми,8,,,,Ремонт кровли ,,,,
5899412,87715000,8771500001028,Республика Коми,8,,,,Ремонт кровли ,,,,
5899418,87715000,8771500001029,Республика Коми,8,,,,Ремонт кровли ,,,,
5899428,87715000,8771500001030,Республика Коми,8,,,,Ремонт кровли ,,,,
5899438,87715000,8771500001031,Республика Коми,8,,,,Ремонт кровли ,,,,
5899442,87715000,8771500001032,Республика Коми,8,,,,Ремонт кровли ,,,,
5899451,87715000,8771500001033,Республика Коми,8,,,,Ремонт кровли ,,,,
5899458,87715000,8771500001035,Республика Коми,8,,,,Ремонт кровли ,1184.9,,,
5899463,87715000,8771500001036,Республика Коми,8,,,,Ремонт кровли ,636.6,,,
5899477,87715000,8771500001037,Республика Коми,8,,,,Ремонт кровли ,848.8,,,
5899481,87715000,8771500001034,Республика Коми,8,,,,Ремонт кровли ,570.3,"0,00000",,
5899491,87715000,8771500001038,Республика Коми,8,,,,Ремонт кровли ,,,,
5899504,87715000,8771500001048,Республика Коми,8,,,,Ремонт кровли ,,,,
5899510,87715000,8771500001039,Республика Коми,8,,,,Ремонт кровли ,,,,
5899516,87715000,8771500001040,Республика Коми,8,,,,Ремонт кровли ,,,,
5899529,87715000,8771500001041,Республика Коми,8,,,,Ремонт кровли ,,,,
5899537,87715000,8771500001042,Республика Коми,8,,,,Ремонт кровли ,,,,
5899545,87715000,8771500001043,Республика Коми,8,,,,Ремонт кровли ,,,,
5899555,87715000,8771500001044,Республика Коми,8,,,,Ремонт кровли ,,,,
5899564,87715000,8771500001050,Республика Коми,8,,,,Ремонт кровли ,,,,
5899568,87715000,8771500001051,Республика Коми,8,,,,Ремонт кровли ,,,,
5899577,87715000,8771500001059,Республика Коми,8,,,,Ремонт кровли ,,,,
5899588,87715000,8771500001055,Республика Коми,8,,,,Ремонт кровли ,,,,
5899599,87715000,8771500001056,Республика Коми,8,,,,Ремонт кровли ,,,,
