,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
84390,35604000,9102011494,Республика Крым,8,100000.0,800306.6,06.03.2018,Ремонт кровли ,180.8,"1027,92000",4426.474557522123,700.3066
84346,35604000,9102011486,Республика Крым,8,125000.0,389501.27,06.03.2018,Ремонт кровли ,165.8,"1166,25000",2349.223582629674,211.60101600000002
135808,35656000,9102009734,Республика Крым,8,976640.0,3019970.7,,Ремонт кровли ,1650.9,"4438,64000",1829.2874795566056,209.22045994429882
85453,35607000,9102009365,Республика Крым,8,239500.0,730832.13,05.12.2017,Ремонт кровли ,610.0,"1580,30000",1198.0854590163935,205.14911482254695
124763,35616000,9102008941,Республика Крым,8,251000.0,749270.27,26.11.2017,Ремонт кровли ,422.0,"932,27000",1775.5219668246446,198.5140517928287
135571,35652000,9102011316,Республика Крым,8,1861720.0,4652555.14,,Ремонт кровли ,1471.8,"2540,81000",3161.132721837206,149.90627699116942
123834,35611000,9102008975,Республика Крым,8,3257600.0,7469064.0,19.05.2018,Ремонт кровли ,5071.0,"3589,61000",1472.897653322816,129.28118860510804
118082,35729000,9102008158,Республика Крым,8,187000.0,400000.0,,Ремонт кровли ,187.0,"0,00000",2139.03743315508,113.90374331550804
123866,35611000,9102008969,Республика Крым,8,2272176.0,4731520.1,10.05.2018,Ремонт кровли ,4367.0,"5397,02000",1083.471513624914,108.2373944624008
109827,35723000,9102005304,Республика Крым,8,2356144.0,4553293.0,06.03.2018,Ремонт кровли ,1886.49,"4575,90000",2413.632195240897,93.25189801642004
123807,35611000,9102008970,Республика Крым,8,1799824.0,3437619.32,26.01.2018,Ремонт кровли ,4335.3,"6160,82000",792.9368947939012,90.99752642480597
135853,35656000,9102010384,Республика Крым,8,818000.0,1558109.59,,Ремонт кровли ,1858.3,"2446,85000",838.4596620567186,90.47794498777506
127354,35620000,9102010985,Республика Крым,8,819700.0,1484696.9,06.03.2018,Ремонт кровли ,942.7,"1549,01000",1574.941020473109,81.12686348664144
127352,35620000,9102010984,Республика Крым,8,839000.0,1518003.45,06.03.2018,Ремонт кровли ,969.5,"1518,69000",1565.7591026302216,80.93008939213348
84509,35604000,9102011525,Республика Крым,8,885080.0,1547485.6,06.04.2018,Ремонт кровли ,545.8,"2156,17000",2835.261267863687,74.84132507795907
120442,35729000,9102007070,Республика Крым,8,1844390.0,3098026.42,,Ремонт кровли ,2826.3,"1357,90000",1096.14210098008,67.97024598918884
133633,35647000,9102010108,Республика Крым,8,983049.2,1608765.31,05.10.2017,Ремонт кровли ,547.0,"2117,11000",2941.0700365630714,63.65053854883358
105631,35701000,9102004288,Республика Крым,8,1931610.8,2665290.14,06.04.2018,Ремонт кровли ,2933.9,"6038,25000",908.4461433586694,37.98277272005313
85405,35607000,9102009354,Республика Крым,8,751402.4,961511.31,17.10.2017,Ремонт кровли ,616.8,"1817,30000",1558.8704766536966,27.962235680908123
127599,35623000,9102010949,Республика Крым,8,2016456.0,2523368.7,,Ремонт кровли ,1538.3,"1068,99000",1640.3618929987651,25.138793011104642
85408,35607000,9102009355,Республика Крым,8,751402.4,934570.98,05.12.2017,Ремонт кровли ,399.1,"1823,13000",2341.6962665998494,24.376895788461674
85450,35607000,9102009364,Республика Крым,8,1861720.0,2239419.08,22.11.2017,Ремонт кровли ,1418.5,"3919,07000",1578.7233556573847,20.287641535784108
88818,35706000,9102000642,Республика Крым,8,2532784.0,3028454.76,11.01.2018,Ремонт кровли ,6335.57,"7419,88000",478.00825497942566,19.57019469484962
107730,35701000,9102004750,Республика Крым,8,1200000.0,1384726.24,11.01.2018,Ремонт кровли ,1200.0,"2520,77000",1153.9385333333332,15.39385333333334
126503,35620000,9102009710,Республика Крым,8,668388.0,770324.8,05.12.2017,Ремонт кровли ,388.8,"1569,98000",1981.2880658436216,15.251141552511417
126506,35620000,9102009711,Республика Крым,8,408968.0,468436.86,05.12.2017,Ремонт кровли ,238.6,"1114,90000",1963.2726739312657,14.541201267580828
131033,35639000,9102011066,Республика Крым,8,1411966.0,1593295.14,28.04.2018,Ремонт кровли ,3331.4,"5132,96000",478.2659362430209,12.842316316398538
133311,35647000,9102009220,Республика Крым,8,2136400.0,2401787.0,05.12.2017,Ремонт кровли ,2190.0,"3930,19000",1096.7063926940639,12.422158771765579
90524,35712000,9102001615,Республика Крым,8,891320.08,975172.06,11.01.2018,Ремонт кровли ,1096.8,"271,14000",889.1065463165573,9.407617070626317
126497,35620000,9102009709,Республика Крым,8,955276.0,1042166.94,05.12.2017,Ремонт кровли ,740.5,"1974,74000",1407.38276839973,9.095898986261552
110238,35723000,9102005346,Республика Крым,8,1415020.0,1539831.2,06.03.2018,Ремонт кровли ,2780.1,"1558,54000",553.8761915039028,8.820454834560643
112253,35726000,9102006453,Республика Крым,8,2365300.0,2569514.24,06.03.2018,Ремонт кровли ,1168.6,"3070,45000",2198.797056306692,8.633756394537695
133305,35647000,9102009219,Республика Крым,8,1709120.0,1856473.17,17.10.2017,Ремонт кровли ,1290.0,"3566,48000",1439.126488372093,8.621581281595203
131686,35643000,9102009952,Республика Крым,8,1221600.0,1324898.92,02.03.2018,Ремонт кровли ,2143.0,"4936,26000",618.2449463369109,8.456034708578898
100386,35721000,9102003269,Республика Крым,8,1711461.0,1850093.5,06.04.2018,Ремонт кровли ,4024.1,"4774,44000",459.75336099997514,8.100243008751008
133270,35647000,9102009212,Республика Крым,8,2136400.0,2307415.51,11.01.2018,Ремонт кровли ,2184.0,"3906,64000",1056.508933150183,8.004845066466949
133506,35647000,9102010065,Республика Крым,8,983049.2,1059343.3,06.03.2018,Ремонт кровли ,547.3,"2175,69000",1935.5806687374386,7.760964558030259
132632,35643000,9102011608,Республика Крым,8,2901300.0,3123814.42,,Ремонт кровли ,5881.11,"3158,15000",531.1606856528784,7.669472994864379
126444,35620000,9102009693,Республика Крым,8,888132.0,956048.07,07.12.2017,Ремонт кровли ,574.2,"1443,24000",1665.008829676071,7.647069354555391
107172,35701000,9102004642,Республика Крым,8,1554688.0,1673401.14,05.12.2017,Ремонт кровли ,1454.7,"4097,09000",1150.3410600123736,7.635817604561157
106567,35701000,9102004474,Республика Крым,8,842352.0,904551.04,11.01.2018,Ремонт кровли ,593.6,"2482,70000",1523.8393530997305,7.383972496058666
100362,35721000,9102003263,Республика Крым,8,1744241.0,1867989.2,,Ремонт кровли ,4956.1,"1614,93000",376.90708419926955,7.094673270494156
86067,35703000,9102000462,Республика Крым,8,1567720.0,1667061.9,29.03.2018,Ремонт кровли ,2865.2,"4283,11000",581.830901856764,6.336711912841575
133604,35647000,9102010096,Республика Крым,8,2344119.12,2482192.91,05.10.2017,Ремонт кровли ,533.4,"2007,51000",4653.530014998126,5.890220715404593
127781,35627000,9102008552,Республика Крым,8,2487380.0,2600299.92,27.09.2017,Ремонт кровли ,957.3,"4049,58000",2716.285302413037,4.539713272600077
99620,35718000,9102003109,Республика Крым,8,1962436.0,2016244.3,10.05.2018,Ремонт кровли ,505.33,"2249,65000",3989.9556725308216,2.7419136216416673
126480,35620000,9102009705,Республика Крым,8,955276.0,975529.86,05.12.2017,Ремонт кровли ,902.5,"1420,95000",1080.919512465374,2.120210284776336
133614,35647000,9102010103,Республика Крым,8,1048056.0,1069418.04,05.12.2017,Ремонт кровли ,456.8,"1742,34000",2341.1077933450088,2.038253681101021
100290,35721000,9102003220,Республика Крым,8,1263745.0,1279447.84,06.03.2018,Ремонт кровли ,1036.0,"2162,19000",1234.9882625482626,1.2425639666230115
98401,35715000,9102002809,Республика Крым,8,1965488.0,1986255.3,22.01.2018,Ремонт кровли ,1289.9,"2449,68000",1539.8521590820992,1.0565976490316986
126360,35620000,9102009681,Республика Крым,8,1434440.0,1437830.19,29.11.2017,Ремонт кровли ,1149.9,"2304,15000",1250.395851813201,0.23634240539862628
133639,35647000,9102010109,Республика Крым,8,1585208.0,1588097.36,09.11.2017,Ремонт кровли ,299.7,"2143,92000",5298.956823490157,0.18227008695390623
98345,35715000,9102002797,Республика Крым,8,4660404.0,4631536.36,20.12.2017,Ремонт кровли ,3319.8,"4631,54000",1395.1251159708415,-0.6194235521212232
86170,35703000,9102000481,Республика Крым,8,1081116.0,1069584.04,28.04.2018,Ремонт кровли ,1986.0,"2851,69000",538.5619536757301,-1.0666718464993563
98432,35715000,9102002814,Республика Крым,8,1103512.0,1083948.39,05.12.2017,Ремонт кровли ,1829.2,"1649,04000",592.5805762081784,-1.7728497741755556
86070,35703000,9102000463,Республика Крым,8,1567720.0,1535746.67,05.12.2017,Ремонт кровли ,2932.2,"4033,81000",523.7523600027283,-2.0394796264639137
101045,35721000,9102003478,Республика Крым,8,3373855.0,3304396.38,,Ремонт кровли ,7954.2,"11358,81000",415.4278720675869,-2.058731628952637
88897,35706000,9102000657,Республика Крым,8,1865790.0,1822760.45,11.01.2018,Ремонт кровли ,4579.02,"5343,42000",398.0678070853588,-2.3062375722884165
126307,35620000,9102009663,Республика Крым,8,2221856.0,2167977.17,05.12.2017,Ремонт кровли ,1859.3,"2580,71000",1166.0179476146936,-2.42494698126251
130951,35639000,9102011023,Республика Крым,8,1407486.0,1373230.67,06.03.2018,Ремонт кровли ,2136.4,"4328,42000",642.7778833551769,-2.4337954338444656
89584,35709000,9102000791,Республика Крым,8,1759104.0,1712851.87,,Ремонт кровли ,3507.77,"964,78000",488.3022176482495,-2.629300484792252
130264,35635000,9102010706,Республика Крым,8,1465920.0,1400705.45,29.03.2018,Ремонт кровли ,2484.0,"4820,20000",563.8910829307569,-4.448711389434623
133643,35647000,9102010110,Республика Крым,8,1130033.52,1076046.64,05.12.2017,Ремонт кровли ,545.56,"2009,65000",1972.3708483026614,-4.777458282830416
130270,35635000,9102010702,Республика Крым,8,1476100.0,1401983.89,29.03.2018,Ремонт кровли ,2647.0,"5492,03000",529.6501284472988,-5.021076485332976
