,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2949310,90605000,1000002266,Республика Северная Осетия-Алания,8,3090276.54,0.0,,Ремонт кровли ,3409.4,"0,00000",0.0,1.0
2967158,90701000,1000002019,Республика Северная Осетия-Алания,8,2756901.41,0.0,,Ремонт кровли ,3157.4,"0,00000",0.0,1.0
2967098,90701000,1000002009,Республика Северная Осетия-Алания,8,186768.98,0.0,,Ремонт кровли ,159.4,"0,00000",0.0,1.0
2967099,90701000,1000002010,Республика Северная Осетия-Алания,8,482271.72,0.0,,Ремонт кровли ,432.2,"0,00000",0.0,1.0
2967113,90701000,1000002014,Республика Северная Осетия-Алания,8,633719.0,0.0,,Ремонт кровли ,590.0,"0,00000",0.0,1.0
2967125,90701000,1000002016,Республика Северная Осетия-Алания,8,1790071.27,0.0,,Ремонт кровли ,1844.38,"0,00000",0.0,1.0
2967127,90701000,1000002017,Республика Северная Осетия-Алания,8,1799698.84,0.0,,Ремонт кровли ,1843.0,"0,00000",0.0,1.0
2967139,90701000,1000002011,Республика Северная Осетия-Алания,8,1663139.13,0.0,,Ремонт кровли ,1703.2,"0,00000",0.0,1.0
2967156,90701000,1000002018,Республика Северная Осетия-Алания,8,1289500.01,0.0,,Ремонт кровли ,1282.9,"0,00000",0.0,1.0
2967173,90701000,1000002020,Республика Северная Осетия-Алания,8,1802508.16,0.0,,Ремонт кровли ,1780.3,"0,00000",0.0,1.0
2967266,90701000,1000002050,Республика Северная Осетия-Алания,8,2824720.0,0.0,,Ремонт кровли ,2649.6,"0,00000",0.0,1.0
2967184,90701000,1000002021,Республика Северная Осетия-Алания,8,351510.0,0.0,,Ремонт кровли ,310.0,"0,00000",0.0,1.0
2967198,90701000,1000002030,Республика Северная Осетия-Алания,8,713632.04,0.0,,Ремонт кровли ,728.5,"0,00000",0.0,1.0
2967199,90701000,1000002039,Республика Северная Осетия-Алания,8,744162.74,0.0,,Ремонт кровли ,750.0,"0,00000",0.0,1.0
2967215,90701000,1000002045,Республика Северная Осетия-Алания,8,2312574.4,0.0,,Ремонт кровли ,2332.54,"0,00000",0.0,1.0
2967222,90701000,1000002046,Республика Северная Осетия-Алания,8,1803605.23,0.0,,Ремонт кровли ,1962.4,"0,00000",0.0,1.0
2967231,90701000,1000002047,Республика Северная Осетия-Алания,8,2923516.92,0.0,,Ремонт кровли ,3309.29,"0,00000",0.0,1.0
2967251,90701000,1000002048,Республика Северная Осетия-Алания,8,1278754.16,0.0,,Ремонт кровли ,2637.84,"0,00000",0.0,1.0
2967082,90701000,1000002007,Республика Северная Осетия-Алания,8,2396918.4,0.0,,Ремонт кровли ,2584.0,"0,00000",0.0,1.0
2967068,90701000,1000002001,Республика Северная Осетия-Алания,8,2522979.24,0.0,,Ремонт кровли ,4152.5,"0,00000",0.0,1.0
2967061,90701000,1000002000,Республика Северная Осетия-Алания,8,976700.78,0.0,,Ремонт кровли ,2643.7,"0,00000",0.0,1.0
2967042,90701000,1000001999,Республика Северная Осетия-Алания,8,1641852.0,0.0,,Ремонт кровли ,2711.7,"0,00000",0.0,1.0
2966875,90701000,1000001967,Республика Северная Осетия-Алания,8,1344270.83,0.0,,Ремонт кровли ,1705.9,"0,00000",0.0,1.0
2966890,90701000,1000001968,Республика Северная Осетия-Алания,8,2108991.36,0.0,,Ремонт кровли ,2459.6,"0,00000",0.0,1.0
2966908,90701000,1000001974,Республика Северная Осетия-Алания,8,429545.22,0.0,,Ремонт кровли ,384.93,"0,00000",0.0,1.0
