,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
347516,95715000,898,Республика Хакасия,8,469963.0,581628.77,07.10.2015,Ремонт кровли ,251.96,"1897,55372",2308.417090014288,23.76054497907283
345761,95708000,236,Республика Хакасия,8,2121600.0,2367871.0,22.08.2019,Ремонт кровли ,3633.8,"2367,87100",651.6239198635037,11.607796003016603
345880,95708000,295,Республика Хакасия,8,490128.45,540891.45,26.06.2019,Ремонт кровли ,2775.6,"540,89100",194.87370298313877,10.35708088359284
345820,95708000,173,Республика Хакасия,8,1371866.0,1443277.0,23.05.2019,Ремонт кровли ,2984.1,"1443,27700",483.6557085888543,5.205391780246749
347513,95715000,895,Республика Хакасия,8,673988.0,707586.43,07.10.2015,Ремонт кровли ,362.9,"2398,52993",1949.811049875999,4.985019021110171
343621,95701000,258,Республика Хакасия,8,3276603.0,3432400.0,10.02.2016,Ремонт кровли ,2419.5,"3276,60300",1418.6402149204382,4.754832977934775
346507,95709000,516,Республика Хакасия,8,654885.75,671715.49,,Ремонт кровли ,364.8,"0,00000",1841.325356359649,2.5698742108833494
345351,95708000,2572,Республика Хакасия,8,1929727.0,1976138.0,26.06.2019,Ремонт кровли ,5226.1,"1976,13800",378.1286236390425,2.405055222837227
347885,95715000,1424,Республика Хакасия,8,1732731.0,1770556.0,27.08.2015,Ремонт кровли ,894.6,"4943,48483",1979.1594008495417,2.1829701205784424
347527,95715000,899,Республика Хакасия,8,995798.0,1015542.75,07.10.2015,Ремонт кровли ,556.9,"3326,10400",1823.563925300772,1.9828067539802152
346957,95715000,778,Республика Хакасия,8,678566.0,690582.86,08.09.2015,Ремонт кровли ,445.4,"2390,73000",1550.4779074988774,1.7709198515693414
346803,95715000,1566,Республика Хакасия,8,692080.6,703898.1,15.09.2015,Ремонт кровли ,434.8,"2311,95000",1618.9008739650412,1.707532330771877
344422,95701000,1808,Республика Хакасия,8,538667.0,546525.34,29.07.2015,Ремонт кровли ,366.1,"2024,96661",1492.8307566238732,1.458849344771429
346965,95715000,745,Республика Хакасия,8,695157.0,699674.85,08.09.2015,Ремонт кровли ,439.7,"2558,10905",1591.2550602683648,0.6499035469685221
344425,95701000,1809,Республика Хакасия,8,543430.0,546535.34,29.07.2015,Ремонт кровли ,364.3,"2064,47206",1500.2342574800987,0.5714333032773355
347854,95715000,1303,Республика Хакасия,8,629925.0,633461.43,09.09.2015,Ремонт кровли ,449.4,"2469,94665",1409.571495327103,0.5614049291582379
347344,95715000,966,Республика Хакасия,8,668939.0,672550.0,10.08.2015,Ремонт кровли ,414.1,"2726,92499",1624.1246075827094,0.5398100574192766
342244,95702000,425,Республика Хакасия,8,939325.39,944057.7,24.11.2015,Ремонт кровли ,595.0,"939,32540",1586.6515966386553,0.5037987954312539
345096,95708000,1965,Республика Хакасия,8,748903.0,752407.8,23.09.2015,Ремонт кровли ,528.2,"1941,45165",1424.4751987883378,0.4679911817685456
347898,95715000,1253,Республика Хакасия,8,898817.0,903013.8,25.09.2015,Ремонт кровли ,567.7,"2106,10500",1590.6531618812753,0.4669248578965446
342246,95702000,522,Республика Хакасия,8,940991.85,945084.85,14.12.2015,Ремонт кровли ,582.0,"1799,74185",1623.8571305841924,0.4349665727710672
347504,95715000,893,Республика Хакасия,8,578620.0,581098.47,03.09.2015,Ремонт кровли ,240.3,"1871,61904",2418.2208489388263,0.42834157132487505
346834,95715000,689,Республика Хакасия,8,540868.06,543118.06,05.11.2015,Ремонт кровли ,246.18,"1212,47000",2206.1827118368674,0.4159979422708071
346971,95715000,744,Республика Хакасия,8,697215.0,699861.75,25.09.2015,Ремонт кровли ,436.4,"2517,95569",1603.7162007332722,0.37961747810932867
345329,95708000,2928,Республика Хакасия,8,2016081.0,2022866.7,23.09.2015,Ремонт кровли ,5592.3,"2016,08100",361.72356633227827,0.3365787386518715
347351,95715000,964,Республика Хакасия,8,672580.0,674800.0,03.09.2015,Ремонт кровли ,421.6,"2582,58317",1600.5692599620493,0.3300722590621197
345142,95708000,2013,Республика Хакасия,8,421608.0,422859.5,15.09.2015,Ремонт кровли ,252.3,"1803,03700",1676.0186286167261,0.29683971841141243
347860,95715000,1301,Республика Хакасия,8,632049.0,633888.96,05.08.2015,Ремонт кровли ,462.1,"2488,19017",1371.757108850898,0.2911103411286087
347758,95715000,1477,Республика Хакасия,8,1706131.0,1710529.0,08.09.2015,Ремонт кровли ,884.7,"1706,13100",1933.4565389397535,0.2577762199971856
347661,95715000,1433,Республика Хакасия,8,965876.0,968126.0,25.09.2015,Ремонт кровли ,488.1,"2211,11548",1983.458307723827,0.23294915703464536
346628,95715000,981,Республика Хакасия,8,916128.0,918172.8,26.10.2015,Ремонт кровли ,532.61,"2428,17700",1723.9120557255778,0.22320025149324962
345126,95708000,1483,Республика Хакасия,8,805043.0,806810.3,08.10.2015,Ремонт кровли ,531.6,"805,04300",1517.7018434913468,0.21952864629590785
347959,95715000,1323,Республика Хакасия,8,925300.0,927208.2,12.10.2015,Ремонт кровли ,440.8,"2010,25000",2103.4668784029036,0.20622500810547617
