,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6282810,67320000,673200051,Севастополь,8,3937094.72,1055396.5,,Ремонт кровли ,637.5,"51,71000",1655.5239215686274,0.7319352022092067
6290014,67312000,673120821,Севастополь,8,2521780.31,1047167.78,09.11.2018,Ремонт кровли ,788.5,"1162,94000",1328.0504502219405,0.5847505923305428
6291209,67312000,673120957,Севастополь,8,2797292.83,1247300.0,18.07.2019,Ремонт кровли ,220.3,"1251,93000",5661.824784384929,0.5541046019125571
6280461,67310000,673100823,Севастополь,8,2803621.54,1371700.0,,Ремонт кровли ,194.7,"0,00000",7045.197740112994,0.5107399552936807
6285452,67312000,673120043,Севастополь,8,3923804.42,2055152.6,,Ремонт кровли ,826.0,"100,70000",2488.078208232446,0.47623469979168837
6271453,67316000,673160023,Севастополь,8,3797230.08,2075540.15,17.06.2019,Ремонт кровли ,679.2,"1643,45000",3055.860055948174,0.4534067975148875
6285573,67312000,673120064,Севастополь,8,3962409.59,2239894.25,31.07.2019,Ремонт кровли ,1403.6,"781,72000",1595.8209247648904,0.4347141053633478
6279917,67310000,673100754,Севастополь,8,7467885.82,4418740.0,22.08.2019,Ремонт кровли ,3132.9,"1541,06000",1410.4312298509367,0.40830107656895054
6294857,67314000,673140130,Севастополь,8,2229110.0,1344880.79,29.11.2018,Ремонт кровли ,7288.2,"19470,99000",184.52852418978625,0.3966736545078529
6271460,67316000,673160024,Севастополь,8,2656248.34,1718394.85,17.06.2019,Ремонт кровли ,1800.0,"1673,20000",954.6638055555557,0.3530744757096017
6275726,67310000,673100683,Севастополь,8,3818180.0,2521172.96,28.09.2018,Ремонт кровли ,825.7,"2649,12000",3053.376480561947,0.33969248175832467
6274981,67310000,673100273,Севастополь,8,1588440.0,1049723.64,21.09.2018,Ремонт кровли ,360.8,"1135,62000",2909.433592017738,0.33914806980433637
6281096,67310000,673100517,Севастополь,8,2180242.94,1445260.0,,Ремонт кровли ,175.2,"0,00000",8249.20091324201,0.33711056988906013
6285524,67312000,673120057,Севастополь,8,7791857.5,5232114.58,09.11.2018,Ремонт кровли ,3437.2,"5577,90000",1522.2025427673689,0.328515109522986
6275003,67310000,673100274,Севастополь,8,1571180.0,1065814.96,21.09.2018,Ремонт кровли ,383.2,"1153,23000",2781.354279749478,0.3216468132231826
6286612,67312000,673120391,Севастополь,8,2847922.56,1957883.32,,Ремонт кровли ,960.3,"96,42000",2038.8246589607415,0.31252227588660275
6299009,67314000,673140679,Севастополь,8,5550284.64,3836440.0,,Ремонт кровли ,2903.8,"187,05000",1321.1791445691852,0.30878499953832994
6275577,67310000,673100685,Севастополь,8,2997140.0,2086384.24,30.09.2018,Ремонт кровли ,1012.7,"2213,72000",2060.219452947566,0.30387494744990223
6280886,67310000,673100853,Севастополь,8,1630430.0,1143740.28,29.09.2018,Ремонт кровли ,344.9,"1235,09000",3316.1504204117136,0.29850390387811804
6290433,67312000,673120879,Севастополь,8,949307.52,668180.0,01.04.2019,Ремонт кровли ,97.5,"670,77000",6853.128205128205,0.2961395691882858
6291203,67312000,673120956,Севастополь,8,3290240.0,2324136.42,28.09.2018,Ремонт кровли ,711.5,"2437,60000",3266.5304567814474,0.2936270849542891
6286570,67312000,673120388,Севастополь,8,5145246.75,3647610.3,19.08.2019,Ремонт кровли ,1239.9,"1273,02000",2941.858456327123,0.2910718421813298
6270474,67302000,673020149,Севастополь,8,1330570.0,956291.9,20.12.2018,Ремонт кровли ,1038.2,"1041,95000",921.1056636486226,0.2812915517409832
6289921,67312000,673120809,Севастополь,8,1234099.78,889140.0,05.04.2019,Ремонт кровли ,201.17,"690,88000",4419.843913108317,0.2795234109838347
6285158,67312000,673120002,Севастополь,8,4265555.12,3115205.7,,Ремонт кровли ,1708.3,"152,65000",1823.5706257683078,0.26968340289551807
6281103,67310000,673100518,Севастополь,8,1365170.0,999813.14,22.10.2018,Ремонт кровли ,165.9,"1042,88000",6026.601205545509,0.26762737241515705
6279974,67310000,673100766,Севастополь,8,9550033.65,7014680.0,22.08.2019,Ремонт кровли ,5259.1,"0,00000",1333.817573349052,0.2654811221529047
6274946,67310000,673100224,Севастополь,8,1641050.0,1205451.18,28.09.2018,Ремонт кровли ,396.2,"1293,22000",3042.5320040383644,0.2654390908259956
6293916,67314000,673140028,Севастополь,8,2650270.0,1956381.16,30.10.2018,Ремонт кровли ,995.2,"2067,18000",1965.817081993569,0.2618181694695258
6286596,67312000,673120390,Севастополь,8,4297198.71,3189314.57,,Ремонт кровли ,989.3,"157,07000",3223.809329829172,0.25781543157914616
6291243,67312000,673120958,Севастополь,8,3303960.0,2455385.24,28.09.2018,Ремонт кровли ,718.4,"2569,78000",3417.8525055679293,0.25683566387002255
6292025,67312000,673121017,Севастополь,8,3117940.0,2320661.0,09.08.2019,Ремонт кровли ,627.0,"1037,67000",3701.213716108453,0.2557069731938395
6282921,67312000,673120857,Севастополь,8,3796900.0,2827059.34,28.12.2018,Ремонт кровли ,779.7,"2964,90000",3625.829601128639,0.2554296030972636
6285444,67312000,673120042,Севастополь,8,3549144.39,2658630.05,16.07.2019,Ремонт кровли ,789.1,"2845,64000",3369.19281459891,0.25090958330945795
6295972,67314000,673140219,Севастополь,8,1556170.0,1165836.46,23.11.2018,Ремонт кровли ,286.1,"1203,19000",4074.9264592799714,0.25082962658321395
6278158,67310000,673100101,Севастополь,8,5360949.7,4017063.94,31.05.2018,Ремонт кровли ,19196.4,"5360,95000",209.26131670521553,0.250680538935107
6274934,67310000,673100231,Севастополь,8,1236390.0,942555.42,25.12.2018,Ремонт кровли ,776.8,"1023,31000",1213.3823635427395,0.23765525441001623
