,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
43450,94616000,482,Удмуртская Республика,8,1506990.59,322023.29,21.03.0019,Ремонт кровли ,615.63,"1556,74000",523.0792683917288,0.786313669018995
52730,94652000,2317,Удмуртская Республика,8,1116127.0,255062.0,25.11.0016,Ремонт кровли ,243.7,"1121,39000",1046.6228970045138,0.7714758266756382
1420,94604000,7560,Удмуртская Республика,8,1589966.0,453899.59,18.12.0017,Ремонт кровли ,629.2,"1600,75000",721.3915924984107,0.7145224551971551
4139,94710000,8274,Удмуртская Республика,8,1351931.99,404959.44,20.04.0017,Ремонт кровли ,602.58,"1828,56000",672.0426167479836,0.7004587190809799
14372,94701000,5060,Удмуртская Республика,8,3377495.0,1050092.53,12.05.0017,Ремонт кровли ,4288.91,"6115,71000",244.8390220359019,0.6890913147169722
4192,94710000,828,Удмуртская Республика,8,1500565.25,474628.86,20.04.0017,Ремонт кровли ,735.77,"1631,26000",645.0777552767848,0.6836999524012701
43754,94616000,1664,Удмуртская Республика,8,1883616.91,619495.5,19.10.0017,Ремонт кровли ,833.9,"1894,98000",742.8894351840748,0.6711138572226982
4094,94710000,8267,Удмуртская Республика,8,1211046.19,410773.17,11.12.0017,Ремонт кровли ,796.2,"1215,15000",515.9170685757347,0.6608113105908867
43219,94612000,4162,Удмуртская Республика,8,1980412.64,672867.42,20.12.0017,Ремонт кровли ,822.95,"1140,75000",817.6285558053345,0.6602387773085511
51231,94644000,2165,Удмуртская Республика,8,1343282.15,468338.6,25.01.0018,Ремонт кровли ,2139.6,"1351,87000",218.89072723873622,0.6513475594088702
43232,94612000,4163,Удмуртская Республика,8,1915102.38,672867.42,19.10.0017,Ремонт кровли ,844.9,"1605,61000",796.3870517220973,0.6486519848615091
301,94602000,1435,Удмуртская Республика,8,774559.8,276390.3,16.08.0017,Ремонт кровли ,312.26,"779,63000",885.1287388714533,0.6431646723726173
44708,94616000,1713,Удмуртская Республика,8,1564532.0,609964.8,29.06.0017,Ремонт кровли ,655.8,"1575,72000",930.1079597438245,0.6101295467270723
44724,94616000,1711,Удмуртская Республика,8,2384801.6,934008.6,23.08.0017,Ремонт кровли ,3216.99,"2401,93000",290.3361838240094,0.6083495583028793
24961,94701000,2807,Удмуртская Республика,8,2786936.98,1100795.85,30.11.0018,Ремонт кровли ,3103.08,"2786,94000",354.74298116709855,0.605015880194033
52422,94650000,8394,Удмуртская Республика,8,1276181.2,548015.25,30.11.0017,Ремонт кровли ,823.93,"1286,23000",665.1235541854284,0.5705819440060705
50606,94639000,4887,Удмуртская Республика,8,626297.0,272600.0,19.10.0016,Ремонт кровли ,378.2,"631,75000",720.7826546800635,0.5647432448183529
23411,94701000,2746,Удмуртская Республика,8,1382626.06,612677.5,04.08.0017,Ремонт кровли ,576.97,"2020,29000",1061.8879664453957,0.5568740401146497
52416,94650000,8393,Удмуртская Республика,8,1222838.6,543249.9,15.09.0017,Ремонт кровли ,564.33,"1232,80000",962.6457923555366,0.5557468499931226
11524,94720000,323,Удмуртская Республика,8,2132949.87,1000624.89,26.07.0017,Ремонт кровли ,975.03,"2152,54000",1026.2503615273376,0.5308727579237481
45750,94618000,1918,Удмуртская Республика,8,558757.86,269578.1,14.07.0017,Ремонт кровли ,188.7,"735,31000",1428.606783253842,0.5175403886041084
48001,94626000,2066,Удмуртская Республика,8,1164577.04,590621.11,29.06.0017,Ремонт кровли ,476.95,"1402,14000",1238.3291959324877,0.49284496455468507
52327,94648000,621,Удмуртская Республика,8,1825820.0,929611.65,30.11.0016,Ремонт кровли ,1040.57,"1844,41000",893.3677215372345,0.490852521059031
47782,94624000,2030,Удмуртская Республика,8,305255.52,158756.31,28.10.0016,Ремонт кровли ,100.6,"369,18000",1578.094532803181,0.47992321318218917
24443,94701000,5856,Удмуртская Республика,8,3404710.62,1812478.0,03.11.0016,Ремонт кровли ,4757.03,"3422,83000",381.0104203673301,0.4676557856773155
44179,94616000,577,Удмуртская Республика,8,750968.68,403684.38,06.04.0016,Ремонт кровли ,335.5,"864,90000",1203.232131147541,0.4624484472508228
12281,94701000,2837,Удмуртская Республика,8,583040.99,315968.76,24.06.0016,Ремонт кровли ,260.9,"823,15000",1211.0722882330397,0.4580676737668135
48007,94626000,2070,Удмуртская Республика,8,862725.63,470536.32,29.06.0017,Ремонт кровли ,377.07,"871,94000",1247.8752486275757,0.4545933218652609
2508,94610000,1568,Удмуртская Республика,8,1473254.0,820987.85,16.03.0018,Ремонт кровли ,707.0,"1481,46000",1161.2275106082036,0.44273842120910584
47821,94624000,2034,Удмуртская Республика,8,277421.8,156696.92,30.04.0016,Ремонт кровли ,130.18,"340,00000",1203.6942694730374,0.4351672435259233
42777,94740000,7449,Удмуртская Республика,8,4085201.74,2328174.5,13.03.0018,Ремонт кровли ,1039.3,"4108,48000",2240.1371115173674,0.4300955869072944
299,94602000,1434,Удмуртская Республика,8,798707.0,464858.46,02.11.0016,Ремонт кровли ,362.34,"912,88000",1282.9344262295083,0.41798624526891587
15561,94701000,2438,Удмуртская Республика,8,817633.88,482375.76,13.04.0016,Ремонт кровли ,400.9,"1176,22000",1203.2321277126466,0.4100345254773444
31051,94701000,6344,Удмуртская Республика,8,1450818.43,876835.36,30.05.0016,Ремонт кровли ,1054.53,"2406,42000",831.493992584374,0.3956270875329313
34032,94701000,1337,Удмуртская Республика,8,817877.89,495731.64,21.04.0016,Ремонт кровли ,321.8,"1183,67000",1540.4960845245494,0.39388061951399617
3025,94710000,3975,Удмуртская Республика,8,411278.0,250462.56,22.12.0017,Ремонт кровли ,128.7,"419,94000",1946.0960372960374,0.39101396135946975
47988,94626000,2053,Удмуртская Республика,8,1094224.52,666590.6,17.05.0016,Ремонт кровли ,536.7,"1172,48000",1242.017141792435,0.3908100322957486
11249,94720000,1319,Удмуртская Республика,8,562057.6,345550.11,12.12.0018,Ремонт кровли ,128.5,"567,68000",2689.105914396887,0.38520516402589344
27570,94701000,2961,Удмуртская Республика,8,2634859.23,1634229.87,30.05.0016,Ремонт кровли ,2056.4,"4259,94000",794.7042744602218,0.37976577595001154
34018,94701000,1344,Удмуртская Республика,8,1421498.92,885458.52,09.06.0016,Ремонт кровли ,726.4,"1845,66000",1218.9682268722468,0.3770951862559276
48028,94626000,2056,Удмуртская Республика,8,549930.66,343948.31,25.11.0016,Ремонт кровли ,271.45,"588,30000",1267.077951740652,0.37456058551090793
37603,94730000,4388,Удмуртская Республика,8,4679168.94,2989866.2,28.02.0018,Ремонт кровли ,3902.6,"4709,07000",766.1216112335367,0.36102623385938276
13262,94701000,5572,Удмуртская Республика,8,2402099.13,1537088.93,30.05.0016,Ремонт кровли ,1855.35,"3753,38000",828.4630554881828,0.36010595449489213
47507,94624000,1959,Удмуртская Республика,8,872616.72,560465.52,30.04.0016,Ремонт кровли ,369.1,"1024,87000",1518.4652397724194,0.3577185639990945
51026,94644000,2216,Удмуртская Республика,8,928228.34,605325.37,07.07.0017,Ремонт кровли ,324.25,"940,08000",1866.8477101002313,0.34787019107819955
47801,94624000,4842,Удмуртская Республика,8,322276.92,211299.3,28.10.0016,Ремонт кровли ,117.7,"351,58000",1795.2361937128292,0.34435484861900756
25355,94701000,5919,Удмуртская Республика,8,2322850.31,1524243.0,28.11.0016,Ремонт кровли ,3372.93,"3698,41000",451.9047237861444,0.343804896321537
34021,94701000,1346,Удмуртская Республика,8,1356223.7,890151.13,15.06.0016,Ремонт кровли ,669.32,"1747,67000",1329.9335594334548,0.34365464192964623
30997,94701000,3122,Удмуртская Республика,8,1357143.78,909210.32,31.05.0016,Ремонт кровли ,2211.27,"2173,24000",411.17110077014564,0.33005600924612427
43459,94616000,1657,Удмуртская Республика,8,670967.68,456024.98,24.03.0016,Ремонт кровли ,364.85,"774,44000",1249.8971632177606,0.320347322839753
25157,94701000,5899,Удмуртская Республика,8,7383139.64,5029862.45,30.11.0016,Ремонт кровли ,10016.78,"9175,04000",502.14364795872524,0.31873664927729844
51133,94644000,2171,Удмуртская Республика,8,907997.1,621254.99,03.05.0017,Ремонт кровли ,351.6,"920,16000",1766.9368316268485,0.3157962839308628
26123,94701000,2840,Удмуртская Республика,8,281455.96,193456.31,21.10.0016,Ремонт кровли ,113.25,"283,39000",1708.2234878587196,0.312658683795504
9179,94720000,1409,Удмуртская Республика,8,4080540.3,2823217.92,09.01.0018,Ремонт кровли ,2027.5,"4108,77000",1392.4625992601725,0.3081264459022742
25211,94701000,5901,Удмуртская Республика,8,4200703.0,2916344.9,25.01.0018,Ремонт кровли ,3775.78,"4229,87000",772.3821038302019,0.305748371165493
49512,94635000,4458,Удмуртская Республика,8,1585510.23,1102819.5,16.08.0017,Ремонт кровли ,590.5,"1607,10000",1867.6028789161728,0.304438735787911
13273,94701000,5573,Удмуртская Республика,8,1589249.9,1111465.62,30.05.0016,Ремонт кровли ,1385.5,"2760,32000",802.2126452544209,0.30063508577222486
9134,94720000,1055,Удмуртская Республика,8,2628519.04,1858373.39,19.04.0017,Ремонт кровли ,2072.53,"2664,91000",896.668993934949,0.2929960324730994
43466,94616000,1669,Удмуртская Республика,8,670918.81,475914.4,02.03.0016,Ремонт кровли ,370.3,"779,78000",1285.213070483392,0.2906527691480285
31072,94701000,3127,Удмуртская Республика,8,1333369.84,946943.68,30.05.0016,Ремонт кровли ,650.02,"1736,27000",1456.7916064121105,0.2898116849560659
43624,94616000,1726,Удмуртская Республика,8,1222408.7,872222.97,10.06.0016,Ремонт кровли ,731.51,"1374,36000",1192.3595986384328,0.28647188947526303
13477,94701000,2957,Удмуртская Республика,8,1656401.33,1183499.12,30.05.0016,Ремонт кровли ,891.1,"2193,77000",1328.1327797104702,0.28549977679624294
40345,94740000,7145,Удмуртская Республика,8,1075863.1,777111.65,26.11.0016,Ремонт кровли ,794.3,"1103,73000",978.3603802089891,0.2776853765130527
48448,94630000,2110,Удмуртская Республика,8,897410.06,650948.58,20.04.0016,Ремонт кровли ,454.0,"897,41000",1433.8074449339206,0.27463641314651643
52027,94646000,2245,Удмуртская Республика,8,677330.0,493031.7,26.10.0016,Ремонт кровли ,335.78,"770,54000",1468.3176484603016,0.27209528590199755
13096,94701000,3042,Удмуртская Республика,8,2543586.97,1852977.47,15.06.0016,Ремонт кровли ,1283.82,"3559,07000",1443.3312068670064,0.27151007932706944
31079,94701000,6347,Удмуртская Республика,8,3634508.56,2656569.64,06.09.0017,Ремонт кровли ,2889.76,"3981,15000",919.3045927689496,0.2690704682230821
11661,94720000,7829,Удмуртская Республика,8,847641.2,623950.77,12.12.0018,Ремонт кровли ,361.3,"856,12000",1726.9603376695268,0.263897542969832
864,94604000,669,Удмуртская Республика,8,668022.69,493325.17,11.12.0015,Ремонт кровли ,359.13,"811,07000",1373.6673906384874,0.2615143506577598
36151,94730000,4297,Удмуртская Республика,8,474497.62,350451.53,21.02.0018,Ремонт кровли ,141.5,"478,00000",2476.68925795053,0.26142615847051026
13421,94701000,2619,Удмуртская Республика,8,213808.0,158943.69,10.03.0017,Ремонт кровли ,110.1,"236,48000",1443.6302452316077,0.2566055058744294
