,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3483395,73620000,98983,Ульяновская область,8,1154439.0,53624.85,,Ремонт кровли ,571.26,"0,00000",93.8711794979519,0.9535489965255851
3459313,73705000,89232,Ульяновская область,8,3673107.36,893711.8,27.07.2018,Ремонт кровли ,2878.95,"935,40000",310.4297747442644,0.7566878088747179
3490938,73656000,99484,Ульяновская область,8,6418912.64,1727880.79,,Ремонт кровли ,3034.76,"0,00000",569.3632412447771,0.7308140978220261
3452441,73604000,97853,Ульяновская область,8,3844900.8,1192091.82,01.11.2018,Ремонт кровли ,1896.81,"3209,52000",628.4719186423522,0.689955116657366
3457577,73705000,93082,Ульяновская область,8,3520734.0,1100142.58,03.09.2015,Ремонт кровли ,3428.77,"11867,80000",320.856336237193,0.6875246525298417
3452755,73604000,98308,Ульяновская область,8,2532445.0,977753.46,31.08.2015,Ремонт кровли ,477.63,"1087,90000",2047.0939011368632,0.6139093010904482
3473964,73701000,836,Ульяновская область,8,3291093.0,1447247.39,14.12.2018,Ремонт кровли ,5334.0,"2600,20000",271.3249700037495,0.560253268443037
3452099,73604000,97824,Ульяновская область,8,2462265.0,1192091.82,01.11.2018,Ремонт кровли ,1945.41,"1192,13000",612.7715083195831,0.5158555963716334
3484031,73622000,2062,Ульяновская область,8,1716000.0,846545.36,06.12.2016,Ремонт кровли ,299.0,"2090,60000",2831.2553846153846,0.5066751981351981
3479470,73701000,103513,Ульяновская область,8,1553121.0,768116.0,29.05.2015,Ремонт кровли ,4335.51,"3130,80000",177.16854533838003,0.5054371166187309
3484288,73622000,1970,Ульяновская область,8,1440400.0,751792.16,29.05.2017,Ремонт кровли ,197.4,"904,40000",3808.4709219858155,0.47806709247431267
3484021,73622000,2059,Ульяновская область,8,1716000.0,904214.32,18.01.2017,Ремонт кровли ,259.0,"1216,71000",3491.1749806949806,0.4730685780885781
3484239,73622000,1700,Ульяновская область,8,1482000.0,813510.19,31.08.2016,Ремонт кровли ,212.0,"2933,80000",3837.3122169811318,0.45107274628879895
3484036,73622000,2063,Ульяновская область,8,1716000.0,950635.52,06.12.2016,Ремонт кровли ,294.0,"3110,90000",3233.454149659864,0.4460165967365967
3487171,73636000,100654,Ульяновская область,8,1500000.0,844006.0,31.08.2015,Ремонт кровли ,612.24,"2434,60000",1378.5541617666274,0.43732933333333335
3452399,73604000,98276,Ульяновская область,8,2413288.8,1368333.17,04.04.2019,Ремонт кровли ,482.5,"1341,00000",2835.923668393782,0.433000654542465
3486121,73629000,101170,Ульяновская область,8,3223172.16,1870276.28,28.09.2018,Ремонт кровли ,584.81,"1870,30000",3198.0921666866166,0.41974049564885796
3456945,73705000,95001,Ульяновская область,8,2332000.0,1354212.03,17.04.2017,Ремонт кровли ,4328.11,"8879,30000",312.8876183830818,0.4192915823327616
3463225,73701000,439,Ульяновская область,8,2394000.0,1398655.98,05.12.2017,Ремонт кровли ,396.47,"4122,80000",3527.772542689232,0.41576609022556393
3487046,73636000,103369,Ульяновская область,8,2608400.0,1527496.64,08.06.2016,Ремонт кровли ,1350.68,"3965,60000",1130.9093493647642,0.41439325256862447
3484229,73622000,1980,Ульяновская область,8,1170000.0,689569.04,25.08.2016,Ремонт кровли ,241.0,"1697,70000",2861.2823236514523,0.4106247521367521
3476988,73701000,853,Ульяновская область,8,1634000.0,967107.1,27.09.2017,Ремонт кровли ,539.52,"4069,90000",1792.5324362396204,0.4081351897184823
3486857,73636000,100669,Ульяновская область,8,1500000.0,891803.0,08.10.2015,Ремонт кровли ,422.87,"891,80000",2108.929458225932,0.40546466666666664
3484235,73622000,1984,Ульяновская область,8,2719600.0,1636683.76,25.08.2016,Ремонт кровли ,575.0,"4258,36000",2846.406539130435,0.39818952787174583
3484280,73622000,1680,Ульяновская область,8,1622400.0,978340.55,21.02.2017,Ремонт кровли ,295.0,"2960,70000",3316.4086440677966,0.3969794440335305
3466319,73701000,3905,Ульяновская область,8,1447659.0,876055.92,02.10.2015,Ремонт кровли ,842.62,"1033,30000",1039.6809000498445,0.39484649354578666
3484295,73622000,1683,Ульяновская область,8,1622400.0,983596.27,21.02.2017,Ремонт кровли ,224.63,"3109,40000",4378.739571740195,0.3937399716469428
3486106,73629000,101157,Ульяновская область,8,2977752.96,1819841.03,21.09.2018,Ремонт кровли ,666.51,"1819,80000",2730.403189749591,0.3888542621077606
3490966,73656000,99496,Ульяновская область,8,2691000.0,1655519.89,13.06.2019,Ремонт кровли ,3088.56,"1656,00000",536.0167489056389,0.38479379784466744
3484141,73622000,1875,Ульяновская область,8,1118000.0,690593.3,18.08.2016,Ремонт кровли ,209.0,"1826,25000",3304.274162679426,0.3822957960644007
3484144,73622000,1877,Ульяновская область,8,1118000.0,690593.3,12.09.2016,Ремонт кровли ,192.0,"1937,68000",3596.840104166667,0.3822957960644007
3451824,73602000,98053,Ульяновская область,8,1845600.0,1153545.54,31.05.2016,Ремонт кровли ,535.6,"2972,00000",2153.744473487677,0.37497532509752923
3452525,73604000,97860,Ульяновская область,8,3148470.0,1978056.15,21.12.2018,Ремонт кровли ,6188.7,"1978,08000",319.6238547675602,0.3717405120582378
3484223,73622000,2660,Ульяновская область,8,1170000.0,747905.88,22.08.2016,Ремонт кровли ,241.0,"1942,12000",3103.3439004149377,0.3607642051282051
3452541,73604000,98290,Ульяновская область,8,3202290.0,2051042.91,21.12.2018,Ремонт кровли ,6403.25,"2051,09000",320.3127958458595,0.3595074431110237
3471870,73701000,1476,Ульяновская область,8,995670.0,643337.9,22.01.2018,Ремонт кровли ,3015.66,"637,60000",213.33237168646335,0.35386433255998473
3486913,73636000,103366,Ульяновская область,8,3003246.4,1964115.68,,Ремонт кровли ,937.57,"0,00000",2094.900306110477,0.34600248584331944
3478304,73701000,291,Ульяновская область,8,2099843.0,1381536.39,30.10.2015,Ремонт кровли ,10452.78,"24785,40000",132.1692784120588,0.3420763409454898
3453945,73607000,98144,Ульяновская область,8,2147418.0,1419960.18,21.08.2019,Ремонт кровли ,627.48,"375,36000",2262.9568751195256,0.3387593007043808
3452860,73604000,97885,Ульяновская область,8,2289978.04,1520854.77,,Ремонт кровли ,982.0,"0,00000",1548.7319450101834,0.33586491073949337
