,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1919294,71958000,5800082401,Ямало-Ненецкий автономный округ,8,3857534.0,4325246.9,30.10.2018,Ремонт кровли ,2011.7,"4506,22005",2150.0456827558783,12.124660469616089
1915295,71956000,5600090364,Ямало-Ненецкий автономный округ,8,6843487.0,7666397.46,27.09.2018,Ремонт кровли ,5306.3,"7871,99366",1444.7727154514444,12.024724530053167
1917071,71958000,5800080384,Ямало-Ненецкий автономный округ,8,2061232.0,2294887.64,11.12.2018,Ремонт кровли ,1651.6,"6362,49215",1389.4936062000486,11.33572737081514
1918479,71958000,5800081450,Ямало-Ненецкий автономный округ,8,6289508.0,6997367.82,20.11.2018,Ремонт кровли ,1377.1,"7724,94465",5081.234347541937,11.25461355641808
1917466,71958000,5800080640,Ямало-Ненецкий автономный округ,8,3905648.0,4318839.97,24.12.2018,Ремонт кровли ,4893.6,"9630,72291",882.5486288213175,10.579344835991368
1926321,71920000,2040980407,Ямало-Ненецкий автономный округ,8,1251580.0,1380691.0,14.11.2016,Ремонт кровли ,251.6,"1741,18957",5487.6430842607315,10.315840777257556
1917090,71958000,5800080386,Ямало-Ненецкий автономный округ,8,2108296.0,2322428.51,11.12.2018,Ремонт кровли ,1671.5,"6258,15642",1389.4277654801076,10.156662536949268
1917089,71958000,5800080385,Ямало-Ненецкий автономный округ,8,2086507.0,2297400.01,28.11.2018,Ремонт кровли ,1647.7,"6622,00366",1394.307222188505,10.107467168813699
1919894,71951000,5100060096,Ямало-Ненецкий автономный округ,8,3323672.0,3641672.58,28.09.2018,Ремонт кровли ,2862.9,"13298,09124",1272.022278109609,9.567748562433366
1916082,71956000,5600090361,Ямало-Ненецкий автономный округ,8,14242288.0,15492922.01,25.06.2018,Ремонт кровли ,9637.0,"24061,10624",1607.6498920825984,8.781131304183699
1916119,71956000,5600090363,Ямало-Ненецкий автономный округ,8,9731019.0,10456314.2,27.09.2018,Ремонт кровли ,6943.8,"17288,54257",1505.8489875860478,7.453435246606754
1915137,71956000,5600090119,Ямало-Ненецкий автономный округ,8,9369614.0,10063075.36,04.10.2018,Ремонт кровли ,8338.1,"17613,86816",1206.8787085786928,7.40117319667597
1915014,71956000,5600090124,Ямало-Ненецкий автономный округ,8,2587982.0,2709852.0,04.10.2018,Ремонт кровли ,1873.6,"4738,62374",1446.3343296327926,4.7090744835164955
1922765,71916000,1615190022,Ямало-Ненецкий автономный округ,8,5513319.0,5592248.37,15.11.2018,Ремонт кровли ,3638.2,"5887,94894",1537.0920702545216,1.431612609391908
1925284,71920000,2010520122,Ямало-Ненецкий автономный округ,8,379430.0,379433.0,09.09.2016,Ремонт кровли ,398.9,"576,08931",951.1982953121084,0.0007906596737106142
