,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2144277,20710000,624,Воронежская область,10,49725.42,901473.98,,Ремонт фасада,3362.43,,268.1019322335335,1712.903701969737
2201522,20617000,5859,Воронежская область,65,16217.92,64842.18,20.12.2018,Ремонт фасада,271.5,,238.82939226519338,299.81810244470313
2219209,20647000,9348,Воронежская область,10,314727.44,1197339.83,10.10.2017,Ремонт фасада,792.1,,1511.6018558262847,280.4370632570201
2147420,20608000,9295,Воронежская область,10,372392.95,946196.46,30.10.2014,Ремонт фасада,784.3,,1206.4215988779804,154.0854922199789
2206500,20621000,6356,Воронежская область,10,590391.51,1473743.54,29.12.2017,Ремонт фасада,646.0,,2281.3367492260063,149.62139784157804
2146928,20608000,909,Воронежская область,23,1935310.05,4462164.0,10.07.2017,Ремонт фасада,4332.8,,1029.856905465288,130.56584654226336
2222905,20649000,9195,Воронежская область,10,890700.47,1931906.66,24.07.2017,Ремонт фасада,1372.1,,1407.9926098680855,116.89745599887243
2224613,20649000,9225,Воронежская область,10,3117742.5,6414592.82,29.06.2017,Ремонт фасада,4424.0,,1449.9531690777578,105.74479194481263
2197412,20727000,5472,Воронежская область,10,1265901.64,2312094.45,05.09.2017,Ремонт фасада,2143.6,,1078.6034941220378,82.64408362722402
2197444,20727000,5474,Воронежская область,10,1476323.96,2680905.64,31.07.2017,Ремонт фасада,3134.8,,855.2078729105525,81.59331641545668
2213434,20633000,7138,Воронежская область,10,1166469.27,2055620.81,29.12.2017,Ремонт фасада,2761.99,,744.2535309686133,76.22588634503849
2198967,20613000,5585,Воронежская область,10,1036509.13,1825846.35,30.09.2017,Ремонт фасада,927.3,,1968.9920737625366,76.15342664661333
2209489,20625000,6700,Воронежская область,10,4037978.88,6931784.26,19.10.2018,Ремонт фасада,986.6,,7025.931745388201,71.66469825617314
2212274,20631000,9164,Воронежская область,10,275302.26,471296.64,25.12.2015,Ремонт фасада,281.3,,1675.4235335940277,71.192434090443
2145155,20710000,9285,Воронежская область,10,974721.35,1666872.52,28.09.2017,Ремонт фасада,1383.75,,1204.605253839205,71.01015792872496
2218712,20643000,7710,Воронежская область,10,2114385.36,3600516.19,08.10.2018,Ремонт фасада,1215.5,,2962.168811188811,70.28665909794229
2207274,20625000,6446,Воронежская область,10,1403701.0,2329029.3,28.12.2018,Ремонт фасада,373.66,,6233.017449017822,65.9206127230799
2143877,20710000,9033,Воронежская область,10,940648.86,1560693.15,06.07.2017,Ремонт фасада,2243.5,,695.6510586137731,65.91665778449993
2141568,20602000,9381,Воронежская область,10,558386.33,896843.0,06.06.2017,Ремонт фасада,442.8,,2025.3906955736225,60.613351691471394
2198886,20613000,5575,Воронежская область,10,1153387.57,1827289.58,30.09.2017,Ремонт фасада,945.5,,1932.6172184029615,58.42806247686543
2203586,20621000,6070,Воронежская область,10,819166.62,1293423.96,10.12.2018,Ремонт фасада,1789.7,,722.7043415097502,57.89510075495996
2199110,20613000,9223,Воронежская область,10,1618112.76,2528281.8,18.12.2015,Ремонт фасада,913.8,,2766.7780695994747,56.24880184493446
2205678,20621000,6275,Воронежская область,10,1097402.36,1705844.2,28.12.2017,Ремонт фасада,2742.4,,622.0260355892649,55.44382463329127
2216092,20639000,9343,Воронежская область,10,5380528.87,8359623.82,29.12.2017,Ремонт фасада,7552.0,,1106.9417134533899,55.36806923591509
2207486,20625000,6507,Воронежская область,10,1974246.2,2919586.33,30.11.2018,Ремонт фасада,385.5,,7573.505395590143,47.883598813562365
2209562,20625000,6709,Воронежская область,10,3216006.22,4707132.45,19.10.2018,Ремонт фасада,461.4,,10201.84752925878,46.36577568559552
2152093,20701000,9048,Воронежская область,10,3095718.2,4493475.2,26.07.2017,Ремонт фасада,3559.7,,1262.3185099867967,45.1512996241066
2211739,20631000,9162,Воронежская область,10,1118107.82,1562597.45,01.06.2016,Ремонт фасада,507.9,,3076.584859224257,39.75373591430564
2144255,20710000,621,Воронежская область,10,2542096.54,3529705.31,20.11.2017,Ремонт фасада,3362.7,,1049.6640526957506,38.85016774382613
2170412,20701000,9312,Воронежская область,10,1523121.17,2104333.38,29.12.2017,Ремонт фасада,4371.7,,481.3535649747238,38.159289060370696
2148461,20612000,1070,Воронежская область,10,2123685.26,2923002.06,14.02.2017,Ремонт фасада,3593.61,,813.3887817542806,37.63819503083994
2153433,20701000,1494,Воронежская область,10,6751557.62,8920516.8,19.11.2018,Ремонт фасада,2745.3,,3249.3777729209924,32.1253154024034
2172983,20701000,9090,Воронежская область,10,5113121.31,6748128.93,15.09.2016,Ремонт фасада,5688.1,,1186.3590531108805,31.976703091364755
2216242,20639000,9345,Воронежская область,10,3136740.61,4139553.84,29.12.2017,Ремонт фасада,5398.7,,766.7686368940671,31.969912551997727
2211307,20631000,6906,Воронежская область,65,34699.08,45708.48,05.03.2018,Ремонт фасада,571.4,,79.9938396919846,31.728218730871262
2222323,20647000,9192,Воронежская область,10,1349856.28,1776456.74,07.09.2018,Ремонт фасада,413.4,,4297.186115142719,31.603398548473628
2145861,20710000,794,Воронежская область,10,3248283.6,4273035.06,29.12.2017,Ремонт фасада,2759.0,,1548.7622544400144,31.547475103466937
2211926,20631000,9161,Воронежская область,10,779522.63,1019587.1,01.06.2016,Ремонт фасада,680.1,,1499.1723275988825,30.796343911144696
2142869,20604000,490,Воронежская область,10,2050970.98,2679204.16,24.07.2018,Ремонт фасада,2952.7,,907.3743218071596,30.631012633830636
2152083,20701000,1384,Воронежская область,10,3217907.2,4197287.13,23.10.2017,Ремонт фасада,4530.1,,926.5329970640823,30.435306835448817
2143548,20605000,563,Воронежская область,10,1182235.18,1519802.72,29.12.2017,Ремонт фасада,1463.7,,1038.3293844367015,28.553332341201365
2206148,20621000,9144,Воронежская область,10,1207281.19,1542520.0,10.10.2016,Ремонт фасада,1627.3,,947.9014318195784,27.76808027631077
2182937,20701000,9117,Воронежская область,10,2663405.14,3397701.76,29.06.2018,Ремонт фасада,2739.2,,1240.3992990654206,27.56984316700686
2145635,20710000,772,Воронежская область,10,1762342.6,2247224.29,05.07.2017,Ремонт фасада,1276.25,,1760.8025778648384,27.513474962246278
