,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6496244,99605000,6795200001,Еврейская автономная область,10,4313454.34,0.0,,Ремонт фасада,798.4,,0.0,1.0
6502943,99620000,6791000078,Еврейская автономная область,10,10035359.58,0.0,,Ремонт фасада,2321.9,,0.0,1.0
6503002,99620000,6791000079,Еврейская автономная область,10,7439886.45,0.0,,Ремонт фасада,1473.5,,0.0,1.0
6502989,99620000,6791000085,Еврейская автономная область,10,4876717.23,0.0,,Ремонт фасада,1207.6,,0.0,1.0
6502986,99620000,6791000084,Еврейская автономная область,10,4894924.9,0.0,,Ремонт фасада,1201.1,,0.0,1.0
6502973,99620000,6791000083,Еврейская автономная область,10,4811522.05,0.0,,Ремонт фасада,1192.4,,0.0,1.0
6502961,99620000,6791000234,Еврейская автономная область,10,2765802.9,0.0,,Ремонт фасада,865.7,,0.0,1.0
6502954,99620000,6791000233,Еврейская автономная область,10,2757580.08,0.0,,Ремонт фасада,863.8,,0.0,1.0
6502939,99620000,6791000077,Еврейская автономная область,10,5611484.58,0.0,,Ремонт фасада,1037.9,,0.0,1.0
6503749,99620000,6791000176,Еврейская автономная область,10,18227633.7,0.0,,Ремонт фасада,3317.9,,0.0,1.0
6502928,99620000,6791000076,Еврейская автономная область,10,23334002.43,0.0,,Ремонт фасада,5420.0,,0.0,1.0
6502925,99620000,6791000075,Еврейская автономная область,10,4904909.74,0.0,,Ремонт фасада,1179.4,,0.0,1.0
6502916,99620000,6791000074,Еврейская автономная область,10,4937801.01,0.0,,Ремонт фасада,1187.7,,0.0,1.0
6502905,99620000,6791000073,Еврейская автономная область,10,13389093.82,0.0,,Ремонт фасада,2456.0,,0.0,1.0
6502895,99620000,6791000072,Еврейская автономная область,10,19778809.2,0.0,,Ремонт фасада,4579.8,,0.0,1.0
6502885,99620000,6791000071,Еврейская автономная область,10,15822460.02,0.0,,Ремонт фасада,4008.4,,0.0,1.0
6503008,99620000,6791000080,Еврейская автономная область,10,5333670.86,0.0,,Ремонт фасада,1295.9,,0.0,1.0
6503019,99620000,6791000081,Еврейская автономная область,10,5355402.59,0.0,,Ремонт фасада,1304.3,,0.0,1.0
