,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6379278,42609000,41524,Липецкая область,10,1736950.0,1943292.02,,Ремонт фасада,1300.3,"95,52000",1494.4951318926403,11.879560148536239
6337310,42603000,41385,Липецкая область,10,109077.58,109077.58,24.12.2018,Ремонт фасада,447.81,"356,48000",243.58004510841653,0.0
6371307,42701000,37229,Липецкая область,10,1901779.2,1901779.2,,Ремонт фасада,3437.6,"133,70000",553.2287642541307,0.0
6370130,42701000,39047,Липецкая область,10,878226.61,878226.61,16.12.2015,Ремонт фасада,893.0,"2843,39000",983.4564501679731,0.0
6370248,42701000,39057,Липецкая область,10,3190092.24,3190092.24,06.12.2018,Ремонт фасада,4368.45,"9733,53000",730.2572399821448,0.0
6370271,42701000,39059,Липецкая область,10,497800.0,497800.0,15.06.2017,Ремонт фасада,5588.8,"497,80000",89.07099914113942,0.0
6370291,42701000,42365,Липецкая область,10,1365568.75,1365568.75,10.12.2016,Ремонт фасада,2555.85,"5729,75000",534.2914294657355,0.0
6371112,42701000,39067,Липецкая область,10,4985000.0,4985000.0,29.12.2018,Ремонт фасада,3159.6,"18944,29000",1577.7313583997975,0.0
6371181,42701000,37222,Липецкая область,10,6250854.73,6250854.73,30.08.2019,Ремонт фасада,2643.85,"13611,48000",2364.30006619135,0.0
6371190,42701000,39071,Липецкая область,10,714832.94,714832.94,,Ремонт фасада,971.5,"160,90000",735.8033350488934,0.0
6371234,42701000,39074,Липецкая область,10,4175874.44,4175874.44,,Ремонт фасада,4594.4,"372,32000",908.9052846944106,0.0
6371345,42701000,39082,Липецкая область,10,3353291.57,3353291.57,,Ремонт фасада,3249.7,"335,97000",1031.8772717481613,0.0
6368884,42701000,38450,Липецкая область,10,396245.0,396245.0,25.12.2015,Ремонт фасада,453.6,"2027,17000",873.5559964726631,0.0
6371395,42701000,37232,Липецкая область,10,2347960.0,2347960.0,25.12.2015,Ремонт фасада,5631.3,"5847,30000",416.9481292063999,0.0
6371413,42701000,37236,Липецкая область,10,1370035.86,1370035.86,01.11.2018,Ремонт фасада,1129.5,"6437,33000",1212.9578220451529,0.0
6371425,42701000,37237,Липецкая область,10,978302.8,978302.8,20.11.2018,Ремонт фасада,1198.3,"6341,58000",816.4089126262205,0.0
6371444,42701000,37239,Липецкая область,10,1471889.43,1471889.43,24.07.2019,Ремонт фасада,2689.0,"8669,52000",547.3742766827817,0.0
6371624,42701000,37250,Липецкая область,10,541674.41,541674.41,13.11.2018,Ремонт фасада,5414.3,"541,67000",100.04514156954731,0.0
6371778,42701000,37270,Липецкая область,10,471424.96,471424.96,06.12.2017,Ремонт фасада,4161.52,"9364,12000",113.28191622291854,0.0
6371865,42701000,37538,Липецкая область,10,1951255.74,1951255.74,15.12.2017,Ремонт фасада,4087.8,"14887,47000",477.33640099809185,0.0
6371878,42701000,37539,Липецкая область,10,2158647.11,2158647.11,15.12.2017,Ремонт фасада,4092.4,"14568,28000",527.4770574723877,0.0
6371894,42701000,37540,Липецкая область,10,1726753.0,1726753.0,15.01.2015,Ремонт фасада,4150.9,"10576,35000",415.9948444915561,0.0
6368975,42701000,39036,Липецкая область,10,899390.63,899390.63,,Ремонт фасада,2039.9,"162,55000",440.8993725182607,0.0
6368872,42701000,38449,Липецкая область,10,382511.0,382511.0,25.12.2015,Ремонт фасада,432.36,"1725,02000",884.7048755666574,0.0
6372243,42701000,37277,Липецкая область,10,570450.3,570450.3,13.12.2017,Ремонт фасада,1371.5,"3005,87000",415.9316806416333,0.0
6368847,42701000,38447,Липецкая область,10,1751237.95,1751237.95,26.12.2017,Ремонт фасада,3971.88,"14347,10000",440.9090783205938,0.0
6367685,42701000,38393,Липецкая область,10,1716894.71,1716894.71,25.09.2018,Ремонт фасада,1463.99,"6548,12000",1172.7502988408392,0.0
6367695,42701000,38394,Липецкая область,10,961640.99,961640.99,25.09.2018,Ремонт фасада,1822.53,"6143,09000",527.6406917855948,0.0
6367719,42701000,38396,Липецкая область,10,2403614.82,2403614.82,18.10.2018,Ремонт фасада,3939.1,"10846,47000",610.1939072376939,0.0
