,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5993764,47730000,51591801,Мурманская область,10,5026481.3,601553.38,20.12.2017,Ремонт фасада,4927.2,,122.0882813768469,0.880323163641333
6010602,47715000,51584772,Мурманская область,10,5353745.4,2804846.24,,Ремонт фасада,1872.0,,1498.3152991452994,0.47609644642421733
6005065,47605000,51587465,Мурманская область,10,4428207.77,2989040.17,,Ремонт фасада,4429.6,,674.7878296008669,0.32500001688041835
6022804,47701000,51593303,Мурманская область,10,7599793.41,5172248.88,,Ремонт фасада,5107.8,,1012.6177375778221,0.31942243677384385
6005113,47605000,51587062,Мурманская область,10,824427.96,568855.32,,Ремонт фасада,516.11,,1102.1978260448352,0.3099999665222417
5995821,47608000,51579716,Мурманская область,10,4496877.93,3126150.44,,Ремонт фасада,2497.5,,1251.7118878878878,0.30481758930022806
6014394,47701000,51591781,Мурманская область,10,9466661.45,6957503.6,,Ремонт фасада,6455.6,,1077.747010347605,0.2650520316219822
6005123,47605000,51586798,Мурманская область,10,2122467.43,1560013.4,,Ремонт фасада,1436.5,,1085.9821789070656,0.2650000758786674
6033426,47717000,52603209,Мурманская область,10,3698254.31,2870282.42,,Ремонт фасада,3408.6,,842.070768057267,0.22388181574241175
5988286,47705000,51593556,Мурманская область,10,6138272.6,4849243.21,,Ремонт фасада,6311.2,,768.3551796805679,0.2099987201611085
5988572,47705000,51593702,Мурманская область,10,4654115.69,3723292.59,,Ремонт фасада,5614.4,,663.1683866486179,0.19999999183518372
5993896,47730000,51592063,Мурманская область,10,4307216.19,3567843.03,11.09.2017,Ремонт фасада,4203.9,,848.6983586669521,0.17165917088549962
5995038,47730000,51592967,Мурманская область,10,1770839.28,1467663.62,08.07.2016,Ремонт фасада,2378.7,,617.0024046748225,0.17120450366337023
5995675,47730000,51594026,Мурманская область,10,1398646.76,1234491.36,03.10.2016,Ремонт фасада,1730.8,,713.2489946845391,0.11736730437927008
6029220,47701000,51591416,Мурманская область,10,2353019.94,2089518.77,,Ремонт фасада,1177.2,,1774.990460414543,0.1119842486332691
5992840,47730000,51591869,Мурманская область,10,3038739.08,2729362.07,18.11.2016,Ремонт фасада,3916.8,,696.8346788194443,0.10181098207352512
5993378,47730000,52155658,Мурманская область,10,2034854.73,1827880.87,24.08.2016,Ремонт фасада,2679.8,,682.096003433092,0.10171431746383186
5992852,47730000,51591868,Мурманская область,10,2842300.53,2553197.89,10.10.2016,Ремонт фасада,3676.4,,694.483160156675,0.10171431097752344
5992868,47730000,51591867,Мурманская область,10,2827816.02,2540186.67,02.12.2016,Ремонт фасада,3717.7,,683.2683298813782,0.10171430813239402
6005137,47605000,51587163,Мурманская область,10,2181478.64,1968957.83,,Ремонт фасада,2744.4,,717.4456456784725,0.09742053215794955
5989879,47737000,51578986,Мурманская область,10,630322.18,576749.82,16.08.2017,Ремонт фасада,2377.6,,242.5764720726783,0.08499202741049046
5990011,47737000,51579013,Мурманская область,10,777288.13,714685.16,16.08.2017,Ремонт фасада,3467.4,,206.1155793966661,0.08054023673306315
6037610,47620000,51592422,Мурманская область,10,883304.72,812640.36,06.02.2017,Ремонт фасада,597.3,,1360.5229532898043,0.07999998007482625
5993343,47730000,51594522,Мурманская область,10,4314386.73,4013643.03,03.10.2017,Ремонт фасада,4357.2,,921.1518934177913,0.06970717249540599
6005246,47605000,51586779,Мурманская область,10,2365700.51,2209249.0,28.07.2016,Ремонт фасада,3167.7,,697.429996527449,0.06613326976033826
6000640,47608000,52300461,Мурманская область,10,776375.62,730000.0,14.06.2016,Ремонт фасада,3972.4,,183.76799919444164,0.05973348313024048
5989781,47737000,51578957,Мурманская область,10,1381590.6,1300000.0,19.08.2016,Ремонт фасада,1745.7,,744.6869450650169,0.05905555524190747
6037430,47620000,51592414,Мурманская область,10,857771.3,812194.91,06.02.2017,Ремонт фасада,590.0,,1376.6015423728813,0.05313349840452812
6004828,47605000,51586347,Мурманская область,10,791149.93,757995.76,25.11.2016,Ремонт фасада,642.3,,1180.1272925424257,0.041906304662126484
6004819,47605000,51586925,Мурманская область,10,338812.54,324614.16,25.11.2016,Ремонт фасада,332.0,,977.7534939759036,0.041906300162325764
6024655,47701000,51592181,Мурманская область,10,2529059.31,2423999.53,,Ремонт фасада,1143.8,,2119.2512065046335,0.04154105029668136
6004921,47605000,51586880,Мурманская область,10,627549.74,611656.63,16.12.2016,Ремонт фасада,541.7,,1129.1427542920435,0.02532565785143977
5989882,47737000,51578989,Мурманская область,10,1053195.49,1031916.22,02.08.2017,Ремонт фасада,3972.2,,259.78455767584717,0.020204482645477355
6014737,47701000,51591758,Мурманская область,10,6774418.29,6687870.61,,Ремонт фасада,1221.1,,5476.922946523627,0.012775662248042215
6014669,47701000,51591753,Мурманская область,10,27808364.26,27461650.74,,Ремонт фасада,10467.6,,2623.4906511521262,0.012467958084781045
6018747,47701000,51592709,Мурманская область,10,18045929.31,17839587.37,,Ремонт фасада,7889.0,,2261.324295854988,0.011434265116269462
5989644,47737000,51579057,Мурманская область,10,768022.23,760107.29,04.09.2017,Ремонт фасада,3922.2,,193.79615776859927,0.010305613159139866
5990145,47737000,51579046,Мурманская область,10,460246.18,455527.08,04.09.2017,Ремонт фасада,2560.3,,177.9194156934734,0.010253425677536263
6011735,47701000,51591292,Мурманская область,10,597255.42,591157.88,17.08.2016,Ремонт фасада,759.8,,778.0440642274283,0.01020926691632206
5989815,47737000,51578958,Мурманская область,10,3873488.25,3834107.45,04.09.2017,Ремонт фасада,3542.1,,1082.4390756895627,0.010166753442455857
5990147,47737000,51579053,Мурманская область,10,468221.72,463468.62,04.09.2017,Ремонт фасада,2345.0,,197.6412025586354,0.010151387253030417
5991031,47737000,51594596,Мурманская область,10,1263232.91,1250568.68,11.09.2017,Ремонт фасада,15928.3,,78.51237608533239,0.010025253379442104
5987976,47705000,51593473,Мурманская область,10,6922095.71,6852874.75,,Ремонт фасада,4024.1,,1702.9583633607515,0.010000000418948262
6014569,47701000,51591742,Мурманская область,10,20501598.99,20296583.01,,Ремонт фасада,6570.9,,3088.8589097383924,0.009999999517110676
5997897,47608000,51581665,Мурманская область,10,1411616.94,1400000.0,28.06.2016,Ремонт фасада,1695.0,,825.9587020648968,0.008229527197371226
6026803,47701000,51584170,Мурманская область,10,20004901.19,19851932.55,,Ремонт фасада,13305.6,,1491.9982977092352,0.00764655813828594
6026443,47701000,51591359,Мурманская область,10,15770839.62,15676637.6,,Ремонт фасада,4782.5,,3277.9169053842134,0.005973177222634109
6005141,47605000,51587536,Мурманская область,10,790358.46,786000.0,12.07.2016,Ремонт фасада,1000.8,,785.3717026378897,0.005514535771528229
6014596,47701000,51591788,Мурманская область,10,42362023.78,42133195.74,,Ремонт фасада,10330.7,,4078.445385114271,0.005401725875713087
6005370,47605000,51593319,Мурманская область,10,880987.5,876429.34,07.07.2016,Ремонт фасада,4520.0,,193.90029646017697,0.005173921309893764
6027192,47701000,51582532,Мурманская область,10,2432252.23,2420000.0,28.07.2016,Ремонт фасада,3414.6,,708.7213729280151,0.005037401075792202
6029199,47701000,51591410,Мурманская область,10,2683031.28,2669616.12,,Ремонт фасада,787.0,,3392.1424650571794,0.005000001341765827
6008422,47610000,51586119,Мурманская область,10,1543315.7,1535599.12,,Ремонт фасада,1178.6,,1302.9010011878502,0.005000000971933248
6019101,47701000,51592007,Мурманская область,10,3944523.26,3924800.64,,Ремонт фасада,2143.4,,1831.1097508631146,0.005000000938009337
5996808,47608000,51582057,Мурманская область,10,3727643.47,3709005.25,,Ремонт фасада,2056.5,,1803.5522732798445,0.005000000710904952
5987807,47705000,51593812,Мурманская область,10,7087591.02,7052153.06,,Ремонт фасада,4072.9,,1731.4820054506615,0.005000000691349141
6025184,47701000,51591855,Мурманская область,10,5567059.28,5539223.98,,Ремонт фасада,1534.7,,3609.3203753176517,0.0050000006466609445
6026388,47701000,51591320,Мурманская область,10,8675191.3,8631815.34,,Ремонт фасада,6052.1,,1426.2512747641313,0.005000000403449419
6022477,47701000,51592381,Мурманская область,10,5075507.75,5050130.21,,Ремонт фасада,2494.5,,2024.5059971938265,0.005000000246280786
6026790,47701000,51582639,Мурманская область,10,15701363.36,15622856.54,,Ремонт фасада,11544.6,,1353.2609652997937,0.005000000203803977
6014388,47701000,51591769,Мурманская область,10,4714051.87,4690481.61,,Ремонт фасада,3218.9,,1457.169098139116,0.00500000013788558
6026947,47701000,51593311,Мурманская область,10,6882209.89,6847798.84,,Ремонт фасада,4122.6,,1661.0388686751078,0.005000000079916164
6024316,47701000,51592286,Мурманская область,10,8000095.89,7960095.41,,Ремонт фасада,5372.8,,1481.5543869118524,0.005000000068749116
6020918,47701000,51582392,Мурманская область,10,8543881.54,8501162.14,,Ремонт фасада,6348.4,,1339.1031031440996,0.004999999098770102
6028664,47701000,51593257,Мурманская область,10,3351860.75,3335101.45,,Ремонт фасада,1941.5,,1717.7962657738863,0.004999998881218384
6018675,47701000,51592312,Мурманская область,10,1739496.66,1730799.18,,Ремонт фасада,655.6,,2640.023154362416,0.00499999810289948
6033532,47615000,51594452,Мурманская область,10,827688.75,823550.31,,Ремонт фасада,423.3,,1945.5476257973069,0.004999995469311313
5987938,47705000,51593808,Мурманская область,10,2735160.8,2721485.01,,Ремонт фасада,2851.6,,954.3712336933651,0.004999994881470968
5991092,47737000,51594626,Мурманская область,10,1507050.0,1499760.83,,Ремонт фасада,18933.8,,79.21076751629361,0.004836714110347981
6003286,47712000,51581379,Мурманская область,10,3380961.65,3364811.0,21.11.2017,Ремонт фасада,3197.71,,1052.256458528134,0.0047769397206856535
5990422,47737000,51593224,Мурманская область,10,4430746.64,4409585.06,,Ремонт фасада,4305.3,,1024.2224839151743,0.004776075393017751
5990993,47737000,51594603,Мурманская область,10,1081415.55,1076250.64,,Ремонт фасада,4032.8,,266.8742908153144,0.004776064113374502
5991212,47737000,51594632,Мурманская область,10,1004433.32,999999.0,19.08.2016,Ремонт фасада,3980.7,,251.21184716255937,0.004414748009355114
6001105,47712000,51580842,Мурманская область,10,1894308.91,1887000.0,,Ремонт фасада,2377.5,,793.6908517350158,0.003858351698298202
6001844,47712000,51581261,Мурманская область,10,20630829.49,20553968.23,23.12.2016,Ремонт фасада,3704.3,,5548.678084928327,0.0037255535477743857
6001290,47712000,51581468,Мурманская область,10,4113995.62,4098670.26,04.09.2017,Ремонт фасада,5543.5,,739.3650689997294,0.0037251765474656325
6001343,47712000,51581548,Мурманская область,10,1588632.06,1582721.54,27.07.2017,Ремонт фасада,7532.3,,210.12460204718346,0.003720509077476391
5987601,47705000,51593710,Мурманская область,10,351755.26,350497.34,,Ремонт фасада,467.61,,749.5505656423088,0.0035761227849158066
5990037,47737000,51579037,Мурманская область,10,4756366.61,4740000.0,13.10.2016,Ремонт фасада,6124.1,,773.9912803513985,0.0034409900123321935
6018400,47701000,51591302,Мурманская область,10,4109358.13,4099896.29,18.07.2017,Ремонт фасада,8696.1,,471.46379296466233,0.0023025104409675414
6014741,47701000,51591792,Мурманская область,10,5731209.97,5718486.45,,Ремонт фасада,1164.9,,4908.993432912696,0.0022200408057985624
5997112,47608000,51581926,Мурманская область,10,1146422.29,1144000.0,21.12.2016,Ремонт фасада,1475.4,,775.3829469974244,0.0021129125114969956
6014566,47701000,51591741,Мурманская область,10,5701272.98,5689353.88,,Ремонт фасада,1987.2,,2863.0001409017714,0.0020906032813746375
6014678,47701000,51591740,Мурманская область,10,8383584.5,8367415.46,,Ремонт фасада,3081.7,,2715.194684751923,0.0019286547418947155
6031354,47717000,51594153,Мурманская область,10,1189440.24,1187146.23,10.08.2017,Ремонт фасада,1220.1,,972.990926973199,0.0019286467052771052
6031364,47717000,51594154,Мурманская область,10,1549475.47,1546487.08,10.08.2017,Ремонт фасада,1585.1,,975.6400731815029,0.001928646214708967
5999652,47608000,51580149,Мурманская область,10,651139.2,650000.0,11.11.2016,Ремонт фасада,293.1,,2217.6731490958714,0.0017495490979501057
6029177,47701000,51591422,Мурманская область,10,6723099.86,6711340.73,,Ремонт фасада,1972.2,,3402.9716712300983,0.0017490637124048143
6014709,47701000,51591752,Мурманская область,10,7913547.86,7900541.79,,Ремонт фасада,3109.8,,2540.530513216284,0.0016435194719350945
6014659,47701000,51591754,Мурманская область,10,8818426.02,8804249.24,,Ремонт фасада,3120.3,,2821.603448386373,0.0016076315623498683
6014687,47701000,51591775,Мурманская область,10,8600793.08,8588592.74,,Ремонт фасада,4112.6,,2088.360827700238,0.0014185133727225828
6014672,47701000,51591772,Мурманская область,10,9275327.71,9263458.89,,Ремонт фасада,2167.7,,4273.404479402132,0.0012796119308220429
5999588,47608000,51580299,Мурманская область,10,645824.42,645000.0,11.11.2016,Ремонт фасада,293.8,,2195.371000680735,0.0012765389082067258
6029175,47701000,51591421,Мурманская область,10,11656964.55,11642393.67,,Ремонт фасада,2690.2,,4327.705624117166,0.0012499720606940353
6029240,47701000,51591413,Мурманская область,10,15509439.0,15490656.56,,Ремонт фасада,3506.7,,4417.4456212393425,0.0012110328426450162
6029159,47701000,51591418,Мурманская область,10,14394129.68,14377095.52,,Ремонт фасада,4711.8,,3051.295793539624,0.0011834102080981216
6029226,47701000,51591411,Мурманская область,10,1543715.48,1541914.57,12.10.2017,Ремонт фасада,2241.6,,687.8633877587438,0.0011666074631835111
5999600,47608000,51579534,Мурманская область,10,834968.11,834000.0,11.11.2016,Ремонт фасада,364.3,,2289.321987373044,0.0011594574552074642
6005359,47605000,51586921,Мурманская область,10,73321.25,73260.89,14.10.2016,Ремонт фасада,508.0,,144.21435039370078,0.0008232265543754448
6014629,47701000,51591761,Мурманская область,10,29964583.32,29943746.42,,Ремонт фасада,11264.9,,2658.1457820309106,0.000695384273409563
6029235,47701000,51591420,Мурманская область,10,22404087.39,22388696.76,,Ремонт фасада,7641.8,,2929.7674317569163,0.0006869563456027457
5999655,47608000,51582869,Мурманская область,10,816502.22,816000.0,11.11.2016,Ремонт фасада,357.5,,2282.5174825174827,0.0006150871212572724
6014715,47701000,51591755,Мурманская область,10,26734735.02,26719431.82,,Ремонт фасада,11255.1,,2373.9843999609066,0.0005724088901031216
6014656,47701000,51591766,Мурманская область,10,48069053.59,48047286.57,,Ремонт фасада,12251.2,,3921.843294534413,0.00045282813732225335
5997116,47608000,51579454,Мурманская область,10,953974.92,953750.0,31.10.2016,Ремонт фасада,1216.1,,784.2693857413042,0.0002357713974283956
6003623,47703000,51583206,Мурманская область,10,759825.26,759651.23,08.06.2017,Ремонт фасада,1171.2,,648.6093152322404,0.00022903950310894895
6003496,47703000,52590068,Мурманская область,10,853423.77,853228.86,08.06.2017,Ремонт фасада,1735.5,,491.63287813310285,0.00022838595179981055
6003972,47703000,51592661,Мурманская область,10,336589.64,336512.82,08.09.2016,Ремонт фасада,428.7,,784.9610916724982,0.00022823043513759658
6007538,47605000,51586370,Мурманская область,10,920187.72,920000.0,29.06.2017,Ремонт фасада,351.9,,2614.3790849673205,0.00020400185301317874
5990942,47737000,51594607,Мурманская область,10,1263232.91,1263006.14,02.08.2017,Ремонт фасада,16091.5,,78.48902464033806,0.00017951558909276566
6031393,47717000,51594163,Мурманская область,10,1165632.65,1165513.3,10.08.2017,Ремонт фасада,1201.7,,969.8870766414246,0.00010239074892064864
6031583,47717000,51594192,Мурманская область,10,787039.07,786971.0,10.04.2017,Ремонт фасада,696.2,,1130.3806377477736,8.648871777095994e-05
6014722,47701000,51591784,Мурманская область,10,8742871.49,8742236.44,,Ремонт фасада,2232.4,,3916.070793764558,7.263631871143345e-05
6028045,47701000,51592559,Мурманская область,10,8414513.86,8413902.72,,Ремонт фасада,1954.5,,4304.887551803531,7.262927011195552e-05
5991208,47737000,51594631,Мурманская область,10,3038454.43,3038444.63,19.06.2017,Ремонт фасада,12560.7,,241.90089963138996,3.2253240014132436e-06
6004459,47703000,51584063,Мурманская область,10,632883.82,632883.81,13.10.2016,Ремонт фасада,792.8,,798.289366801211,1.5800688178278763e-08
