,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1688864,49701000,4652,Новгородская область,10,1520201.04,177974.87,27.08.2019,Ремонт фасада,1298.9,"0,00000",137.01968588805912,0.8829267542140347
1688347,49701000,4593,Новгородская область,10,1267484.02,653587.0,27.08.2018,Ремонт фасада,3659.1,"0,00000",178.61960591402257,0.4843430057603409
1685247,49701000,4254,Новгородская область,10,2597259.79,2008419.0,01.10.2018,Ремонт фасада,3559.2,"0,00000",564.2894470667566,0.22671616919769125
1692315,49701000,5086,Новгородская область,10,1149274.29,950000.0,22.04.2016,Ремонт фасада,5190.1,"1006,37000",183.0407891948132,0.17339141033077493
1691091,49701000,4914,Новгородская область,10,1339418.04,1122620.17,,Ремонт фасада,3697.1,"0,00000",303.64885180276434,0.16185975067201583
1686075,49701000,4329,Новгородская область,10,1250771.27,1055325.0,29.04.2016,Ремонт фасада,1356.0,"1055,33000",778.2632743362832,0.15626060070919284
1712370,49650000,3791,Новгородская область,10,536657.36,468554.5,,Ремонт фасада,270.2,"735,51000",1734.1025166543302,0.12690193981500597
1690896,49701000,4888,Новгородская область,10,7344356.74,6716049.93,,Ремонт фасада,5530.8,"851,44000",1214.2999077891081,0.08554960389900675
1688225,49701000,4577,Новгородская область,10,1091337.08,1004030.0,13.07.2016,Ремонт фасада,4848.8,"1206,15000",207.06772809767364,0.08000010409249549
1685800,49701000,5438,Новгородская область,10,265826.93,244675.0,29.04.2016,Ремонт фасада,215.1,"1053,67000",1137.494188749419,0.07957030538629022
1692413,49701000,5098,Новгородская область,10,1281351.9,1231000.0,24.04.2016,Ремонт фасада,1672.0,"1496,20000",736.244019138756,0.03929591863093964
1679004,49606000,545,Новгородская область,10,324924.87,313552.5,28.10.2016,Ремонт фасада,1183.3,"313,55250",264.9814079269839,0.03499999861506445
1680310,49606000,715,Новгородская область,10,232604.89,224463.72,21.04.2016,Ремонт фасада,598.8,"224,46372",374.8559118236473,0.03499999505599393
1681169,49606000,98,Новгородская область,10,650901.0,638000.0,10.08.2015,Ремонт фасада,1228.6,"1330,42000",519.2902490639752,0.019820218435676086
1680074,49606000,695,Новгородская область,10,403805.64,401660.14,11.05.2017,Ремонт фасада,576.17,"401,66014",697.1208844611834,0.005313199686859252
1685618,49701000,4276,Новгородская область,10,979105.82,974210.29,,Ремонт фасада,3959.1,"97,42000",246.06862418226365,0.005000000919205967
1691525,49701000,4982,Новгородская область,10,2903905.54,2889386.01,,Ремонт фасада,4785.2,"1964,92000",603.8171884142773,0.005000000792036872
1693569,49701000,5250,Новгородская область,10,1194886.79,1188912.36,,Ремонт фасада,3860.1,"0,00000",308.00040413460795,0.0049999966942474395
1688869,49701000,4657,Новгородская область,10,1090816.25,1089487.04,01.12.2016,Ремонт фасада,1176.4,"1089,49000",926.1195511730704,0.0012185462033591475
1692942,49701000,5185,Новгородская область,10,1081889.62,1080571.29,17.10.2016,Ремонт фасада,2486.8,"1258,52000",434.52279636480614,0.0012185439028429485
1683854,49701000,4092,Новгородская область,10,2443633.04,2440655.37,07.11.2016,Ремонт фасада,4183.6,"3017,64000",583.3864064442107,0.001218542207957675
1698580,49623000,1758,Новгородская область,10,344198.26,343778.84,17.10.2016,Ремонт фасада,325.2,"343,78000",1057.1305043050431,0.0012185418950112754
1710554,49645000,3709,Новгородская область,10,280764.7,280455.16,06.05.2017,Ремонт фасада,318.6,"280,45516",880.2735718769616,0.0011024890237271183
1682682,49608000,1063,Новгородская область,10,368297.54,368052.13,11.05.2017,Ремонт фасада,388.2,"529,47421",948.0992529623906,0.0006663362454171548
1711011,49647000,3771,Новгородская область,10,439515.0,439500.0,10.11.2015,Ремонт фасада,529.5,"689,79074",830.028328611898,3.412852803658578e-05
1694496,49701000,5375,Новгородская область,10,3721724.72,3721651.03,01.10.2016,Ремонт фасада,6669.1,"0,00000",558.0439684515152,1.9799959842384523e-05
1679000,49606000,542,Новгородская область,10,864673.98,864673.96,,Ремонт фасада,1113.7,"86,47000",776.3975576905809,2.3130105081485684e-08
1680637,49606000,786,Новгородская область,10,516859.31,516859.3,,Ремонт фасада,804.45,"575,36000",642.500217539934,1.9347624809763466e-08
1691688,49701000,5024,Новгородская область,10,1700000.0,1700000.0,24.07.2015,Ремонт фасада,2993.9,"1719,19000",567.8212365142456,0.0
1691302,49701000,4938,Новгородская область,10,782203.22,782203.22,15.10.2018,Ремонт фасада,6407.0,"860,42265",122.08572186670828,0.0
1691619,49701000,5012,Новгородская область,10,3187931.0,3187931.0,30.11.2015,Ремонт фасада,1421.9,"9148,61000",2242.021942471341,0.0
1691413,49701000,4965,Новгородская область,10,2016000.13,2016000.13,01.10.2015,Ремонт фасада,2792.2,"2392,32000",722.0113637991548,0.0
1692422,49701000,5100,Новгородская область,10,65628.0,65628.0,17.04.2015,Ремонт фасада,3324.0,"0,00000",19.743682310469314,0.0
1694826,49701000,5416,Новгородская область,10,3764419.0,3764419.0,13.11.2014,Ремонт фасада,12118.7,"0,00000",310.62894534892354,0.0
1692438,49701000,5109,Новгородская область,10,249201.51,249201.51,10.05.2017,Ремонт фасада,226.8,"249,20151",1098.7720899470899,0.0
1694230,49701000,5344,Новгородская область,10,2228900.0,2228900.0,29.12.2014,Ремонт фасада,7565.3,"0,00000",294.6214955124053,0.0
1712733,49650000,3827,Новгородская область,10,940696.94,940696.94,06.07.2018,Ремонт фасада,2106.9,"940,69694",446.48390526365745,0.0
1712408,49650000,3803,Новгородская область,10,399487.17,399487.17,03.10.2016,Ремонт фасада,404.0,"399,48717",988.8296287128712,0.0
1711741,49650000,3919,Новгородская область,10,465007.1,465007.1,17.04.2017,Ремонт фасада,504.9,"578,48000",920.9885125767479,0.0
1711650,49650000,3922,Новгородская область,10,1338123.95,1338123.95,19.06.2017,Ремонт фасада,1366.0,"3154,30000",979.5929355783309,0.0
1710901,49645000,3658,Новгородская область,10,278366.02,278366.02,03.10.2016,Ремонт фасада,754.4,"278,36602",368.9899522799576,0.0
1705785,49634000,3087,Новгородская область,10,273601.86,273601.86,29.05.2017,Ремонт фасада,330.2,"1022,58000",828.5943670502726,0.0
1704471,49630000,2637,Новгородская область,10,140022.0,140022.0,01.07.2015,Ремонт фасада,3520.5,"140,02200",39.773327652322116,0.0
1702605,49628000,2388,Новгородская область,10,718870.73,718870.73,05.07.2018,Ремонт фасада,565.9,"2122,58000",1270.314066089415,0.0
