,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5984501,84701000,39646,Республика Алтай,23,4111885.0,4111885.34,03.10.2017,Ремонт фасада,3872.8,"4111,88534",1061.7344918405288,8.268713735937183e-06
5983635,84701000,39592,Республика Алтай,23,2165583.0,2165583.17,28.11.2017,Ремонт фасада,1969.0,"2165,58000",1099.8390909090908,7.850080097071555e-06
5983463,84701000,39576,Республика Алтай,23,4933168.0,4933168.35,03.11.2017,Ремонт фасада,4957.9,"4933,17000",995.0116682466366,7.094832366050241e-06
5983583,84701000,39587,Республика Алтай,23,2481089.0,2481089.16,09.11.2017,Ремонт фасада,2933.6,"2481,09000",845.74896373057,6.448781175727447e-06
5982984,84701000,39542,Республика Алтай,23,4105471.0,4105471.13,03.10.2017,Ремонт фасада,4353.2,"4105,47000",943.0926973261049,3.1665063460195597e-06
5982617,84701000,39510,Республика Алтай,23,1987324.0,1987324.0,09.09.2016,Ремонт фасада,1944.3,"1987,32400",1022.1282723859487,0.0
5985134,84615000,39455,Республика Алтай,10,365081.0,365081.0,25.12.2014,Ремонт фасада,1000.3,"2731,16775",364.9715085474358,0.0
5984591,84701000,39656,Республика Алтай,23,3445737.0,3445737.0,07.10.2016,Ремонт фасада,4654.8,"3445,74000",740.2545759216292,0.0
5983881,84701000,39608,Республика Алтай,23,3615867.0,3615867.0,14.09.2016,Ремонт фасада,4036.0,"3615,86700",895.9036174430129,0.0
5983698,84701000,39597,Республика Алтай,23,5004754.0,5004754.0,14.11.2017,Ремонт фасада,4883.9,"5004,75000",1024.7453879072054,0.0
5983593,84701000,39588,Республика Алтай,23,2694118.0,2694118.0,25.12.2017,Ремонт фасада,2919.3,"2694,12000",922.8643852978453,0.0
5982965,84701000,39697,Республика Алтай,10,22693.0,22693.0,,Ремонт фасада,428.4,"0,00000",52.97152194211018,0.0
5983493,84701000,39579,Республика Алтай,10,2741091.0,2741091.0,26.08.2016,Ремонт фасада,1481.75,"2741,09000",1849.9011304201113,0.0
5983317,84701000,39564,Республика Алтай,23,3601127.0,3601127.0,12.09.2016,Ремонт фасада,3965.3,"3601,13000",908.1600383325347,0.0
5985852,84640000,39720,Республика Алтай,10,28550.0,28550.0,28.12.2014,Ремонт фасада,364.1,"901,55000",78.41252403185938,0.0
5983725,84701000,39732,Республика Алтай,23,2423471.0,2423470.95,08.12.2017,Ремонт фасада,3131.3,"2423,47095",773.950419953374,-2.063156512299713e-06
5982995,84701000,39543,Республика Алтай,23,4274696.0,4274695.78,28.11.2017,Ремонт фасада,4339.9,"4274,70000",984.9756399917051,-5.146564807656517e-06
5983473,84701000,39577,Республика Алтай,23,1914445.0,1914444.5,25.12.2017,Ремонт фасада,2276.5,"1914,44000",840.9595870854382,-2.611722980105924e-05
5984392,84701000,39638,Республика Алтай,10,978601.0,978600.6,03.08.2016,Ремонт фасада,3920.5,"5532,30400",249.6111720443821,-4.087467722069249e-05
5982967,84701000,39541,Республика Алтай,10,575081.0,526265.17,,Ремонт фасада,527.5,"1168,94000",997.6590900473934,-8.488513791970165
5983773,84701000,39634,Республика Алтай,10,520920.0,10000.0,,Ремонт фасада,477.8,"0,00000",20.92925910422771,-98.08031943484605
5982609,84701000,39709,Республика Алтай,10,3247520.0,,,Ремонт фасада,3441.5,"0,00000",,
5982618,84701000,39510,Республика Алтай,10,1749374.0,,,Ремонт фасада,1944.3,"1987,32400",,
5982625,84701000,39765,Республика Алтай,10,1320431.0,,,Ремонт фасада,2406.8,"0,00000",,
5982636,84701000,39511,Республика Алтай,10,3135161.0,,,Ремонт фасада,3484.5,"0,00000",,
5982639,84701000,39512,Республика Алтай,10,1233307.0,,,Ремонт фасада,666.9,"0,00000",,
5982653,84701000,39513,Республика Алтай,10,2902998.0,,,Ремонт фасада,1831.4,"0,00000",,
5982662,84701000,39514,Республика Алтай,10,674439.0,,,Ремонт фасада,290.1,"0,00000",,
5982668,84701000,39515,Республика Алтай,10,2818440.0,,,Ремонт фасада,3210.8,"0,00000",,
5982678,84701000,39704,Республика Алтай,10,2624249.0,,,Ремонт фасада,2781.0,"0,00000",,
5982681,84701000,39516,Республика Алтай,10,5417009.0,,,Ремонт фасада,6856.8,"0,00000",,
5982688,84701000,39516,Республика Алтай,23,14817116.0,,,Ремонт фасада,6856.8,"0,00000",,
5982698,84701000,39517,Республика Алтай,10,3866691.0,,,Ремонт фасада,1742.4,"1646,30000",,
5982705,84701000,39742,Республика Алтай,10,5512653.0,,,Ремонт фасада,2484.1,"0,00000",,
5982710,84701000,39743,Республика Алтай,10,8366512.0,,,Ремонт фасада,3770.1,"0,00000",,
5982720,84701000,39744,Республика Алтай,10,4121008.0,,,Ремонт фасада,1857.0,"0,00000",,
5982725,84701000,39667,Республика Алтай,10,7279422.0,,,Ремонт фасада,6448.7,"2638,15000",,
5982734,84701000,39518,Республика Алтай,10,994951.0,,,Ремонт фасада,784.6,"2188,73700",,
5982741,84701000,39668,Республика Алтай,10,2774691.0,,,Ремонт фасада,2873.6,"0,00000",,
5982751,84701000,39519,Республика Алтай,10,914807.0,,,Ремонт фасада,721.4,"2186,35500",,
5982761,84701000,39520,Республика Алтай,10,945495.0,,,Ремонт фасада,745.6,"2208,24500",,
5982766,84701000,39521,Республика Алтай,10,978973.0,,,Ремонт фасада,772.0,"2346,74000",,
