,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
82764,35604000,9102008569,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,3772.9,"0,00000",0.0,1.0
118318,35729000,9102008215,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,381.0,"0,00000",0.0,1.0
118282,35729000,9102008202,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,329.7,"0,00000",0.0,1.0
118287,35729000,9102008203,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,1659.0,"0,00000",0.0,1.0
118291,35729000,9102008204,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,1844.39,"0,00000",0.0,1.0
118296,35729000,9102008206,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,126.0,"0,00000",0.0,1.0
118298,35729000,9102008210,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,246.0,"0,00000",0.0,1.0
118304,35729000,9102008211,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,336.0,"0,00000",0.0,1.0
118306,35729000,9102008212,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,514.0,"0,00000",0.0,1.0
118312,35729000,9102008213,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,145.0,"0,00000",0.0,1.0
118320,35729000,9102008216,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,170.0,"0,00000",0.0,1.0
118271,35729000,9102008200,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,2228.2,"0,00000",0.0,1.0
118325,35729000,9102008207,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,90.0,"0,00000",0.0,1.0
118332,35729000,9102008217,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,62.0,"0,00000",0.0,1.0
118334,35729000,9102008218,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,162.0,"0,00000",0.0,1.0
118340,35729000,9102008219,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,63.0,"0,00000",0.0,1.0
118345,35729000,9102008220,Республика Крым,10,2000000.0,0.0,,Ремонт фасада,61.0,"0,00000",0.0,1.0
