,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2420477,63602000,6360200016198236,Саратовская область,65,,,,Ремонт фасада,851.1,"0,00000",,
2420482,63602000,6360200016198236,Саратовская область,10,,,,Ремонт фасада,851.1,"0,00000",,
2420485,63602000,6360200016198237,Саратовская область,10,,,,Ремонт фасада,849.3,"0,00000",,
2420489,63602000,6360200016198237,Саратовская область,65,,,,Ремонт фасада,849.3,"0,00000",,
2420494,63602000,6360200016198444,Саратовская область,10,,,,Ремонт фасада,1215.0,"0,00000",,
2420500,63602000,6360200016198444,Саратовская область,65,,,,Ремонт фасада,1215.0,"0,00000",,
2420508,63602000,6360200016198445,Саратовская область,10,,,,Ремонт фасада,1741.81,"0,00000",,
2420516,63602000,6360200016198445,Саратовская область,65,,,,Ремонт фасада,1741.81,"0,00000",,
2420523,63602000,6360200016198446,Саратовская область,10,,,,Ремонт фасада,1809.7,"0,00000",,
2420527,63602000,6360200016198446,Саратовская область,65,,,,Ремонт фасада,1809.7,"0,00000",,
2420532,63602000,6360200016198449,Саратовская область,65,,,,Ремонт фасада,681.3,"0,00000",,
2420537,63602000,6360200016198449,Саратовская область,10,,,,Ремонт фасада,681.3,"0,00000",,
2420547,63602000,6360200016198450,Саратовская область,10,,,,Ремонт фасада,702.0,"0,00000",,
2420549,63602000,6360200016198450,Саратовская область,65,,,,Ремонт фасада,702.0,"0,00000",,
2420554,63602000,6360200016198451,Саратовская область,65,,,,Ремонт фасада,921.4,"0,00000",,
2420561,63602000,6360200016198451,Саратовская область,10,,,,Ремонт фасада,921.4,"0,00000",,
2420565,63602000,6360200016198453,Саратовская область,65,,,,Ремонт фасада,1092.0,"0,00000",,
2420573,63602000,6360200016198453,Саратовская область,10,,,,Ремонт фасада,1092.0,"0,00000",,
2420575,63602000,6360200016198456,Саратовская область,65,,,,Ремонт фасада,1684.9,"0,00000",,
2420586,63602000,6360200016198456,Саратовская область,10,,,,Ремонт фасада,1684.9,"0,00000",,
2420598,63602000,6360200018610615,Саратовская область,10,,,,Ремонт фасада,3579.74,"0,00000",,
2420604,63602000,6360200016198458,Саратовская область,10,,,,Ремонт фасада,1274.35,"0,00000",,
2420609,63602000,6360200016198458,Саратовская область,65,,,,Ремонт фасада,1274.35,"0,00000",,
2420612,63602000,6360200016198459,Саратовская область,65,,,,Ремонт фасада,1727.0,"0,00000",,
2420620,63602000,6360200016198459,Саратовская область,10,,,,Ремонт фасада,1727.0,"0,00000",,
2420622,63602000,6360200016198460,Саратовская область,65,,,,Ремонт фасада,1295.2,"0,00000",,
2420625,63602000,6360200016198460,Саратовская область,10,,,,Ремонт фасада,1295.2,"0,00000",,
2420636,63602000,6360200016198461,Саратовская область,10,,,,Ремонт фасада,1142.13,"0,00000",,
2420639,63602000,6360200016198461,Саратовская область,65,,,,Ремонт фасада,1142.13,"0,00000",,
2420646,63602000,6360200016198464,Саратовская область,65,,,,Ремонт фасада,1311.41,"0,00000",,
2420653,63602000,6360200016198464,Саратовская область,10,,,,Ремонт фасада,1311.41,"0,00000",,
2420658,63602000,6360200016198465,Саратовская область,65,,,,Ремонт фасада,1795.03,"0,00000",,
2420664,63602000,6360200016198465,Саратовская область,10,,,,Ремонт фасада,1795.03,"0,00000",,
2420671,63602000,6360200014192988,Саратовская область,65,,,,Ремонт фасада,2079.6,"0,00000",,
2420678,63602000,6360200014192988,Саратовская область,10,,,,Ремонт фасада,2079.6,"0,00000",,
2420686,63602000,6360200010440978,Саратовская область,65,,,,Ремонт фасада,5558.7,"0,00000",,
2420690,63602000,6360200010440978,Саратовская область,10,,,,Ремонт фасада,5558.7,"0,00000",,
2420695,63602000,6360200010440979,Саратовская область,65,,,,Ремонт фасада,5306.7,"0,00000",,
2420702,63602000,6360200010440979,Саратовская область,10,,,,Ремонт фасада,5306.7,"0,00000",,
2420709,63602000,6360200010440986,Саратовская область,65,,,,Ремонт фасада,2101.4,"0,00000",,
2420716,63602000,6360200010440986,Саратовская область,10,,,,Ремонт фасада,2101.4,"0,00000",,
2420720,63602000,6360200010440990,Саратовская область,10,,,,Ремонт фасада,9084.8,"0,00000",,
2420727,63602000,6360200010440990,Саратовская область,65,,,,Ремонт фасада,9084.8,"0,00000",,
2420739,63602000,6360200018610616,Саратовская область,10,,,,Ремонт фасада,3012.6,"0,00000",,
2420740,63602000,6360200010440992,Саратовская область,65,,,,Ремонт фасада,1863.2,"0,00000",,
2420749,63602000,6360200010440992,Саратовская область,10,,,,Ремонт фасада,1863.2,"0,00000",,
2420754,63602000,6360200010440993,Саратовская область,10,,,,Ремонт фасада,5597.0,"0,00000",,
2420761,63602000,6360200010440993,Саратовская область,65,,,,Ремонт фасада,5597.0,"0,00000",,
2420765,63602000,6360200010440995,Саратовская область,65,,,,Ремонт фасада,1637.6,"0,00000",,
2420772,63602000,6360200010440995,Саратовская область,10,,,,Ремонт фасада,1637.6,"0,00000",,
2420779,63602000,636020004141775,Саратовская область,65,,,,Ремонт фасада,8521.8,"0,00000",,
2420786,63602000,636020004141775,Саратовская область,10,,,,Ремонт фасада,8521.8,"0,00000",,
2420790,63602000,6360200014192653,Саратовская область,65,,,,Ремонт фасада,455.9,"0,00000",,
2420793,63602000,6360200014192653,Саратовская область,10,,,,Ремонт фасада,455.9,"0,00000",,
2420801,63602000,6360200014192654,Саратовская область,10,,,,Ремонт фасада,639.4,"0,00000",,
2420804,63602000,6360200014192654,Саратовская область,65,,,,Ремонт фасада,639.4,"0,00000",,
2420811,63602000,636020004141760,Саратовская область,65,,,,Ремонт фасада,1603.8,"0,00000",,
2420819,63602000,636020004141760,Саратовская область,10,,,,Ремонт фасада,1603.8,"0,00000",,
2420826,63602000,636020004141762,Саратовская область,10,,,,Ремонт фасада,1297.6,"0,00000",,
2420829,63602000,636020004141762,Саратовская область,65,,,,Ремонт фасада,1297.6,"0,00000",,
2420832,63602000,636020004141766,Саратовская область,10,,,,Ремонт фасада,1643.2,"0,00000",,
2420839,63602000,636020004141766,Саратовская область,65,,,,Ремонт фасада,1643.2,"0,00000",,
2420845,63602000,636020004141770,Саратовская область,65,,,,Ремонт фасада,1028.6,"0,00000",,
