,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
160148,28618000,2287871,Тверская область,10,1949856.68,33468031.0,,Ремонт фасада,1876.0,"0,00000",17840.101812366738,1616.4354356546862
220624,28701000,2287024,Тверская область,10,6946129.28,31609404.71,,Ремонт фасада,7333.1,"0,00000",4310.5105221529775,355.0650216230931
194305,28643000,2285402,Тверская область,10,1450920.31,2537519.14,,Ремонт фасада,1488.7,"0,00000",1704.5201450930342,74.8903177184142
195898,28644000,2285472,Тверская область,10,25023.0,32453.0,30.04.2017,Ремонт фасада,354.6,"50,34900",91.52002256063169,29.692682731886656
186772,28634000,2284590,Тверская область,10,586290.46,640958.95,,Ремонт фасада,560.0,"0,00000",1144.5695535714285,9.324472037290189
220146,28701000,2278122,Тверская область,10,3301542.42,3586312.87,,Ремонт фасада,5484.4,"0,00000",653.9116165852236,8.625376074980128
230076,28701000,2279734,Тверская область,10,941038.24,995720.0,,Ремонт фасада,794.2,"0,00000",1253.7396121883655,5.81079043079058
164500,28620000,2288773,Тверская область,10,2130028.9,2224165.17,21.09.2017,Ремонт фасада,1521.8,"2258,55745",1461.535793139703,4.4194832286078345
239672,28701000,2280184,Тверская область,10,657522.31,659364.65,13.09.2018,Ремонт фасада,499.0,"0,00000",1321.3720440881764,0.2801942948521319
195320,28644000,2285524,Тверская область,10,17937.0,17937.0,01.11.2016,Ремонт фасада,743.4,"151,55200",24.128329297820823,0.0
195626,28644000,2285451,Тверская область,10,50721.0,50721.0,30.03.2017,Ремонт фасада,640.4,"50,72100",79.20206121174266,0.0
195619,28644000,2285450,Тверская область,10,32502.0,32502.0,30.04.2017,Ремонт фасада,387.4,"508,21500",83.89778007227672,0.0
195605,28644000,2285449,Тверская область,10,50239.0,50239.0,30.03.2017,Ремонт фасада,642.0,"299,44500",78.25389408099689,0.0
195597,28644000,2285448,Тверская область,10,25168.0,25168.0,30.04.2017,Ремонт фасада,397.7,"25,16800",63.283882323359315,0.0
195591,28644000,2285442,Тверская область,10,51783.0,51783.0,30.04.2017,Ремонт фасада,772.3,"51,78300",67.05036902757996,0.0
195574,28644000,2285440,Тверская область,10,51879.0,51879.0,30.04.2017,Ремонт фасада,778.9,"51,87900",66.60546925150854,0.0
195558,28644000,2285496,Тверская область,10,17896.0,17896.0,02.11.2016,Ремонт фасада,432.7,,41.358909174948,0.0
195548,28644000,2285552,Тверская область,10,9517.0,9517.0,01.11.2016,Ремонт фасада,348.0,"9,51700",27.347701149425287,0.0
195537,28644000,2285550,Тверская область,10,114708.0,114708.0,12.10.2016,Ремонт фасада,2691.5,"114,70800",42.618614155675274,0.0
195526,28644000,2285549,Тверская область,10,31210.0,31210.0,24.11.2016,Ремонт фасада,758.8,"31,21000",41.13073273589879,0.0
195517,28644000,2285548,Тверская область,10,29240.0,29240.0,09.11.2016,Ремонт фасада,1012.7,"29,24000",28.87330897600474,0.0
195509,28644000,2285547,Тверская область,10,19278.0,19278.0,09.11.2016,Ремонт фасада,735.4,"19,27800",26.21430514005983,0.0
195311,28644000,2285523,Тверская область,10,17216.0,17216.0,01.11.2016,Ремонт фасада,740.0,"17,21600",23.264864864864865,0.0
195502,28644000,2285546,Тверская область,10,19170.0,19170.0,24.12.2016,Ремонт фасада,724.7,"19,17000",26.452325100041396,0.0
195284,28644000,2285530,Тверская область,10,43895.0,43895.0,02.11.2016,Ремонт фасада,836.9,"206,76900",52.4495160712152,0.0
195647,28644000,2285443,Тверская область,10,25264.0,25264.0,30.04.2017,Ремонт фасада,371.8,"25,26400",67.9505110274341,0.0
195479,28644000,2285544,Тверская область,10,19324.0,19324.0,29.12.2016,Ремонт фасада,744.5,"19,32400",25.955674949630623,0.0
195445,28644000,2285541,Тверская область,10,18900.0,18900.0,01.11.2016,Ремонт фасада,705.4,"482,95500",26.793308760986676,0.0
195437,28644000,2285540,Тверская область,10,21037.0,21037.0,28.12.2016,Ремонт фасада,524.3,"413,03700",40.123974823574294,0.0
195420,28644000,2285539,Тверская область,10,27412.0,27412.0,02.11.2016,Ремонт фасада,744.0,"696,12700",36.844086021505376,0.0
195406,28644000,2285538,Тверская область,10,27896.0,27896.0,08.08.2016,Ремонт фасада,789.3,"88,13800",35.34270872925377,0.0
195403,28644000,2285537,Тверская область,10,18700.0,18700.0,08.08.2016,Ремонт фасада,517.6,"18,70000",36.12828438948995,0.0
195300,28644000,2285522,Тверская область,10,18872.0,18872.0,08.08.2016,Ремонт фасада,747.0,"18,87200",25.26372155287818,0.0
195389,28644000,2285536,Тверская область,10,17900.0,17900.0,08.08.2016,Ремонт фасада,499.4,"397,51800",35.843011613936724,0.0
195366,28644000,2285528,Тверская область,10,31242.0,31242.0,01.11.2016,Ремонт фасада,744.2,"31,24200",41.9806503628057,0.0
195359,28644000,2285527,Тверская область,10,26793.0,26793.0,01.11.2016,Ремонт фасада,754.3,"26,79300",35.52034999337134,0.0
195352,28644000,2285526,Тверская область,10,30025.0,30025.0,01.11.2016,Ремонт фасада,834.2,"30,02500",35.99256772956125,0.0
195491,28644000,2285545,Тверская область,10,19064.0,19064.0,24.11.2016,Ремонт фасада,714.9,"19,06400",26.666666666666668,0.0
195669,28644000,2285445,Тверская область,10,25264.0,25264.0,30.04.2017,Ремонт фасада,381.1,"25,26400",66.29231172920493,0.0
195654,28644000,2285444,Тверская область,10,25312.0,25312.0,30.04.2017,Ремонт фасада,384.5,"501,02500",65.83094928478543,0.0
195833,28644000,2285463,Тверская область,10,87295.0,87295.0,30.04.2017,Ремонт фасада,528.2,"87,29500",165.26883756152972,0.0
229664,28701000,2278610,Тверская область,10,436000.0,436000.0,31.08.2016,Ремонт фасада,2989.7,"0,00000",145.8340301702512,0.0
230709,28701000,2279789,Тверская область,10,89191.0,89191.0,30.09.2017,Ремонт фасада,5088.7,"0,00000",17.527266295910547,0.0
213000,28756000,2281215,Тверская область,10,5262227.0,5262227.0,,Ремонт фасада,2178.0,"0,00000",2416.0821854912765,0.0
212975,28756000,2281214,Тверская область,10,5642826.0,5642826.0,,Ремонт фасада,2106.7,"0,00000",2678.51426401481,0.0
210613,28653000,2286467,Тверская область,10,2339194.0,2339194.0,,Ремонт фасада,689.1,"0,00000",3394.5639239587867,0.0
195937,28644000,2285474,Тверская область,10,87102.0,87102.0,30.04.2017,Ремонт фасада,540.5,"87,10200",161.15078630897318,0.0
195924,28644000,2285469,Тверская область,10,50335.0,50335.0,30.04.2017,Ремонт фасада,644.9,"257,86900",78.05086059854241,0.0
195910,28644000,2285473,Тверская область,10,25119.0,25119.0,30.04.2017,Ремонт фасада,432.9,"25,11900",58.02494802494803,0.0
195882,28644000,2285470,Тверская область,10,28738.0,28738.0,30.04.2017,Ремонт фасада,394.0,"28,73800",72.93908629441624,0.0
195875,28644000,2285468,Тверская область,10,51879.0,51879.0,30.04.2017,Ремонт фасада,765.0,"51,87900",67.8156862745098,0.0
195858,28644000,2285466,Тверская область,10,52072.0,52072.0,30.04.2017,Ремонт фасада,768.7,"52,07200",67.74034083517627,0.0
195854,28644000,2285465,Тверская область,10,51879.0,51879.0,30.04.2017,Ремонт фасада,774.0,"51,87900",67.02713178294573,0.0
195842,28644000,2285464,Тверская область,10,51879.0,51879.0,30.04.2017,Ремонт фасада,772.5,"51,87900",67.15728155339806,0.0
195815,28644000,2285462,Тверская область,10,81602.0,81602.0,30.04.2017,Ремонт фасада,522.9,"81,60200",156.0566073819086,0.0
195262,28644000,2285521,Тверская область,10,14760.0,14760.0,08.08.2016,Ремонт фасада,931.3,"14,76000",15.848813486524215,0.0
195805,28644000,2289139,Тверская область,10,52265.0,52265.0,30.04.2017,Ремонт фасада,780.6,"52,26500",66.95490648219318,0.0
195791,28644000,2285461,Тверская область,10,51879.0,51879.0,30.04.2017,Ремонт фасада,778.6,"242,57800",66.63113280246596,0.0
195786,28644000,2285460,Тверская область,10,53713.0,53713.0,30.04.2017,Ремонт фасада,767.3,"53,71300",70.00260654242147,0.0
195771,28644000,2285459,Тверская область,10,87102.0,87102.0,30.04.2017,Ремонт фасада,501.6,"87,10200",173.64832535885168,0.0
195766,28644000,2285458,Тверская область,10,87488.0,87488.0,30.04.2017,Ремонт фасада,567.0,"87,48800",154.29982363315696,0.0
195746,28644000,2285457,Тверская область,10,51107.0,51107.0,30.04.2017,Ремонт фасада,767.1,"241,80600",66.62364750358493,0.0
195736,28644000,2285454,Тверская область,10,78012.0,78012.0,30.04.2017,Ремонт фасада,1023.9,"78,01200",76.19103428069147,0.0
195734,28644000,2285453,Тверская область,10,78398.0,78398.0,30.04.2017,Ремонт фасада,1025.1,"78,39800",76.47839235196567,0.0
195724,28644000,2285452,Тверская область,10,51011.0,51011.0,30.04.2017,Ремонт фасада,795.8,"155,01100",64.1002764513697,0.0
195705,28644000,2285456,Тверская область,10,52265.0,52265.0,30.04.2017,Ремонт фасада,768.0,"242,96400",68.05338541666667,0.0
195700,28644000,2285455,Тверская область,10,52265.0,52265.0,30.04.2017,Ремонт фасада,774.5,"242,96400",67.48224661071659,0.0
195685,28644000,2285447,Тверская область,10,25505.0,25505.0,30.04.2017,Ремонт фасада,380.9,"25,50500",66.95983197689682,0.0
195680,28644000,2285446,Тверская область,10,50480.0,50480.0,30.04.2017,Ремонт фасада,723.9,"284,60000",69.7333885895842,0.0
195277,28644000,2285529,Тверская область,10,26688.0,26688.0,02.11.2016,Ремонт фасада,741.2,"26,68800",36.00647598488936,0.0
195563,28644000,2285439,Тверская область,10,77819.0,77819.0,30.04.2017,Ремонт фасада,1055.0,"77,81900",73.76208530805687,0.0
195253,28644000,2285520,Тверская область,10,29990.0,29990.0,08.08.2016,Ремонт фасада,521.8,"29,99000",57.474128018397856,0.0
179621,28630000,2283981,Тверская область,10,492851.0,492851.0,30.05.2016,Ремонт фасада,4906.1,"1220,88485",100.45677829640651,0.0
194961,28644000,2285486,Тверская область,10,149481.0,149481.0,28.09.2016,Ремонт фасада,2773.4,"149,48100",53.89810341097569,0.0
194955,28644000,2285485,Тверская область,10,153313.0,153313.0,13.09.2016,Ремонт фасада,2534.8,"367,51100",60.483272842038815,0.0
194940,28644000,2285484,Тверская область,10,26937.0,26937.0,06.11.2016,Ремонт фасада,536.7,"26,93700",50.19005030743432,0.0
192647,28643000,2285189,Тверская область,10,561143.53,561143.53,31.03.2015,Ремонт фасада,429.9,"561,14353",1305.2885089555712,0.0
184799,28630000,2284008,Тверская область,10,685068.76,685068.76,,Ремонт фасада,578.8,"0,00000",1183.6018659295094,0.0
184776,28630000,2284007,Тверская область,10,681341.68,681341.68,,Ремонт фасада,571.3,"0,00000",1192.6162786626992,0.0
241014,28701000,2280271,Тверская область,10,657500.0,657500.0,30.11.2017,Ремонт фасада,4441.1,"0,00000",148.04890680236878,0.0
179820,28630000,2288838,Тверская область,10,457759.0,457759.0,,Ремонт фасада,486.6,"0,00000",940.7295519934237,0.0
179806,28630000,2288837,Тверская область,10,457759.0,457759.0,,Ремонт фасада,445.8,"0,00000",1026.8259309107223,0.0
179620,28630000,2283981,Тверская область,10,378690.0,378690.0,30.08.2017,Ремонт фасада,4906.1,"1220,88485",77.18758280507939,0.0
194991,28644000,2285487,Тверская область,10,41000.0,41000.0,16.04.2016,Ремонт фасада,371.8,"41,00000",110.27434104357181,0.0
195244,28644000,2285519,Тверская область,10,44258.0,44258.0,23.06.2016,Ремонт фасада,1808.5,"79,08000",24.472214542438486,0.0
178133,28630000,2283733,Тверская область,10,150000.0,150000.0,11.07.2017,Ремонт фасада,6071.5,"395,01000",24.70559169892119,0.0
178121,28630000,2283733,Тверская область,10,340000.0,340000.0,21.04.2016,Ремонт фасада,6071.5,"395,01000",55.999341184221365,0.0
