,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1895026,70642000,7103,Тульская область,10,11678.96,625834.89,10.01.2018,Ремонт фасада,647.6,,966.3911210623842,5258.652568379377
1846023,70706000,3512,Тульская область,65,5901.84,192798.0,30.10.2015,Ремонт фасада,825.31,"4200,46000",233.60676594249435,3166.743930706356
1845978,70706000,3336,Тульская область,65,8571.22,192799.48,30.10.2015,Ремонт фасада,765.2,"3784,81000",251.95959226346054,2149.382001628707
1845995,70706000,3394,Тульская область,65,8821.91,168417.72,30.10.2015,Ремонт фасада,821.87,"3883,64000",204.92014552179785,1809.0845406493606
1852672,70714000,202473,Тульская область,10,127592.82,1684278.31,26.07.2017,Ремонт фасада,340.5,"1285,46000",4946.485491923642,1220.0416057894167
1890780,70636000,59937,Тульская область,10,45504.34,529743.55,05.07.2016,Ремонт фасада,120.9,"732,89000",4381.667080231597,1064.1604954604331
1894942,70642000,79018,Тульская область,10,72400.12,735440.74,10.01.2018,Ремонт фасада,372.0,,1976.9912365591397,915.8004434246795
1904876,70648000,55678,Тульская область,10,122861.42,1061398.01,07.11.2017,Ремонт фасада,548.0,,1936.857682481752,763.8985370672095
1891043,70636000,60153,Тульская область,10,69366.83,594198.76,05.07.2016,Ремонт фасада,184.3,"806,64000",3224.0844275637546,756.6035956955218
1895002,70642000,79028,Тульская область,10,58265.98,476858.16,10.01.2018,Ремонт фасада,382.5,,1246.6879999999999,718.4160980386839
1895174,70642000,6867,Тульская область,65,4821.22,37153.03,28.08.2015,Ремонт фасада,400.2,"1019,06000",92.83615692153923,670.6146991840238
1839563,70606000,1191,Тульская область,10,197233.6,1398761.23,01.11.2017,Ремонт фасада,627.4,"941,24000",2229.4568536818615,609.1901329185291
1894500,70640000,27017,Тульская область,10,158192.51,1081962.18,28.10.2016,Ремонт фасада,460.7,"1286,61000",2348.5178641198177,583.9528496007806
1881795,70618000,111958,Тульская область,10,143664.25,914317.23,05.12.2016,Ремонт фасада,381.2,"461,32000",2398.523688352571,536.426410885102
1894488,70640000,27015,Тульская область,10,227935.73,1403941.3,28.12.2016,Ремонт фасада,655.7,"1689,95000",2141.133597681867,515.937352165016
1853137,70714000,202767,Тульская область,10,572210.51,3136008.52,03.07.2017,Ремонт фасада,1462.21,"3125,23000",2144.7046046737473,448.0515413811606
1882835,70622000,28011,Тульская область,10,152433.9,818544.38,01.07.2016,Ремонт фасада,405.2,"1429,44000",2020.099654491609,436.9831645060581
1905790,70648000,1137055,Тульская область,10,281323.59,1449870.06,07.11.2017,Ремонт фасада,342.3,,4235.670639789658,415.3745052094636
1888453,70628000,97912,Тульская область,10,159430.33,787462.96,15.07.2016,Ремонт фасада,423.2,"1880,68000",1860.7347826086957,393.92293172823514
1881918,70618000,110928,Тульская область,10,75351.28,349605.3,29.11.2016,Ремонт фасада,224.2,"1474,22000",1559.3456735057985,363.96730088725764
1896164,70644000,300013,Тульская область,10,178705.22,777791.1,20.07.2016,Ремонт фасада,434.3,"2089,24000",1790.9074372553534,335.236922570029
1896149,70644000,73025,Тульская область,10,287366.13,1243884.19,20.07.2016,Ремонт фасада,718.5,"2944,13000",1731.223646485734,332.8569236743384
1840627,70608000,21377,Тульская область,10,108949.09,444361.0,09.12.2016,Ремонт фасада,260.9,"803,43000",1703.1851284016866,307.8611395469205
1896161,70644000,301611,Тульская область,10,282435.55,1145881.81,19.09.2016,Ремонт фасада,0.0,,,305.71443998462667
1891049,70636000,60725,Тульская область,10,86755.59,335289.06,05.07.2016,Ремонт фасада,201.1,"824,69000",1667.2752859273994,286.47545362782967
1896267,70644000,74747,Тульская область,10,171102.35,639976.02,20.07.2016,Ремонт фасада,417.6,"1894,25000",1532.5096264367817,274.03111061887813
1896306,70644000,73407,Тульская область,10,305507.65,1099159.12,19.09.2016,Ремонт фасада,748.5,"3108,89000",1468.4824582498331,259.781210061352
1906299,70650000,93301,Тульская область,10,279763.25,1000797.99,04.07.2018,Ремонт фасада,743.3,"176,47000",1346.4253867886453,257.73032733927704
1891481,70638000,13267,Тульская область,10,240544.46,851868.31,26.12.2017,Ремонт фасада,639.1,"19,59000",1332.9186512282897,254.1417291422966
1892443,70638000,13188,Тульская область,10,328291.41,1106116.02,28.06.2018,Ремонт фасада,368.6,,3000.8573521432445,236.93114906661742
1842340,70612000,36893,Тульская область,10,243091.74,807430.99,10.02.2017,Ремонт фасада,409.8,"1943,89000",1970.3050024402146,232.15073041971726
1906873,70650000,45083,Тульская область,10,296103.14,975402.25,21.06.2018,Ремонт фасада,759.5,"924,30000",1284.2689269256089,229.41300453618965
1883911,70626000,10379,Тульская область,10,392456.63,1288883.0,30.10.2016,Ремонт фасада,398.8,"2255,65000",3231.9032096288865,228.4141231096032
1852864,70714000,203088,Тульская область,10,797737.41,2557487.84,26.12.2017,Ремонт фасада,1801.6,"5102,67000",1419.5647424511544,220.5926922745167
1907348,70650000,78468,Тульская область,10,373444.24,1147936.75,01.11.2017,Ремонт фасада,992.2,"1673,49000",1156.9610461600482,207.39174073216392
1894387,70640000,27071,Тульская область,10,134173.67,393820.75,01.02.2017,Ремонт фасада,256.6,"1003,94000",1534.7651987529227,193.51567263532402
1840104,70608000,23036,Тульская область,10,352058.81,999573.7,23.11.2017,Ремонт фасада,627.0,"817,41000",1594.2164274322167,183.92236512984857
1882616,70622000,93522,Тульская область,10,274430.62,760603.82,15.08.2016,Ремонт фасада,651.7,"1190,45000",1167.1072886297375,177.15705339294865
1885633,70626000,68142,Тульская область,10,320739.44,878487.64,06.06.2018,Ремонт фасада,368.1,"1265,32000",2386.546155935887,173.89448581689862
1890277,70630000,10205,Тульская область,10,334610.85,899629.76,03.07.2017,Ремонт фасада,360.0,,2498.9715555555554,168.85851430101567
1891082,70636000,60337,Тульская область,10,148953.23,400091.74,17.08.2016,Ремонт фасада,145.0,"846,52000",2759.253379310345,168.60225857472173
1893855,70640000,106839,Тульская область,10,251437.97,662157.62,19.07.2016,Ремонт фасада,396.3,"2173,25000",1670.8494070148877,163.34830017916545
1892647,70702000,104828,Тульская область,10,224227.89,590356.6,30.10.2015,Ремонт фасада,404.3,"1646,19000",1460.1944100915161,163.2841971620925
1884044,70626000,1137063,Тульская область,10,392456.63,1013879.31,20.09.2017,Ремонт фасада,681.6,"801,51000",1487.4989876760565,158.341745940182
1892660,70702000,104837,Тульская область,10,245332.19,626875.28,30.10.2015,Ремонт фасада,400.8,"1706,82000",1564.0600798403193,155.52100602860145
1846232,70706000,3251,Тульская область,10,1076052.06,2577853.71,31.10.2016,Ремонт фасада,2645.27,"7088,31000",974.5144011764395,139.56589144952707
1839614,70606000,1073,Тульская область,10,200940.1,479552.83,01.02.2017,Ремонт фасада,425.1,"1092,37000",1128.0941660785697,138.6546189635618
1893191,70640000,105666,Тульская область,10,295252.49,674351.53,20.07.2016,Ремонт фасада,436.6,"1977,31000",1544.5522904260192,128.39825330516268
1893163,70640000,105190,Тульская область,10,319417.41,715353.22,15.11.2016,Ремонт фасада,436.6,"1970,17000",1638.4636280348143,123.95561344010648
1893174,70640000,105320,Тульская область,10,502771.39,1109207.79,15.11.2016,Ремонт фасада,712.6,"3215,41000",1556.564397979231,120.61871698785404
1894495,70640000,27016,Тульская область,10,238286.18,523193.07,01.11.2016,Ремонт фасада,693.9,"1826,85000",753.9891482922611,119.56500792450488
1896182,70644000,75818,Тульская область,10,362529.22,784856.35,05.09.2016,Ремонт фасада,415.6,"2250,45000",1888.4897738209816,116.49464559022307
1841424,70608000,20859,Тульская область,10,515678.24,1091946.64,09.12.2016,Ремонт фасада,1370.1,"4426,56000",796.9831691117437,111.74960572313464
1839584,70606000,1136816,Тульская область,10,227345.6,478882.65,03.10.2016,Ремонт фасада,713.5,"1364,26000",671.1740014015418,110.64082612551114
1885454,70626000,10454,Тульская область,10,392456.63,817246.35,01.11.2017,Ремонт фасада,255.5,"1297,85000",3198.615851272016,108.23864027981895
1893152,70640000,107047,Тульская область,10,550334.26,1086139.65,15.11.2016,Ремонт фасада,605.6,"3170,99000",1793.4934775429324,97.35999172575589
1839607,70606000,1069,Тульская область,10,206750.36,403623.18,01.02.2017,Ремонт фасада,689.2,"1248,93000",585.6401334881022,95.22247990281613
1904020,70648000,55153,Тульская область,10,300415.71,585853.02,15.07.2016,Ремонт фасада,393.0,"1439,42000",1490.7201526717558,95.01410894922904
1882841,70622000,28012,Тульская область,10,375125.1,717930.18,01.08.2016,Ремонт фасада,413.2,"1457,38000",1737.4883349467573,91.38420223013605
1892652,70702000,104833,Тульская область,10,375694.45,713446.5,30.10.2015,Ремонт фасада,401.4,"1776,62000",1777.3953662182362,89.90072916967497
1893160,70640000,105053,Тульская область,10,391531.54,741610.73,15.11.2016,Ремонт фасада,419.4,"2156,83000",1768.2659275154983,89.41276863672336
1853191,70714000,203898,Тульская область,10,1571067.19,2966779.68,10.07.2017,Ремонт фасада,1458.2,,2034.5492250720067,88.83849773477863
1893823,70640000,106564,Тульская область,10,366437.93,671022.99,20.07.2016,Ремонт фасада,394.2,"1899,60000",1702.2399543378995,83.1205055655674
1892690,70640000,30143028,Тульская область,10,608488.21,1099800.71,15.11.2016,Ремонт фасада,796.8,"2354,14000",1380.2719754016064,80.7431420898032
1846924,70706000,2973,Тульская область,10,1556759.61,2787587.46,24.10.2016,Ремонт фасада,2139.3,"8818,74000",1303.0371897349598,79.06344962277123
1893628,70640000,105460,Тульская область,10,241511.88,430411.15,29.07.2016,Ремонт фасада,240.2,"1201,89000",1791.8865528726064,78.21531180992008
1852355,70714000,203314,Тульская область,10,289051.34,512637.24,17.07.2017,Ремонт фасада,2303.6,,222.53743705504428,77.35162203364978
1882581,70622000,94642,Тульская область,10,345580.12,589626.18,01.08.2016,Ремонт фасада,316.8,"1152,96000",1861.1937500000001,70.6192416392471
1846936,70706000,3082,Тульская область,10,1009286.08,1715778.54,11.11.2016,Ремонт фасада,1244.19,"4999,72000",1379.0325754105081,69.9992275728206
1850303,70712000,17267,Тульская область,10,270833.04,447659.82,16.11.2016,Ремонт фасада,489.7,"1212,83000",914.1511537676129,65.28995871404761
1850700,70712000,18044,Тульская область,10,425974.45,700924.42,15.11.2016,Ремонт фасада,495.8,"2171,65000",1413.7241226300928,64.54611773077002
1850310,70712000,17419,Тульская область,10,341070.17,538837.4,16.11.2016,Ремонт фасада,497.3,"1236,94000",1083.5258395334808,57.98432328456049
1902257,70648000,55565,Тульская область,10,435049.71,675512.09,29.08.2016,Ремонт фасада,603.4,"1458,18000",1119.5095956247928,55.27239174576164
1851128,70712000,18513,Тульская область,10,318679.15,477544.02,16.11.2016,Ремонт фасада,581.4,"916,91000",821.3691434468525,49.85103983112795
1851084,70712000,18339,Тульская область,10,437010.56,649050.06,16.11.2016,Ремонт фасада,553.0,"1208,95000",1173.6890777576855,48.52045222888894
1893622,70640000,105405,Тульская область,10,684898.45,969290.31,01.11.2016,Ремонт фасада,618.3,"2874,49000",1567.6699175157692,41.52321559495429
1901930,70648000,208775,Тульская область,10,436418.32,614632.72,05.10.2016,Ремонт фасада,690.7,"2389,92000",889.8692920225857,40.83568260837445
1843394,70612000,37719,Тульская область,10,473797.61,667018.93,08.07.2016,Ремонт фасада,425.7,"2491,56000",1566.8755696499884,40.781404532623135
1885183,70626000,10620,Тульская область,10,543177.62,748607.97,15.10.2018,Ремонт фасада,3018.5,,248.006615868809,37.820105695812714
1893634,70640000,105513,Тульская область,10,381963.99,521218.32,20.07.2016,Ремонт фасада,432.2,"1490,36000",1205.9655714946784,36.457449824000435
1886815,70628000,35012,Тульская область,10,343141.3,466733.67,14.10.2016,Ремонт фасада,598.5,"2095,71000",779.8390476190476,36.017923228710735
