,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5611536,96702000,10013,Чеченская Республика,10,68500.42,68500.42,16.11.2016,Ремонт фасада,458.8,"435,38400",149.303443766347,0.0
5645190,96634000,11843,Чеченская Республика,10,18899.0,18899.0,14.09.2017,Ремонт фасада,397.7,"258,28000",47.52074427960775,0.0
5645400,96634000,11853,Чеченская Республика,10,2313808.0,2313808.0,31.12.2014,Ремонт фасада,455.6,"2926,15000",5078.595258999122,0.0
5645349,96634000,11851,Чеченская Республика,10,6636027.0,6636027.0,31.12.2014,Ремонт фасада,3349.0,"13037,59000",1981.495073156166,0.0
5645325,96634000,11850,Чеченская Республика,10,11445.0,11445.0,14.09.2017,Ремонт фасада,632.3,"168,55600",18.100585165269653,0.0
5645285,96634000,11848,Чеченская Республика,10,210527.0,210527.0,14.09.2017,Ремонт фасада,390.0,"411,64400",539.8128205128205,0.0
5645253,96634000,11846,Чеченская Республика,10,247578.0,247578.0,14.09.2017,Ремонт фасада,397.6,"364,17700",622.6810865191146,0.0
5645234,96634000,11845,Чеченская Республика,10,3139701.0,3139701.0,31.12.2014,Ремонт фасада,619.0,"4679,44000",5072.214862681744,0.0
5645211,96634000,11844,Чеченская Республика,10,3080531.0,3080531.0,31.12.2014,Ремонт фасада,603.0,"4679,35000",5108.6749585406305,0.0
5644813,96625000,11824,Чеченская Республика,10,402637.13,402637.13,06.12.2018,Ремонт фасада,1833.0,,219.66019094380798,0.0
5645658,96637000,11864,Чеченская Республика,10,105606.0,105606.0,09.11.2017,Ремонт фасада,1031.2,"863,00600",102.41078355314197,0.0
5644807,96625000,11823,Чеченская Республика,10,480952.13,480952.13,06.12.2018,Ремонт фасада,1032.0,,466.03888565891475,0.0
5644790,96625000,11822,Чеченская Республика,10,255416.0,255416.0,19.10.2017,Ремонт фасада,481.0,"441,95222",531.010395010395,0.0
5644771,96625000,11821,Чеченская Республика,10,462378.57,462378.57,06.12.2018,Ремонт фасада,561.0,,824.2042245989305,0.0
5643172,96622000,11796,Чеченская Республика,10,49396.0,49396.0,01.11.2017,Ремонт фасада,384.0,"549,76000",128.63541666666666,0.0
5641333,96612000,11652,Чеченская Республика,10,165763.0,165763.0,19.10.2017,Ремонт фасада,546.0,"304,58600",303.5952380952381,0.0
5641316,96612000,11651,Чеченская Республика,10,109018.0,109018.0,19.10.2017,Ремонт фасада,624.0,"308,64500",174.70833333333334,0.0
5641299,96612000,11650,Чеченская Республика,10,102441.45,102441.45,14.11.2016,Ремонт фасада,728.0,"1042,12600",140.71627747252748,0.0
5645616,96637000,11863,Чеченская Республика,10,69831.47,69831.47,16.11.2016,Ремонт фасада,1045.2,"428,95600",66.81158629927286,0.0
5645709,96637000,11866,Чеченская Республика,10,104551.0,104551.0,09.11.2017,Ремонт фасада,1049.9,"796,61600",99.58186493951804,0.0
5641270,96612000,11648,Чеченская Республика,10,400969.0,400969.0,19.10.2017,Ремонт фасада,624.0,"675,34400",642.5785256410256,0.0
5646344,96628000,11898,Чеченская Республика,10,295676.64,295676.64,06.12.2018,Ремонт фасада,423.2,,698.6688090737241,0.0
5647242,96640000,11945,Чеченская Республика,10,25794.6,25794.6,29.12.2015,Ремонт фасада,401.7,"234,44600",64.2135922330097,0.0
5647218,96640000,11944,Чеченская Республика,10,65413.4,65413.4,29.12.2015,Ремонт фасада,401.7,"686,57200",162.84142394822007,0.0
5647131,96640000,11940,Чеченская Республика,10,265460.85,265460.85,06.12.2018,Ремонт фасада,397.1,,668.498740871317,0.0
5646981,96640000,11933,Чеченская Республика,10,95988.39,95988.39,06.12.2018,Ремонт фасада,808.4,,118.7387308263236,0.0
5646738,96640000,11925,Чеченская Республика,10,593233.64,593233.64,06.12.2018,Ремонт фасада,970.2,,611.4549989692847,0.0
5646666,96640000,11922,Чеченская Республика,10,421080.66,421080.66,06.12.2018,Ремонт фасада,808.4,,520.8815685304305,0.0
5646381,96628000,11899,Чеченская Республика,10,341304.76,341304.76,22.06.2016,Ремонт фасада,392.9,"1438,67900",868.6809875286333,0.0
5646321,96628000,11896,Чеченская Республика,10,299926.97,299926.97,22.06.2016,Ремонт фасада,386.7,"1441,90000",775.6063356607189,0.0
5645721,96637000,11869,Чеченская Республика,10,86242.62,86242.62,16.11.2016,Ремонт фасада,415.1,"307,65600",207.76347867983617,0.0
5646290,96628000,11895,Чеченская Республика,10,317110.64,317110.64,22.06.2016,Ремонт фасада,383.8,"1463,79300",826.2392912975508,0.0
5646265,96628000,11894,Чеченская Республика,10,320511.7,320511.7,22.06.2016,Ремонт фасада,381.3,"1469,38400",840.5761867296093,0.0
5646235,96628000,11892,Чеченская Республика,10,256388.76,256388.76,22.06.2016,Ремонт фасада,795.0,"1031,29200",322.50158490566037,0.0
5646213,96628000,11891,Чеченская Республика,10,736572.22,736572.22,22.06.2016,Ремонт фасада,1230.0,"3009,80700",598.8392032520325,0.0
5646183,96628000,11890,Чеченская Республика,10,367690.0,367690.0,06.12.2018,Ремонт фасада,513.74,,715.7122279752404,0.0
5645762,96637000,11871,Чеченская Республика,10,137504.5,137504.5,16.11.2016,Ремонт фасада,1035.9,"454,10400",132.73916401197025,0.0
5645737,96637000,11870,Чеченская Республика,10,346490.31,346490.31,16.11.2016,Ремонт фасада,1001.8,"638,42100",345.8677480535037,0.0
5641278,96612000,11649,Чеченская Республика,10,72247.94,72247.94,14.11.2016,Ремонт фасада,728.0,"1035,05900",99.24167582417583,0.0
5640976,96610000,11634,Чеченская Республика,10,147434.92,147434.92,14.11.2016,Ремонт фасада,610.94,"1305,83700",241.3247127377484,0.0
5611556,96702000,10014,Чеченская Республика,10,328418.6,328418.6,16.11.2016,Ремонт фасада,428.9,"453,57600",765.7230123571928,0.0
5630516,96701000,11057,Чеченская Республика,10,1961985.84,1961985.84,09.11.2018,Ремонт фасада,6065.7,,323.45579900093975,0.0
5612321,96702000,10045,Чеченская Республика,10,287335.0,287335.0,06.12.2018,Ремонт фасада,392.1,,732.8105075235909,0.0
5612342,96702000,10046,Чеченская Республика,10,1138588.0,1138588.0,06.12.2018,Ремонт фасада,1652.2,,689.1344873501997,0.0
5612612,96702000,10060,Чеченская Республика,10,238646.25,238646.25,16.11.2016,Ремонт фасада,629.2,"391,45400",379.2852034329307,0.0
5612797,96702000,10070,Чеченская Республика,10,241007.21,241007.21,16.11.2016,Ремонт фасада,396.5,"301,66300",607.8365952080705,0.0
5613326,96602000,10093,Чеченская Республика,10,423452.0,423452.0,14.09.2017,Ремонт фасада,397.4,"587,18900",1065.5561147458482,0.0
5613642,96604000,10108,Чеченская Республика,10,110985.21,110985.21,08.12.2015,Ремонт фасада,239.2,"242,17400",463.98499163879603,0.0
5613682,96604000,10110,Чеченская Республика,10,1130675.53,1130675.53,08.12.2015,Ремонт фасада,406.6,"1300,75500",2780.8055336940483,0.0
5613762,96604000,10113,Чеченская Республика,10,1132513.07,1132513.07,08.12.2015,Ремонт фасада,400.4,"1281,57700",2828.454220779221,0.0
5613775,96604000,10114,Чеченская Республика,10,1179653.39,1179653.39,08.12.2015,Ремонт фасада,457.2,"1395,42500",2580.1692694663166,0.0
5613811,96604000,10115,Чеченская Республика,10,116782.03,116782.03,08.12.2015,Ремонт фасада,457.2,"303,43600",255.42876202974628,0.0
5613894,96604000,10119,Чеченская Республика,10,41166.33,41166.33,08.12.2015,Ремонт фасада,379.4,"132,84200",108.50376910911967,0.0
5627341,96701000,10914,Чеченская Республика,10,2904036.0,2904036.0,30.09.2017,Ремонт фасада,5598.8,,518.68900478674,0.0
5640929,96610000,11631,Чеченская Республика,10,72678.65,72678.65,14.11.2016,Ремонт фасада,401.06,"831,45800",181.21640153592978,0.0
5627852,96701000,10939,Чеченская Республика,10,288587.0,288587.0,30.09.2017,Ремонт фасада,722.8,,399.2625899280576,0.0
5627476,96701000,10921,Чеченская Республика,10,1528272.76,1528272.76,09.11.2018,Ремонт фасада,5690.0,,268.58923725834796,0.0
5635321,96701000,11303,Чеченская Республика,10,377152.0,377152.0,30.09.2017,Ремонт фасада,3906.2,,96.5521478674927,0.0
5635328,96701000,11304,Чеченская Республика,10,2537925.0,2537925.0,30.09.2017,Ремонт фасада,3906.2,,649.7171163790897,0.0
5640865,96610000,11628,Чеченская Республика,10,44568.69,44568.69,14.11.2016,Ремонт фасада,355.3,"666,34600",125.43960033774276,0.0
