,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6180496,77603000,177,Чукотский автономный округ,10,7857186.0,7857186.0,05.12.2017,Ремонт фасада,1708.7,"8080,60000",4598.341429156669,0.0
6183220,77701000,53,Чукотский автономный округ,10,3442977.0,3442977.0,11.09.2017,Ремонт фасада,4213.2,"3442,98000",817.1881230418685,0.0
6183399,77701000,77,Чукотский автономный округ,10,2469402.0,2469402.0,11.09.2017,Ремонт фасада,2210.5,"4693,27000",1117.1237276634245,0.0
6183437,77701000,81,Чукотский автономный округ,10,2167985.0,2167985.0,11.09.2017,Ремонт фасада,2146.4,"2167,99000",1010.0563734625418,0.0
6183456,77701000,82,Чукотский автономный округ,10,2190387.0,2190387.0,11.09.2017,Ремонт фасада,2071.3,"2190,39000",1057.4938444455172,0.0
6183481,77701000,86,Чукотский автономный округ,10,2473683.0,2473683.0,11.09.2017,Ремонт фасада,2089.5,"2473,68000",1183.8636037329504,0.0
6183504,77701000,89,Чукотский автономный округ,10,2496758.0,2496758.0,11.09.2017,Ремонт фасада,2180.0,"2496,76000",1145.3018348623852,0.0
6183518,77701000,91,Чукотский автономный округ,10,2409930.0,2409930.0,11.09.2017,Ремонт фасада,2152.4,"2409,93000",1119.6478349749116,0.0
6183642,77701000,107,Чукотский автономный округ,10,1743695.0,1743695.0,11.09.2017,Ремонт фасада,2123.9,"1743,70000",820.9873346202739,0.0
6183655,77701000,108,Чукотский автономный округ,10,1850960.0,1850960.0,11.09.2017,Ремонт фасада,2027.8,"1850,96000",912.7921885787554,0.0
6183658,77701000,109,Чукотский автономный округ,10,2495232.0,2495232.0,11.09.2017,Ремонт фасада,2425.0,"2495,23000",1028.961649484536,0.0
6183671,77701000,110,Чукотский автономный округ,10,1956871.0,1956871.0,11.09.2017,Ремонт фасада,1173.1,"1956,87000",1668.1195124030348,0.0
6183679,77701000,111,Чукотский автономный округ,10,3742763.0,3742763.0,11.09.2017,Ремонт фасада,2725.1,"3742,76000",1373.4406076841217,0.0
6183686,77701000,112,Чукотский автономный округ,10,2047452.0,2047452.0,,Ремонт фасада,2389.3,"529,99000",856.9254593395555,0.0
6183691,77701000,106,Чукотский автономный округ,10,2650251.0,2650251.0,11.09.2017,Ремонт фасада,2393.3,"2650,25000",1107.3626373626373,0.0
6183733,77701000,118,Чукотский автономный округ,10,3837432.0,3837432.0,11.09.2017,Ремонт фасада,2548.2,"3837,43000",1505.938309394867,0.0
6183740,77701000,113,Чукотский автономный округ,10,1145861.0,1145861.0,11.09.2017,Ремонт фасада,1413.1,"1145,86000",810.8845800014154,0.0
6183753,77701000,114,Чукотский автономный округ,10,1005947.0,1005947.0,11.09.2017,Ремонт фасада,1422.0,"1005,95000",707.4170182841069,0.0
6184689,77630000,849,Чукотский автономный округ,10,5536077.0,5536077.0,,Ремонт фасада,836.1,"534,27000",6621.309651955507,0.0
6183382,77701000,75,Чукотский автономный округ,10,2330392.0,2330392.0,11.09.2017,Ремонт фасада,2158.5,"2330,39000",1079.6349316655085,0.0
6183201,77701000,50,Чукотский автономный округ,10,2258862.0,2258862.0,11.09.2017,Ремонт фасада,2126.7,"2258,86000",1062.1441670193258,0.0
6182908,77701000,7,Чукотский автономный округ,10,1792590.0,1792590.0,11.09.2017,Ремонт фасада,2151.5,"1792,59000",833.181501278178,0.0
6183172,77701000,47,Чукотский автономный округ,10,3443600.0,3443600.0,11.09.2017,Ремонт фасада,2106.8,"3443,60000",1634.516802734004,0.0
6180564,77603000,185,Чукотский автономный округ,10,6492587.0,6492587.0,27.07.2015,Ремонт фасада,3498.7,"7717,94000",1855.7141223883157,0.0
6180588,77603000,186,Чукотский автономный округ,10,15272228.0,15272228.0,29.09.2015,Ремонт фасада,3560.6,"16665,88000",4289.228781666012,0.0
6180675,77603000,230,Чукотский автономный округ,10,1504795.0,1504795.0,31.10.2018,Ремонт фасада,2139.8,"412,41000",703.2409570987942,0.0
6180809,77603000,246,Чукотский автономный округ,10,1145494.0,1145494.0,31.10.2018,Ремонт фасада,1406.1,"247,42000",814.6604082213214,0.0
6180861,77603000,255,Чукотский автономный округ,10,2018997.0,2018997.0,31.10.2018,Ремонт фасада,2101.0,"344,98000",960.969538315088,0.0
6180889,77603000,249,Чукотский автономный округ,10,2107143.0,2107143.0,31.10.2018,Ремонт фасада,2143.3,"2468,03000",983.130219754584,0.0
6180904,77603000,250,Чукотский автономный округ,10,1694295.0,1694295.0,31.10.2018,Ремонт фасада,2160.4,"344,68000",784.2506017404185,0.0
6182896,77701000,6,Чукотский автономный округ,10,2205555.0,2205555.0,11.09.2017,Ремонт фасада,2075.9,"2205,56000",1062.4572474589334,0.0
6185632,77620000,527,Чукотский автономный округ,10,3633811.0,3633811.0,19.12.2018,Ремонт фасада,646.9,"2455,92000",5617.26851136188,0.0
6182923,77701000,8,Чукотский автономный округ,10,2176413.0,2176413.0,11.09.2017,Ремонт фасада,2133.2,"2176,41000",1020.2573598349898,0.0
6183028,77701000,28,Чукотский автономный округ,10,1957879.0,1957879.0,11.09.2017,Ремонт фасада,1617.9,"1957,88000",1210.1359787378701,0.0
6183039,77701000,30,Чукотский автономный округ,10,1950893.0,1950893.0,11.09.2017,Ремонт фасада,1429.7,"2425,75000",1364.54710778485,0.0
