,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6496263,99605000,6795200008,Еврейская автономная область,11,513434.4,0.0,,Ремонт фундаментов,704.4,,0.0,1.0
6502857,99620000,6791000068,Еврейская автономная область,9,6007852.92,0.0,,Ремонт фундаментов,4423.5,,0.0,1.0
6502977,99620000,6791000083,Еврейская автономная область,9,2153625.73,0.0,,Ремонт фундаментов,1192.4,,0.0,1.0
6502971,99620000,6791000083,Еврейская автономная область,11,609484.8,0.0,,Ремонт фундаментов,1192.4,,0.0,1.0
6502967,99620000,6791000234,Еврейская автономная область,9,1691212.36,0.0,,Ремонт фундаментов,865.7,,0.0,1.0
6502959,99620000,6791000233,Еврейская автономная область,9,1689451.9,0.0,,Ремонт фундаментов,863.8,,0.0,1.0
6502950,99620000,6791000078,Еврейская автономная область,9,2718732.43,0.0,,Ремонт фундаментов,2321.9,,0.0,1.0
6502936,99620000,6791000077,Еврейская автономная область,11,710817.6,0.0,,Ремонт фундаментов,1037.9,,0.0,1.0
6502934,99620000,6791000076,Еврейская автономная область,9,6007852.92,0.0,,Ремонт фундаментов,5420.0,,0.0,1.0
6502922,99620000,6791000075,Еврейская автономная область,9,3614805.04,0.0,,Ремонт фундаментов,1179.4,,0.0,1.0
6502909,99620000,6791000074,Еврейская автономная область,9,3614805.04,0.0,,Ремонт фундаментов,1187.7,,0.0,1.0
6502899,99620000,6791000073,Еврейская автономная область,9,4100104.35,0.0,,Ремонт фундаментов,2456.0,,0.0,1.0
6502898,99620000,6791000073,Еврейская автономная область,11,1696022.4,0.0,,Ремонт фундаментов,2456.0,,0.0,1.0
6502892,99620000,6791000072,Еврейская автономная область,11,2505420.0,0.0,,Ремонт фундаментов,4579.8,,0.0,1.0
6502891,99620000,6791000072,Еврейская автономная область,9,4283778.7,0.0,,Ремонт фундаментов,4579.8,,0.0,1.0
6502887,99620000,6791000071,Еврейская автономная область,11,2004261.6,0.0,,Ремонт фундаментов,4008.4,,0.0,1.0
6502879,99620000,6791000071,Еврейская автономная область,9,5484410.37,0.0,,Ремонт фундаментов,4008.4,,0.0,1.0
6502876,99620000,6791000070,Еврейская автономная область,11,2936419.2,0.0,,Ремонт фундаментов,5405.7,,0.0,1.0
6502872,99620000,6791000070,Еврейская автономная область,9,6007852.92,0.0,,Ремонт фундаментов,5405.7,,0.0,1.0
