,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
627014,24620000,29896,Ивановская область,9,184688.0,2269699.32,12.04.2018,Ремонт фундаментов,3503.0,"1072,95416",647.9301512988866,1128.937083080655
617629,24701000,18869,Ивановская область,11,560918.0,5584670.91,12.12.2017,Ремонт фундаментов,967.1,"2846,93786",5774.65712956261,895.6305395797604
631439,24635000,52574,Ивановская область,11,572235.3,687510.15,,Ремонт фундаментов,1070.0,"18,41017",642.5328504672898,20.144659024006373
628832,24629000,50393,Ивановская область,11,135894.0,150548.28,,Ремонт фундаментов,186.5,"6,02193",807.2293833780161,10.783610755441742
626423,24617000,52895,Ивановская область,11,325844.0,353790.81,06.10.2015,Ремонт фундаментов,561.8,"361,12410",629.7451228195088,8.5767453137084
630519,24633000,52800,Ивановская область,11,330232.14,340225.31,,Ремонт фундаментов,513.9,"15,53207",662.0457482000389,3.026104606293001
631161,24635000,52609,Ивановская область,11,95120.0,94795.79,28.02.2018,Ремонт фундаментов,164.9,"98,91932",574.8683444511825,-0.3408431455004246
610310,24601000,49708,Ивановская область,11,166818.96,165383.93,03.09.2018,Ремонт фундаментов,260.2,"164,60156",635.6031129900077,-0.8602319544492976
626432,24617000,52893,Ивановская область,11,248240.0,240866.44,02.12.2016,Ремонт фундаментов,428.0,"248,05257",562.7720560747664,-2.970335159523041
623861,24607000,50190,Ивановская область,11,302921.64,289286.13,04.10.2017,Ремонт фундаментов,471.4,"143,04662",613.6744378447179,-4.501332423791182
631046,24635000,52516,Ивановская область,11,289768.0,275709.52,26.02.2018,Ремонт фундаментов,499.1,"284,52342",552.4133840913645,-4.8516330305623745
631293,24635000,52607,Ивановская область,11,145754.0,135230.43,26.02.2018,Ремонт фундаментов,251.1,"141,01119",538.5520908004779,-7.220090014682279
625197,24613000,51046,Ивановская область,9,121569.0,108796.84,07.11.2016,Ремонт фундаментов,1885.57,"113,09510",57.699708841358316,-10.506099416792114
610607,24603000,50615,Ивановская область,11,65888.0,58245.12,01.10.2015,Ремонт фундаментов,113.6,"60,20629",512.7211267605634,-11.59980573093734
631159,24635000,52540,Ивановская область,11,610160.0,521996.3,27.02.2018,Ремонт фундаментов,1052.0,"532,38310",496.19420152091254,-14.44927559984267
631451,24635000,52568,Ивановская область,11,162400.0,135113.18,08.09.2017,Ремонт фундаментов,280.0,"140,83616",482.5470714285714,-16.80222906403941
628796,24629000,50389,Ивановская область,11,245920.0,203889.87,24.10.2017,Ремонт фундаментов,424.0,"212,61033",480.87233490566035,-17.090976740403384
629143,24629000,50479,Ивановская область,11,313838.0,258659.88,04.11.2015,Ремонт фундаментов,541.1,"269,55102",478.0260210681944,-17.581720505483723
610502,24603000,50560,Ивановская область,11,123888.0,98485.69,01.10.2015,Ремонт фундаментов,213.6,"102,75734",461.07532771535585,-20.50425384218003
610802,24603000,50652,Ивановская область,11,273296.0,216026.24,16.11.2017,Ремонт фундаментов,471.7,"284,90180",457.9737969048124,-20.955213395000293
630887,24635000,52508,Ивановская область,11,283620.0,221738.3,31.07.2018,Ремонт фундаментов,489.0,"226,69538",453.4525562372188,-21.81852478668641
630880,24635000,52518,Ивановская область,11,294060.0,224022.97,02.08.2018,Ремонт фундаментов,507.0,"147,15597",441.85990138067064,-23.817258382643004
610523,24603000,50598,Ивановская область,11,44718.0,32828.76,03.11.2016,Ремонт фундаментов,77.1,"34,43529",425.79455252918297,-26.587146115658122
623717,24607000,50155,Ивановская область,11,306455.94,208518.9,08.08.2017,Ремонт фундаментов,476.9,"217,14616",437.2382050744391,-31.957951280043716
626253,24615000,47907,Ивановская область,11,179046.0,121476.65,28.10.2016,Ремонт фундаментов,311.4,"126,85638",390.0984264611432,-32.15338516358924
625120,24613000,51084,Ивановская область,11,181714.0,121660.69,02.12.2016,Ремонт фундаментов,313.3,"128,75902",388.3201085221832,-33.04825715134773
620043,24705000,48808,Ивановская область,9,437841.6,290532.68,07.12.2016,Ремонт фундаментов,3148.6,"295,67590",92.27360731753795,-33.64434078442981
627458,24621000,48037,Ивановская область,11,260000.0,172242.82,24.11.2016,Ремонт фундаментов,422.7,"175,34138",407.48242252188317,-33.75276153846154
610195,24601000,49684,Ивановская область,11,335065.0,221366.19,01.11.2018,Ремонт фундаментов,461.0,"225,76715",480.18696312364426,-33.9333591989614
624443,24611000,47658,Ивановская область,11,528554.0,347659.7,16.05.2016,Ремонт фундаментов,911.3,"359,87658",381.49862833315046,-34.224374425318885
630831,24635000,52629,Ивановская область,11,256824.0,157229.3,31.07.2018,Ремонт фундаментов,446.8,"179,27121",351.9008504923903,-38.7793586269196
623854,24607000,50186,Ивановская область,11,293640.04,175328.27,25.01.2018,Ремонт фундаментов,455.4,"179,42265",384.9983970136144,-40.29142960203929
610575,24603000,50614,Ивановская область,11,132530.0,77526.27,01.10.2015,Ремонт фундаментов,228.5,"80,98165",339.2834573304158,-41.502852184411076
630928,24635000,52615,Ивановская область,11,220806.0,123823.19,05.11.2015,Ремонт фундаментов,380.7,"129,16301",325.2513527712109,-43.92218055668777
