,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1535447,30701000,4102119,Камчатский край,11,3362621.0,887049.04,,Ремонт фундаментов,1818.2,"5694,88000",487.8720932790672,-73.62030868182885
1519691,30601000,4100001,Камчатский край,11,,,,Ремонт фундаментов,522.5,"2100,74100",,
1519703,30601000,4100003,Камчатский край,11,,,,Ремонт фундаментов,533.8,"101,22500",,
1519720,30601000,4100004,Камчатский край,11,,,,Ремонт фундаментов,547.1,"57,94200",,
1519722,30601000,4100006,Камчатский край,11,,,,Ремонт фундаментов,542.8,"101,31400",,
1519737,30601000,4100008,Камчатский край,11,,,,Ремонт фундаментов,1090.9,"0,00000",,
1519745,30601000,4100009,Камчатский край,11,,,,Ремонт фундаментов,1177.3,"0,00000",,
1519752,30601000,4100010,Камчатский край,11,,,,Ремонт фундаментов,955.7,"121,93000",,
1519770,30601000,4100011,Камчатский край,11,,,,Ремонт фундаментов,538.3,"99,46800",,
1519781,30601000,4100012,Камчатский край,11,,,,Ремонт фундаментов,583.1,"57,88100",,
1519784,30601000,4100013,Камчатский край,11,,,,Ремонт фундаментов,584.5,"57,89100",,
1519845,30601000,4100022,Камчатский край,11,,,,Ремонт фундаментов,868.2,"45,80000",,
1519856,30601000,4100023,Камчатский край,11,,,,Ремонт фундаментов,826.4,"0,00000",,
1519860,30604000,4100024,Камчатский край,11,,,,Ремонт фундаментов,806.3,"88,59700",,
1519870,30604000,4100025,Камчатский край,11,,,,Ремонт фундаментов,524.4,"83,99000",,
1519900,30604000,4100049,Камчатский край,11,,,,Ремонт фундаментов,776.9,"0,00000",,
1519922,30604000,4100027,Камчатский край,11,,,,Ремонт фундаментов,544.9,"0,00000",,
1519930,30604000,4100028,Камчатский край,11,,,,Ремонт фундаментов,540.7,"58,49800",,
1519944,30604000,4100030,Камчатский край,11,,,,Ремонт фундаментов,526.3,"2585,73600",,
1519953,30604000,4100031,Камчатский край,11,,,,Ремонт фундаментов,541.7,"2337,12800",,
1519958,30604000,4100032,Камчатский край,11,,,,Ремонт фундаментов,538.9,"2790,26614",,
1519965,30604000,4100033,Камчатский край,11,,,,Ремонт фундаментов,542.1,"0,00000",,
1519971,30604000,4100034,Камчатский край,11,,,,Ремонт фундаментов,538.8,"444,89651",,
1519994,30604000,4100036,Камчатский край,11,,,,Ремонт фундаментов,829.2,"0,00000",,
1520000,30604000,4100037,Камчатский край,11,,,,Ремонт фундаментов,800.8,"0,00000",,
1520019,30604000,4100039,Камчатский край,11,,,,Ремонт фундаментов,804.1,"0,00000",,
1520020,30604000,4100040,Камчатский край,11,,,,Ремонт фундаментов,521.3,"441,41244",,
1520035,30604000,4100041,Камчатский край,11,,,,Ремонт фундаментов,535.6,"3212,78087",,
1520046,30604000,4100042,Камчатский край,11,,,,Ремонт фундаментов,533.9,"3839,30973",,
1520057,30604000,4100043,Камчатский край,11,,,,Ремонт фундаментов,534.3,"3888,15533",,
1520070,30604000,4100044,Камчатский край,11,,,,Ремонт фундаментов,532.2,"0,00000",,
1520264,30735000,4100059,Камчатский край,11,,,,Ремонт фундаментов,2787.7,"4408,14086",,
1520274,30735000,4100060,Камчатский край,11,,,,Ремонт фундаментов,3404.3,"0,00000",,
1520287,30735000,4100063,Камчатский край,11,,,,Ремонт фундаментов,2142.3,"0,00000",,
1520308,30735000,4100065,Камчатский край,11,,,,Ремонт фундаментов,3009.3,"9426,38547",,
1520336,30735000,4100070,Камчатский край,11,,,,Ремонт фундаментов,2464.1,"0,00000",,
1520341,30735000,4100071,Камчатский край,11,,,,Ремонт фундаментов,3193.7,"794,85586",,
1520355,30735000,4100072,Камчатский край,11,,,,Ремонт фундаментов,3350.2,"724,59157",,
1520360,30735000,4100073,Камчатский край,11,,,,Ремонт фундаментов,3183.2,"14880,39553",,
1520391,30735000,4100079,Камчатский край,11,,,,Ремонт фундаментов,2136.5,"0,00000",,
1520438,30735000,4100086,Камчатский край,11,,,,Ремонт фундаментов,1620.8,"0,00000",,
1520474,30735000,4100092,Камчатский край,11,,,,Ремонт фундаментов,4392.2,"13719,22100",,
1520480,30735000,4100093,Камчатский край,11,,,,Ремонт фундаментов,4353.1,"121,58000",,
1520485,30735000,4100094,Камчатский край,11,,,,Ремонт фундаментов,4334.9,"0,00000",,
1520492,30735000,4100095,Камчатский край,11,,,,Ремонт фундаментов,3426.0,"345,37500",,
1520506,30735000,4100096,Камчатский край,11,,,,Ремонт фундаментов,3598.4,"3354,08800",,
1520508,30735000,4100097,Камчатский край,11,,,,Ремонт фундаментов,2782.6,"0,00000",,
1520516,30735000,4100098,Камчатский край,11,,,,Ремонт фундаментов,3420.0,"2594,99300",,
1520531,30735000,4100099,Камчатский край,11,,,,Ремонт фундаментов,3403.5,"8030,11269",,
1520540,30735000,4100100,Камчатский край,11,,,,Ремонт фундаментов,4686.0,"8589,87256",,
1520544,30735000,4100101,Камчатский край,11,,,,Ремонт фундаментов,4664.6,"14734,44161",,
1520556,30735000,4100102,Камчатский край,11,,,,Ремонт фундаментов,1628.9,"3125,13530",,
1520562,30735000,4100103,Камчатский край,11,,,,Ремонт фундаментов,2197.9,"5517,23500",,
1520571,30735000,4100104,Камчатский край,11,,,,Ремонт фундаментов,2178.1,"7904,08144",,
1520582,30735000,4100105,Камчатский край,11,,,,Ремонт фундаментов,2183.8,"8225,07700",,
1520591,30735000,4100106,Камчатский край,11,,,,Ремонт фундаментов,2773.8,"0,00000",,
1520599,30735000,4100107,Камчатский край,11,,,,Ремонт фундаментов,1641.2,"5658,66100",,
1520601,30735000,4100108,Камчатский край,11,,,,Ремонт фундаментов,2179.9,"2430,92900",,
1520611,30735000,4100109,Камчатский край,11,,,,Ремонт фундаментов,1661.3,"2336,17776",,
1520627,30735000,4100111,Камчатский край,11,,,,Ремонт фундаментов,2164.6,"3321,39605",,
1520634,30735000,4100112,Камчатский край,11,,,,Ремонт фундаментов,2180.3,"2070,26383",,
1520649,30735000,4100113,Камчатский край,11,,,,Ремонт фундаментов,2184.0,"3891,75283",,
1520657,30735000,4100114,Камчатский край,11,,,,Ремонт фундаментов,2254.9,"190,77400",,
1520665,30735000,4100115,Камчатский край,11,,,,Ремонт фундаментов,2184.6,"0,00000",,
1520674,30735000,4100117,Камчатский край,11,,,,Ремонт фундаментов,2162.4,"0,00000",,
1520679,30735000,4100120,Камчатский край,11,,,,Ремонт фундаментов,2787.7,"4470,51100",,
1520688,30735000,4100121,Камчатский край,11,,,,Ремонт фундаментов,1369.3,"0,00000",,
1520697,30735000,4100122,Камчатский край,11,,,,Ремонт фундаментов,4607.9,"6157,40700",,
1520702,30735000,4100123,Камчатский край,11,,,,Ремонт фундаментов,4608.0,"5394,02600",,
1520709,30735000,4100124,Камчатский край,11,,,,Ремонт фундаментов,3016.2,"0,00000",,
1520773,30735000,4100133,Камчатский край,11,,,,Ремонт фундаментов,3039.2,"0,00000",,
1520800,30735000,4100138,Камчатский край,11,,,,Ремонт фундаментов,4858.0,"0,00000",,
1520812,30735000,4100139,Камчатский край,11,,,,Ремонт фундаментов,6032.4,"0,00000",,
1520814,30735000,4100140,Камчатский край,11,,,,Ремонт фундаментов,3008.6,"0,00000",,
1520820,30735000,4100141,Камчатский край,11,,,,Ремонт фундаментов,6368.0,"0,00000",,
1520844,30735000,4100144,Камчатский край,11,,,,Ремонт фундаментов,3033.7,"0,00000",,
