,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
336378,11851000,2300300,Ненецкий автономный округ,11,1313425.13,1976324.7,21.11.2016,Ремонт фундаментов,559.8,"8643,88836",3530.4121114683817,50.47105882617002
335756,11851000,1205411,Ненецкий автономный округ,11,1346352.19,1884205.61,08.12.2017,Ремонт фундаментов,603.2,"12223,11951",3123.6830404509283,39.94893936333257
336218,11851000,2101111,Ненецкий автономный округ,11,3953473.62,4681041.93,10.10.2017,Ремонт фундаментов,792.2,"14459,33839",5908.914327190103,18.40326709957911
335733,11851000,1205212,Ненецкий автономный округ,11,3880607.51,3885296.68,20.12.2016,Ремонт фундаментов,637.0,"22025,82218",6099.366844583988,0.12083597704526383
335524,11851000,1202800,Ненецкий автономный округ,11,1539012.68,1539012.68,18.12.2018,Ремонт фундаментов,485.2,"6541,53607",3171.9140148392416,0.0
334842,11851000,200100,Ненецкий автономный округ,11,4912891.03,4759295.38,19.12.2016,Ремонт фундаментов,837.4,"16164,46674",5683.419369476953,-3.1263801509556433
334824,11851000,5700300,Ненецкий автономный округ,11,3405475.64,3062898.51,24.11.2017,Ремонт фундаментов,523.7,"8563,22417",5848.574584685888,-10.059597137508824
335157,11851000,602400,Ненецкий автономный округ,11,3421147.64,2876905.63,24.11.2017,Ремонт фундаментов,528.5,"9941,94784",5443.53004730369,-15.908170803175281
335142,11851000,602100,Ненецкий автономный округ,11,3443422.87,2848641.47,24.11.2017,Ремонт фундаментов,525.7,"9918,40416",5418.75874072665,-17.27297002008934
334807,11851000,5700200,Ненецкий автономный округ,11,3419152.16,2746641.95,15.09.2017,Ремонт фундаментов,540.1,"9887,94010",5085.432234771339,-19.66891727918888
334804,11851000,5700100,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,520.4,"0,00000",,
334810,11851000,5700200,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,540.1,"9887,94010",,
334828,11851000,5700300,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,523.7,"8563,22417",,
334829,11851000,5700500,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,586.5,"0,00000",,
334845,11851000,200100,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,837.4,"16164,46674",,
334858,11851000,201000,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,583.6,"0,00000",,
334862,11851000,201000,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,583.6,"0,00000",,
334864,11851000,201200,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,852.7,"0,00000",,
334871,11851000,201200,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,852.7,"0,00000",,
334874,11851000,201300,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,2596.2,"0,00000",,
334881,11851000,200200,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,803.0,"0,00000",,
334886,11851000,200200,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,803.0,"0,00000",,
334893,11851000,200400,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,825.3,"0,00000",,
334899,11851000,200400,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,825.3,"0,00000",,
334901,11851000,200600,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,574.7,"0,00000",,
334907,11851000,200600,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,574.7,"0,00000",,
334920,11851000,200800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,581.5,"0,00000",,
334926,11851000,200800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,581.5,"0,00000",,
334930,11851000,200900,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,580.0,"0,00000",,
334936,11851000,200900,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,580.0,"0,00000",,
334947,11851000,4201000,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,581.4,"0,00000",,
334953,11851000,4201000,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,581.4,"0,00000",,
334960,11851000,4200200,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,994.5,"0,00000",,
334967,11851000,4200200,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,994.5,"0,00000",,
334975,11851000,4200400,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,535.8,"1381,02338",,
334979,11851000,4200500,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,555.7,"0,00000",,
334987,11851000,4200500,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,555.7,"0,00000",,
334992,11851000,4200700,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,554.7,"0,00000",,
334997,11851000,4200700,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,554.7,"0,00000",,
335008,11851000,4200800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,576.4,"0,00000",,
335009,11851000,4200800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,576.4,"0,00000",,
335015,11851000,4200900,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,581.9,"0,00000",,
335020,11851000,4200900,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,581.9,"0,00000",,
335026,11851000,6400200,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,10874.9,"0,00000",,
335032,11851000,6400300,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,3117.4,"0,00000",,
335039,11851000,6400600,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,8251.2,"0,00000",,
335044,11851000,6400800,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,6611.4,"0,00000",,
335047,11851000,9402121,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,2133.3,"0,00000",,
335051,11851000,9402122,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,2153.7,"0,00000",,
335056,11851000,9402123,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,2147.4,"0,00000",,
335058,11851000,102200,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,6141.8,"0,00000",,
335065,11851000,102421,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,2264.2,"0,00000",,
335070,11851000,102422,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,2277.7,"0,00000",,
335075,11851000,102600,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,3881.2,"0,00000",,
335083,11851000,100300,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,413.7,"0,00000",,
335092,11851000,100500,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,433.0,"0,00000",,
335104,11851000,100500,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,433.0,"0,00000",,
335110,11851000,100800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,589.1,"0,00000",,
335118,11851000,100800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,589.1,"0,00000",,
335119,11851000,601100,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,1040.5,"0,00000",,
335126,11851000,601300,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,560.3,"0,00000",,
335133,11851000,601600,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,1040.5,"0,00000",,
335138,11851000,602100,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,525.7,"9918,40416",,
335153,11851000,602400,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,528.5,"9941,94784",,
335167,11851000,600400,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,630.9,"0,00000",,
335175,11851000,702100,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,635.4,"0,00000",,
335184,11851000,702300,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,920.0,"0,00000",,
335186,11851000,702300,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,920.0,"0,00000",,
335196,11851000,4900100,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,830.0,"0,00000",,
335199,11851000,4900100,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,830.0,"0,00000",,
335205,11851000,4901000,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,573.0,"0,00000",,
335209,11851000,4901200,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,848.8,"0,00000",,
335229,11851000,4900200,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,796.2,"0,00000",,
335236,11851000,4900400,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,843.2,"0,00000",,
335247,11851000,4904311,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,1068.6,"0,00000",,
335251,11851000,4904600,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,586.3,"0,00000",,
335257,11851000,4904600,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,586.3,"0,00000",,
335263,11851000,4904800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,882.0,"0,00000",,
335270,11851000,4904811,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,815.0,"0,00000",,
335272,11851000,4904811,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,815.0,"0,00000",,
335285,11851000,4904812,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,823.0,"0,00000",,
335293,11851000,4904813,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,845.3,"0,00000",,
335297,11851000,4904814,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,824.5,"0,00000",,
335311,11851000,4904815,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,836.6,"0,00000",,
335318,11851000,4900800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,578.1,"0,00000",,
335321,11851000,5000100,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,1245.0,"0,00000",,
335326,11851000,5000100,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,1245.0,"0,00000",,
335331,11851000,5000200,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,865.4,"0,00000",,
335335,11851000,5000200,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,865.4,"0,00000",,
335339,11851000,5000300,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,1234.2,"0,00000",,
335341,11851000,5000300,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,1234.2,"0,00000",,
335346,11851000,5000311,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,1259.2,"0,00000",,
335350,11851000,5000400,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,842.9,"0,00000",,
335355,11851000,5000400,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,842.9,"0,00000",,
335359,11851000,5000500,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,751.8,"0,00000",,
335361,11851000,5000500,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,751.8,"0,00000",,
335369,11851000,5000511,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,595.4,"0,00000",,
335379,11851000,5000800,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,800.6,"0,00000",,
335386,11851000,5000900,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,4070.9,"0,00000",,
335391,11851000,3300700,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,11959.1,"0,00000",,
335400,11851000,5500300,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,1012.5,"0,00000",,
335403,11851000,5500400,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,1883.6,"0,00000",,
335419,11851000,5500500,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,833.0,"0,00000",,
335426,11851000,5500600,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,806.1,"0,00000",,
335436,11851000,5500800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,795.5,"0,00000",,
335444,11851000,7200400,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,11897.5,"0,00000",,
335453,11851000,1201600,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,861.5,"0,00000",,
335456,11851000,1201600,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,861.5,"0,00000",,
335458,11851000,1201800,Ненецкий автономный округ,11,0.0,,,Ремонт фундаментов,655.2,"0,00000",,
335461,11851000,1201800,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,655.2,"0,00000",,
335470,11851000,1201900,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,6752.6,"0,00000",,
335483,11851000,1202111,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,9632.7,"0,00000",,
335490,11851000,1202311,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,10073.3,"0,00000",,
335501,11851000,1202700,Ненецкий автономный округ,9,0.0,,,Ремонт фундаментов,4777.8,"0,00000",,
