,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5984397,84701000,39638,Республика Алтай,9,114667.0,114667.4,03.08.2016,Ремонт фундаментов,3920.5,"5532,30400",29.248157122815964,0.00034883619524084253
5985133,84615000,39455,Республика Алтай,11,53602.0,53602.0,25.12.2014,Ремонт фундаментов,1000.3,"2731,16775",53.58592422273318,0.0
5985500,84615000,39508,Республика Алтай,11,106553.0,106553.0,25.12.2014,Ремонт фундаментов,994.4,"2319,15310",107.15305711987128,0.0
5985984,84650000,39376,Республика Алтай,11,315180.0,10000.0,,Ремонт фундаментов,1766.48,"861,36210",5.660975499298039,-96.82720984834063
5985986,84650000,39377,Республика Алтай,11,457540.0,10000.0,,Ремонт фундаментов,2429.67,"0,00000",4.115785271250828,-97.81439874109368
5985971,84650000,39375,Республика Алтай,11,525700.0,10000.0,,Ремонт фундаментов,2939.47,"0,00000",3.401973825213389,-98.09777439604336
5982603,84701000,39709,Республика Алтай,9,791889.0,,,Ремонт фундаментов,3441.5,"0,00000",,
5982608,84701000,39709,Республика Алтай,11,3422228.0,,,Ремонт фундаментов,3441.5,"0,00000",,
5982611,84701000,39510,Республика Алтай,9,344141.0,,,Ремонт фундаментов,1944.3,"1987,32400",,
5982613,84701000,39510,Республика Алтай,11,1933412.0,,,Ремонт фундаментов,1944.3,"1987,32400",,
5982622,84701000,39765,Республика Алтай,11,2393322.0,,,Ремонт фундаментов,2406.8,"0,00000",,
5982624,84701000,39765,Республика Алтай,9,568005.0,,,Ремонт фундаментов,2406.8,"0,00000",,
5982630,84701000,39511,Республика Алтай,11,3464987.0,,,Ремонт фундаментов,3484.5,"0,00000",,
5982635,84701000,39511,Республика Алтай,9,596198.0,,,Ремонт фундаментов,3484.5,"0,00000",,
5982643,84701000,39512,Республика Алтай,11,1547802.0,,,Ремонт фундаментов,666.9,"0,00000",,
5982647,84701000,39513,Республика Алтай,11,4057274.0,,,Ремонт фундаментов,1831.4,"0,00000",,
5982650,84701000,39513,Республика Алтай,9,848030.0,,,Ремонт фундаментов,1831.4,"0,00000",,
5982654,84701000,39514,Республика Алтай,9,119405.0,,,Ремонт фундаментов,290.1,"0,00000",,
5982655,84701000,39514,Республика Алтай,11,535572.0,,,Ремонт фундаментов,290.1,"0,00000",,
5982664,84701000,39515,Республика Алтай,11,3120255.0,,,Ремонт фундаментов,3210.8,"0,00000",,
5982669,84701000,39515,Республика Алтай,9,549368.0,,,Ремонт фундаментов,3210.8,"0,00000",,
5982675,84701000,39704,Республика Алтай,9,639908.0,,,Ремонт фундаментов,2781.0,"0,00000",,
5982679,84701000,39704,Республика Алтай,11,2765426.0,,,Ремонт фундаментов,2781.0,"0,00000",,
5982682,84701000,39516,Республика Алтай,11,6663438.0,,,Ремонт фундаментов,6856.8,"0,00000",,
5982684,84701000,39516,Республика Алтай,9,1132743.0,,,Ремонт фундаментов,6856.8,"0,00000",,
5982694,84701000,39517,Республика Алтай,11,2665310.0,,,Ремонт фундаментов,1742.4,"1646,30000",,
5982696,84701000,39517,Республика Алтай,9,179816.0,,,Ремонт фундаментов,1742.4,"1646,30000",,
5982699,84701000,39742,Республика Алтай,11,5765323.0,,,Ремонт фундаментов,2484.1,"0,00000",,
5982712,84701000,39743,Республика Алтай,11,8749987.0,,,Ремонт фундаментов,3770.1,"0,00000",,
5982718,84701000,39744,Республика Алтай,11,4309893.0,,,Ремонт фундаментов,1857.0,"0,00000",,
5982727,84701000,39667,Республика Алтай,11,7927774.0,,,Ремонт фундаментов,6448.7,"2638,15000",,
5982729,84701000,39667,Республика Алтай,9,521829.0,,,Ремонт фундаментов,6448.7,"2638,15000",,
5982736,84701000,39518,Республика Алтай,11,1282956.0,,,Ремонт фундаментов,784.6,"2188,73700",,
5982742,84701000,39668,Республика Алтай,9,610353.0,,,Ремонт фундаментов,2873.6,"0,00000",,
5982747,84701000,39668,Республика Алтай,11,2857508.0,,,Ремонт фундаментов,2873.6,"0,00000",,
5982753,84701000,39519,Республика Алтай,11,1141561.0,,,Ремонт фундаментов,721.4,"2186,35500",,
5982764,84701000,39520,Республика Алтай,11,1179856.0,,,Ремонт фундаментов,745.6,"2208,24500",,
5982765,84701000,39521,Республика Алтай,11,1262353.0,,,Ремонт фундаментов,772.0,"2346,74000",,
5982776,84701000,39522,Республика Алтай,11,854378.0,,,Ремонт фундаментов,522.5,"1518,87100",,
5982785,84701000,39523,Республика Алтай,11,1193839.0,,,Ремонт фундаментов,730.1,"0,00000",,
5982796,84701000,39524,Республика Алтай,9,896475.0,,,Ремонт фундаментов,6606.3,"0,00000",,
5982798,84701000,39524,Республика Алтай,11,4926979.0,,,Ремонт фундаментов,6606.3,"0,00000",,
5982802,84701000,39525,Республика Алтай,11,3092168.0,,,Ремонт фундаментов,4413.6,"2862,21000",,
5982809,84701000,39525,Республика Алтай,9,598926.0,,,Ремонт фундаментов,4413.6,"2862,21000",,
5982810,84701000,39526,Республика Алтай,11,996896.0,,,Ремонт фундаментов,726.9,"0,00000",,
5982819,84701000,39528,Республика Алтай,11,4342726.0,,,Ремонт фундаментов,4803.9,"0,00000",,
5982823,84701000,39528,Республика Алтай,9,708575.0,,,Ремонт фундаментов,4803.9,"0,00000",,
