,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1713344,26710000,100503,Республика Ингушетия,11,590964.0,0.0,,Ремонт фундаментов,1597.2,"0,00000",0.0,-100.0
1714607,26715000,312804,Республика Ингушетия,9,1646658.0,0.0,,Ремонт фундаментов,3603.2,"0,00000",0.0,-100.0
1714598,26715000,312803,Республика Ингушетия,11,1029832.1,0.0,,Ремонт фундаментов,2754.56,"0,00000",0.0,-100.0
1714595,26715000,312802,Республика Ингушетия,9,2214813.6,0.0,,Ремонт фундаментов,5785.6,"0,00000",0.0,-100.0
1714588,26715000,312802,Республика Ингушетия,11,1615464.4,0.0,,Ремонт фундаментов,5785.6,"0,00000",0.0,-100.0
1714586,26715000,312801,Республика Ингушетия,9,866574.0,0.0,,Ремонт фундаментов,2006.6,"0,00000",0.0,-100.0
1714585,26715000,312801,Республика Ингушетия,11,632071.0,0.0,,Ремонт фундаментов,2006.6,"0,00000",0.0,-100.0
1714575,26715000,312809,Республика Ингушетия,11,1803701.9,0.0,,Ремонт фундаментов,4692.65,"0,00000",0.0,-100.0
1714568,26715000,312809,Республика Ингушетия,9,2472888.6,0.0,,Ремонт фундаментов,4692.65,"0,00000",0.0,-100.0
1714565,26715000,312808,Республика Ингушетия,11,1641512.4,0.0,,Ремонт фундаментов,4315.5,"0,00000",0.0,-100.0
1714560,26715000,312808,Республика Ингушетия,9,2250525.6,0.0,,Ремонт фундаментов,4315.5,"0,00000",0.0,-100.0
1714554,26715000,312807,Республика Ингушетия,9,2087199.0,0.0,,Ремонт фундаментов,5651.1,"0,00000",0.0,-100.0
1714553,26715000,312807,Республика Ингушетия,11,1522383.5,0.0,,Ремонт фундаментов,5651.1,"0,00000",0.0,-100.0
1714547,26715000,312806,Республика Ингушетия,11,1483433.6,0.0,,Ремонт фундаментов,4445.0,"0,00000",0.0,-100.0
1714546,26715000,312806,Республика Ингушетия,9,2033798.4,0.0,,Ремонт фундаментов,4445.0,"0,00000",0.0,-100.0
1714540,26715000,312602,Республика Ингушетия,11,1074154.4,0.0,,Ремонт фундаментов,3906.0,"3,00000",0.0,-100.0
1714530,26715000,312601,Республика Ингушетия,11,1031745.0,0.0,,Ремонт фундаментов,4032.0,"0,00000",0.0,-100.0
1714524,26715000,312601,Республика Ингушетия,9,1414530.0,0.0,,Ремонт фундаментов,4032.0,"0,00000",0.0,-100.0
1714520,26715000,312305,Республика Ингушетия,9,2611663.2,0.0,,Ремонт фундаментов,6195.2,"0,00000",0.0,-100.0
1714513,26715000,312305,Республика Ингушетия,11,1904922.8,0.0,,Ремонт фундаментов,6195.2,"0,00000",0.0,-100.0
1714511,26715000,312304,Республика Ингушетия,11,1264589.7,0.0,,Ремонт фундаментов,4318.0,"0,00000",0.0,-100.0
1714510,26715000,312304,Республика Ингушетия,9,1733761.8,0.0,,Ремонт фундаментов,4318.0,"0,00000",0.0,-100.0
1714498,26715000,312303,Республика Ингушетия,9,872767.8,0.0,,Ремонт фундаментов,2011.68,"0,00000",0.0,-100.0
1714496,26715000,312303,Республика Ингушетия,11,636588.7,0.0,,Ремонт фундаментов,2011.68,"0,00000",0.0,-100.0
1714492,26715000,312302,Республика Ингушетия,11,627064.9,0.0,,Ремонт фундаментов,2000.88,"0,00000",0.0,-100.0
