,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1839172,70606000,26004,Тульская область,11,9007.64,9007.64,31.07.2019,Ремонт фундаментов,480.0,,18.765916666666666,0.0
1848981,70712000,18483,Тульская область,11,16148.04,16148.04,04.06.2019,Ремонт фундаментов,634.7,,25.442004096423506,0.0
1849193,70712000,18095,Тульская область,11,16150.88,16150.88,26.08.2019,Ремонт фундаментов,686.4,,23.529836829836828,0.0
1849187,70712000,17985,Тульская область,11,18173.57,18173.57,23.08.2019,Ремонт фундаментов,392.8,,46.26672606924643,0.0
1849124,70712000,17568,Тульская область,11,6079.41,6079.41,19.07.2019,Ремонт фундаментов,417.7,,14.554488867608331,0.0
1849115,70712000,17218,Тульская область,11,18919.12,18919.12,19.07.2019,Ремонт фундаментов,527.1,,35.89284765699108,0.0
1849080,70712000,16961,Тульская область,11,18671.86,18671.86,14.06.2019,Ремонт фундаментов,814.0,,22.93840294840295,0.0
1849048,70712000,18302,Тульская область,11,11566.96,11566.96,28.05.2019,Ремонт фундаментов,405.5,,28.52517879161529,0.0
1849042,70712000,17336,Тульская область,11,11291.74,11291.74,04.06.2019,Ремонт фундаментов,418.4,,26.987906309751434,0.0
1849034,70712000,17293,Тульская область,11,11731.46,11731.46,04.06.2019,Ремонт фундаментов,428.6,,27.37158189454036,0.0
1849018,70712000,17172,Тульская область,11,11952.37,11952.37,13.06.2019,Ремонт фундаментов,425.5,,28.090176263219742,0.0
1849009,70712000,17115,Тульская область,11,12091.41,12091.41,28.05.2019,Ремонт фундаментов,425.5,,28.416944770857814,0.0
1849003,70712000,18301,Тульская область,11,10659.31,10659.31,13.06.2019,Ремонт фундаментов,414.0,,25.747125603864735,0.0
1849001,70712000,17292,Тульская область,11,16553.5,16553.5,14.06.2019,Ремонт фундаментов,627.1,,26.39690639451443,0.0
1848932,70712000,17044,Тульская область,11,16202.66,16202.66,13.06.2019,Ремонт фундаментов,629.2,,25.751207883026062,0.0
1849349,70712000,17569,Тульская область,11,19938.08,19938.08,02.09.2019,Ремонт фундаментов,594.9,,33.51501092620609,0.0
1848606,70712000,17323,Тульская область,11,10219.76,10219.76,16.07.2019,Ремонт фундаментов,733.3,,13.936669848629485,0.0
1848599,70712000,17241,Тульская область,11,6072.15,6072.15,30.08.2019,Ремонт фундаментов,436.8,,13.901442307692307,0.0
1848582,70712000,17560,Тульская область,11,6989.2,6989.2,27.08.2019,Ремонт фундаментов,424.9,,16.449046834549307,0.0
1848483,70712000,17093,Тульская область,11,3032.45,3032.45,14.08.2019,Ремонт фундаментов,444.0,,6.829842342342342,0.0
1848439,70712000,17285,Тульская область,11,6436.4,6436.4,06.08.2019,Ремонт фундаментов,442.5,,14.54553672316384,0.0
1848076,70706000,4150,Тульская область,11,19099.49,19099.49,12.07.2019,Ремонт фундаментов,289.8,,65.90576259489303,0.0
1847702,70706000,3420,Тульская область,11,11872.98,11872.98,16.05.2019,Ремонт фундаментов,338.1,,35.1167701863354,0.0
1847454,70706000,1901,Тульская область,11,7243.64,7243.64,16.05.2019,Ремонт фундаментов,143.0,,50.65482517482518,0.0
1847363,70706000,4117,Тульская область,11,17523.4,17523.4,16.05.2019,Ремонт фундаментов,614.51,,28.51605344095296,0.0
1846787,70706000,3065,Тульская область,11,18090.39,18090.39,20.06.2019,Ремонт фундаментов,406.4,,44.513754921259846,0.0
1846408,70706000,3714,Тульская область,11,14632.76,14632.76,05.07.2019,Ремонт фундаментов,612.75,,23.88047327621379,0.0
1846402,70706000,4031,Тульская область,11,10593.6,10593.6,09.08.2019,Ремонт фундаментов,671.72,,15.770856904662656,0.0
1849242,70712000,17680,Тульская область,11,7255.55,7255.55,09.08.2019,Ремонт фундаментов,398.0,,18.230025125628142,0.0
1849410,70712000,17767,Тульская область,11,5641.58,5641.58,26.08.2019,Ремонт фундаментов,524.1,,10.764319786300323,0.0
1839182,70606000,1142,Тульская область,11,5083.56,5083.56,12.07.2019,Ремонт фундаментов,515.8,,9.855680496316403,0.0
1851206,70712000,17914,Тульская область,11,2394.91,2394.91,22.07.2019,Ремонт фундаментов,407.9,,5.871316499141947,0.0
1851816,70712000,17473,Тульская область,11,17530.78,17530.78,26.07.2019,Ремонт фундаментов,699.5,,25.061872766261615,0.0
1851719,70712000,17586,Тульская область,11,2237.63,2237.63,16.07.2019,Ремонт фундаментов,405.0,,5.525012345679013,0.0
1851711,70712000,17433,Тульская область,11,22558.6,22558.6,16.07.2019,Ремонт фундаментов,408.5,,55.22301101591187,0.0
1851707,70712000,17364,Тульская область,11,22580.99,22580.99,16.07.2019,Ремонт фундаментов,406.3,,55.57713512183116,0.0
1851700,70712000,17278,Тульская область,11,21804.23,21804.23,16.07.2019,Ремонт фундаментов,410.2,,53.15511945392492,0.0
1851680,70712000,18599,Тульская область,11,11705.79,11705.79,27.08.2019,Ремонт фундаментов,703.2,,16.6464590443686,0.0
1851672,70712000,18439,Тульская область,11,10981.86,10981.86,27.08.2019,Ремонт фундаментов,709.4,,15.48049055539893,0.0
1851652,70712000,17362,Тульская область,11,7390.53,7390.53,07.08.2019,Ремонт фундаментов,414.5,,17.829987937273824,0.0
1851646,70712000,17277,Тульская область,11,7449.04,7449.04,07.08.2019,Ремонт фундаментов,408.1,,18.252977211467776,0.0
1851586,70712000,18530,Тульская область,11,1991.53,1991.53,17.06.2019,Ремонт фундаментов,405.1,,4.916144161935324,0.0
1851564,70712000,17002,Тульская область,11,16532.41,16532.41,24.06.2019,Ремонт фундаментов,624.8,,26.46032330345711,0.0
1851258,70712000,18202,Тульская область,11,11506.58,11506.58,13.06.2019,Ремонт фундаментов,358.2,,32.123338916806254,0.0
1851195,70712000,17843,Тульская область,11,17398.62,17398.62,24.06.2019,Ремонт фундаментов,621.8,,27.981055001608233,0.0
1849426,70712000,17904,Тульская область,11,13468.74,13468.74,09.08.2019,Ремонт фундаментов,666.2,,20.21726208345842,0.0
1851191,70712000,17776,Тульская область,11,12235.76,12235.76,22.07.2019,Ремонт фундаментов,412.0,,29.698446601941747,0.0
1851144,70712000,16995,Тульская область,11,18799.1,18799.1,17.06.2019,Ремонт фундаментов,745.4,,25.220150254896698,0.0
1850546,70712000,17135,Тульская область,11,21586.61,21586.61,29.07.2019,Ремонт фундаментов,817.4,,26.40886958649376,0.0
1849950,70712000,18027,Тульская область,11,9242.65,9242.65,19.08.2019,Ремонт фундаментов,400.2,,23.095077461269366,0.0
1849922,70712000,16977,Тульская область,11,12160.97,12160.97,16.05.2019,Ремонт фундаментов,421.6,,28.844805502846295,0.0
1849761,70712000,17875,Тульская область,11,26682.53,26682.53,17.05.2019,Ремонт фундаментов,1037.0,,25.73050144648023,0.0
1849708,70712000,17057,Тульская область,11,19031.28,19031.28,18.04.2019,Ремонт фундаментов,731.4,,26.020344544708777,0.0
1849660,70712000,17922,Тульская область,11,9463.68,9463.68,18.04.2019,Ремонт фундаментов,373.4,,25.34461703267274,0.0
1849634,70712000,18562,Тульская область,11,18435.07,18435.07,24.04.2019,Ремонт фундаментов,715.7,,25.75809696800335,0.0
1849631,70712000,18494,Тульская область,11,433.64,433.64,23.08.2019,Ремонт фундаментов,681.5,,0.6363022743947175,0.0
1849440,70712000,17949,Тульская область,11,3238.52,3238.52,26.08.2019,Ремонт фундаментов,419.4,,7.7217930376728665,0.0
1849432,70712000,17933,Тульская область,11,14590.25,14590.25,17.07.2019,Ремонт фундаментов,709.1,,20.575729798335917,0.0
1846326,70706000,3064,Тульская область,11,35118.16,35118.16,15.07.2019,Ремонт фундаментов,2536.9,,13.842942173518862,0.0
1846164,70706000,2796,Тульская область,11,22673.73,22673.73,02.08.2019,Ремонт фундаментов,1057.09,,21.449195432744613,0.0
