,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1196248,1649000,16490005819993,Алтайский край,1,58960.0,475042.21,,Электроснабжение,854.0,"2116,25232",556.2555152224825,705.7025271370421
1190017,1626000,16260005705576,Алтайский край,1,325227.0,636087.0,,Электроснабжение,579.9,"0,00000",1096.890843248836,95.58247009012166
1189992,1626000,16260005705517,Алтайский край,1,586258.0,1073170.0,,Электроснабжение,1175.9,"0,00000",912.6371290075685,83.05421844989749
1189990,1626000,16260005705438,Алтайский край,1,194207.0,269907.0,16.05.2019,Электроснабжение,407.2,"217,79100",662.8364440078585,38.97902753247824
1190070,1626000,16260005704612,Алтайский край,1,364533.0,501883.0,16.05.2019,Электроснабжение,789.9,"444,49700",635.3753639701229,37.67834462174893
1151438,1701000,170100018611131,Алтайский край,1,152935.08,152935.08,20.01.2016,Электроснабжение,384.11,"671,38124",398.1543828590768,0.0
1151450,1701000,170100018611133,Алтайский край,1,149994.52,149994.52,16.03.2016,Электроснабжение,385.0,"867,66602",389.5961558441558,0.0
1174100,1706000,17060005585718,Алтайский край,1,208387.08,208387.08,19.10.2015,Электроснабжение,304.6,"208,38708",684.1335521996059,0.0
1146623,1701000,17010005482762,Алтайский край,1,1037841.69,1018204.9,02.03.2018,Электроснабжение,2385.2,"1037,84169",426.8844960590307,-1.892079513591316
1146415,1701000,170100018610714,Алтайский край,1,1639135.6,1603526.24,22.12.2017,Электроснабжение,2925.2,"1639,13560",548.1766169834542,-2.172447477804773
1190025,1626000,16260005704877,Алтайский край,1,380066.09,357012.54,17.11.2017,Электроснабжение,661.7,"380,06609",539.5383708629288,-6.065668736718932
1190235,1626000,16260005704388,Алтайский край,1,233970.53,219107.12,04.08.2017,Электроснабжение,414.0,"233,97053",529.2442512077295,-6.352684673578334
1190200,1626000,16260005704379,Алтайский край,1,372510.76,345762.42,04.08.2017,Электроснабжение,788.3,"372,51076",438.61781047824434,-7.1805549992703614
1190116,1626000,16260005704775,Алтайский край,1,195518.57,180969.52,02.11.2017,Электроснабжение,412.9,"195,51857",438.28898038265925,-7.441262484683686
1190067,1626000,16260005704610,Алтайский край,1,339922.93,314584.46,02.11.2017,Электроснабжение,744.8,"339,92293",422.3744092373792,-7.454180863879934
