,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6122604,53701000,1005190,Оренбургская область,1,398484.55,2995254.46,,Электроснабжение,8725.9,"120,95000",343.2602321823537,651.6613780885608
6068973,53604000,1008946,Оренбургская область,1,330643.5,554768.87,,Электроснабжение,1226.0,"65,02000",452.5031566068515,67.78459882017944
6071691,53713000,1001056,Оренбургская область,1,1349668.27,1873522.45,15.08.2019,Электроснабжение,10887.4,"2085,54000",172.08171372412147,38.81355082904927
6128934,53723000,1005761,Оренбургская область,1,682770.37,945712.69,,Электроснабжение,3429.1,"3029,54000",275.7903502376717,38.511091217974204
6072083,53713000,1001088,Оренбургская область,1,1206721.15,1506704.07,15.08.2019,Электроснабжение,6488.6,"1163,00000",232.20788305643745,24.859340536129682
6100987,53701000,1003071,Оренбургская область,1,1295872.0,1422749.0,04.04.2019,Электроснабжение,5276.0,"231,96000",269.66432903714934,9.790858973725802
6096600,53701000,1008019,Оренбургская область,1,276761.21,286384.73,21.05.2019,Электроснабжение,766.7,"243,18000",373.52905960610406,3.477192486620484
6067553,53603000,1000023,Оренбургская область,1,402342.4,402342.4,17.12.2018,Электроснабжение,3965.8,"479,03000",101.45302334963942,0.0
6122394,53701000,1005173,Оренбургская область,1,2300009.77,2300009.77,27.12.2018,Электроснабжение,8800.5,"6591,15000",261.3498971649338,0.0
6122190,53701000,1005157,Оренбургская область,1,193073.66,193073.66,15.11.2016,Электроснабжение,649.7,"2288,77000",297.1735570263198,0.0
6121757,53701000,1005108,Оренбургская область,1,178241.5,178241.5,15.11.2016,Электроснабжение,391.7,"1423,16000",455.0459535358693,0.0
6121358,53701000,1005072,Оренбургская область,1,2146439.15,2146439.15,15.12.2017,Электроснабжение,8487.7,"3736,50000",252.8881970380668,0.0
6121184,53701000,1005046,Оренбургская область,1,451053.4,451053.4,22.12.2016,Электроснабжение,4549.8,"4638,31000",99.13697305376061,0.0
6120868,53701000,1005016,Оренбургская область,1,482517.21,482517.21,03.12.2015,Электроснабжение,3525.5,"4448,64000",136.86490143242094,0.0
6120803,53701000,1005013,Оренбургская область,1,2021923.08,2021923.08,19.12.2018,Электроснабжение,5596.5,"4227,83000",361.28349504154386,0.0
6120761,53701000,1005010,Оренбургская область,1,1756123.72,1756123.72,18.12.2018,Электроснабжение,5464.1,"8974,93000",321.39304185501726,0.0
6122734,53701000,1005196,Оренбургская область,1,4533980.57,4533980.57,18.10.2018,Электроснабжение,9718.2,"10479,93000",466.54530365705585,0.0
