,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
339906,57701000,10006835,Пермский край,1,663860.55,725443.0,14.12.2017,Электроснабжение,4119.1,,176.11687019009005,9.276413547995887
341016,57646000,10001867,Пермский край,1,142796.29,154034.35,25.12.2015,Электроснабжение,753.0,,204.5608897742364,7.869994381506684
339475,57701000,10015144,Пермский край,1,917420.94,961244.1,21.06.2018,Электроснабжение,3322.0,,289.35704394942803,4.776777822402889
339092,57701000,10017272,Пермский край,1,739632.96,770535.46,02.08.2017,Электроснабжение,3311.0,,232.7198610691634,4.178085844092183
339234,57701000,10008109,Пермский край,1,370446.85,370446.85,07.04.2017,Электроснабжение,1400.0,,264.60489285714283,0.0
339884,57701000,10003729,Пермский край,1,2565835.3,2565835.3,10.12.2015,Электроснабжение,11274.39,,227.5808535982878,0.0
339124,57701000,10010943,Пермский край,1,562266.32,562266.32,17.12.2015,Электроснабжение,2604.0,,215.92408602150536,0.0
339086,57701000,10017147,Пермский край,1,815790.87,815790.87,24.01.2017,Электроснабжение,3396.0,,240.22110424028267,0.0
339704,57701000,10006824,Пермский край,1,1438450.38,1438450.38,25.12.2015,Электроснабжение,7289.0,,197.34536699135683,0.0
339701,57701000,10006823,Пермский край,1,1627122.47,1627122.47,19.10.2015,Электроснабжение,8374.7,,194.29023965037553,0.0
340038,57701000,10007879,Пермский край,1,576365.99,576365.99,24.11.2015,Электроснабжение,3191.8,,180.5771006955323,0.0
339644,57701000,10009939,Пермский край,1,732327.72,732327.72,24.11.2015,Электроснабжение,3572.3,,205.00174117515326,0.0
339561,57701000,10004877,Пермский край,1,600391.45,600391.45,05.11.2015,Электроснабжение,2796.4,,214.7015627235016,0.0
340067,57701000,10007887,Пермский край,1,670713.37,670713.37,30.11.2015,Электроснабжение,3264.0,,205.48816482843137,0.0
339324,57701000,10001138,Пермский край,1,735103.64,735102.0,27.04.2017,Электроснабжение,3132.0,,234.70689655172413,-0.00022309779339479974
339511,57701000,10015176,Пермский край,1,611411.24,611335.5,24.11.2016,Электроснабжение,2762.0,,221.33797972483708,-0.012387734317742538
339514,57701000,10003650,Пермский край,1,1015087.87,1014466.63,30.12.2016,Электроснабжение,4106.0,,247.06932050657574,-0.061200613105538704
339596,57701000,10009878,Пермский край,1,393941.52,393467.43,31.08.2018,Электроснабжение,1694.0,,232.27121015348288,-0.12034527358274483
339900,57701000,10017098,Пермский край,1,180166.54,179901.85,17.10.2018,Электроснабжение,588.0,,305.9555272108844,-0.1469140718359796
339473,57701000,10015141,Пермский край,1,919926.45,916102.51,21.06.2018,Электроснабжение,3055.0,,299.86988870703766,-0.4156788838933778
338915,57701000,10003621,Пермский край,1,429257.94,427316.71,30.12.2016,Электроснабжение,1889.0,,226.2131868713605,-0.4522292587063159
339454,57701000,10012936,Пермский край,1,728823.3,724731.22,28.12.2016,Электроснабжение,3137.0,,231.02684730634363,-0.5614639378296649
338919,57701000,10015126,Пермский край,1,344839.23,342636.4,05.02.2018,Электроснабжение,1133.0,,302.4151809355693,-0.6387991296697759
339954,57701000,10014927,Пермский край,1,2198054.87,2182565.34,23.04.2019,Электроснабжение,7783.0,,280.4272568418348,-0.7046925994163344
340127,57701000,10017281,Пермский край,1,455484.98,452009.52,28.07.2018,Электроснабжение,1514.0,,298.55318361955085,-0.7630240628351714
339389,57701000,10003634,Пермский край,1,898252.48,890457.03,22.12.2016,Электроснабжение,3642.0,,244.4967133443163,-0.8678461984318653
338976,57701000,10015170,Пермский край,1,1029205.8,1020045.18,24.01.2017,Электроснабжение,4399.0,,231.88115026142307,-0.8900668845822635
339376,57701000,10010980,Пермский край,1,445347.74,440775.21,17.12.2018,Электроснабжение,2696.0,,163.49228857566766,-1.0267325034589714
339506,57701000,10003612,Пермский край,1,575666.98,569625.15,16.02.2017,Электроснабжение,2312.0,,246.3776600346021,-1.0495356186661864
338910,57701000,10003602,Пермский край,1,860266.91,850124.09,22.12.2016,Электроснабжение,3971.0,,214.08312515739107,-1.1790317495764313
340044,57701000,10013943,Пермский край,1,906736.51,895124.32,09.10.2018,Электроснабжение,3041.0,,294.35196317000987,-1.2806575969903422
339347,57701000,10008104,Пермский край,1,371754.28,366982.85,15.06.2017,Электроснабжение,1533.0,,239.38868232224394,-1.2834902667428705
339468,57701000,10012934,Пермский край,1,648467.08,640028.6,21.02.2019,Электроснабжение,2312.0,,276.8289792387543,-1.3012965901060047
340030,57701000,10008110,Пермский край,1,773685.13,763294.07,26.07.2018,Электроснабжение,2492.0,,306.2977808988764,-1.3430605807300489
339345,57701000,10009548,Пермский край,1,727772.68,717825.41,20.02.2017,Электроснабжение,3065.0,,234.2007862969005,-1.3668100319456866
339224,57701000,10008106,Пермский край,1,369349.54,363929.47,15.06.2017,Электроснабжение,1577.0,,230.77328471781863,-1.4674635847658046
339359,57701000,10008121,Пермский край,1,609053.19,598422.31,07.04.2017,Электроснабжение,2561.0,,233.66743850058572,-1.7454764500945963
339337,57701000,10001142,Пермский край,1,897348.04,880095.93,24.04.2017,Электроснабжение,3113.0,,282.7163283006746,-1.9225661873624844
338895,57701000,10014942,Пермский край,1,417873.49,409702.11,19.06.2018,Электроснабжение,1878.0,,218.15873801916933,-1.9554674310638842
340639,57627000,10003542,Пермский край,1,937007.02,918291.54,16.04.2019,Электроснабжение,3055.0,,300.58642880523735,-1.997368173399594
339357,57701000,10008103,Пермский край,1,615613.7,602592.91,16.06.2017,Электроснабжение,2759.0,,218.40989851395435,-2.1150910059343886
339779,57701000,10015096,Пермский край,1,463635.1,452866.69,27.06.2018,Электроснабжение,1592.0,,284.4640012562814,-2.322604565530084
339053,57701000,10017115,Пермский край,1,362718.99,353982.88,28.12.2016,Электроснабжение,1604.0,,220.68758104738154,-2.408506375693198
339271,57701000,10009870,Пермский край,1,221352.91,215875.09,29.12.2016,Электроснабжение,1090.0,,198.05054128440366,-2.474699790483892
338940,57701000,10009863,Пермский край,1,877131.14,854617.13,20.12.2017,Электроснабжение,2556.0,,334.3572496087637,-2.5667780988826827
340125,57701000,10017279,Пермский край,1,458422.48,446281.25,26.07.2018,Электроснабжение,1625.0,,274.63461538461536,-2.6484805020905555
339477,57701000,10014936,Пермский край,1,932396.42,904632.12,19.06.2018,Электроснабжение,3210.0,,281.81685981308414,-2.977735585900254
339694,57701000,10009811,Пермский край,1,907053.3,876226.92,30.11.2018,Электроснабжение,2973.0,,294.7281937436932,-3.3985191388422265
339277,57701000,10008635,Пермский край,1,1069157.12,1032370.15,26.10.2018,Электроснабжение,2665.0,,387.38091932457786,-3.4407449861064476
339351,57701000,10008122,Пермский край,1,722052.67,697169.07,28.04.2017,Электроснабжение,3154.0,,221.0428249841471,-3.446230591460886
338886,57701000,10014944,Пермский край,1,437744.8,421561.93,28.12.2018,Электроснабжение,1479.0,,285.0317308992563,-3.6968731553178924
339462,57701000,10012937,Пермский край,1,373085.06,358684.88,30.12.2016,Электроснабжение,1559.0,,230.07368826170622,-3.8597578793425846
339368,57701000,10009833,Пермский край,1,490287.0,470664.48,30.12.2016,Электроснабжение,2014.0,,233.69636544190664,-4.00225174234683
338875,57701000,10014951,Пермский край,1,444397.37,424542.37,04.12.2018,Электроснабжение,1683.0,,252.25333927510397,-4.467848223314197
339377,57701000,10009876,Пермский край,1,467378.97,446432.55,21.01.2019,Электроснабжение,1785.0,,250.10226890756303,-4.4816778983444605
339229,57701000,10008107,Пермский край,1,742644.72,707620.42,23.05.2017,Электроснабжение,2974.0,,237.9355817081372,-4.7161582189663935
339842,57701000,10013037,Пермский край,1,897290.44,853999.78,21.06.2018,Электроснабжение,2967.0,,287.8327536231884,-4.824598376418665
339025,57701000,10017074,Пермский край,1,145735.2,138360.52,26.12.2017,Электроснабжение,621.0,,222.80276972624796,-5.0603285959740845
339288,57701000,10017284,Пермский край,1,297277.35,282008.17,28.11.2017,Электроснабжение,1347.0,,209.36018559762434,-5.136341534260847
339698,57701000,10009813,Пермский край,1,903827.82,856696.56,11.12.2018,Электроснабжение,3062.0,,279.7833311561071,-5.214628157827661
338924,57701000,10011630,Пермский край,1,880111.86,832986.22,27.04.2017,Электроснабжение,3797.0,,219.38009481169343,-5.354505732941717
339233,57701000,10008109,Пермский край,1,370446.85,349394.43,,Электроснабжение,1400.0,,249.56745,-5.682979893066975
338632,57708000,10006126,Пермский край,1,2024231.59,1905068.09,30.12.2016,Электроснабжение,8370.0,,227.60670131421745,-5.886851118650904
339695,57701000,10009812,Пермский край,1,1115702.06,1048553.08,30.11.2018,Электроснабжение,3575.0,,293.3015608391608,-6.018540469486999
339114,57701000,10015172,Пермский край,1,1339401.05,1250802.43,30.12.2016,Электроснабжение,5825.0,,214.73003090128753,-6.6147939782487235
339273,57701000,10008634,Пермский край,1,1804556.86,1684238.9,06.06.2019,Электроснабжение,5499.0,,306.28094198945263,-6.667451864054874
341367,57658000,10009355,Пермский край,1,134384.67,124118.32,,Электроснабжение,575.0,,215.85794782608696,-7.639524657090724
340126,57701000,10017280,Пермский край,1,461388.77,425987.58,27.07.2018,Электроснабжение,1633.0,,260.8619595835885,-7.672746347944271
339776,57701000,10015094,Пермский край,1,475068.3,438604.2,13.02.2018,Электроснабжение,1868.0,,234.7988222698073,-7.675548968432533
339716,57701000,10009836,Пермский край,1,776622.63,716415.44,18.07.2018,Электроснабжение,2460.0,,291.22578861788617,-7.752438272369178
340011,57701000,10008730,Пермский край,1,317729.32,292084.34,22.09.2017,Электроснабжение,1301.0,,224.50756341275942,-8.071329394466954
339350,57701000,10008122,Пермский край,1,722052.67,660953.4,,Электроснабжение,3154.0,,209.56036778693723,-8.461885474365738
339953,57701000,10014930,Пермский край,1,912784.3,830995.93,23.01.2018,Электроснабжение,3212.0,,258.71604296388546,-8.960317349893065
339888,57701000,10007916,Пермский край,1,355925.02,322999.76,23.12.2016,Электроснабжение,1446.0,,223.3746611341632,-9.25061688554517
339081,57701000,10017248,Пермский край,1,228730.56,207460.5,05.06.2017,Электроснабжение,979.0,,211.91062308478038,-9.299177162859218
339272,57701000,10008633,Пермский край,1,1102402.68,998609.37,24.12.2018,Электроснабжение,3564.0,,280.1934259259259,-9.415190282374851
339846,57701000,10013040,Пермский край,1,915376.22,829038.29,25.07.2018,Электроснабжение,3129.0,,264.95311281559606,-9.431961210440875
339498,57701000,10017287,Пермский край,1,370843.75,334619.94,31.01.2017,Электроснабжение,1522.0,,219.85541392904074,-9.767944046515542
338631,57708000,10006126,Пермский край,1,2024231.59,1823906.9,30.12.2016,Электроснабжение,8370.0,,217.9100238948626,-9.896332563409905
339476,57701000,10014935,Пермский край,1,979972.37,878212.98,25.07.2018,Электроснабжение,3476.0,,252.65045454545455,-10.383903987007304
339643,57701000,10014122,Пермский край,1,918313.71,821189.63,24.07.2018,Электроснабжение,3315.0,,247.71934539969834,-10.576350863802297
340050,57701000,10008062,Пермский край,1,630322.31,563021.65,24.04.2017,Электроснабжение,2569.0,,219.1598481899572,-10.677181964255722
339800,57701000,10003677,Пермский край,1,463923.09,413987.08,27.06.2018,Электроснабжение,1708.0,,242.3811943793911,-10.763855276097601
340034,57701000,10008658,Пермский край,1,472332.39,420650.61,29.11.2018,Электроснабжение,1511.0,,278.3921972203838,-10.941824252196641
339889,57701000,10005958,Пермский край,1,462799.93,408528.83,17.10.2018,Электроснабжение,1355.0,,301.4972915129151,-11.726687166957861
339026,57701000,10016092,Пермский край,1,305518.84,266031.92,30.12.2016,Электроснабжение,1386.0,,191.9422222222222,-12.924545013328814
339816,57701000,10013051,Пермский край,1,295189.75,255592.75,30.01.2018,Электроснабжение,622.0,,410.9208199356913,-13.414083652972364
340048,57701000,10008062,Пермский край,1,630322.31,545173.28,,Электроснабжение,2569.0,,212.2122537952511,-13.508807898613018
339841,57701000,10013044,Пермский край,1,839894.04,723456.58,12.07.2018,Электроснабжение,2458.0,,294.32733116354757,-13.863351143675228
339281,57701000,10009871,Пермский край,1,782229.8,671056.6,14.05.2018,Электроснабжение,2647.0,,253.5159047978844,-14.212345272450634
339641,57701000,10003659,Пермский край,1,924361.5,788862.09,30.08.2018,Электроснабжение,3170.0,,248.85239432176655,-14.658703331975643
340000,57701000,10008049,Пермский край,1,1426011.28,1215472.87,07.02.2018,Электроснабжение,4445.0,,273.44721484814403,-14.764147587948951
339084,57701000,10017146,Пермский край,1,736948.06,628075.23,31.07.2017,Электроснабжение,3447.0,,182.20923411662315,-14.77347399489729
339925,57701000,10014926,Пермский край,1,959104.6,815245.82,29.08.2018,Электроснабжение,3642.0,,223.84563975837452,-14.999279536350885
339780,57701000,10015097,Пермский край,1,933577.18,792008.7,24.12.2018,Электроснабжение,3442.0,,230.10130737943055,-15.16408959353528
339843,57701000,10013038,Пермский край,1,921942.39,780419.48,14.06.2018,Электроснабжение,2951.0,,264.45932904100306,-15.350515556617372
339431,57701000,10009561,Пермский край,1,781892.85,661756.26,21.06.2018,Электроснабжение,2447.0,,270.43574172456067,-15.364840591648843
339119,57701000,10011711,Пермский край,1,467695.76,395695.0,13.05.2019,Электроснабжение,1645.0,,240.54407294832828,-15.394785704279212
339853,57701000,10013041,Пермский край,1,1008512.18,850335.48,25.07.2018,Электроснабжение,2868.0,,296.4907531380753,-15.684163576487498
341181,57646000,10002988,Пермский край,1,79370.04,66242.76,31.01.2019,Электроснабжение,321.0,,206.363738317757,-16.539339025153577
339772,57701000,10017973,Пермский край,1,840585.39,690029.6,03.10.2016,Электроснабжение,3399.0,,203.009591056193,-17.910826406345226
339754,57701000,10015117,Пермский край,1,761071.17,621716.29,27.06.2018,Электроснабжение,2257.0,,275.4613602126717,-18.310361171610268
339722,57701000,10009834,Пермский край,1,992947.91,811051.9,27.06.2019,Электроснабжение,4830.0,,167.9196480331263,-18.31878673273002
339189,57701000,10008749,Пермский край,1,1310440.9,1058179.64,07.02.2018,Электроснабжение,4291.0,,246.60443719412723,-19.250105823162265
339699,57701000,10009814,Пермский край,1,1440554.78,1163212.81,11.12.2018,Электроснабжение,4203.0,,276.7577468474899,-19.252441757195793
339472,57701000,10015138,Пермский край,1,927586.99,747031.7,22.11.2018,Электроснабжение,3253.0,,229.64392868121732,-19.46505200552673
339173,57701000,10016136,Пермский край,1,405514.04,322209.15,20.12.2016,Электроснабжение,1444.0,,223.13653047091415,-20.54303471218899
340182,57701000,10009830,Пермский край,1,938496.05,744700.0,04.05.2018,Электроснабжение,2992.0,,248.89705882352942,-20.64963938846627
339759,57701000,10014733,Пермский край,1,928429.37,735427.45,10.12.2018,Электроснабжение,2798.0,,262.84040385989994,-20.78800243038412
339764,57701000,10013929,Пермский край,1,895334.1,708755.76,23.12.2016,Электроснабжение,3641.0,,194.65964295523207,-20.838962796122694
341199,57651000,10003160,Пермский край,1,134944.85,106597.7,,Электроснабжение,580.0,,183.78913793103447,-21.006470421064616
340025,57701000,10011825,Пермский край,1,731465.8,575310.66,28.09.2018,Электроснабжение,2455.0,,234.34242769857434,-21.34824895435986
339032,57701000,10012459,Пермский край,1,739500.72,581471.98,07.02.2018,Электроснабжение,2462.0,,236.17870836718114,-21.36965329797109
340004,57701000,10010645,Пермский край,1,1519752.03,1193606.2,18.12.2018,Электроснабжение,5643.0,,211.5197944355839,-21.460463520486307
338876,57701000,10014941,Пермский край,1,591949.05,464083.74,31.05.2019,Электроснабжение,2512.95,,184.67686981436162,-21.600728981658147
339521,57701000,10008117,Пермский край,1,626493.4,488053.27,17.03.2017,Электроснабжение,2593.0,,188.21954107211724,-22.097619863194083
339840,57701000,10013036,Пермский край,1,737427.19,572003.91,23.07.2018,Электроснабжение,2287.0,,250.11102317446438,-22.432489911309062
339914,57701000,10003681,Пермский край,1,536582.97,411826.32,23.10.2018,Электроснабжение,1647.0,,250.0463387978142,-23.250206766718662
339784,57701000,10001133,Пермский край,1,913072.3,695582.67,09.10.2018,Электроснабжение,2913.0,,238.78567456230692,-23.81954090601588
340016,57701000,10011827,Пермский край,1,1648339.56,1253534.01,26.10.2018,Электроснабжение,5288.0,,237.0525737518911,-23.95171235227771
341358,57657000,10009216,Пермский край,1,1425170.92,1078963.94,17.02.2017,Электроснабжение,6493.0,,166.17340828584628,-24.292312952891294
340155,57701000,10009823,Пермский край,1,868001.86,657092.38,11.07.2018,Электроснабжение,3779.0,,173.87996295316222,-24.29827512120769
340150,57701000,10010560,Пермский край,1,1275162.12,942969.46,21.06.2018,Электроснабжение,4238.0,,222.5034119867862,-26.05101381148306
