,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6395508,85605000,801011,Республика Калмыкия,1,,,,Электроснабжение,940.9,,,
6395517,85605000,801012,Республика Калмыкия,1,,,,Электроснабжение,740.78,,,
6395522,85605000,801013,Республика Калмыкия,1,,,,Электроснабжение,625.5,,,
6395527,85605000,801014,Республика Калмыкия,1,,,,Электроснабжение,817.55,,,
6395533,85605000,801015,Республика Калмыкия,1,,,,Электроснабжение,611.52,,,
6395537,85605000,801016,Республика Калмыкия,1,,,,Электроснабжение,625.58,,,
6395542,85605000,801017,Республика Калмыкия,1,,,,Электроснабжение,629.55,,,
6395548,85605000,801018,Республика Калмыкия,1,,,,Электроснабжение,609.23,,,
6395550,85605000,801019,Республика Калмыкия,1,,,,Электроснабжение,646.5,,,
6395556,85605000,8010110,Республика Калмыкия,1,,,,Электроснабжение,627.74,,,
6395562,85605000,8010111,Республика Калмыкия,1,,,,Электроснабжение,672.69,,,
6395569,85605000,8010112,Республика Калмыкия,1,,,,Электроснабжение,601.16,,,
6395575,85605000,8010113,Республика Калмыкия,1,,,,Электроснабжение,620.65,,,
6395580,85605000,8010114,Республика Калмыкия,1,,,,Электроснабжение,789.53,,,
6395583,85605000,8010115,Республика Калмыкия,1,,,,Электроснабжение,631.79,,,
6395591,85605000,8010116,Республика Калмыкия,1,,,,Электроснабжение,772.23,,,
6395596,85605000,8010117,Республика Калмыкия,1,,,,Электроснабжение,621.43,,,
6395601,85605000,8010118,Республика Калмыкия,1,,,,Электроснабжение,797.45,,,
6395606,85605000,8010119,Республика Калмыкия,1,,,,Электроснабжение,503.43,,,
6395611,85605000,8010120,Республика Калмыкия,1,,,,Электроснабжение,926.03,,,
6395617,85605000,8010121,Республика Калмыкия,1,,,,Электроснабжение,791.28,,,
6395623,85605000,8010122,Республика Калмыкия,1,,,,Электроснабжение,640.82,,,
6395628,85605000,8010123,Республика Калмыкия,1,,,,Электроснабжение,617.82,,,
6395632,85605000,8010124,Республика Калмыкия,1,,,,Электроснабжение,645.9,,,
6395640,85605000,8010125,Республика Калмыкия,1,,,,Электроснабжение,640.75,,,
6395645,85605000,8010126,Республика Калмыкия,1,,,,Электроснабжение,770.14,,,
6395649,85605000,8010127,Республика Калмыкия,1,,,,Электроснабжение,621.66,,,
6395656,85605000,8010128,Республика Калмыкия,1,,,,Электроснабжение,939.6,,,
6395660,85605000,8010129,Республика Калмыкия,1,,,,Электроснабжение,783.21,,,
6395667,85605000,8010130,Республика Калмыкия,1,,,,Электроснабжение,802.87,,,
6395673,85605000,8010131,Республика Калмыкия,1,,,,Электроснабжение,309.32,,,
6395676,85605000,8010132,Республика Калмыкия,1,,,,Электроснабжение,302.13,,,
6395684,85605000,8010133,Республика Калмыкия,1,,,,Электроснабжение,918.78,,,
6395691,85605000,8010134,Республика Калмыкия,1,,,,Электроснабжение,607.9,,,
6395694,85605000,8010135,Республика Калмыкия,1,,,,Электроснабжение,616.29,,,
6395703,85605000,8010136,Республика Калмыкия,1,,,,Электроснабжение,608.2,,,
6395709,85605000,8010137,Республика Калмыкия,1,,,,Электроснабжение,607.91,,,
6395714,85605000,8010138,Республика Калмыкия,1,,,,Электроснабжение,606.2,,,
6395718,85605000,8010139,Республика Калмыкия,1,,,,Электроснабжение,612.08,,,
6395727,85605000,8010140,Республика Калмыкия,1,,,,Электроснабжение,608.79,,,
6395729,85605000,8010141,Республика Калмыкия,1,,,,Электроснабжение,606.3,,,
6395733,85605000,8010142,Республика Калмыкия,1,,,,Электроснабжение,591.6,,,
6395742,85605000,8010143,Республика Калмыкия,1,,,,Электроснабжение,628.65,,,
6395747,85605000,8010144,Республика Калмыкия,1,,,,Электроснабжение,606.4,,,
6395750,85605000,8010145,Республика Калмыкия,1,,,,Электроснабжение,624.15,,,
6395757,85605000,8010146,Республика Калмыкия,1,,,,Электроснабжение,925.54,,,
6395764,85605000,8010147,Республика Калмыкия,1,,,,Электроснабжение,910.84,,,
6395770,85605000,8010148,Республика Калмыкия,1,,,,Электроснабжение,300.9,,,
6395773,85605000,8010149,Республика Калмыкия,1,,,,Электроснабжение,296.57,,,
6395781,85605000,8010150,Республика Калмыкия,1,,,,Электроснабжение,302.4,,,
6395787,85605000,8010151,Республика Калмыкия,1,,,,Электроснабжение,865.9,,,
6395791,85605000,8010152,Республика Калмыкия,1,,,,Электроснабжение,714.84,,,
6395795,85605000,8010153,Республика Калмыкия,1,,,,Электроснабжение,303.48,,,
6395800,85605000,8010154,Республика Калмыкия,1,,,,Электроснабжение,287.42,,,
6395810,85605000,8010155,Республика Калмыкия,1,,,,Электроснабжение,315.33,,,
6395811,85605000,8010156,Республика Калмыкия,1,,,,Электроснабжение,312.7,,,
6395818,85605000,8010157,Республика Калмыкия,1,,,,Электроснабжение,488.67,,,
6395822,85605000,8010158,Республика Калмыкия,1,,,,Электроснабжение,237.59,,,
6395830,85605000,8010159,Республика Калмыкия,1,,,,Электроснабжение,231.73,,,
6395837,85605000,8010160,Республика Калмыкия,1,,,,Электроснабжение,556.89,,,
6395838,85605000,8010161,Республика Калмыкия,1,,,,Электроснабжение,592.64,,,
6395846,85605000,8010162,Республика Калмыкия,1,,,,Электроснабжение,298.56,,,
6395850,85605000,8010163,Республика Калмыкия,1,,,,Электроснабжение,475.72,,,
6395855,85605000,8010164,Республика Калмыкия,1,,,,Электроснабжение,302.11,,,
6395862,85605000,8010165,Республика Калмыкия,1,,,,Электроснабжение,306.38,,,
6395864,85605000,8010166,Республика Калмыкия,1,,,,Электроснабжение,235.31,,,
6395869,85605000,8010167,Республика Калмыкия,1,,,,Электроснабжение,309.23,,,
6395879,85605000,8010168,Республика Калмыкия,1,,,,Электроснабжение,295.24,,,
